userid,key,value,boardSize,condition,boardType,time
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195923182
b4b22e25,clickPos,3_6_1,10,pruned,hard,1558195923184
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,0,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195923926
b4b22e25,clickPos,4_7_2,10,pruned,hard,1558195923927
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,1,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,0,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195924776
b4b22e25,clickPos,1_4_1,10,pruned,hard,1558195924777
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,1,2,2,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,0,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195926415
b4b22e25,clickPos,1_6_2,10,pruned,hard,1558195926416
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,1,2,2,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,1,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195927097
b4b22e25,clickPos,4_6_1,10,pruned,hard,1558195927099
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,1,2,2,0,0,0],[0,2,2,0,1,1,1,2,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,1,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195929672
b4b22e25,clickPos,2_7_2,10,pruned,hard,1558195929673
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,1,2,2,0,0,0],[0,2,2,1,1,1,1,2,2,0],[0,0,2,1,2,0,1,0,0,0],[0,1,1,0,0,0,1,2,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195933341
b4b22e25,clickPos,2_3_1,10,pruned,hard,1558195933342
b4b22e25,reset,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195940791
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195942464
b4b22e25,clickPos,5_3_1,10,pruned,hard,1558195942466
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[2,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195944588
b4b22e25,clickPos,5_0_2,10,pruned,hard,1558195944589
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,1,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[2,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195945979
b4b22e25,clickPos,3_1_1,10,pruned,hard,1558195945980
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[2,2,2,0,1,1,1,0,2,0],[0,1,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[2,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195947434
b4b22e25,clickPos,2_0_2,10,pruned,hard,1558195947435
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[2,2,2,0,1,1,1,0,2,0],[0,1,2,1,2,0,0,0,0,0],[0,1,1,1,0,0,0,0,0,0],[2,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195951917
b4b22e25,clickPos,4_3_1,10,pruned,hard,1558195951918
b4b22e25,click,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[2,2,2,0,1,1,1,0,2,0],[0,1,2,1,2,0,0,0,0,0],[0,1,1,1,2,0,0,0,0,0],[2,1,1,1,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",10,pruned,hard,1558195954688
b4b22e25,clickPos,4_4_2,10,pruned,hard,1558195954689
