userid,key,value,boardSize,condition,boardType,time
b2f22729,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194027402
fff22850,new_user,fff22850,6,full,easy,1558194256341
fff22850,experimentalCondition,6_full_easy,6,full,easy,1558194256348
fff22850,boardSize,6,6,full,easy,1558194256354
fff22850,difficulty,easy,6,full,easy,1558194256357
fff22850,condition,full,6,full,easy,1558194256364
fff22850,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1558194256370
fff22850,gender,female,6,full,easy,1558194286424
fff22850,education,1,6,full,easy,1558194286428
fff22850,age,41,6,full,easy,1558194286431
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194318260
b2f22729,clickPos_practice,3_1_1,6,full,easy,1558194318264
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194325299
b2f22729,clickPos_practice,3_0_2,6,full,easy,1558194325300
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194327315
b2f22729,clickPos_practice,3_4_1,6,full,easy,1558194327316
b2f22729,timeQuiz,303733,6,full,easy,1558194331047
b2f22729,quiz1,2,6,full,easy,1558194331048
b2f22729,quiz2,2,6,full,easy,1558194331049
b2f22729,quiz3,1,6,full,easy,1558194331050
b2f22729,quiz4,c1,6,full,easy,1558194331051
b2f22729,quiz5,b4,6,full,easy,1558194331052
b2f22729,quiz6v,0,6,full,easy,1558194331053
b2f22729,quiz6,b3,6,full,easy,1558194331053
b2f22729,passedQuiz,FALSE,6,full,easy,1558194331055
b2f22729,gender,female,6,full,easy,1558194338896
b2f22729,education,2,6,full,easy,1558194338898
b2f22729,age,44,6,full,easy,1558194338899
b2f22729,timeInstructions,5056,6,full,easy,1558194343956
b2f22729,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194343997
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194350959
b2f22729,clickPos_practice,3_1_1,6,full,easy,1558194350960
b2f22729,timeQuiz,8678,6,full,easy,1558194352636
b2f22729,quiz1,2,6,full,easy,1558194352637
b2f22729,quiz2,2,6,full,easy,1558194352638
b2f22729,quiz3,1,6,full,easy,1558194352638
b2f22729,quiz4,c1,6,full,easy,1558194352639
b2f22729,quiz5,b4,6,full,easy,1558194352640
b2f22729,quiz6,b3,6,full,easy,1558194352641
b2f22729,quiz6v,0,6,full,easy,1558194352642
b2f22729,passedQuiz,FALSE,6,full,easy,1558194352643
b2f22729,gender,female,6,full,easy,1558194354499
b2f22729,education,2,6,full,easy,1558194354500
b2f22729,age,44,6,full,easy,1558194354502
fff22850,timeInstructions,70204,6,full,easy,1558194356638
fff22850,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194356692
b2f22729,timeInstructions,16536,6,full,easy,1558194371040
b2f22729,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194371061
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194421025
b2f22729,clickPos_practice,3_1_1,6,full,easy,1558194421027
b2f22729,timeQuiz,58356,6,full,easy,1558194429398
b2f22729,quiz1,2,6,full,easy,1558194429399
b2f22729,quiz2,2,6,full,easy,1558194429401
b2f22729,quiz3,1,6,full,easy,1558194429402
b2f22729,quiz4,c1,6,full,easy,1558194429403
b2f22729,quiz5,b4,6,full,easy,1558194429403
b2f22729,quiz6,b3,6,full,easy,1558194429404
b2f22729,quiz6v,0,6,full,easy,1558194429406
b2f22729,passedQuiz,FALSE,6,full,easy,1558194429407
b2f22729,gender,female,6,full,easy,1558194434022
b2f22729,education,2,6,full,easy,1558194434024
b2f22729,age,44,6,full,easy,1558194434025
b2f22729,timeInstructions,2642,6,full,easy,1558194436670
b2f22729,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194436703
b2f22729,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194440764
b2f22729,clickPos_practice,3_4_1,6,full,easy,1558194440766
b2f22729,timeQuiz,6698,6,full,easy,1558194443371
b2f22729,quiz1,2,6,full,easy,1558194443374
b2f22729,quiz2,2,6,full,easy,1558194443376
b2f22729,quiz3,1,6,full,easy,1558194443378
b2f22729,quiz4,c1,6,full,easy,1558194443380
b2f22729,quiz5,b4,6,full,easy,1558194443383
b2f22729,quiz6,b3,6,full,easy,1558194443384
b2f22729,quiz6v,0,6,full,easy,1558194443387
b2f22729,passedQuiz,FALSE,6,full,easy,1558194443390
b2f22729,gender,female,6,full,easy,1558194445229
b2f22729,education,2,6,full,easy,1558194445230
b2f22729,age,44,6,full,easy,1558194445230
b2f22729,timeInstructions,2221,6,full,easy,1558194447452
b2f22729,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194447467
b2f22729,undoPos_practice,3_4_2,6,full,easy,1558194452821
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194452822
b2f22729,undoPos_practice,3_1_2,6,full,easy,1558194452832
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194452833
b2f22729,undoPos_practice,3_1_2,6,full,easy,1558194452842
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194452843
b2f22729,undoPos_practice,3_4_2,6,full,easy,1558194452854
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194452855
b2f22729,undoPos_practice,3_0_2,6,full,easy,1558194453620
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194453622
b2f22729,undoPos_practice,3_1_2,6,full,easy,1558194453817
b2f22729,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194453818
b2f22729,timeQuiz,12003,6,full,easy,1558194459456
b2f22729,quiz1,2,6,full,easy,1558194459457
b2f22729,quiz2,2,6,full,easy,1558194459458
b2f22729,quiz4,c1,6,full,easy,1558194459459
b2f22729,quiz3,1,6,full,easy,1558194459459
b2f22729,quiz5,b4,6,full,easy,1558194459460
fff22850,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194527434
fff22850,clickPos_practice,3_1_1,6,full,easy,1558194527439
