"d5c394cd","b","a","c","d","e","h","i","f","g","1511101670959"
"bee39534","6","verify","hard","true","true","7787","12800","4","4","1511101779661"
"3fe398b9","6","full","easy","true","false","14360","6681","3","2","1511102679041"
"41c39d23","10","verify","easy","true","true","23446","11408","7","3","1511103987540"
"65a39f6d","10","verify","hard","true","true","20069","9203","13","4","1511104440948"
"33c39fef","10","verify","easy","true","true","5500","5548","3","3","1511104531201"
"8ce3a1de","6","verify","easy","true","true","112711","87341","7","5","1511105519015"
"31e3a167","10","verify","easy","true","true","139611","79915","9","3","1511105556706"
"bae3a17a","6","verify","hard","false","false","220526","188723","3","0","1511105645507"
"84f3a295","10","verify","hard","false","false","51398","96267","0","0","1511105680752"
"30b3a30f","10","verify","easy","true","true","184795","84059","12","3","1511105896123"
"44d3a1fb","10","verify","medium","false","false","404705","89754","28","0","1511105886148"
"c9c3a3a9","6","verify","hard","false","false","89276","134835","6","0","1511105886694"
"3bb3a40c","6","verify","hard","false","false","48256","47764","6","0","1511105951606"
"f1a3a21d","6","verify","hard","false","false","66658","93023","3","0","1511106035882"
"12f3a1f3","10","verify","medium","false","false","130563","108715","1","0","1511106058102"
"c4d3a457","6","verify","hard","true","true","151997","34067","27","4","1511106172952"
"5ca3a258","10","verify","easy","false","false","109136","40424","20","0","1511106228903"
"b6c3a446","6","verify","easy","true","true","367303","38187","30","4","1511106331451"
"fdc3a657","10","verify","hard","true","true","102232","78112","11","4","1511106743124"
"88c3a456","10","verify","easy","true","false","136095","39249","16","2","1511106752072"
"3ca4fb54","10","verify","hard","false","false","95670","42666","0","0","1511193800085"
"e3a4effd","10","full","medium","false","false","275966","26888","46","0","1511191285039"
"4bc4f1cf","10","verify","hard","true","true","114952","37861","12","4","1511191320548"
"dcc4f10e","6","full","hard","false","false","115551","50653","22","0","1511191390806"
"7db4f1d2","6","pruned","easy","true","true","122934","23840","19","3","1511191374331"
"5bc4f225","10","pruned","hard","true","true","109507","35368","20","4","1511191501655"
"fda4f169","6","full","easy","true","true","244768","45675","18","4","1511191526800"
