run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
0,66,10721,10_easy_full,20002,0
1,50,21352,10_easy_full,20004,1
2,55,17449,10_easy_full,20002,0
3,95,37959,10_easy_full,20000,0
4,49,16305,10_easy_full,20000,0
5,63,13301,10_easy_full,20000,0
6,84,17396,10_easy_full,20000,0
7,74,9004,10_easy_full,20000,0
8,86,16546,10_easy_full,20002,0
9,93,9458,10_easy_full,20000,0
10,66,9824,10_easy_full,20000,0
11,66,15509,10_easy_full,20000,0
12,65,11216,10_easy_full,20002,0
13,86,15198,10_easy_full,20003,0
14,52,11613,10_easy_full,20003,0
15,50,21444,10_easy_full,20000,1
16,66,14248,10_easy_full,20001,0
17,59,14283,10_easy_full,20001,0
18,59,16012,10_easy_full,20005,0
19,79,16171,10_easy_full,20000,0
20,50,21243,10_easy_full,20001,1
21,57,8608,10_easy_full,20000,0
22,65,14635,10_easy_full,20003,0
23,68,10084,10_easy_full,20003,0
24,57,10139,10_easy_full,20003,0
25,74,17143,10_easy_full,20002,0
26,55,15122,10_easy_full,20001,0
27,6,22712,10_easy_full,20001,0
28,52,16039,10_easy_full,20002,0
29,50,21364,10_easy_full,20000,1
30,6,22667,10_easy_full,20001,0
31,75,13543,10_easy_full,20000,0
32,33,10585,10_easy_full,20003,0
33,68,8616,10_easy_full,20002,0
34,95,37976,10_easy_full,20001,0
35,76,16778,10_easy_full,20001,0
36,73,8924,10_easy_full,20002,0
37,50,21272,10_easy_full,20004,1
38,99,37879,10_easy_full,20003,0
39,67,13028,10_easy_full,20001,0
40,84,13609,10_easy_full,20001,0
41,66,16117,10_easy_full,20000,0
42,66,10065,10_easy_full,20001,0
43,64,16277,10_easy_full,20000,0
44,55,17348,10_easy_full,20002,0
45,54,10988,10_easy_full,20000,0
46,23,13270,10_easy_full,20002,0
47,20,20301,10_easy_full,20000,1
48,88,12241,10_easy_full,20000,0
49,74,11150,10_easy_full,20001,0
50,55,18564,10_easy_full,20002,0
51,75,13696,10_easy_full,20002,0
52,74,11330,10_easy_full,20003,0
53,50,21412,10_easy_full,20000,1
54,19,22582,10_easy_full,20003,0
55,43,13745,10_easy_full,20000,0
56,48,10161,10_easy_full,20000,0
57,69,15062,10_easy_full,20001,0
58,60,10806,10_easy_full,20000,0
59,79,12529,10_easy_full,20003,0
60,66,10708,10_easy_full,20002,0
61,88,13247,10_easy_full,20002,0
62,23,13416,10_easy_full,20000,0
63,55,16295,10_easy_full,20002,0
64,50,21506,10_easy_full,20002,1
65,59,16666,10_easy_full,20001,0
66,53,11842,10_easy_full,20001,0
67,65,9261,10_easy_full,20003,0
68,66,14122,10_easy_full,20002,0
69,76,16385,10_easy_full,20002,0
70,99,38411,10_easy_full,20001,0
71,55,16194,10_easy_full,20002,0
72,74,9908,10_easy_full,20003,0
73,50,21629,10_easy_full,20001,1
74,54,11777,10_easy_full,20001,0
75,45,11410,10_easy_full,20003,0
76,13,17177,10_easy_full,20000,0
77,85,8973,10_easy_full,20000,0
78,20,20276,10_easy_full,20000,1
79,20,20446,10_easy_full,20001,1
80,99,38209,10_easy_full,20000,0
81,99,37157,10_easy_full,20002,0
82,84,14964,10_easy_full,20000,0
83,73,9418,10_easy_full,20003,0
84,63,14674,10_easy_full,20000,0
85,84,17054,10_easy_full,20001,0
86,64,16301,10_easy_full,20001,0
87,99,37819,10_easy_full,20000,0
88,59,16883,10_easy_full,20001,0
89,2,11482,10_easy_full,20002,0
90,2,11272,10_easy_full,20003,0
91,20,20488,10_easy_full,20001,1
92,85,12341,10_easy_full,20004,0
93,68,13371,10_easy_full,20000,0
94,9,12395,10_easy_full,20002,0
95,83,16186,10_easy_full,20001,0
96,100,20645,10_easy_full,20001,0
97,74,11709,10_easy_full,20000,0
98,91,10988,10_easy_full,20000,0
99,20,20492,10_easy_full,20002,1
100,75,7977,10_easy_full,20001,0
101,100,21764,10_easy_full,20001,0
102,54,14185,10_easy_full,20003,0
103,79,14848,10_easy_full,20001,0
104,23,10260,10_easy_full,20000,0
105,99,38045,10_easy_full,20002,0
106,50,21640,10_easy_full,20002,1
107,55,18561,10_easy_full,20002,0
108,66,12796,10_easy_full,20002,0
109,84,11208,10_easy_full,20002,0
110,42,9451,10_easy_full,20002,0
111,79,14863,10_easy_full,20003,0
112,95,38300,10_easy_full,20001,0
113,55,14526,10_easy_full,20001,0
114,95,38448,10_easy_full,20001,0
115,55,15599,10_easy_full,20001,0
116,57,11349,10_easy_full,20001,0
117,20,20444,10_easy_full,20002,1
118,83,13510,10_easy_full,20001,0
119,59,12136,10_easy_full,20001,0
120,57,16568,10_easy_full,20002,0
121,70,15610,10_easy_full,20000,0
122,32,14811,10_easy_full,20002,0
123,20,20381,10_easy_full,20002,1
124,56,8347,10_easy_full,20003,0
125,49,18575,10_easy_full,20001,0
126,66,12214,10_easy_full,20001,0
127,19,22463,10_easy_full,20002,0
128,86,11971,10_easy_full,20001,0
129,69,12382,10_easy_full,20000,0
130,69,18493,10_easy_full,20001,0
131,65,11125,10_easy_full,20002,0
132,79,13747,10_easy_full,20000,0
133,50,21404,10_easy_full,20000,1
134,88,12253,10_easy_full,20001,0
135,88,11878,10_easy_full,20000,0
136,66,14172,10_easy_full,20002,0
137,3,11584,10_easy_full,20001,0
138,55,17972,10_easy_full,20000,0
139,20,20419,10_easy_full,20006,1
140,60,14387,10_easy_full,20001,0
141,55,17621,10_easy_full,20000,0
142,84,13068,10_easy_full,20002,0
143,50,21395,10_easy_full,20001,1
144,32,14923,10_easy_full,20000,0
145,82,13559,10_easy_full,20003,0
