,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus
0,e6f42bb5,10,pruned,hard,FALSE,FALSE,15120,15867,1,0,1554390000000.0,3A0EX8ZRN9V4151RRS68UZHUY7SYBD,A397QMUM40C4SH,0
1,cbc42ba3,10,full,medium,FALSE,FALSE,204479,24201,17,0,1554390000000.0,3F0BG9B9MQUHZTY1EBUSPXVYFH27Y1,APEHS2JTA3FZJ,0
2,2af42b8d,6,full,easy,TRUE,TRUE,203734,65527,22,4,1554390000000.0,3TXMY6UCAFVE282BEIL9SXKAHJCCQW,A188SHJZPHE8BA,0
3,d1a42fc7,10,full,hard,TRUE,FALSE,162259,9171,29,0,1554400000000.0,30IQTZXKALDEHD87OGNHR4E25X20XO,A1EITLFAMKA61U,0
4,f3b42f94,10,pruned,hard,FALSE,FALSE,365857,32934,49,0,1554400000000.0,3JZQSN0I3RHUSVS72O6Y6P1B89VFGF,A1L82EA5PNL5RO,0
5,90e4327c,10,full,hard,TRUE,FALSE,230716,61884,17,3,1554400000000.0,3Q5C1WP23N85MJ9FET8MDQ6SHQY15I,A2F93SIUUV5HQH,0
6,8af4330d,10,full,hard,TRUE,FALSE,296759,123713,38,4,1554400000000.0,34QN5IT0T0YO2C7ZG8BPB5X9EOT80O,A2KVYRNL2CK95F,0
7,fdb43452,10,full,medium,FALSE,FALSE,69020,25052,12,0,1554400000000.0,3KGTPGBS6YSTWJHQYYG8QL8D8D52UI,A1F34ZP6YNI98F,0
8,2be432b7,10,pruned,hard,TRUE,TRUE,358414,105858,19,9,1554400000000.0,39JEC7537V867GYS0HFJYKJIYBRCVQ,A27186NOW2EVJJ,0
9,cda434a5,10,pruned,easy,FALSE,FALSE,22150,13676,3,0,1554400000000.0,3Z7ISHFUH12L4XDPK2OHH40VWVI8ZM,A2YAYHZYI7M3HD,0
10,4de431b1,6,full,easy,FALSE,FALSE,553131,30971,81,0,1554400000000.0,3TAYZSBPLMFDH6PM9TL8BKQPNGK2S2,A11EL5LWS2L1HX,0
11,d4c433e6,6,full,easy,TRUE,TRUE,166748,61094,8,4,1554400000000.0,339ANSOTR69J48QGTNXY7E6WVI9IKH,A6MWJK1YEY5L2,0
12,d0e4332c,10,full,medium,FALSE,FALSE,577321,28911,102,0,1554400000000.0,384PI804XT86LWM8U6HUSWXAQI00SG,A1JV64BL3WCK0G,0
13,8cc432fc,10,full,medium,FALSE,FALSE,272179,284301,27,0,1554400000000.0,37XITHEISXGEE9HBRXA9XNUFD5ECRX,A2H5UA2MUBT4QX,0
14,92d4349b,10,full,easy,FALSE,FALSE,155386,52010,21,0,1554400000000.0,3WJEQKOXA992SPLW9PZ3L1ME94ZA1X,A3LYQ5490FJYXK,0
15,18a4334a,10,full,hard,TRUE,FALSE,601525,110360,57,5,1554400000000.0,3SNVL38CI5ZSR54G1D1CWB81IDKCK4,A31FD3QCYZ28Q2,0
16,27e436f9,6,pruned,easy,TRUE,TRUE,401900,50522,26,3,1554400000000.0,33TIN5LC05HLDCMUT8SC3TM4A7PY93,ANQ0RLFEZ17W0,0
17,f8c437b8,10,full,easy,FALSE,FALSE,464413,86269,11,0,1554400000000.0,3K3R2QNK8CA4W32PJ7VN08GREJN9UP,A1BQTDDVCHQM5T,0
18,f8a4386a,10,pruned,easy,FALSE,FALSE,96173,27531,13,0,1554400000000.0,3R0T90IZ1TJNPJ8XBMGXYJG8BWECGC,A2C6HMH2FDM2CI,0
