,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus
11,2ecee330,6,full,easy,TRUE,TRUE,219005,40992,24,9,1.56198E+12,3PZDLQMM0USXAP0QC7V8WFM7H5GC20,A1YIB5TROGB6YP,1
12,43fee258,10,pruned,easy,FALSE,FALSE,557664,14732,1,0,1.56198E+12,3B1NLC6UG036J8H1GR23IJFFQ70GP1,A3JXSDD5M84XCH,0
13,66eee342,10,pruned,easy,TRUE,TRUE,544724,30051,134,3,1.56198E+12,3VA45EW49OURUTFXJ84LMW6JEDMO1T,A1EN3FW93BSXQQ,1
14,abeedf8b,10,pruned,hard,TRUE,TRUE,99743,44500,2,5,1.56198E+12,3M23Y66PO3E1Z78NWVXB1X71JD46S5,A3ICFFGBUY4WP9,1
15,66aee800,10,full,easy,FALSE,FALSE,95092,32037,22,0,1.56198E+12,3DIP6YHAPDZNT2MTOFA4WUZDOHOE81,A11WCFPJSR5VZP,0
16,efcee9b9,10,full,easy,TRUE,FALSE,119148,78327,17,34,1.56198E+12,3E13VNJ1NO2HY74ULDRG2ZAX24M1IA,A220QDK5FCC1AO,0
17,71beed42,6,pruned,easy,TRUE,TRUE,195768,12725,17,3,1.56198E+12,3SKRO2GZ72Y842UILGCSFFPAU8B1KL,A1EQ1LHEEIQ3UA,1
18,aabeec31,10,full,hard,TRUE,FALSE,109722,180284,4,0,1.56198E+12,3URFVVM166PJ2UK2N5PMDWIK9EOZU7,ANOMPD7C83M3W,0
19,39eeed89,10,pruned,easy,FALSE,FALSE,247459,62241,36,0,1.56198E+12,3C6FJU71TR0JX4AXRJN3ZP9I3KHYUC,A2X7705RU1QQYB,0
20,f4beefc5,6,full,easy,TRUE,FALSE,161767,79302,12,4,1.56198E+12,3GNCZX450JU59H4YURATMX4CSCSAPO,A1G34TESSXG1R8,0
21,83aeef63,10,pruned,easy,TRUE,TRUE,387734,30178,33,3,1.56198E+12,3RWE2M8QWIH95JU3MA08T2N4JBFN0E,A2YGOORS5N9RW8,1
22,1feef0c1,10,pruned,easy,TRUE,TRUE,134778,27768,21,3,1.56198E+12,32N49TQG3HPIE11UG3JSSPTUE0TVAU,A10O5YR01H865K,1
23,f5def218,6,full,easy,TRUE,TRUE,364700,74601,33,8,1.56198E+12,30BXRYBRP54A3D9DCJYGVDZCY4LHW1,A16OH8XXYY0AAS,1
24,c7eefab1,10,full,easy,FALSE,FALSE,131538,37954,16,0,1.56198E+12,31QNSG6A5S02KN7J17WYQK7W2UL87A,A38KDTIP039DLJ,0
25,b5eefb3b,10,full,easy,FALSE,FALSE,75050,33107,10,0,1.56198E+12,31LM9EDVOMZG7PVP8IAEB720IKLJNH,AZL871S7SZCNS,0
26,abcefbdf,10,pruned,medium,FALSE,FALSE,160235,42454,4,0,1.56198E+12,3LEIZ60CDK6LI2WZPUUVH0V6WTC9ZO,AWY6W20U8H3JA,0
27,fcfefd95,10,full,easy,TRUE,FALSE,124915,75400,8,3,1.56198E+12,31LVTDXBL8H7HDBH4A3806K2N6FLR9,A2CEGS0NVDBCPT,0
28,97af0065,10,full,hard,FALSE,FALSE,55355,17949,3,0,1.56199E+12,3KAKFY4PGV9D8AI98H5ZQSPU0PD3IJ,AZ79FR04OLJX8,0
29,32bf008f,6,pruned,easy,TRUE,TRUE,114646,22843,16,3,1.56199E+12,3IXQG4FA2U5P04TJJGESVIO35R2B9Y,A38LEVBZ3P5F6T,1
30,97aefe1f,10,pruned,medium,TRUE,TRUE,84772,64174,14,8,1.56199E+12,3VJ40NV2QJUS3DR6LROVS2PE6XOTOK,A3141EW4WZT4Q0,1
31,98ef1a30,10,full,medium,FALSE,FALSE,96275,39861,16,0,1.56199E+12,3NJM2BJS4XDT2W1WE56KSSU0SG5CPM,A2OV5NPNDK5O4C,0
32,feef235a,10,full,easy,FALSE,FALSE,493648,33231,93,0,1.56199E+12,3ZSANO2JCGEXI01YXO0FV3KECD2FSE,A3OVGQIGX8BAB4,0
33,a0a14678,10,pruned,hard,FALSE,FALSE,134507,33074,36,0,1.56207E+12,34Z02EIMITK70WZNJ6MK21UX9ZZ0T6,AKV1P0K20UNF0,0
34,fab14685,10,pruned,hard,TRUE,TRUE,114599,45800,8,4,1.56207E+12,39KFRKBFIO2OKZQ0VXBU0JIUM4WYOI,A36NAN5390HHJG,1
35,b5b1466a,6,full,easy,TRUE,FALSE,311922,55204,53,4,1.56207E+12,34MAJL3QP5UJ03JUNS3VWRGCWC2439,A1TSVGK6S1J1F6,0
36,8ec146c8,10,pruned,easy,TRUE,TRUE,167791,57030,16,4,1.56207E+12,3RXCAC0YISWLDGIKUA0SWXLQ2338GS,A115UFR6VA6OM1,1
37,50b147cb,10,full,medium,FALSE,FALSE,104668,71856,4,0,1.56207E+12,3SEPORI8WO6ZNL64H08VDV7R3HXAZN,A20K80GWXI69Z7,0
38,57f14696,10,full,easy,FALSE,FALSE,351858,42496,32,0,1.56207E+12,3X4JMASXCNG74A56JKVZ27OB3SZB0R,ARHBT4K14I7U,0
39,11a14803,10,pruned,hard,TRUE,TRUE,82890,23604,2,4,1.56207E+12,3FPRZHYEPZEIUG297O4I5HGP9WZ3VK,AHEEMGVMGEMEQ,1
40,63a146c7,10,full,medium,FALSE,FALSE,230844,35704,33,0,1.56207E+12,3SUWZRL0MZK0PO35V0D6CG4NJSY6EN,AWDU600NXZ26L,0
41,2ae147be,6,full,easy,TRUE,FALSE,177714,49875,7,4,1.56207E+12,3W8CV64QJ36ZRHW5J8OOHTS219Y9HH,A36K4ELT4YH00L,0
42,f3b14830,10,pruned,easy,TRUE,TRUE,145332,35805,23,3,1.56207E+12,3JRJSWSMQIS1S5GNCYF85DS391WE3P,A1SQG9MJDO7OPM,1
43,98e146a8,10,full,hard,FALSE,FALSE,36736,12581,131,0,1.56207E+12,3NXNZ5RS1B42YSQT6Z2CQG38N6297F,A1EAR8424WFLGO,0
44,f5c147ff,10,full,hard,FALSE,FALSE,133401,77466,4,0,1.56207E+12,3IAEQB9FMFRTRX4BQNFQ4SLF7IQDW2,AG9LWKO86TNHG,0
45,a1c14b65,10,full,easy,FALSE,FALSE,2146,21166,1,0,1.56207E+12,38YMOXR4MV6U6OPWG07CYMBNQW2W6S,A1CLS2KOA3TFYT,0
46,74b149ab,10,full,medium,FALSE,FALSE,70011,73582,5,0,1.56207E+12,30IQTZXKALDEHD87OGNHR4F3MVN0XP,A35K3YVCX1LVPE,0
47,8bb14a06,10,pruned,medium,FALSE,FALSE,182019,65415,6,0,1.56207E+12,3BV8HQ2ZZX8XZBMTFVBKGXEWYD06AS,A2GHME4F11G828,0
48,45b146b0,10,full,hard,FALSE,FALSE,235968,176050,36,0,1.56207E+12,3AQF3RZ559PSV231QBXCUYPNVTD6F5,AK27D3SD6EZX6,0
49,5eb14b17,10,full,medium,TRUE,FALSE,229311,45877,41,3,1.56207E+12,3LPW2N6LKU9LVG0DGHI6OSCQ9LJ5UP,A3UPANZEAN3UJQ,0
50,32e14a26,10,full,hard,FALSE,FALSE,181673,46027,30,0,1.56207E+12,3R3YRB5GRGAI1MCUBD9NW3SC1ZIAUY,A1IEAOCJNSPVRX,0
51,dbb14c32,6,pruned,easy,FALSE,FALSE,79661,16161,8,0,1.56207E+12,3G5W44VEU8P58HKL3ZXVM2UHX3XGKJ,A7204W9E8IR1R,0
