,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
4,4,f3b42f94,10,pruned,hard,FALSE,FALSE,365857,32934,49,0,1.5544E+12,3JZQSN0I3RHUSVS72O6Y6P1B89VFGF,A1L82EA5PNL5RO,0,10_pruned_hard
5,5,90e4327c,10,full,hard,TRUE,FALSE,230716,61884,17,3,1.5544E+12,3Q5C1WP23N85MJ9FET8MDQ6SHQY15I,A2F93SIUUV5HQH,0,10_full_hard
6,6,8af4330d,10,full,hard,TRUE,FALSE,296759,123713,38,4,1.5544E+12,34QN5IT0T0YO2C7ZG8BPB5X9EOT80O,A2KVYRNL2CK95F,0,10_full_hard
7,7,fdb43452,10,full,medium,FALSE,FALSE,69020,25052,12,0,1.5544E+12,3KGTPGBS6YSTWJHQYYG8QL8D8D52UI,A1F34ZP6YNI98F,0,10_full_medium
8,8,2be432b7,10,pruned,hard,TRUE,TRUE,358414,105858,19,9,1.5544E+12,39JEC7537V867GYS0HFJYKJIYBRCVQ,A27186NOW2EVJJ,0,10_pruned_hard
9,9,cda434a5,10,pruned,easy,FALSE,FALSE,22150,13676,3,0,1.5544E+12,3Z7ISHFUH12L4XDPK2OHH40VWVI8ZM,A2YAYHZYI7M3HD,0,10_pruned_easy
10,10,4de431b1,6,full,easy,FALSE,FALSE,553131,30971,81,0,1.5544E+12,3TAYZSBPLMFDH6PM9TL8BKQPNGK2S2,A11EL5LWS2L1HX,0,6_full_easy
11,11,d4c433e6,6,full,easy,TRUE,TRUE,166748,61094,8,4,1.5544E+12,339ANSOTR69J48QGTNXY7E6WVI9IKH,A6MWJK1YEY5L2,0,6_full_easy
12,12,d0e4332c,10,full,medium,FALSE,FALSE,577321,28911,102,0,1.5544E+12,384PI804XT86LWM8U6HUSWXAQI00SG,A1JV64BL3WCK0G,0,10_full_medium
13,13,8cc432fc,10,full,medium,FALSE,FALSE,272179,284301,27,0,1.5544E+12,37XITHEISXGEE9HBRXA9XNUFD5ECRX,A2H5UA2MUBT4QX,0,10_full_medium
14,14,92d4349b,10,full,easy,FALSE,FALSE,155386,52010,21,0,1.5544E+12,3WJEQKOXA992SPLW9PZ3L1ME94ZA1X,A3LYQ5490FJYXK,0,10_full_easy
15,15,18a4334a,10,full,hard,TRUE,FALSE,601525,110360,57,5,1.5544E+12,3SNVL38CI5ZSR54G1D1CWB81IDKCK4,A31FD3QCYZ28Q2,0,10_full_hard
16,16,27e436f9,6,pruned,easy,TRUE,TRUE,401900,50522,26,3,1.5544E+12,33TIN5LC05HLDCMUT8SC3TM4A7PY93,ANQ0RLFEZ17W0,0,6_pruned_easy
17,17,f8c437b8,10,full,easy,FALSE,FALSE,464413,86269,11,0,1.5544E+12,3K3R2QNK8CA4W32PJ7VN08GREJN9UP,A1BQTDDVCHQM5T,0,10_full_easy
18,18,f8a4386a,10,pruned,easy,FALSE,FALSE,96173,27531,13,0,1.5544E+12,3R0T90IZ1TJNPJ8XBMGXYJG8BWECGC,A2C6HMH2FDM2CI,0,10_pruned_easy
19,19,25b43b96,10,pruned,hard,FALSE,FALSE,184215,41581,13,0,1.5544E+12,33IZTU6J828EIMSJXI611AKL0PKSX2,A1UGFNSA16TKA0,0,10_pruned_hard
20,20,e2a43b2c,10,pruned,hard,TRUE,FALSE,225244,29284,10,5,1.5544E+12,3P59JYT76MREW621YTQYLPMBPZY2TR,AYXKSQMCPXEZF,0,10_pruned_hard
21,21,a5d43d8e,10,full,hard,TRUE,FALSE,135865,8137,11,0,1.5544E+12,3CCZ6YKWR8QNBOCAI6NFSWOBF2M59V,A125AOX978LDG7,0,10_full_hard
22,22,74d43e43,10,pruned,hard,TRUE,TRUE,117330,57516,20,4,1.5544E+12,3HFNH7HEMILRJKIGG4HSIO5PFBJQGZ,A1WJ3EZ6LXN7B1,0,10_pruned_hard
23,23,b0f44295,10,pruned,easy,FALSE,FALSE,65987,67213,11,0,1.5544E+12,3M1CVSFP61CQ9T5DU4PIM2UMHG9QAQ,A39ROW50DWRRKT,0,10_pruned_easy
24,24,15c4420d,10,full,easy,FALSE,FALSE,116478,31776,15,0,1.5544E+12,3VD82FOHKRVBHWPVZ5T53SPA2IDCO7,ABL81LYVZUKYE,0,10_full_easy
25,25,fbf441ba,10,pruned,hard,TRUE,TRUE,119448,49624,8,4,1.5544E+12,3LYA37P8IRU9H0CAND5HLR2J0SWKBH,AEKJ0Q3OITMRJ,0,10_pruned_hard
26,26,a8b44557,10,full,medium,FALSE,FALSE,223720,18034,78,0,1.5544E+12,32SCWG5HIIB4MFSV4ETH6S2QG116PT,AFSGRTCIUF123,0,10_full_medium
27,27,66b442b7,10,full,easy,TRUE,FALSE,477068,61721,108,8,1.5544E+12,31QNSG6A5S02KN7J17WYQK7WM2G875,A12DY4HHG6MYF0,0,10_full_easy
28,28,24d445c5,10,full,easy,TRUE,TRUE,580389,182813,72,5,1.5544E+12,3JW0YLFXRUNS03427IKGWG9ZX0WWWE,AVWHHELH3TZG6,0,10_full_easy
