userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp
5ab16a65,10,full,easy,FALSE,FALSE,128177,18511,17,3,1.55716E+12
cac3e8d2,10,full,medium,FALSE,FALSE,58472,42131,10,2,1.55733E+12
cac3e8d2,10,full,easy,FALSE,FALSE,139929,4835,16,0,1.55733E+12
55b92100,10,full,easy,FALSE,FALSE,601631,188925,141,52,1.55767E+12
55b92100,10,full,medium,FALSE,FALSE,222662,255883,34,0,1.55767E+12
90e93c52,10,full,easy,FALSE,FALSE,407570,65284,21,6,1.55768E+12
90e93c52,10,full,medium,TRUE,FALSE,563361,85547,18,5,1.55768E+12
4eeb816e,10,full,medium,FALSE,FALSE,164326,23347,22,3,1.55782E+12
4eeb816e,10,full,easy,FALSE,FALSE,40068,10318,1,3,1.55782E+12
83cba0db,10,full,medium,FALSE,FALSE,434301,45972,31,3,1.55783E+12
4ebba17b,10,full,medium,FALSE,TRUE,431711,77654,45,8,1.55783E+12
4ebba17b,10,full,easy,FALSE,TRUE,218496,44594,15,6,1.55783E+12
83cba0db,10,full,easy,FALSE,FALSE,518995,9821,52,0,1.55783E+12
5ead214c,10,full,easy,FALSE,FALSE,260116,2782,44,0,1.55793E+12
5ead214c,10,full,medium,TRUE,FALSE,7784,3292,0,0,1.55793E+12
ceed4240,10,full,easy,TRUE,FALSE,156157,83546,34,23,1.55794E+12
ceed4240,10,full,medium,TRUE,FALSE,148710,27115,33,6,1.55794E+12
1ccd45c0,10,full,medium,TRUE,FALSE,127857,6794,28,3,1.55794E+12
1ccd45c0,10,full,easy,TRUE,FALSE,62748,33614,14,15,1.55794E+12
15b2249e,10,full,medium,FALSE,FALSE,94034,18913,8,0,1.55819E+12
1df22596,6,pruned,easy,TRUE,TRUE,89862,32067,7,3,1.55819E+12
9cf22841,6,pruned,easy,FALSE,FALSE,275932,99550,33,0,1.55819E+12
aca229a6,10,full,easy,FALSE,FALSE,571463,106651,115,0,1.5582E+12
d5b22aaa,10,full,easy,FALSE,FALSE,569102,66395,115,0,1.5582E+12
c5e22eb3,10,full,hard,TRUE,TRUE,60857,54013,15,7,1.5582E+12
ecb22d03,10,full,hard,TRUE,TRUE,288423,48530,56,5,1.5582E+12
8bc22e79,10,full,easy,TRUE,TRUE,370925,17325,70,4,1.5582E+12
2bd232b2,10,full,hard,FALSE,FALSE,57634,34415,11,0,1.5582E+12
9ad23291,6,full,easy,TRUE,TRUE,143775,52206,21,8,1.5582E+12
16a2336c,6,pruned,easy,TRUE,FALSE,63490,6192,9,0,1.5582E+12
fed230fb,10,pruned,easy,FALSE,FALSE,106694,49870,12,0,1.5582E+12
5ee23430,6,pruned,easy,TRUE,TRUE,341929,17409,80,3,1.5582E+12
59f235f8,10,pruned,easy,TRUE,TRUE,112155,28632,7,3,1.5582E+12
bbc23545,6,full,easy,FALSE,FALSE,355643,39594,43,0,1.5582E+12
69f239f6,6,pruned,easy,FALSE,FALSE,207579,187940,28,0,1.5582E+12
39a23ae7,10,full,easy,TRUE,FALSE,603083,172845,67,10,1.5582E+12
f7b241ec,10,pruned,easy,TRUE,TRUE,83469,44699,6,3,1.5582E+12
f7e242af,10,pruned,easy,FALSE,FALSE,45691,20240,35,0,1.5582E+12
7af24207,6,full,easy,TRUE,FALSE,558838,97870,116,16,1.5582E+12
4bb243a6,10,full,hard,TRUE,FALSE,277207,57969,41,6,1.5582E+12
caa248ea,6,full,easy,FALSE,FALSE,27200,13552,4,0,1.5582E+12
fbc2482b,6,full,easy,TRUE,TRUE,140772,49941,13,4,1.5582E+12
dec24cb0,10,full,easy,FALSE,FALSE,573446,71582,69,0,1.5582E+12
bdf2527a,10,full,medium,TRUE,FALSE,214456,44923,23,4,1.55821E+12
b6b25181,10,full,easy,FALSE,FALSE,603183,36702,35,0,1.55821E+12
bac25238,10,full,hard,TRUE,TRUE,316126,102414,35,10,1.55821E+12
12e436f0,10,full,easy,FALSE,FALSE,44840,13825,6,0,1.55931E+12
b1b436f6,6,pruned,easy,FALSE,FALSE,165726,13299,38,0,1.55931E+12
11f436f2,10,pruned,easy,TRUE,TRUE,78745,40874,6,3,1.55931E+12
3ea43816,10,pruned,hard,TRUE,TRUE,71088,20882,10,4,1.55931E+12
51b4380a,10,pruned,hard,TRUE,FALSE,38207,76315,9,8,1.55931E+12
15d436ec,6,pruned,easy,TRUE,FALSE,321201,57877,9,3,1.55931E+12
10d437bd,10,full,hard,FALSE,FALSE,261158,50332,12,0,1.55931E+12
