,userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp,AssignmentId,WorkerId,bonus
35,76a57536,6,full,easy,FALSE,FALSE,202489,32459,9,0,1.56E+12,3VNL7UK1XGQYX0EDMO5558H1FOKTF9,A3M88KA3AW07B3,0
36,dfb576d2,6,full,easy,FALSE,FALSE,126367,32568,21,0,1.56E+12,3CFJTT4SXUXV9TJWAT8P392B6JF7IW,A228YSXU6H27QT,0
37,e0b57941,6,pruned,easy,TRUE,TRUE,191174,42765,12,3,1.56E+12,3Z2R0DQ0JILC7NK48Y13M3NB3A7E2Z,A3MD34XEB4H6JF,1
38,cdc57c79,6,pruned,easy,TRUE,TRUE,479009,103558,86,4,1.56E+12,33FOTY3KENSQL4IUT3VURWD3QSOC1V,A2ZGAH6NOSU2PO,1
39,68d5803f,6,pruned,easy,FALSE,FALSE,101413,46172,6,0,1.56E+12,30JNVC0ORAR5JGDR0AZA3OIRBW4HQN,A2BCNRHZU9V7C4,0
40,60e580ea,6,pruned,easy,FALSE,FALSE,49357,31796,4,0,1.56E+12,378XPAWRUDKDSVHUHWK9D0417RLIAY,A1AZLJ3R5FQ9B7,0
41,bea5941a,6,full,easy,TRUE,TRUE,272209,36281,20,4,1.56E+12,3LOTDFNYA86QPHI7HTAGSSO0JJLWFN,A3K00L9I9L92BJ,1
42,c7d594f8,6,full,easy,TRUE,FALSE,433983,97450,13,5,1.56E+12,39KFRKBFIO2OKZQ0VXBU0JIUMSGOY4,A2GVTP4DBFQTR8,0
43,e3f59d3c,6,full,easy,FALSE,FALSE,506676,43409,54,0,1.56E+12,3SB5N7Y3O4B3VRDHZ6ND3IF8JTL0G3,A1BXEU20OCUGVZ,0
44,9ed6aa41,10,pruned,hard,FALSE,FALSE,65246,75146,6,0,1.56E+12,3PQ8K71NHYRYMDYW58SWW2GIUNCAAQ,A3NS31CYXLXTDA,0
45,b5c6aa47,10,pruned,easy,FALSE,FALSE,69930,41738,8,0,1.56E+12,30BUDKLTXE246K3RQH31KAQNNO95EA,A23BQ23YJE0VYL,0
46,9af4b085,10,pruned,easy,TRUE,TRUE,71607,27370,6,3,1.56E+12,36H9ULYP6314JXI8AUR132USHQJFJO,A20WI3VW3CBOWN,1
47,a0d6aab7,10,pruned,hard,FALSE,FALSE,139218,37349,33,0,1.56E+12,3R8YZBNQ9IP8QR7FN1DYCBTXXXS7Q3,A7KKB6J717F1V,0
48,c7a6ab83,10,pruned,easy,TRUE,TRUE,33678,51731,2,7,1.56E+12,3PXX5PX6LY535N3OBMSSRD0OC5XABL,A2VZIJ7AZ537QP,1
