position,solved,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,board_size,board_type,condition
2_2,solvedCorrect,17e120dd,,logs/6_hard_full_dec19,1,0.001,1.51192E+12,1.51192E+12,1,TRUE,1,6,hard,full
2_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,7.007,1.51192E+12,1.51192E+12,2,FALSE,2,6,hard,full
4_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,3.122,1.51192E+12,1.51192E+12,3,FALSE,3,6,hard,full
0_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,13.319,1.51192E+12,1.51192E+12,4,FALSE,4,6,hard,full
2_3,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,1,0.784,1.51192E+12,1.51192E+12,5,TRUE,1,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,9.036,1.51192E+12,1.51192E+12,6,FALSE,2,6,hard,full
0_2,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,1,8.669,1.51192E+12,1.51192E+12,7,TRUE,1,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,1.248,1.51192E+12,1.51192E+12,8,FALSE,2,6,hard,full
0_2,solvedCorrect,17e120dd,reset,logs/6_hard_full_dec19,1,10.456,1.51192E+12,1.51192E+12,9,TRUE,1,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,7.297,1.51192E+12,1.51192E+12,10,FALSE,2,6,hard,full
2_2,solvedCorrect,17e120dd,reset,logs/6_hard_full_dec19,1,6.965,1.51192E+12,1.51192E+12,11,TRUE,1,6,hard,full
2_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,3.827,1.51192E+12,1.51192E+12,12,FALSE,2,6,hard,full
0_3,solvedCorrect,17e120dd,reset,logs/6_hard_full_dec19,1,0.859,1.51192E+12,1.51192E+12,13,TRUE,1,6,hard,full
3_0,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,3.492,1.51192E+12,1.51192E+12,14,FALSE,2,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,24.251,1.51192E+12,1.51192E+12,15,FALSE,3,6,hard,full
2_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,4.068,1.51192E+12,1.51192E+12,16,FALSE,4,6,hard,full
4_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,2.7,1.51192E+12,1.51192E+12,17,FALSE,5,6,hard,full
3_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,10.944,1.51192E+12,1.51192E+12,18,FALSE,6,6,hard,full
1_5,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,18.215,1.51192E+12,1.51192E+12,19,FALSE,7,6,hard,full
0_3,solvedCorrect,17e120dd,reset,logs/6_hard_full_dec19,1,0.523,1.51192E+12,1.51192E+12,20,TRUE,1,6,hard,full
4_0,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,2.362,1.51192E+12,1.51192E+12,21,FALSE,2,6,hard,full
3_0,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,2,0.543,1.51192E+12,1.51192E+12,22,FALSE,2,6,hard,full
2_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,12.177,1.51192E+12,1.51192E+12,23,FALSE,3,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,8.379,1.51192E+12,1.51192E+12,24,FALSE,4,6,hard,full
0_3,solvedCorrect,17e120dd,reset,logs/6_hard_full_dec19,1,1.326,1.51192E+12,1.51192E+12,25,TRUE,1,6,hard,full
