position,solved,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,board_size,board_type,condition
3_0,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,0.876,1.51192E+12,1.51192E+12,26,FALSE,2,6,hard,full
2_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,2.401,1.51192E+12,1.51192E+12,27,FALSE,3,6,hard,full
2_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,11.339,1.51192E+12,1.51192E+12,28,FALSE,4,6,hard,full
4_3,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,2.268,1.51192E+12,1.51192E+12,29,FALSE,5,6,hard,full
3_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,16.62,1.51192E+12,1.51192E+12,30,FALSE,6,6,hard,full
4_2,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,2,0.369,1.51192E+12,1.51192E+12,31,FALSE,6,6,hard,full
2_4,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,8.185,1.51192E+12,1.51192E+12,32,FALSE,7,6,hard,full
1_4,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,20.854,1.51192E+12,1.51192E+12,33,FALSE,8,6,hard,full
3_4,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,3.661,1.51192E+12,1.51192E+12,34,FALSE,9,6,hard,full
4_3,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,1,2.115,1.51192E+12,1.51192E+12,35,FALSE,5,6,hard,full
1_0,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,14.123,1.51192E+12,1.51192E+12,36,FALSE,6,6,hard,full
0_2,solvedCorrect,17e120dd,undo,logs/6_hard_full_dec19,2,4.932,1.51192E+12,1.51192E+12,37,FALSE,6,6,hard,full
3_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,1.296,1.51192E+12,1.51192E+12,38,FALSE,7,6,hard,full
1_0,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,2,8.183,1.51192E+12,1.51192E+12,39,FALSE,8,6,hard,full
4_2,solvedCorrect,17e120dd,click,logs/6_hard_full_dec19,1,8.424,1.51192E+12,1.51192E+12,40,FALSE,9,6,hard,full
0_3,solvedCorrect,18dac9ef,,logs/6_hard_full_dec19,1,0.001,1.51354E+12,1.51354E+12,1,TRUE,1,6,hard,full
3_0,solvedCorrect,18dac9ef,click,logs/6_hard_full_dec19,2,7.181,1.51354E+12,1.51354E+12,2,FALSE,2,6,hard,full
0_5,solvedCorrect,18dac9ef,click,logs/6_hard_full_dec19,1,15.368,1.51354E+12,1.51354E+12,3,FALSE,3,6,hard,full
2_3,solvedCorrect,18dac9ef,click,logs/6_hard_full_dec19,2,2.135,1.51354E+12,1.51354E+12,4,FALSE,4,6,hard,full
0_2,solvedCorrect,18dac9ef,click,logs/6_hard_full_dec19,1,0.986,1.51354E+12,1.51354E+12,5,FALSE,5,6,hard,full
2_2,wrong,20bfd7bd,,logs/6_hard_full_dec19,1,0.002,1.51191E+12,1.51191E+12,1,TRUE,1,6,hard,full
2_3,wrong,20bfd7bd,click,logs/6_hard_full_dec19,2,4.824,1.51191E+12,1.51191E+12,2,FALSE,2,6,hard,full
3_2,wrong,20bfd7bd,click,logs/6_hard_full_dec19,1,7.734,1.51191E+12,1.51191E+12,3,FALSE,3,6,hard,full
4_3,wrong,20bfd7bd,click,logs/6_hard_full_dec19,2,2.533,1.51191E+12,1.51191E+12,4,FALSE,4,6,hard,full
0_2,wrong,20bfd7bd,click,logs/6_hard_full_dec19,1,1.666,1.51191E+12,1.51191E+12,5,FALSE,5,6,hard,full
3_2,wrong,20bfd7bd,reset,logs/6_hard_full_dec19,1,4.165,1.51191E+12,1.51191E+12,6,TRUE,1,6,hard,full
4_3,wrong,20bfd7bd,click,logs/6_hard_full_dec19,2,5.328,1.51191E+12,1.51191E+12,7,FALSE,2,6,hard,full
2_3,wrong,20bfd7bd,click,logs/6_hard_full_dec19,1,1.43,1.51191E+12,1.51191E+12,8,FALSE,3,6,hard,full
1_4,wrong,20bfd7bd,click,logs/6_hard_full_dec19,2,3.745,1.51191E+12,1.51191E+12,9,FALSE,4,6,hard,full
5_0,wrong,20bfd7bd,click,logs/6_hard_full_dec19,1,1.64,1.51191E+12,1.51191E+12,10,FALSE,5,6,hard,full
4_3,wrong,22dac859,,logs/6_hard_full_dec19,1,0.001,1.51354E+12,1.51354E+12,1,TRUE,1,6,hard,full
5_0,wrong,22dac859,undo,logs/6_hard_full_dec19,1,0.855,1.51354E+12,1.51354E+12,2,TRUE,1,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,9.658,1.51354E+12,1.51354E+12,3,FALSE,2,6,hard,full
3_2,wrong,22dac859,undo,logs/6_hard_full_dec19,1,16.295,1.51354E+12,1.51354E+12,4,TRUE,1,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,9.714,1.51354E+12,1.51354E+12,5,FALSE,2,6,hard,full
1_0,wrong,22dac859,click,logs/6_hard_full_dec19,1,1.876,1.51354E+12,1.51354E+12,6,FALSE,3,6,hard,full
4_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.986,1.51354E+12,1.51354E+12,7,FALSE,4,6,hard,full
2_2,wrong,22dac859,undo,logs/6_hard_full_dec19,1,2.311,1.51354E+12,1.51354E+12,8,TRUE,1,6,hard,full
2_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.327,1.51354E+12,1.51354E+12,9,FALSE,2,6,hard,full
5_2,wrong,22dac859,undo,logs/6_hard_full_dec19,1,3.33,1.51354E+12,1.51354E+12,10,TRUE,1,6,hard,full
3_0,wrong,22dac859,undo,logs/6_hard_full_dec19,1,0.974,1.51354E+12,1.51354E+12,11,TRUE,1,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,5.08,1.51354E+12,1.51354E+12,12,FALSE,2,6,hard,full
2_0,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.022,1.51354E+12,1.51354E+12,13,FALSE,3,6,hard,full
4_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.383,1.51354E+12,1.51354E+12,14,FALSE,4,6,hard,full
2_3,wrong,22dac859,click,logs/6_hard_full_dec19,1,2.739,1.51354E+12,1.51354E+12,15,FALSE,5,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.57,1.51354E+12,1.51354E+12,16,FALSE,6,6,hard,full
3_0,wrong,22dac859,undo,logs/6_hard_full_dec19,1,1.996,1.51354E+12,1.51354E+12,17,TRUE,1,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,13.996,1.51354E+12,1.51354E+12,18,FALSE,2,6,hard,full
4_2,wrong,22dac859,click,logs/6_hard_full_dec19,1,16.559,1.51354E+12,1.51354E+12,19,FALSE,3,6,hard,full
2_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.914,1.51354E+12,1.51354E+12,20,FALSE,4,6,hard,full
5_2,wrong,22dac859,click,logs/6_hard_full_dec19,1,0.996,1.51354E+12,1.51354E+12,21,FALSE,5,6,hard,full
2_4,wrong,22dac859,undo,logs/6_hard_full_dec19,1,7.129,1.51354E+12,1.51354E+12,22,TRUE,1,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.677,1.51354E+12,1.51354E+12,23,FALSE,2,6,hard,full
2_3,wrong,22dac859,click,logs/6_hard_full_dec19,1,1.71,1.51354E+12,1.51354E+12,24,FALSE,3,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,13.477,1.51354E+12,1.51354E+12,25,FALSE,4,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,1,14.782,1.51354E+12,1.51354E+12,26,FALSE,5,6,hard,full
3_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.043,1.51354E+12,1.51354E+12,27,FALSE,6,6,hard,full
2_2,wrong,22dac859,undo,logs/6_hard_full_dec19,1,23.89,1.51354E+12,1.51354E+12,28,TRUE,1,6,hard,full
2_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.876,1.51354E+12,1.51354E+12,29,FALSE,2,6,hard,full
2_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,1.842,1.51354E+12,1.51354E+12,30,FALSE,3,6,hard,full
2_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,1.414,1.51354E+12,1.51354E+12,31,FALSE,4,6,hard,full
4_2,wrong,22dac859,click,logs/6_hard_full_dec19,1,1.907,1.51354E+12,1.51354E+12,32,FALSE,5,6,hard,full
3_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,1.544,1.51354E+12,1.51354E+12,33,FALSE,6,6,hard,full
4_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,6.795,1.51354E+12,1.51354E+12,34,FALSE,7,6,hard,full
4_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,1.327,1.51354E+12,1.51354E+12,35,FALSE,8,6,hard,full
2_2,wrong,22dac859,undo,logs/6_hard_full_dec19,1,5.976,1.51354E+12,1.51354E+12,36,TRUE,1,6,hard,full
2_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,25.556,1.51354E+12,1.51354E+12,37,FALSE,2,6,hard,full
4_3,wrong,22dac859,click,logs/6_hard_full_dec19,1,2.83,1.51354E+12,1.51354E+12,38,FALSE,3,6,hard,full
3_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,4.007,1.51354E+12,1.51354E+12,39,FALSE,4,6,hard,full
2_3,wrong,22dac859,undo,logs/6_hard_full_dec19,1,3.309,1.51354E+12,1.51354E+12,40,TRUE,1,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.485,1.51354E+12,1.51354E+12,41,FALSE,2,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.522,1.51354E+12,1.51354E+12,42,FALSE,3,6,hard,full
2_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.128,1.51354E+12,1.51354E+12,43,FALSE,4,6,hard,full
3_0,wrong,22dac859,undo,logs/6_hard_full_dec19,2,0.887,1.51354E+12,1.51354E+12,44,FALSE,4,6,hard,full
2_3,wrong,22dac859,undo,logs/6_hard_full_dec19,1,2.164,1.51354E+12,1.51354E+12,45,TRUE,1,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,2,13.81,1.51354E+12,1.51354E+12,46,FALSE,2,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,1,2.807,1.51354E+12,1.51354E+12,47,FALSE,3,6,hard,full
2_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,1.528,1.51354E+12,1.51354E+12,48,FALSE,4,6,hard,full
2_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,12.027,1.51354E+12,1.51354E+12,49,FALSE,5,6,hard,full
2_3,wrong,22dac859,undo,logs/6_hard_full_dec19,1,2.654,1.51354E+12,1.51354E+12,50,TRUE,1,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,11.467,1.51354E+12,1.51354E+12,51,FALSE,2,6,hard,full
4_5,wrong,22dac859,click,logs/6_hard_full_dec19,1,7.945,1.51354E+12,1.51354E+12,52,FALSE,3,6,hard,full
3_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,5.998,1.51354E+12,1.51354E+12,53,FALSE,4,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,5.01,1.51354E+12,1.51354E+12,54,FALSE,5,6,hard,full
2_2,wrong,22dac859,undo,logs/6_hard_full_dec19,2,8.221,1.51354E+12,1.51354E+12,55,FALSE,2,6,hard,full
4_5,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.473,1.51354E+12,1.51354E+12,56,FALSE,3,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.779,1.51354E+12,1.51354E+12,57,FALSE,4,6,hard,full
2_3,wrong,22dac859,undo,logs/6_hard_full_dec19,1,3.864,1.51354E+12,1.51354E+12,58,TRUE,1,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,4.428,1.51354E+12,1.51354E+12,59,FALSE,2,6,hard,full
3_0,wrong,22dac859,click,logs/6_hard_full_dec19,1,2.956,1.51354E+12,1.51354E+12,60,FALSE,3,6,hard,full
0_3,wrong,22dac859,click,logs/6_hard_full_dec19,2,1.498,1.51354E+12,1.51354E+12,61,FALSE,4,6,hard,full
4_5,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.119,1.51354E+12,1.51354E+12,62,FALSE,5,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.211,1.51354E+12,1.51354E+12,63,FALSE,6,6,hard,full
2_3,wrong,22dac859,undo,logs/6_hard_full_dec19,1,3.449,1.51354E+12,1.51354E+12,64,TRUE,1,6,hard,full
2_2,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.921,1.51354E+12,1.51354E+12,65,FALSE,2,6,hard,full
4_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,5.405,1.51354E+12,1.51354E+12,66,FALSE,3,6,hard,full
3_0,wrong,22dac859,click,logs/6_hard_full_dec19,2,13.65,1.51354E+12,1.51354E+12,67,FALSE,4,6,hard,full
3_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.128,1.51354E+12,1.51354E+12,68,FALSE,5,6,hard,full
4_5,wrong,22dac859,click,logs/6_hard_full_dec19,2,3.691,1.51354E+12,1.51354E+12,69,FALSE,6,6,hard,full
1_4,wrong,22dac859,click,logs/6_hard_full_dec19,1,3.741,1.51354E+12,1.51354E+12,70,FALSE,7,6,hard,full
2_4,wrong,22dac859,click,logs/6_hard_full_dec19,2,2.634,1.51354E+12,1.51354E+12,71,FALSE,8,6,hard,full
0_3,wrong,26dbf6e9,,logs/6_hard_full_dec19,1,0,1.51362E+12,1.51362E+12,1,TRUE,1,6,hard,full
3_0,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,1.509,1.51362E+12,1.51362E+12,2,FALSE,2,6,hard,full
0_2,wrong,26dbf6e9,click,logs/6_hard_full_dec19,1,8.165,1.51362E+12,1.51362E+12,3,FALSE,3,6,hard,full
0_5,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,2.38,1.51362E+12,1.51362E+12,4,FALSE,4,6,hard,full
2_2,wrong,26dbf6e9,click,logs/6_hard_full_dec19,1,7.89,1.51362E+12,1.51362E+12,5,FALSE,5,6,hard,full
3_2,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,3.696,1.51362E+12,1.51362E+12,6,FALSE,6,6,hard,full
2_3,wrong,26dbf6e9,click,logs/6_hard_full_dec19,1,13.497,1.51362E+12,1.51362E+12,7,FALSE,7,6,hard,full
2_4,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,5.409,1.51362E+12,1.51362E+12,8,FALSE,8,6,hard,full
2_0,wrong,26dbf6e9,click,logs/6_hard_full_dec19,1,1.17,1.51362E+12,1.51362E+12,9,FALSE,9,6,hard,full
2_2,wrong,26dbf6e9,reset,logs/6_hard_full_dec19,1,1.459,1.51362E+12,1.51362E+12,10,TRUE,1,6,hard,full
2_3,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,12.426,1.51362E+12,1.51362E+12,11,FALSE,2,6,hard,full
3_0,wrong,26dbf6e9,click,logs/6_hard_full_dec19,1,6.992,1.51362E+12,1.51362E+12,12,FALSE,3,6,hard,full
2_2,wrong,26dbf6e9,reset,logs/6_hard_full_dec19,1,0.7,1.51362E+12,1.51362E+12,13,TRUE,1,6,hard,full
2_3,wrong,26dbf6e9,click,logs/6_hard_full_dec19,2,0.534,1.51362E+12,1.51362E+12,14,FALSE,2,6,hard,full
0_3,validatedCorrect,32ebf2e8,,logs/6_hard_full_dec19,1,0,1.51362E+12,1.51362E+12,1,TRUE,1,6,hard,full
3_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,2.252,1.51362E+12,1.51362E+12,2,FALSE,2,6,hard,full
2_2,validatedCorrect,32ebf2e8,reset,logs/6_hard_full_dec19,1,8.154,1.51362E+12,1.51362E+12,3,TRUE,1,6,hard,full
0_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,6.738,1.51362E+12,1.51362E+12,4,FALSE,2,6,hard,full
0_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,2.149,1.51362E+12,1.51362E+12,5,FALSE,3,6,hard,full
3_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,2.767,1.51362E+12,1.51362E+12,6,FALSE,4,6,hard,full
3_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,2.259,1.51362E+12,1.51362E+12,7,FALSE,5,6,hard,full
4_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,4.276,1.51362E+12,1.51362E+12,8,FALSE,6,6,hard,full
2_4,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,1.573,1.51362E+12,1.51362E+12,9,FALSE,7,6,hard,full
2_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,1.602,1.51362E+12,1.51362E+12,10,FALSE,8,6,hard,full
1_4,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,5.893,1.51362E+12,1.51362E+12,11,FALSE,9,6,hard,full
3_4,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,1.103,1.51362E+12,1.51362E+12,12,FALSE,10,6,hard,full
4_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,1.462,1.51362E+12,1.51362E+12,13,FALSE,11,6,hard,full
1_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,6.052,1.51362E+12,1.51362E+12,14,FALSE,12,6,hard,full
5_0,validatedCorrect,32ebf2e8,reset,logs/6_hard_full_dec19,1,14.858,1.51362E+12,1.51362E+12,15,TRUE,1,6,hard,full
2_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,7.621,1.51362E+12,1.51362E+12,16,FALSE,2,6,hard,full
0_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,5.376,1.51362E+12,1.51362E+12,17,FALSE,3,6,hard,full
3_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,2.791,1.51362E+12,1.51362E+12,18,FALSE,4,6,hard,full
4_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,2.696,1.51362E+12,1.51362E+12,19,FALSE,5,6,hard,full
1_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,6.816,1.51362E+12,1.51362E+12,20,FALSE,6,6,hard,full
2_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,0.642,1.51362E+12,1.51362E+12,21,FALSE,7,6,hard,full
4_4,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,10.302,1.51362E+12,1.51362E+12,22,FALSE,8,6,hard,full
0_3,validatedCorrect,32ebf2e8,reset,logs/6_hard_full_dec19,1,4.376,1.51362E+12,1.51362E+12,23,TRUE,1,6,hard,full
3_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,2.344,1.51362E+12,1.51362E+12,24,FALSE,2,6,hard,full
0_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,7.112,1.51362E+12,1.51362E+12,25,FALSE,3,6,hard,full
0_5,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,1.172,1.51362E+12,1.51362E+12,26,FALSE,4,6,hard,full
2_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,1.602,1.51362E+12,1.51362E+12,27,FALSE,5,6,hard,full
3_2,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,3.127,1.51362E+12,1.51362E+12,28,FALSE,6,6,hard,full
2_3,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,7.503,1.51362E+12,1.51362E+12,29,FALSE,7,6,hard,full
2_0,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,2,1.86,1.51362E+12,1.51362E+12,30,FALSE,8,6,hard,full
2_4,validatedCorrect,32ebf2e8,click,logs/6_hard_full_dec19,1,3.635,1.51362E+12,1.51362E+12,31,FALSE,9,6,hard,full
3_0,validatedCorrect,38ebbf94,,logs/6_hard_full_dec19,1,0.001,1.5136E+12,1.5136E+12,1,TRUE,1,6,hard,full
0_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,4.331,1.5136E+12,1.5136E+12,2,FALSE,2,6,hard,full
0_3,validatedCorrect,38ebbf94,reset,logs/6_hard_full_dec19,1,1.102,1.5136E+12,1.5136E+12,3,TRUE,1,6,hard,full
3_0,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,2.65,1.5136E+12,1.5136E+12,4,FALSE,2,6,hard,full
0_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,3.34,1.5136E+12,1.5136E+12,5,FALSE,3,6,hard,full
0_5,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,2.608,1.5136E+12,1.5136E+12,6,FALSE,4,6,hard,full
2_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,2.664,1.5136E+12,1.5136E+12,7,FALSE,5,6,hard,full
3_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,4.181,1.5136E+12,1.5136E+12,8,FALSE,6,6,hard,full
4_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,13.324,1.5136E+12,1.5136E+12,9,FALSE,7,6,hard,full
2_0,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,5.076,1.5136E+12,1.5136E+12,10,FALSE,8,6,hard,full
4_0,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,2.08,1.5136E+12,1.5136E+12,11,FALSE,9,6,hard,full
4_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,1.886,1.5136E+12,1.5136E+12,12,FALSE,10,6,hard,full
2_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,2.364,1.5136E+12,1.5136E+12,13,FALSE,11,6,hard,full
2_4,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,4.288,1.5136E+12,1.5136E+12,14,FALSE,12,6,hard,full
0_2,validatedCorrect,38ebbf94,reset,logs/6_hard_full_dec19,1,7.315,1.5136E+12,1.5136E+12,15,TRUE,1,6,hard,full
2_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,2.793,1.5136E+12,1.5136E+12,16,FALSE,2,6,hard,full
0_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,7.862,1.5136E+12,1.5136E+12,17,FALSE,3,6,hard,full
2_2,validatedCorrect,38ebbf94,reset,logs/6_hard_full_dec19,1,1.108,1.5136E+12,1.5136E+12,18,TRUE,1,6,hard,full
0_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,3.579,1.5136E+12,1.5136E+12,19,FALSE,2,6,hard,full
0_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,1.069,1.5136E+12,1.5136E+12,20,FALSE,3,6,hard,full
3_0,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,4.048,1.5136E+12,1.5136E+12,21,FALSE,4,6,hard,full
2_2,validatedCorrect,38ebbf94,reset,logs/6_hard_full_dec19,1,1.351,1.5136E+12,1.5136E+12,22,TRUE,1,6,hard,full
3_2,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,4.598,1.5136E+12,1.5136E+12,23,FALSE,2,6,hard,full
0_3,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,1,7.322,1.5136E+12,1.5136E+12,24,FALSE,3,6,hard,full
3_0,validatedCorrect,38ebbf94,click,logs/6_hard_full_dec19,2,3.224,1.5136E+12,1.5136E+12,25,FALSE,4,6,hard,full
