,board,correct,inverse_computation,move_limit,noise,shutter_size
79,10_easy_pruned,0.424,0.00125038136632,50,0.5,0.5
80,10_easy_pruned,0.45,0.00101846476621,50,0.5,1.0
81,10_hard_full,0.21,0.00185483332468,50,0.5,0.0
82,10_hard_full,0.214,0.000886452523376,50,0.5,0.5
83,10_hard_pruned,0.126,0.00187684869597,50,0.5,0.0
84,10_hard_pruned,0.15,0.000868361592714,50,0.5,0.5
85,10_medium_full,0.094,0.00166286978067,50,0.5,0.0
86,10_medium_full,0.112,0.000756518923564,50,0.5,0.5
87,10_medium_full,0.114,0.000629385241671,50,0.5,1.0
88,10_medium_pruned,0.294,0.00252337910743,50,0.5,0.0
89,10_medium_pruned,0.344,0.00117839483769,50,0.5,0.5
90,10_medium_pruned,0.342,0.000967320059123,50,0.5,1.0
91,10_medium_pruned,0.34,0.000691151873713,50,0.5,2.0
92,6_easy_full,0.556,0.00916674305619,50,0.5,0.0
93,6_easy_full,0.722,0.00556464447486,50,0.5,0.5
94,6_easy_pruned,0.842,0.0144982167193,50,0.5,0.0
95,6_easy_pruned,0.868,0.0090264112794,50,0.5,0.5
96,6_easy_pruned,0.896,0.00800691797713,50,0.5,1.0
97,6_easy_pruned,0.888,0.00620424370269,50,0.5,2.0
98,6_hard_full,0.246,0.00418658784717,50,0.5,0.0
99,6_hard_pruned,0.192,0.00462697340416,50,0.5,0.0
100,6_hard_pruned,0.2,0.00247356990556,50,0.5,0.5
101,10_easy_full,0.206,0.00191163651379,50,1.0,0.0
102,10_easy_full,0.224,0.000883449978179,50,1.0,0.5
103,10_easy_full,0.25,0.000731223995847,50,1.0,1.0
104,10_easy_pruned,0.414,0.00272839384911,50,1.0,0.0
105,10_easy_pruned,0.416,0.00127411907407,50,1.0,0.5
106,10_easy_pruned,0.446,0.00105659548031,50,1.0,1.0
107,10_hard_full,0.194,0.0018713345235,50,1.0,0.0
108,10_hard_full,0.204,0.000886704050109,50,1.0,0.5
109,10_hard_full,0.204,0.000490036096059,50,1.0,2.0
110,10_hard_pruned,0.134,0.00187634158423,50,1.0,0.0
111,10_medium_full,0.076,0.00166541205625,50,1.0,0.0
112,10_medium_full,0.084,0.000763345959075,50,1.0,0.5
113,10_medium_full,0.096,0.000441069965164,50,1.0,2.0
114,10_medium_pruned,0.268,0.0025348285442,50,1.0,0.0
115,10_medium_pruned,0.296,0.00118501384096,50,1.0,0.5
116,10_medium_pruned,0.32,0.000991813570787,50,1.0,1.0
117,6_easy_full,0.456,0.00888430853427,50,1.0,0.0
118,6_easy_full,0.574,0.00557357678717,50,1.0,0.5
119,6_easy_full,0.568,0.00485842548147,50,1.0,1.0
120,6_easy_full,0.58,0.0034961123231,50,1.0,2.0
121,6_easy_pruned,0.772,0.0138707798152,50,1.0,0.0
122,6_easy_pruned,0.808,0.00878811846384,50,1.0,0.5
123,6_easy_pruned,0.83,0.00752841978469,50,1.0,1.0
124,6_easy_pruned,0.832,0.00598651836065,50,1.0,2.0
125,6_hard_full,0.236,0.00424401381851,50,1.0,0.0
126,6_hard_pruned,0.194,0.00461846833116,50,1.0,0.0
127,10_easy_full,0.168,0.00192091220279,50,1.5,0.0
128,10_easy_full,0.188,0.000892167306351,50,1.5,0.5
129,10_easy_full,0.216,0.000731608103877,50,1.5,1.0
130,10_easy_pruned,0.362,0.00277975449208,50,1.5,0.0
131,10_easy_pruned,0.414,0.00128804896647,50,1.5,0.5
132,10_hard_full,0.168,0.0018800597107,50,1.5,0.0
133,10_hard_pruned,0.082,0.00185376741151,50,1.5,0.0
134,10_hard_pruned,0.122,0.00089240615903,50,1.5,0.5
135,10_medium_full,0.082,0.00167219046918,50,1.5,0.0
136,10_medium_full,0.102,0.000446368391404,50,1.5,2.0
137,10_medium_pruned,0.238,0.00254407611876,50,1.5,0.0
138,10_medium_pruned,0.274,0.0011786892975,50,1.5,0.5
139,10_medium_pruned,0.326,0.000971051026789,50,1.5,1.0
140,6_easy_full,0.43,0.00895447544683,50,1.5,0.0
141,6_easy_full,0.496,0.00556923111195,50,1.5,0.5
142,6_easy_full,0.498,0.00478835472132,50,1.5,1.0
143,6_easy_pruned,0.708,0.013688129654,50,1.5,0.0
144,6_easy_pruned,0.794,0.00855651578677,50,1.5,0.5
145,6_easy_pruned,0.786,0.00594162943246,50,1.5,2.0
146,6_hard_full,0.202,0.00428680435882,50,1.5,0.0
147,6_hard_pruned,0.154,0.00462060234172,50,1.5,0.0
148,6_hard_pruned,0.164,0.00252308623909,50,1.5,0.5
149,6_hard_pruned,0.166,0.00149512141881,50,1.5,2.0
