,board,correct,inverse_computation,move_limit,noise,shutter_size
0,10_easy_full,0.286,0.00292307062723,30,0.5,0.0
1,10_easy_full,0.286,0.00114526547254,30,0.5,1.0
2,10_easy_pruned,0.446,0.0031885924915,30,0.5,0.0
3,10_easy_pruned,0.468,0.00126682662464,30,0.5,1.0
4,10_easy_pruned,0.518,0.000986031872494,30,0.5,2.0
5,10_hard_full,0.256,0.00281037816449,30,0.5,0.0
6,10_hard_pruned,0.128,0.00278051194786,30,0.5,0.0
7,10_hard_pruned,0.128,0.00137794190597,30,0.5,0.5
8,10_hard_pruned,0.134,0.0011179129906,30,0.5,1.0
9,10_hard_pruned,0.136,0.000765851596341,30,0.5,2.0
10,10_medium_full,0.106,0.00251473635504,30,0.5,0.0
11,10_medium_full,0.13,0.00120265739177,30,0.5,0.5
12,10_medium_pruned,0.296,0.00273684671469,30,0.5,0.0
13,10_medium_pruned,0.314,0.00130072840791,30,0.5,0.5
14,10_medium_pruned,0.35,0.00111168177442,30,0.5,1.0
15,10_medium_pruned,0.37,0.000806676701725,30,0.5,2.0
16,6_easy_full,0.608,0.0135022008587,30,0.5,0.0
17,6_easy_full,0.7,0.00853854298303,30,0.5,0.5
18,6_easy_full,0.716,0.00740773664015,30,0.5,1.0
19,6_easy_pruned,0.83,0.0154144957918,30,0.5,0.0
20,6_easy_pruned,0.85,0.00988963171012,30,0.5,0.5
21,6_easy_pruned,0.88,0.00852558528143,30,0.5,1.0
22,6_hard_full,0.202,0.00615687723187,30,0.5,0.0
23,6_hard_pruned,0.17,0.00673890775783,30,0.5,0.0
24,6_hard_pruned,0.194,0.00370140060999,30,0.5,0.5
25,10_easy_full,0.204,0.00292483182217,30,1.0,0.0
26,10_easy_full,0.244,0.00139735062322,30,1.0,0.5
27,10_easy_full,0.262,0.0011564276562,30,1.0,1.0
28,10_easy_pruned,0.396,0.00322204393579,30,1.0,0.0
29,10_easy_pruned,0.446,0.00151990005137,30,1.0,0.5
30,10_hard_full,0.198,0.00280974644848,30,1.0,0.0
31,10_hard_pruned,0.084,0.00278826475131,30,1.0,0.0
32,10_hard_pruned,0.096,0.00139279257697,30,1.0,0.5
33,10_hard_pruned,0.112,0.00112100585613,30,1.0,1.0
34,10_hard_pruned,0.132,0.000765826962929,30,1.0,2.0
35,10_medium_full,0.086,0.00253987605405,30,1.0,0.0
36,10_medium_full,0.102,0.00101620232995,30,1.0,1.0
37,10_medium_pruned,0.312,0.00278932247357,30,1.0,0.0
38,10_medium_pruned,0.306,0.00133167140742,30,1.0,0.5
39,10_medium_pruned,0.342,0.000820919659877,30,1.0,2.0
40,6_easy_full,0.566,0.0132068992842,30,1.0,0.0
41,6_easy_full,0.612,0.00832431532506,30,1.0,0.5
42,6_easy_full,0.646,0.00730759112566,30,1.0,1.0
43,6_easy_pruned,0.784,0.01494321578,30,1.0,0.0
44,6_easy_pruned,0.806,0.00933305956359,30,1.0,0.5
45,6_easy_pruned,0.818,0.00807845798394,30,1.0,1.0
46,6_easy_pruned,0.82,0.00639631572214,30,1.0,2.0
47,6_hard_full,0.162,0.00623978235639,30,1.0,0.0
48,6_hard_pruned,0.144,0.00679034141837,30,1.0,0.0
49,6_hard_pruned,0.146,0.00378704678518,30,1.0,0.5
50,6_hard_pruned,0.154,0.00312609413295,30,1.0,1.0
51,6_hard_pruned,0.164,0.00225166397968,30,1.0,2.0
52,10_easy_full,0.208,0.00295377344558,30,1.5,0.0
53,10_easy_full,0.23,0.0011610626045,30,1.5,1.0
54,10_easy_full,0.254,0.000882528408589,30,1.5,2.0
55,10_easy_pruned,0.362,0.00321953355398,30,1.5,0.0
56,10_easy_pruned,0.42,0.0015630128636,30,1.5,0.5
57,10_easy_pruned,0.412,0.00130290782969,30,1.5,1.0
58,10_hard_full,0.174,0.00285719183757,30,1.5,0.0
59,10_hard_pruned,0.104,0.00282859825985,30,1.5,0.0
60,10_hard_pruned,0.114,0.00140494822766,30,1.5,0.5
61,10_medium_full,0.094,0.00255361310719,30,1.5,0.0
62,10_medium_full,0.096,0.00123785662649,30,1.5,0.5
63,10_medium_pruned,0.264,0.00281083633624,30,1.5,0.0
64,10_medium_pruned,0.274,0.00135704728224,30,1.5,0.5
65,10_medium_pruned,0.276,0.00113251309185,30,1.5,1.0
66,10_medium_pruned,0.282,0.00083184018021,30,1.5,2.0
67,6_easy_full,0.508,0.0131078778346,30,1.5,0.0
68,6_easy_full,0.56,0.00817180400745,30,1.5,0.5
69,6_easy_pruned,0.71,0.0147362216328,30,1.5,0.0
70,6_easy_pruned,0.772,0.00933689380217,30,1.5,0.5
71,6_easy_pruned,0.778,0.00818866688503,30,1.5,1.0
72,6_easy_pruned,0.788,0.00636407606344,30,1.5,2.0
73,6_hard_full,0.132,0.00627596681269,30,1.5,0.0
74,6_hard_pruned,0.172,0.00681616795038,30,1.5,0.0
75,10_easy_full,0.228,0.00190678127693,50,0.5,0.0
76,10_easy_full,0.26,0.000874365866156,50,0.5,0.5
77,10_easy_full,0.26,0.000544693756829,50,0.5,2.0
78,10_easy_pruned,0.406,0.00272960033192,50,0.5,0.0
