userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time
3ab7160d,10,pruned,easy,TRUE,TRUE,497554,23136,65,3,1.51E+12
3ac5170c,10,full,easy,TRUE,TRUE,204207,48035,25,4,1.51E+12
3acff9fa,6,full,easy,FALSE,FALSE,152156,15902,7,0,1.51E+12
3bac0799,6,full,easy,TRUE,TRUE,108892,25791,11,4,1.51E+12
3df11bae,6,full,hard,TRUE,FALSE,414337,58520,27,5,1.51E+12
3dfad0f2,10,full,easy,FALSE,FALSE,149300,57937,12,0,1.51E+12
3ebbc051,10,pruned,easy,FALSE,FALSE,34154,19177,5,0,1.51E+12
3ed1161d,10,pruned,medium,FALSE,FALSE,60144,31254,23,0,1.51E+12
3fcbc0ab,6,full,easy,TRUE,TRUE,308120,55393,53,9,1.51E+12
40a74de0,6,full,easy,TRUE,TRUE,544598,29011,33,4,1.51E+12
40f6b779,10,full,medium,FALSE,FALSE,65923,33644,4,4,1.51E+12
41bad9a2,10,pruned,hard,TRUE,TRUE,567461,38573,46,4,1.51E+12
42f75809,10,pruned,medium,TRUE,TRUE,92766,17463,10,3,1.51E+12
43c516b5,10,pruned,medium,TRUE,TRUE,92325,15054,16,3,1.51E+12
43cad2c3,10,pruned,medium,FALSE,FALSE,37611,37202,9,0,1.51E+12
43dbc360,10,pruned,easy,TRUE,TRUE,454825,48359,32,3,1.51E+12
44a4fa14,6,full,hard,FALSE,FALSE,110075,35654,25,0,1.51E+12
44b696ef,10,pruned,easy,FALSE,FALSE,81242,27101,2,0,1.51E+12
46c12352,10,pruned,easy,TRUE,TRUE,302017,78927,20,3,1.51E+12
46dad3ed,6,pruned,easy,TRUE,FALSE,85258,51218,5,4,1.51E+12
47dbc824,10,pruned,easy,FALSE,FALSE,544743,67134,28,0,1.51E+12
48c70a00,6,pruned,easy,FALSE,FALSE,591289,59844,35,0,1.51E+12
48ec02bc,10,full,medium,TRUE,FALSE,316234,43387,55,4,1.51E+12
49c72e9b,6,pruned,hard,FALSE,FALSE,84772,91851,8,0,1.51E+12
4bca7fc9,6,pruned,hard,FALSE,FALSE,107322,28901,8,0,1.51E+12
4bfffc8c,10,pruned,hard,FALSE,FALSE,106395,27640,11,0,1.51E+12
4cb73467,10,full,medium,FALSE,FALSE,457751,35233,70,4,1.51E+12
4cffe209,10,full,medium,FALSE,FALSE,157860,73276,49,0,1.51E+12
4dc50d03,6,pruned,easy,FALSE,FALSE,583218,28100,52,0,1.51E+12
4de4f27d,10,full,medium,FALSE,FALSE,369961,92228,48,0,1.51E+12
4dfbc07c,6,pruned,easy,TRUE,TRUE,84338,51151,2,3,1.51E+12
4eb4f441,10,pruned,easy,TRUE,TRUE,200409,52251,10,3,1.51E+12
4ecfea32,10,pruned,easy,FALSE,FALSE,571635,33409,67,0,1.51E+12
4ed755f1,6,full,easy,TRUE,FALSE,106640,59549,9,4,1.51E+12
4fb692a0,10,pruned,easy,FALSE,FALSE,65579,78494,8,0,1.51E+12
4fba815c,10,pruned,medium,FALSE,FALSE,133098,88868,25,0,1.51E+12
4ffbe4e0,10,full,medium,FALSE,FALSE,39590,30180,2,0,1.51E+12
50f6b001,10,pruned,hard,FALSE,FALSE,280469,35978,32,0,1.51E+12
53d72c88,10,full,medium,FALSE,FALSE,105318,50468,3,4,1.51E+12
54d4fd9d,10,full,medium,FALSE,FALSE,596860,74866,97,4,1.51E+12
54f6b927,10,full,medium,FALSE,FALSE,209765,107731,36,0,1.51E+12
55a709fd,6,pruned,easy,FALSE,FALSE,509810,130895,30,0,1.51E+12
55c68fc5,10,full,easy,FALSE,FALSE,570634,49865,86,0,1.51E+12
56e6f5d2,10,full,easy,FALSE,FALSE,605123,63302,33,0,1.51E+12
58d72aaf,10,full,easy,FALSE,FALSE,384940,27663,34,0,1.51E+12
58e72ee8,6,pruned,easy,TRUE,TRUE,152035,48795,35,3,1.51E+12
59d51c4c,6,full,easy,FALSE,FALSE,185365,11317,35,0,1.51E+12
5acfeabc,6,full,easy,TRUE,TRUE,65006,27110,13,4,1.51E+12
5adff9a5,6,pruned,hard,FALSE,FALSE,257748,32249,25,0,1.51E+12
5aebf3c2,10,pruned,easy,FALSE,FALSE,199693,31053,27,0,1.51E+12
5bc4f225,10,pruned,hard,TRUE,TRUE,109507,35368,20,4,1.51E+12
5cd6bb63,10,full,easy,FALSE,FALSE,512198,64476,46,0,1.51E+12
5dbfe29c,6,pruned,hard,FALSE,FALSE,226369,59550,43,0,1.51E+12
5de11557,6,full,easy,TRUE,TRUE,424004,24896,50,4,1.51E+12
5edbbf73,6,full,hard,FALSE,FALSE,219901,22652,23,0,1.51E+12
5efbf191,10,pruned,medium,TRUE,TRUE,120378,36117,17,7,1.51E+12
62b5140d,6,pruned,easy,FALSE,FALSE,80789,63159,2,0,1.51E+12
65afea1f,6,pruned,hard,FALSE,FALSE,97134,82155,8,0,1.51E+12
65f68460,10,full,hard,TRUE,TRUE,84955,26158,15,5,1.51E+12
67abc3ab,6,pruned,easy,TRUE,TRUE,594825,39364,102,3,1.51E+12
67abf219,6,pruned,easy,FALSE,FALSE,372472,48485,40,0,1.51E+12
67eac875,6,full,hard,FALSE,FALSE,253718,44182,55,0,1.51E+12
67f69d24,10,full,easy,FALSE,FALSE,325599,64852,14,0,1.51E+12
69bad0fe,6,full,hard,FALSE,FALSE,597123,73400,94,0,1.51E+12
6aa4f436,6,pruned,easy,TRUE,FALSE,98434,45454,3,3,1.51E+12
6ac7311a,10,full,easy,FALSE,FALSE,562505,84607,77,0,1.51E+12
6bb10472,6,pruned,hard,TRUE,TRUE,80794,19271,11,4,1.51E+12
6bca8117,6,full,easy,FALSE,FALSE,345446,38907,32,0,1.51E+12
6bf51f66,6,full,hard,FALSE,FALSE,90770,65327,14,0,1.51E+12
6cbbcdf7,6,pruned,easy,TRUE,FALSE,167870,14087,36,3,1.51E+12
6cc4f8b6,10,full,easy,FALSE,FALSE,337219,32226,47,0,1.51E+12
6cd50fc7,10,full,easy,TRUE,TRUE,306013,27955,44,4,1.51E+12
6db76212,10,pruned,medium,TRUE,TRUE,106394,30898,16,3,1.51E+12
6dd103e2,6,pruned,hard,FALSE,FALSE,208549,63736,34,0,1.51E+12
6dfbeafe,10,full,easy,FALSE,FALSE,137453,20252,15,0,1.51E+12
6fc70a09,6,pruned,easy,TRUE,TRUE,325747,25884,33,3,1.51E+12
70bffd4d,10,full,easy,FALSE,FALSE,603564,122648,74,0,1.51E+12
70da8cfb,6,full,hard,TRUE,TRUE,219969,91965,41,10,1.51E+12
71ebc315,10,pruned,medium,FALSE,FALSE,72196,49593,16,0,1.51E+12
72caeffe,10,full,easy,FALSE,FALSE,572909,289687,80,0,1.51E+12
72e6961c,10,full,medium,TRUE,TRUE,298968,50301,8,4,1.51E+12
74e11ee8,6,pruned,hard,TRUE,TRUE,99524,68562,2,4,1.51E+12
75bbec9c,10,full,easy,FALSE,FALSE,225805,30777,26,0,1.51E+12
75ffd9e8,10,full,hard,FALSE,FALSE,346631,22973,31,0,1.51E+12
76abf978,10,full,medium,FALSE,FALSE,211541,49036,40,4,1.51E+12
76bfdf0b,10,pruned,easy,FALSE,FALSE,607700,83240,43,0,1.51E+12
76c104da,10,full,easy,FALSE,FALSE,150347,44798,5,0,1.51E+12
76f6a1e9,10,pruned,medium,TRUE,TRUE,276637,49951,55,3,1.51E+12
77ba7edc,10,pruned,hard,FALSE,FALSE,375461,17845,13,0,1.51E+12
7acbc3e2,6,pruned,easy,TRUE,TRUE,160256,18053,21,3,1.51E+12
7cc119e0,6,pruned,easy,TRUE,TRUE,104970,26381,32,3,1.51E+12
7cf6845b,10,full,hard,FALSE,FALSE,464727,93656,37,0,1.51E+12
7db4f1d2,6,pruned,easy,TRUE,TRUE,122934,23840,19,3,1.51E+12
7dd704e0,6,pruned,hard,TRUE,TRUE,409764,23533,101,4,1.51E+12
7dea8d37,10,pruned,hard,FALSE,FALSE,596023,49750,101,0,1.51E+12
7ef11f8d,10,pruned,hard,FALSE,FALSE,349329,60605,35,0,1.51E+12
81a10227,10,full,medium,FALSE,FALSE,206954,128295,30,22,1.51E+12
81a6c621,10,full,medium,FALSE,FALSE,254567,53921,32,3,1.51E+12
81c11c9f,6,pruned,hard,TRUE,TRUE,187597,45160,18,4,1.51E+12
82d50e5b,6,pruned,easy,TRUE,FALSE,18349,4602,0,0,1.51E+12
84dbf4f9,10,full,hard,TRUE,TRUE,241672,43365,24,5,1.51E+12
85e50169,10,full,medium,FALSE,FALSE,309684,36572,24,4,1.51E+12
86f6e2cb,6,full,easy,FALSE,FALSE,520096,27005,150,0,1.51E+12
87b50908,6,full,hard,TRUE,FALSE,150994,126183,35,11,1.51E+12
87cfed83,10,full,hard,TRUE,FALSE,146140,48510,4,5,1.51E+12
89cbc391,10,full,easy,FALSE,FALSE,602267,64249,172,0,1.51E+12
89cbfdf9,10,pruned,easy,TRUE,TRUE,336456,35896,58,3,1.51E+12
89fbc220,10,full,medium,TRUE,NA,81530,28889,11,0,1.51E+12
8aa6d830,10,pruned,hard,TRUE,TRUE,463215,46241,70,4,1.51E+12
8ab71c6b,6,pruned,easy,TRUE,TRUE,176539,56132,13,3,1.51E+12
8bc69c49,10,full,hard,FALSE,FALSE,399725,20320,84,0,1.51E+12
8de6a2af,10,full,easy,TRUE,TRUE,185442,55728,10,4,1.51E+12
8defd34b,10,pruned,easy,FALSE,FALSE,609880,72854,47,0,1.51E+12
8df4f6e8,6,full,easy,TRUE,TRUE,275397,27064,39,5,1.51E+12
8ea50714,10,pruned,hard,FALSE,FALSE,577712,38744,56,0,1.51E+12
8fc76287,6,full,hard,TRUE,TRUE,368131,52215,69,10,1.51E+12
8fcbec83,6,full,hard,FALSE,FALSE,576867,39459,57,0,1.51E+12
91cfd7fb,6,full,hard,TRUE,TRUE,369127,48194,48,5,1.51E+12
92a70054,10,full,easy,FALSE,FALSE,538884,60889,50,0,1.51E+12
92a74a76,6,pruned,hard,FALSE,FALSE,297485,60877,41,0,1.51E+12
92b722f3,6,full,hard,FALSE,FALSE,354139,62893,38,0,1.51E+12
92e6f512,10,full,hard,TRUE,TRUE,91934,52887,12,5,1.51E+12
92f69945,10,pruned,easy,TRUE,TRUE,131344,52794,15,3,1.51E+12
93c70cc1,10,full,medium,TRUE,TRUE,282721,125996,21,9,1.51E+12
93ebead7,10,pruned,medium,TRUE,TRUE,383104,62230,41,3,1.51E+12
94a4f5d4,10,pruned,medium,TRUE,TRUE,77794,31385,11,3,1.51E+12
94abbfb2,6,pruned,easy,TRUE,TRUE,138033,14536,15,3,1.51E+12
94d6ef33,6,full,hard,FALSE,FALSE,584263,36321,55,0,1.51E+12
95e69707,10,pruned,medium,TRUE,TRUE,151557,30694,17,3,1.51E+12
96abd246,10,full,medium,FALSE,FALSE,90786,46529,9,4,1.51E+12
96afd320,6,pruned,easy,TRUE,TRUE,221900,54543,21,3,1.51E+12
98c10b8a,10,pruned,hard,FALSE,FALSE,144900,28243,18,0,1.51E+12
98d105c1,10,full,hard,TRUE,TRUE,198324,48027,16,5,1.51E+12
9adbc2df,6,full,hard,TRUE,FALSE,198633,73040,16,4,1.51E+12
9ae751bc,10,full,easy,TRUE,TRUE,403164,24401,42,4,1.51E+12
9ba1165f,10,pruned,medium,TRUE,FALSE,182018,114610,13,7,1.51E+12
9befd8ad,10,full,hard,FALSE,FALSE,229620,54926,18,0,1.51E+12
9bf4f2c6,6,full,easy,FALSE,FALSE,131965,37215,5,0,1.51E+12
9da51cdd,10,pruned,medium,TRUE,TRUE,274582,67879,53,6,1.51E+12
9db10b00,6,pruned,easy,TRUE,TRUE,238700,61535,9,3,1.51E+12
9dc50a3d,6,full,hard,FALSE,FALSE,492746,63819,75,0,1.51E+12
9dd11e8e,10,pruned,medium,FALSE,FALSE,608956,95526,50,0,1.51E+12
9defd82d,6,full,easy,FALSE,FALSE,583676,21099,58,0,1.51E+12
9ea4fe94,10,full,medium,FALSE,FALSE,95412,48384,14,0,1.51E+12
a0a4f4ea,10,full,medium,FALSE,FALSE,283909,79178,33,0,1.51E+12
a0f4f1bf,6,pruned,hard,TRUE,FALSE,391864,75650,47,5,1.51E+12
a2c12212,10,pruned,easy,FALSE,FALSE,89169,35482,5,0,1.51E+12
a2d68973,10,full,easy,FALSE,FALSE,208312,27827,15,0,1.51E+12
a2ebe618,6,pruned,hard,FALSE,FALSE,151730,108557,9,0,1.51E+12
a2f6ba1d,6,full,hard,TRUE,FALSE,124721,69755,9,4,1.51E+12
a3eacaa9,10,full,hard,FALSE,FALSE,302737,54537,28,0,1.51E+12
a4f74985,10,full,hard,FALSE,FALSE,241693,38118,38,0,1.51E+12
a5e116c5,10,full,medium,FALSE,FALSE,100614,36400,13,0,1.51E+12
a6bff327,6,full,easy,FALSE,FALSE,608019,50202,31,0,1.51E+12
a7b511d6,10,full,medium,FALSE,FALSE,590149,20471,101,0,1.51E+12
a7bfd4fc,10,pruned,easy,FALSE,FALSE,176303,13287,18,0,1.51E+12
a9cbcabb,10,pruned,medium,TRUE,TRUE,51076,21525,12,3,1.51E+12
aafbd6ab,6,pruned,hard,FALSE,FALSE,256463,23860,41,0,1.51E+12
abc728e1,10,full,hard,TRUE,TRUE,190755,46492,15,5,1.51E+12
abd12ee2,10,pruned,medium,TRUE,TRUE,144663,57940,17,3,1.51E+12
abdacc98,10,full,easy,FALSE,FALSE,486842,34558,75,0,1.51E+12
acb11b17,10,pruned,easy,TRUE,TRUE,123160,71260,8,3,1.51E+12
acc6e9d4,10,full,easy,TRUE,TRUE,582681,94527,76,15,1.51E+12
acdac85f,10,pruned,hard,FALSE,FALSE,489487,53505,60,0,1.51E+12
aceaccbc,10,full,hard,FALSE,FALSE,602206,96045,47,0,1.51E+12
add50f98,10,full,hard,FALSE,FALSE,383130,64810,22,0,1.51E+12
adfac866,6,pruned,easy,FALSE,FALSE,219830,163425,6,0,1.51E+12
aedbea55,6,full,easy,TRUE,TRUE,172753,41636,21,5,1.51E+12
aefbe715,10,full,easy,TRUE,FALSE,374805,64219,43,5,1.51E+12
b0c6f3a8,10,pruned,medium,TRUE,FALSE,382774,11025,51,0,1.51E+12
b0d5043d,10,full,medium,FALSE,FALSE,202920,79405,35,0,1.51E+12
b0d518a1,6,full,hard,FALSE,FALSE,555476,50949,68,0,1.51E+12
b0e1157c,6,pruned,hard,FALSE,FALSE,428970,99638,31,0,1.51E+12
b1ebd3b5,10,full,hard,TRUE,FALSE,103655,70968,5,3,1.51E+12
b3dbd892,10,full,medium,FALSE,FALSE,112495,84494,12,8,1.51E+12
b3e4f78d,6,full,easy,FALSE,FALSE,134635,87518,24,0,1.51E+12
b4a4f22a,10,full,easy,FALSE,FALSE,604723,64718,70,0,1.51E+12
b4abeb7e,6,full,easy,TRUE,TRUE,136520,42281,11,4,1.51E+12
b5b6dcbc,10,full,hard,FALSE,FALSE,547488,84539,38,0,1.51E+12
b7a4fe27,6,full,hard,FALSE,FALSE,83817,95046,12,0,1.51E+12
b7dbead6,6,pruned,hard,FALSE,FALSE,49233,95332,17,0,1.51E+12
b7e510d3,6,pruned,easy,TRUE,TRUE,74618,37218,15,3,1.51E+12
b7eae04f,6,full,easy,FALSE,FALSE,480020,62225,39,0,1.51E+12
b8a11f60,6,full,easy,FALSE,FALSE,89413,118075,4,0,1.51E+12
b8a4fbaa,10,full,easy,FALSE,FALSE,306194,39999,35,0,1.51E+12
b8bac8b7,10,pruned,hard,FALSE,FALSE,236667,44666,34,0,1.51E+12
b9bbc96c,10,full,medium,TRUE,FALSE,167012,88739,19,6,1.51E+12
b9bbef4c,10,full,easy,FALSE,FALSE,208725,40017,18,0,1.51E+12
b9e10f8b,10,pruned,easy,TRUE,TRUE,235980,32215,23,3,1.51E+12
b9e512db,6,pruned,hard,FALSE,FALSE,154192,119536,26,0,1.51E+12
bacbc468,10,pruned,hard,TRUE,TRUE,92484,32474,6,4,1.51E+12
bae515f2,6,full,hard,FALSE,FALSE,202651,43331,16,0,1.51E+12
bca124ea,10,full,medium,TRUE,FALSE,131414,62203,13,3,1.51E+12
bcdfd2df,6,full,hard,FALSE,FALSE,527864,48492,61,0,1.51E+12
bcf51783,10,pruned,hard,FALSE,FALSE,98160,17580,10,0,1.51E+12
bdd7483e,10,pruned,medium,TRUE,TRUE,168699,48218,34,3,1.51E+12
bed50a1d,6,full,hard,TRUE,TRUE,189777,36932,28,5,1.51E+12
bfabcc7d,10,full,medium,FALSE,FALSE,160827,48109,12,0,1.51E+12
c0cbeef2,6,pruned,easy,TRUE,TRUE,164719,36319,8,3,1.51E+12
c0dfd341,10,full,easy,TRUE,TRUE,379187,70760,48,4,1.51E+12
c2cbff2e,10,pruned,hard,TRUE,FALSE,103034,75554,5,4,1.51E+12
c3dfd812,10,pruned,easy,TRUE,TRUE,544670,33664,83,3,1.51E+12
c4ebbfbc,10,full,medium,FALSE,FALSE,45245,2205,13,0,1.51E+12
c6aad6d0,10,full,easy,TRUE,TRUE,226289,22488,45,4,1.51E+12
c6c100be,10,full,medium,FALSE,FALSE,428911,106593,77,10,1.51E+12
c7a67aab,6,full,hard,FALSE,FALSE,241154,13952,56,0,1.51E+12
c7c6f18d,10,pruned,easy,TRUE,TRUE,134330,26488,13,3,1.51E+12
c7fffe38,6,pruned,hard,FALSE,FALSE,290809,79185,30,0,1.51E+12
c8a4fa50,6,full,hard,FALSE,FALSE,574899,33278,54,0,1.51E+12
c8afed22,6,pruned,easy,TRUE,FALSE,457405,51816,44,5,1.51E+12
c8c4f85a,10,full,easy,TRUE,TRUE,183210,55877,24,4,1.51E+12
c9c757af,6,pruned,easy,TRUE,TRUE,89457,54213,8,6,1.51E+12
cccfd3ac,10,full,easy,FALSE,FALSE,375458,28715,85,0,1.51E+12
cce7504c,10,pruned,hard,FALSE,FALSE,536924,20668,87,0,1.51E+12
cceac8ca,6,full,hard,FALSE,FALSE,122810,41450,30,0,1.51E+12
cdc50047,10,pruned,easy,TRUE,TRUE,302746,38326,47,6,1.51E+12
cdc514e1,10,pruned,hard,FALSE,FALSE,594371,9898,71,0,1.51E+12
ceafe698,10,pruned,easy,TRUE,TRUE,193157,29646,17,3,1.51E+12
cec10cc8,10,pruned,easy,TRUE,TRUE,139476,44376,8,3,1.51E+12
cefc077d,10,pruned,medium,TRUE,TRUE,146333,27158,21,3,1.51E+12
cfd6ff5a,6,full,easy,FALSE,FALSE,515145,12617,106,0,1.51E+12
cff10c9a,10,full,easy,TRUE,TRUE,403856,39285,39,4,1.51E+12
d0e6841e,10,full,easy,TRUE,TRUE,537262,142307,81,15,1.51E+12
d0f687f1,10,pruned,medium,FALSE,FALSE,603770,157112,41,0,1.51E+12
d1bbc1e6,10,pruned,medium,TRUE,TRUE,76344,24801,14,3,1.51E+12
d1cac84b,10,pruned,hard,FALSE,FALSE,454899,30306,73,0,1.51E+12
d1f5198a,10,pruned,hard,FALSE,FALSE,76640,68471,0,0,1.51E+12
d2ac158a,10,full,hard,TRUE,TRUE,261498,40211,25,5,1.51E+12
d2d73ea5,6,pruned,easy,FALSE,FALSE,244523,16874,22,0,1.51E+12
d3b525de,6,full,easy,FALSE,FALSE,514198,60247,61,0,1.51E+12
d4cbca4e,10,full,easy,FALSE,FALSE,603639,101658,61,0,1.51E+12
d4fac87b,6,pruned,hard,FALSE,FALSE,177806,33204,13,0,1.51E+12
d5aff345,10,pruned,easy,FALSE,FALSE,587698,97641,93,0,1.51E+12
d6b67ee1,6,full,easy,TRUE,TRUE,327699,37394,29,4,1.51E+12
d6c10e9a,10,full,easy,FALSE,FALSE,606531,47392,51,0,1.51E+12
d6d500ab,6,full,easy,FALSE,FALSE,426683,59973,22,0,1.51E+12
d8aacc7a,10,pruned,medium,TRUE,TRUE,73198,16732,6,3,1.51E+12
d9e4f7e5,10,pruned,hard,FALSE,FALSE,108645,36806,7,0,1.51E+12
d9fa7f02,10,pruned,medium,TRUE,FALSE,162753,155067,2,3,1.51E+12
daa11f50,10,pruned,medium,FALSE,FALSE,299246,98174,19,0,1.51E+12
dabbe6bb,6,full,easy,TRUE,TRUE,237455,38208,44,4,1.51E+12
dacfd3d4,10,full,easy,FALSE,FALSE,404456,10510,77,0,1.51E+12
daefd33a,6,pruned,hard,FALSE,FALSE,72349,25351,6,0,1.51E+12
daf74d3f,10,full,easy,TRUE,TRUE,222013,57411,13,5,1.51E+12
dbe71b15,6,full,hard,FALSE,FALSE,109396,35618,15,0,1.51E+12
dcc4f10e,6,full,hard,FALSE,FALSE,115551,50653,22,0,1.51E+12
dcfbe5af,6,pruned,easy,TRUE,TRUE,221527,35868,15,5,1.51E+12
ddb7456a,6,pruned,easy,TRUE,TRUE,119587,20671,13,3,1.51E+12
ded705a5,10,full,medium,FALSE,FALSE,156232,22476,6,0,1.51E+12
dfa705b9,6,pruned,easy,TRUE,TRUE,474382,36477,65,3,1.51E+12
dfcbf407,6,full,hard,FALSE,FALSE,160883,56367,16,0,1.51E+12
dfe6bee3,6,full,hard,TRUE,FALSE,202401,75763,40,9,1.51E+12
e0a10efa,10,full,medium,FALSE,FALSE,131089,49031,11,4,1.51E+12
e0a737b6,6,pruned,hard,FALSE,FALSE,73930,36268,8,0,1.51E+12
e1b100ae,6,pruned,easy,TRUE,TRUE,301615,57858,47,3,1.51E+12
