run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
186,22,81,10_easy_full,51,0
187,59,83,10_easy_full,50,0
188,95,145,10_easy_full,51,0
189,76,98,10_easy_full,51,0
190,86,77,10_easy_full,50,0
191,84,75,10_easy_full,51,0
192,66,84,10_easy_full,52,0
193,56,95,10_easy_full,50,0
194,33,66,10_easy_full,50,0
195,66,78,10_easy_full,50,0
196,55,86,10_easy_full,51,0
197,64,98,10_easy_full,50,0
198,50,75,10_easy_full,50,1
199,69,86,10_easy_full,51,0
0,20,43,10_easy_pruned,50,1
1,74,67,10_easy_pruned,50,0
2,30,76,10_easy_pruned,51,0
3,85,69,10_easy_pruned,50,0
4,20,46,10_easy_pruned,50,1
5,20,48,10_easy_pruned,50,1
6,20,48,10_easy_pruned,50,1
7,55,60,10_easy_pruned,50,0
8,95,94,10_easy_pruned,51,0
9,88,66,10_easy_pruned,50,0
10,60,70,10_easy_pruned,50,0
11,20,50,10_easy_pruned,50,1
12,66,72,10_easy_pruned,51,0
13,20,45,10_easy_pruned,50,1
14,94,73,10_easy_pruned,51,0
15,30,57,10_easy_pruned,50,0
16,66,71,10_easy_pruned,51,0
17,20,46,10_easy_pruned,50,1
18,20,45,10_easy_pruned,50,1
19,93,70,10_easy_pruned,50,0
20,43,71,10_easy_pruned,50,0
21,66,74,10_easy_pruned,51,0
22,66,76,10_easy_pruned,50,0
23,20,46,10_easy_pruned,50,1
24,65,60,10_easy_pruned,50,0
25,84,69,10_easy_pruned,50,0
26,80,75,10_easy_pruned,51,0
27,68,67,10_easy_pruned,51,0
28,65,52,10_easy_pruned,52,0
29,20,49,10_easy_pruned,50,1
30,19,37,10_easy_pruned,50,0
31,21,69,10_easy_pruned,51,0
32,59,68,10_easy_pruned,50,0
33,20,46,10_easy_pruned,50,1
34,63,70,10_easy_pruned,50,0
35,20,47,10_easy_pruned,50,1
36,79,71,10_easy_pruned,51,0
37,20,44,10_easy_pruned,50,1
38,76,66,10_easy_pruned,52,0
39,42,71,10_easy_pruned,50,0
40,59,62,10_easy_pruned,50,0
41,86,67,10_easy_pruned,50,0
42,20,43,10_easy_pruned,50,1
43,43,56,10_easy_pruned,50,0
44,20,43,10_easy_pruned,50,1
45,69,71,10_easy_pruned,51,0
46,74,67,10_easy_pruned,51,0
47,29,61,10_easy_pruned,52,0
48,19,43,10_easy_pruned,50,0
49,20,47,10_easy_pruned,50,1
50,99,88,10_easy_pruned,51,0
51,84,64,10_easy_pruned,50,0
52,73,69,10_easy_pruned,51,0
53,66,68,10_easy_pruned,51,0
54,20,47,10_easy_pruned,50,1
55,20,45,10_easy_pruned,50,1
56,60,70,10_easy_pruned,51,0
57,76,66,10_easy_pruned,51,0
58,54,67,10_easy_pruned,51,0
59,53,69,10_easy_pruned,50,0
60,66,74,10_easy_pruned,51,0
61,20,56,10_easy_pruned,52,1
62,84,75,10_easy_pruned,50,0
63,66,68,10_easy_pruned,52,0
64,54,66,10_easy_pruned,50,0
65,79,73,10_easy_pruned,50,0
66,88,76,10_easy_pruned,51,0
67,20,46,10_easy_pruned,50,1
68,85,72,10_easy_pruned,51,0
69,95,93,10_easy_pruned,51,0
70,66,56,10_easy_pruned,52,0
71,76,71,10_easy_pruned,51,0
72,75,70,10_easy_pruned,51,0
73,56,60,10_easy_pruned,50,0
74,20,46,10_easy_pruned,50,1
75,49,54,10_easy_pruned,50,0
76,89,67,10_easy_pruned,50,0
77,64,73,10_easy_pruned,50,0
78,99,93,10_easy_pruned,51,0
79,56,67,10_easy_pruned,51,0
80,55,68,10_easy_pruned,50,0
81,55,76,10_easy_pruned,51,0
82,55,72,10_easy_pruned,51,0
83,66,71,10_easy_pruned,51,0
84,84,60,10_easy_pruned,50,0
85,20,46,10_easy_pruned,50,1
86,20,48,10_easy_pruned,50,1
87,75,70,10_easy_pruned,51,0
88,99,93,10_easy_pruned,51,0
89,60,69,10_easy_pruned,51,0
90,33,68,10_easy_pruned,51,0
91,53,72,10_easy_pruned,51,0
92,20,43,10_easy_pruned,50,1
93,75,61,10_easy_pruned,51,0
94,56,56,10_easy_pruned,51,0
95,64,70,10_easy_pruned,52,0
96,20,47,10_easy_pruned,50,1
97,56,70,10_easy_pruned,52,0
98,84,67,10_easy_pruned,51,0
99,66,62,10_easy_pruned,50,0
100,20,44,10_easy_pruned,50,1
101,75,67,10_easy_pruned,51,0
102,20,61,10_easy_pruned,52,1
103,75,67,10_easy_pruned,50,0
104,76,72,10_easy_pruned,51,0
105,20,46,10_easy_pruned,50,1
106,19,41,10_easy_pruned,50,0
107,95,95,10_easy_pruned,51,0
108,20,46,10_easy_pruned,50,1
109,20,48,10_easy_pruned,50,1
110,21,72,10_easy_pruned,51,0
111,20,45,10_easy_pruned,50,1
112,20,49,10_easy_pruned,50,1
113,63,73,10_easy_pruned,51,0
114,20,47,10_easy_pruned,50,1
115,67,68,10_easy_pruned,51,0
116,56,73,10_easy_pruned,51,0
117,49,76,10_easy_pruned,51,0
118,59,77,10_easy_pruned,51,0
119,30,72,10_easy_pruned,50,0
120,8,65,10_easy_pruned,50,0
121,20,46,10_easy_pruned,50,1
122,30,57,10_easy_pruned,50,0
123,23,71,10_easy_pruned,51,0
124,56,50,10_easy_pruned,50,0
125,20,46,10_easy_pruned,50,1
126,20,42,10_easy_pruned,50,1
127,58,55,10_easy_pruned,52,0
128,55,69,10_easy_pruned,52,0
129,30,73,10_easy_pruned,51,0
130,19,36,10_easy_pruned,50,0
131,48,74,10_easy_pruned,51,0
132,20,46,10_easy_pruned,50,1
133,20,47,10_easy_pruned,50,1
134,75,76,10_easy_pruned,51,0
135,20,45,10_easy_pruned,50,1
136,29,59,10_easy_pruned,52,0
137,33,67,10_easy_pruned,50,0
138,43,65,10_easy_pruned,51,0
139,65,49,10_easy_pruned,50,0
140,20,48,10_easy_pruned,50,1
141,55,57,10_easy_pruned,52,0
142,66,65,10_easy_pruned,50,0
143,20,53,10_easy_pruned,50,1
144,1,74,10_easy_pruned,50,0
145,88,73,10_easy_pruned,51,0
146,20,43,10_easy_pruned,50,1
147,89,72,10_easy_pruned,52,0
148,76,74,10_easy_pruned,51,0
149,75,60,10_easy_pruned,50,0
150,30,62,10_easy_pruned,50,0
151,20,45,10_easy_pruned,50,1
152,88,67,10_easy_pruned,51,0
153,45,73,10_easy_pruned,51,0
154,68,41,10_easy_pruned,50,0
155,58,74,10_easy_pruned,51,0
156,2,61,10_easy_pruned,50,0
157,84,66,10_easy_pruned,50,0
158,20,45,10_easy_pruned,50,1
