userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991839465,48569,1,0.7100694444444444,12,15.25,12.083333333333334,25,,5_2,48.416,0,,1,1,True,1521991791049
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991862815,71919,2,15.25,4,10000,10000,24,,0_3,23.35,23.35,click,2,2,False,1521991839465
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991868011,77115,1,-10000,1,12.70875425170068,-10000,23,-10000.710069444445,4_3,5.196,5.196,click,3,3,False,1521991862815
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991872189,81293,2,10000,0,10000,10000,22,9984.75,2_3,4.178,4.178,click,4,4,False,1521991868011
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991873675,82779,1,15.61111111111111,2,10000,23.75,21,10015.611111111111,3_4,1.486,1.486,click,5,5,False,1521991872189
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991875240,84344,2,-10000,1,1.25,-10000,20,-20000,2_2,1.565,1.565,click,6,6,False,1521991873675
11d4bf94,6_hard_full,6,hard,full,wrong,click,1521991876575,85679,1,10000,0,10000,10000,19,9984.388888888889,2_5,1.335,1.335,click,7,7,False,1521991875240
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992056017,39126,1,8.430386904761905,2,15.25,12.083333333333334,25,,2_3,39.048,0,,1,1,True,1521992016969
14b4c043,6_hard_full,6,hard,full,wrong,reset,1521992064246,47355,,8.430386904761905,,,,,,,8.229,8.229,click,,1,,1521992056017
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992160462,143571,1,5.457121598639456,4,15.25,12.083333333333334,25,,2_2,96.216,104.445,reset,2,1,True,1521992064246
14b4c043,6_hard_full,6,hard,full,wrong,reset,1521992163268,146377,,5.457121598639456,,,,,,,2.806,2.806,click,,1,,1521992160462
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992175780,158889,1,5.457121598639456,4,15.25,12.083333333333334,25,,2_2,12.512,15.318,reset,3,1,True,1521992163268
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992176585,159694,2,10000,0,10000,21.67,24,,2_3,0.805,0.805,click,4,2,False,1521992175780
14b4c043,6_hard_full,6,hard,full,wrong,reset,1521992178850,161959,,5.457121598639456,,,,,,,2.265,2.265,click,,2,,1521992176585
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992181451,164560,1,7.208754251700681,3,15.25,12.083333333333334,25,,3_2,2.601,4.866,reset,5,1,True,1521992178850
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992189879,172988,2,10000,0,10000,10000,24,,2_2,8.428,8.428,click,6,2,False,1521992181451
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992198783,181892,1,-10000,0,-10000,-10000,23,-10007.2087542517,4_3,8.904,8.904,click,7,3,False,1521992189879
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992201704,184813,2,1.0,10,10000,10000,22,-9999.0,1_0,2.921,2.921,click,8,4,False,1521992198783
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992208649,191758,1,-10000,0,-10000,-10000,21,0,4_2,6.945,6.945,click,9,5,False,1521992201704
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992211725,194834,2,10000,0,10000,10000,20,9999.0,4_4,3.076,3.076,click,10,6,False,1521992208649
14b4c043,6_hard_full,6,hard,full,wrong,click,1521992212750,195859,1,10000,0,10000,10000,19,20000,4_0,1.025,1.025,click,11,7,False,1521992211725
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064829149,43949,1,12.083333333333334,1,15.25,12.083333333333334,25,,3_0,43.932,0,,1,1,True,1522064785217
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1522064842801,57601,,12.083333333333334,,,,,,,13.652,13.652,click,,1,,1522064829149
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064846588,61388,1,8.430386904761905,2,15.25,12.083333333333334,25,,2_3,3.787,17.439,reset,2,1,True,1522064842801
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1522064856442,71242,,8.430386904761905,,,,,,,9.854,9.854,click,,1,,1522064846588
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064857514,72314,1,5.457121598639456,4,15.25,12.083333333333334,25,,2_2,1.072,10.926,reset,3,1,True,1522064856442
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064871588,86388,2,10000,0,10000,21.67,24,,2_3,14.074,14.074,click,4,2,False,1522064857514
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064872289,87089,1,-10000,0,-10000,-10000,23,-10005.45712159864,4_3,0.701,0.701,click,5,3,False,1522064871588
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064874620,89420,2,4.08437641723356,5,10000,21.67,22,-9995.915623582767,3_2,2.331,2.331,click,6,4,False,1522064872289
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1522064880391,95191,,-10000,,,,,-10005.45712159864,,5.771,5.771,click,,4,,1522064874620
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064896553,111353,1,15.25,0,15.25,12.083333333333334,25,,0_3,16.162,21.933,reset,7,1,True,1522064880391
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064901567,116367,2,1.0,0,1.0,-10000,24,,3_0,5.014,5.014,click,8,2,False,1522064896553
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064906496,121296,1,15.25,0,15.25,11.737847222222221,23,0.0,0_2,4.929,4.929,click,9,3,False,1522064901567
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064912537,127337,2,0,0,0,-10000,22,-1.0,0_5,6.041,6.041,click,10,4,False,1522064906496
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064921548,136348,1,21.762745181405897,1,27.556009070294785,21.762745181405897,21,6.512745181405897,2_2,9.011,9.011,click,11,5,False,1522064912537
14c5dc72,6_hard_full,6,hard,full,wrong,click,1522064922437,137237,2,8.157467403628118,0,8.157467403628118,-10000,20,8.157467403628118,3_2,0.889,0.889,click,12,6,False,1522064921548
