,move_limit,noise,k,board,tradeoff
139,30,1.0,5,6_hard_pruned,0
140,30,1.0,10,10_easy_full,0
141,30,1.0,10,10_easy_pruned,0
142,30,1.0,10,10_hard_full,0
143,30,1.0,10,10_hard_pruned,0
144,30,1.0,10,10_medium_full,0
145,30,1.0,10,10_medium_pruned,1
146,30,1.0,10,6_easy_full,1
147,30,1.0,10,6_easy_pruned,1
148,30,1.0,10,6_hard_full,0
149,30,1.0,10,6_hard_pruned,0
150,30,1.25,3,10_easy_full,0
151,30,1.25,3,10_easy_pruned,0
152,30,1.25,3,10_hard_full,0
153,30,1.25,3,10_hard_pruned,1
154,30,1.25,3,10_medium_full,0
155,30,1.25,3,10_medium_pruned,0
156,30,1.25,3,6_easy_full,0
157,30,1.25,3,6_easy_pruned,0
158,30,1.25,3,6_hard_full,0
159,30,1.25,3,6_hard_pruned,0
160,30,1.25,5,10_easy_full,1
161,30,1.25,5,10_easy_pruned,1
162,30,1.25,5,10_hard_full,0
163,30,1.25,5,10_hard_pruned,0
164,30,1.25,5,10_medium_full,0
165,30,1.25,5,10_medium_pruned,1
166,30,1.25,5,6_easy_full,1
167,30,1.25,5,6_easy_pruned,1
168,30,1.25,5,6_hard_full,0
169,30,1.25,5,6_hard_pruned,0
170,30,1.25,10,10_easy_full,0
171,30,1.25,10,10_easy_pruned,1
172,30,1.25,10,10_hard_full,0
173,30,1.25,10,10_hard_pruned,0
174,30,1.25,10,10_medium_full,0
175,30,1.25,10,10_medium_pruned,1
176,30,1.25,10,6_easy_full,1
177,30,1.25,10,6_easy_pruned,1
178,30,1.25,10,6_hard_full,0
179,30,1.25,10,6_hard_pruned,0
180,30,1.5,3,10_easy_full,1
181,30,1.5,3,10_easy_pruned,0
182,30,1.5,3,10_hard_full,1
183,30,1.5,3,10_hard_pruned,0
184,30,1.5,3,10_medium_full,0
185,30,1.5,3,10_medium_pruned,0
186,30,1.5,3,6_easy_full,1
187,30,1.5,3,6_easy_pruned,1
188,30,1.5,3,6_hard_full,0
189,30,1.5,3,6_hard_pruned,0
190,30,1.5,5,10_easy_full,1
191,30,1.5,5,10_easy_pruned,1
192,30,1.5,5,10_hard_full,0
193,30,1.5,5,10_hard_pruned,0
194,30,1.5,5,10_medium_full,0
195,30,1.5,5,10_medium_pruned,0
196,30,1.5,5,6_easy_full,0
197,30,1.5,5,6_easy_pruned,1
198,30,1.5,5,6_hard_full,0
199,30,1.5,5,6_hard_pruned,0
200,30,1.5,10,10_easy_full,0
201,30,1.5,10,10_easy_pruned,1
202,30,1.5,10,10_hard_full,0
203,30,1.5,10,10_hard_pruned,0
204,30,1.5,10,10_medium_full,0
205,30,1.5,10,10_medium_pruned,0
206,30,1.5,10,6_easy_full,1
207,30,1.5,10,6_easy_pruned,1
208,30,1.5,10,6_hard_full,0
209,30,1.5,10,6_hard_pruned,0
210,30,1.75,3,10_easy_full,0
211,30,1.75,3,10_easy_pruned,0
212,30,1.75,3,10_hard_full,1
213,30,1.75,3,10_hard_pruned,0
214,30,1.75,3,10_medium_full,0
215,30,1.75,3,10_medium_pruned,0
216,30,1.75,3,6_easy_full,1
217,30,1.75,3,6_easy_pruned,0
218,30,1.75,3,6_hard_full,0
219,30,1.75,3,6_hard_pruned,0
220,30,1.75,5,10_easy_full,0
221,30,1.75,5,10_easy_pruned,0
222,30,1.75,5,10_hard_full,0
223,30,1.75,5,10_hard_pruned,0
224,30,1.75,5,10_medium_full,1
225,30,1.75,5,10_medium_pruned,1
