,board,correct,fitted_heuristic,o_prob_mean,o_prob_median,o_prob_ratio_mean,o_prob_ratio_median,o_rank_mean,o_rank_median,userid,x_prob_mean,x_prob_median,x_prob_ratio_mean,x_prob_ratio_median,x_rank_mean,x_rank_median
12,10_medium_pruned,1,blocking,0.012987013,0.012987013,1,1,0,0,19b680e2,0.169389026,0.102910901,0.608742596,0.569943265,5.5,1
13,10_hard_pruned,0,blocking,0.0001,0.0001,0,0,1,1,1bd72c42,0.216041695,0.174138384,0.908404931,1,0.333333333,0
14,6_hard_pruned,0,blocking,0.007655018,0.007655018,0.0214,0.0214,7,7,1dac01e7,0.189272697,0.219257721,0.780129954,0.830956622,1.5,1
15,6_easy_pruned,0,density,0.11875,0.11875,0.863636364,0.863636364,0.5,0.5,1de715c7,0.389274584,0.102564103,0.925925926,0.888888889,0.666666667,1
16,10_hard_full,1,blocking,0.014285714,0.014285714,1,1,0,0,1df6940e,0.30686374,0.240119735,1,1,0,0
17,6_easy_pruned,0,density,0.107142857,0.107142857,0.818181818,0.818181818,1,1,1fdbc072,0.363633559,0.064102564,0.703703704,0.555555556,4,6
18,10_hard_full,0,interaction,0.079340703,0.012395355,0.50908227,0.513033333,10.75,5.5,1ff4f828,0.118555714,0.076905861,0.582758806,0.657793038,11.61538462,2
19,6_hard_full,0,non-linear,0.176849381,0.10093954,0.897058824,1,1,0,20bfd7bd,0.295164711,0.079422383,0.928,1,0.8,0
20,10_hard_full,0,blocking,0.093732242,0.033705844,0.533779555,0.606578459,2.916666667,1,21abc061,0.118056823,0.058499594,0.631105733,0.989386561,2.5,0.5
21,6_hard_pruned,0,non-linear,0.070897031,0.075851393,0.697605872,0.681818182,3.2,1,25cfdeaf,0.18857279,0.077948718,0.741324675,0.863636364,1.571428571,2
22,6_easy_full,1,blocking,0.041042423,0.041042423,0.51335,0.51335,3,3,25dfef96,0.324320603,0.225598324,0.834268488,0.970114943,1.076923077,1
23,6_hard_full,1,blocking,0.3394532,0.481402023,1,1,0,0,26dbf6e9,0.28943701,0.214646015,0.815806599,1,1.125,0
24,10_easy_full,0,blocking,0.001361485,0.001085657,0.004608642,0.003611111,41.6,45,26e680e4,0.080825352,0.097489556,0.553873897,0.698162282,11.70588235,3
25,10_hard_pruned,1,blocking,0.054108189,0.014285714,0.418943346,0.130082577,11.33333333,4,28d4fefb,0.162997638,0.079551841,0.567497836,0.440958212,4.4,1
26,10_hard_full,1,blocking,0.014285714,0.014285714,1,1,0,0,28e67c08,0.329017958,0.240119735,1,1,0,0
27,6_easy_full,0,non-linear,0.066062359,0.066062359,0.354938272,0.354938272,6,6,2aabe76a,0.126652913,0.130952381,0.766675685,0.833333333,2.285714286,1.5
28,6_hard_pruned,0,blocking,0.09961641,0.052147117,0.306454787,0.127698122,4.083333333,3,2afbbf79,0.222942978,0.086134561,0.735541762,1,2,0
29,10_medium_pruned,1,interaction,0.012987013,0.012987013,1,1,0,0,2bd72f3e,0.345503876,0.381543161,1,1,0,0
30,6_easy_pruned,0,density,0.051422732,0.05,0.399534091,0.363636364,7.733333333,9,2dca846d,0.210369277,0.102564103,0.799494949,0.888888889,2.181818182,1
31,6_easy_pruned,0,interaction,0.071428571,0.071428571,1,1,0,0,2dfbc35a,0.579244962,0.513515402,0.800722222,1,1.4,0
32,10_hard_full,1,blocking,0.014285714,0.014285714,1,1,0,0,2fb4f99a,0.287758907,0.205203112,0.913065296,1,0.333333333,0
34,6_hard_pruned,0,blocking,0.009880656,0.009880656,0.020654889,0.020654889,8,8,2ff50f64,0.172015969,0.137001909,0.651235999,0.624844171,1.75,1.5
35,6_hard_pruned,0,density,0.054518012,0.065217391,0.613380102,0.714285714,2.571428571,2,30e4feac,0.081541399,0.088607595,0.67139348,0.777777778,2.818181818,1
36,10_easy_full,1,blocking,0.021493741,0.021493741,0.075709819,0.075709819,21.5,21.5,31b4fc9e,0.143016622,0.117087148,0.73752845,0.788741467,3.928571429,1
37,6_hard_full,1,non-linear,0.051373078,0.034988713,0.46403328,0.264705882,4.571428571,3,32ebf2e8,0.136259895,0.069795427,0.667038559,0.773333333,3.461538462,2
38,10_hard_pruned,1,blocking,0.011448571,0.014285714,0.8,1,0.2,0,32fad07f,0.328298961,0.320088958,0.88969132,1,0.785714286,0
39,10_medium_pruned,1,blocking,0.02012197,0.012987013,0.412851721,0.144238039,8.470588235,4,33a74451,0.19134598,0.206297426,0.654295915,1,2.393939394,0
40,6_easy_pruned,0,density,0.13547615,0.083333333,0.564051573,0.545454545,5,3,33b693e2,0.186761841,0.100197677,0.740022676,0.69047619,2.571428571,1.5
41,10_medium_full,0,blocking,0.03870552,0.053165168,0.288028506,0.375435992,12,5,33bbca9a,0.123756442,0.100523916,0.698012503,0.725306128,2.538461538,2
42,6_easy_pruned,1,interaction,0.419572521,0.116914414,0.792,1,1.6,0,33ebe68d,0.541219287,0.513515402,0.838112381,1,0.636363636,0
43,6_easy_full,0,linear,0.067811146,0.083766234,0.479722222,0.6,3.166666667,3.5,34cffc40,0.086767605,0.101010101,0.744047619,0.875,2.785714286,0.5
44,10_medium_full,1,interaction,0.010821936,0.010821936,0.529396639,0.529396639,12,12,34d51755,0.239189235,0.232304278,0.826743981,1,1.5,0
45,10_medium_full,0,blocking,0.074847309,0.066832452,0.852348986,1,1,0,36ebe4da,0.190577034,0.138595156,0.972293807,1,0.2,0
46,6_easy_full,1,blocking,0.071428571,0.071428571,1,1,0,0,38abe966,0.501288517,0.506494401,0.990038314,1,0.333333333,0
47,10_medium_full,0,blocking,0.050370285,0.024840134,0.348129581,0.186712116,9.666666667,7,38cbc1f6,0.081753985,0.069493158,0.497919886,0.328629495,5.72,3
48,6_hard_full,0,non-linear,0.074399143,0.063739377,0.615204587,0.420560748,4.4,6,38ebbf94,0.066588828,0.064304462,0.655319021,0.64,3.666666667,3
49,10_easy_pruned,1,interaction,0.017469824,0.017469824,0.047224348,0.047224348,4,4,39afd1eb,0.264982449,0.195699614,0.748059224,1,0.666666667,0
50,10_easy_full,1,blocking,0.013098324,0.013098324,0.517098708,0.517098708,4.5,4.5,3ac5170c,0.183459168,0.117087148,0.727953535,0.791927604,7.333333333,1
51,6_easy_full,0,density,0.062761233,0.062761233,0.5,0.5,5,5,3acff9fa,0.289984832,0.075949367,0.694444444,0.666666667,3,3
52,6_easy_full,1,blocking,0.071428571,0.071428571,1,1,0,0,3bac0799,0.525406345,0.528618881,0.994022989,1,0.2,0
53,6_hard_full,0,blocking,0.246745314,0.279679878,0.826630978,1,1,0,3df11bae,0.231834204,0.210034309,0.732973164,1,1,0
54,10_medium_pruned,0,density,0.026842421,0.022346369,0.416666667,0.333333333,15.33333333,13,3ed1161d,0.468505235,0.469588888,0.977272727,1,0.25,0
55,6_easy_full,1,interaction,0.233533952,0.099268863,0.503662785,0.358367347,1.764705882,1,3fcbc0ab,0.083581951,0.06901648,0.536221591,0.48,3,3
56,6_easy_full,1,interaction,0.118895092,0.114393549,0.488,0.6,4.2,2,40a74de0,0.25739302,0.143991398,0.674055565,0.826666667,1.352941176,1
57,10_hard_pruned,1,blocking,0.098965776,0.056405806,0.506949595,0.426788433,3.333333333,1,41bad9a2,0.154746512,0.066675598,0.551983264,0.440958212,6.136363636,1
58,10_medium_pruned,1,interaction,0.012987013,0.012987013,1,1,0,0,42f75809,0.345503876,0.381543161,1,1,0,0
59,10_medium_pruned,1,blocking,0.018257561,0.018257561,0.541704356,0.541704356,3.5,3.5,43c516b5,0.189270354,0.170963209,0.698735298,1,1.714285714,0
60,6_hard_full,0,interaction,0.338730031,0.338730031,0.507213719,0.507213719,4,4,44a4fa14,0.288113986,0.15407776,1,1,0,0
61,6_easy_pruned,0,non-linear,0.102161221,0.118110236,0.577887517,0.604938272,3.333333333,3,48c70a00,0.081776326,0.089308996,0.570707071,0.666666667,3.9,2
62,10_medium_full,0,blocking,0.057937063,0.036600353,0.443627354,0.314201045,5.333333333,4.5,48ec02bc,0.090940863,0.048910699,0.408665701,0.240677862,4.884615385,4.5
63,6_hard_pruned,0,interaction,0.053211786,0.053211786,0.604856311,0.604856311,2,2,49c72e9b,0.568798154,0.778483914,0.910546606,1,0.666666667,0
64,6_hard_pruned,0,blocking,0.0282071,0.0282071,0.056805556,0.056805556,3.5,3.5,4bca7fc9,0.281749355,0.270548908,0.957739156,1,0.25,0
65,10_medium_full,0,blocking,0.060483935,0.044484342,0.417985143,0.375435992,10.52631579,5,4cb73467,0.125622752,0.108562555,0.647825217,0.934695434,5.942857143,1
66,10_medium_full,0,blocking,0.081991425,0.058137586,0.506107586,0.314201045,2.923076923,2,4cffe209,0.086257377,0.053010091,0.477179375,0.377177261,3.217391304,3
67,6_easy_pruned,0,non-linear,0.15369961,0.123966942,0.567666581,0.555555556,2.421052632,2,4dc50d03,0.084279573,0.085094996,0.445601852,0.5,2.5,1
68,10_medium_full,0,blocking,0.034557501,0.014108834,0.374949098,0.19051719,10.42857143,6.5,4de4f27d,0.106003206,0.068654368,0.449785721,0.241880459,4.833333333,2
69,10_easy_pruned,1,blocking,0.015873016,0.015873016,1,1,0,0,4eb4f441,0.42955488,0.496681982,1,1,0,0
