,userid,player,missed_win,board,fitted_heuristic,correct
100,48ec02bc,2.0,1.0,10_medium_full,blocking,0
101,49c72e9b,1.0,0.0,6_hard_pruned,interaction,0
102,4bca7fc9,1.0,0.0,6_hard_pruned,blocking,0
103,4bca7fc9,2.0,1.0,6_hard_pruned,blocking,0
104,4cb73467,1.0,0.2,10_medium_full,blocking,0
105,4cb73467,2.0,1.0,10_medium_full,blocking,0
106,4cffe209,1.0,0.5,10_medium_full,blocking,0
107,4cffe209,2.0,1.0,10_medium_full,blocking,0
108,4dc50d03,2.0,1.0,6_easy_pruned,non-linear,0
109,4de4f27d,1.0,0.25,10_medium_full,blocking,0
110,4de4f27d,2.0,1.0,10_medium_full,blocking,0
111,4eb4f441,1.0,0.0,10_easy_pruned,blocking,1
112,4ed755f1,2.0,1.0,6_easy_full,linear,0
113,4fba815c,1.0,0.2,10_medium_pruned,blocking,0
114,54d4fd9d,1.0,0.666666666667,10_medium_full,blocking,0
115,54d4fd9d,2.0,1.0,10_medium_full,blocking,0
116,54f6b927,1.0,0.5,10_medium_full,blocking,0
117,55a709fd,2.0,0.5,6_easy_pruned,density,0
118,56e6f5d2,1.0,0.0,10_easy_full,blocking,0
119,56e6f5d2,2.0,0.5,10_easy_full,blocking,0
120,58e72ee8,1.0,0.0,6_easy_pruned,blocking,1
121,58e72ee8,2.0,1.0,6_easy_pruned,blocking,1
122,59d51c4c,1.0,1.0,6_easy_full,non-linear,0
123,59d51c4c,2.0,0.666666666667,6_easy_full,non-linear,0
124,5acfeabc,1.0,0.0,6_easy_full,blocking,1
125,5adff9a5,1.0,0.333333333333,6_hard_pruned,density,0
126,5adff9a5,2.0,0.5,6_hard_pruned,density,0
127,5aebf3c2,1.0,0.0,10_easy_pruned,non-linear,0
128,5aebf3c2,2.0,0.833333333333,10_easy_pruned,non-linear,0
129,5bc4f225,1.0,0.0,10_hard_pruned,blocking,1
130,5cd6bb63,1.0,0.571428571429,10_easy_full,blocking,0
131,5cd6bb63,2.0,0.583333333333,10_easy_full,blocking,0
132,5dbfe29c,1.0,0.333333333333,6_hard_pruned,interaction,0
133,5dbfe29c,2.0,0.0,6_hard_pruned,interaction,0
134,5de11557,1.0,0.5,6_easy_full,non-linear,1
135,5de11557,2.0,0.7,6_easy_full,non-linear,1
136,5edbbf73,1.0,0.0,6_hard_full,interaction,0
137,5edbbf73,2.0,0.25,6_hard_full,interaction,0
138,5efbf191,1.0,0.0,10_medium_pruned,blocking,1
