win_score,blocking_score,fitted_heuristic,participants,proportion_participants
400,40,density,41,0.110215054
400,40,interaction,20,0.053763441
400,40,interaction_blind,92,0.247311828
400,40,linear,7,0.018817204
400,40,non-linear,41,0.110215054
400,80,blocking,40,0.107526882
400,80,blocking_blind,103,0.27688172
400,80,density,42,0.112903226
400,80,interaction,26,0.069892473
400,80,interaction_blind,113,0.303763441
400,80,linear,7,0.018817204
400,80,non-linear,41,0.110215054
400,160,blocking,29,0.077956989
400,160,blocking_blind,86,0.231182796
400,160,density,43,0.115591398
400,160,interaction,31,0.083333333
400,160,interaction_blind,132,0.35483871
400,160,linear,8,0.021505376
400,160,non-linear,43,0.115591398
800,5,blocking,51,0.137096774
800,5,blocking_blind,146,0.392473118
800,5,density,46,0.123655914
800,5,interaction,11,0.029569892
800,5,interaction_blind,54,0.14516129
800,5,linear,8,0.021505376
800,5,non-linear,56,0.150537634
800,10,blocking,53,0.142473118
800,10,blocking_blind,146,0.392473118
800,10,density,44,0.11827957
800,10,interaction,12,0.032258065
800,10,interaction_blind,60,0.161290323
800,10,linear,8,0.021505376
800,10,non-linear,49,0.13172043
800,20,blocking,51,0.137096774
800,20,blocking_blind,139,0.373655914
800,20,density,44,0.11827957
800,20,interaction,15,0.040322581
800,20,interaction_blind,68,0.182795699
800,20,linear,7,0.018817204
800,20,non-linear,48,0.129032258
800,40,blocking,51,0.137096774
800,40,blocking_blind,122,0.327956989
800,40,density,44,0.11827957
800,40,interaction,18,0.048387097
800,40,interaction_blind,87,0.233870968
800,40,linear,7,0.018817204
800,40,non-linear,43,0.115591398
800,80,blocking,44,0.11827957
800,80,blocking_blind,107,0.287634409
800,80,density,44,0.11827957
800,80,interaction,25,0.067204301
800,80,interaction_blind,100,0.268817204
800,80,linear,7,0.018817204
800,80,non-linear,45,0.120967742
800,160,blocking,31,0.083333333
800,160,blocking_blind,90,0.241935484
800,160,density,45,0.120967742
800,160,interaction,32,0.086021505
800,160,interaction_blind,119,0.319892473
800,160,linear,7,0.018817204
800,160,non-linear,48,0.129032258
1600,5,blocking,54,0.14516129
1600,5,blocking_blind,144,0.387096774
1600,5,density,45,0.120967742
1600,5,interaction,9,0.024193548
1600,5,interaction_blind,52,0.139784946
1600,5,linear,9,0.024193548
1600,5,non-linear,59,0.158602151
1600,10,blocking,51,0.137096774
1600,10,blocking_blind,141,0.379032258
1600,10,density,43,0.115591398
1600,10,interaction,12,0.032258065
1600,10,interaction_blind,58,0.155913978
1600,10,linear,9,0.024193548
1600,10,non-linear,58,0.155913978
1600,20,blocking,49,0.13172043
1600,20,blocking_blind,136,0.365591398
1600,20,density,43,0.115591398
1600,20,interaction,15,0.040322581
1600,20,interaction_blind,65,0.174731183
1600,20,linear,9,0.024193548
1600,20,non-linear,55,0.147849462
1600,40,blocking,47,0.126344086
1600,40,blocking_blind,122,0.327956989
1600,40,density,43,0.115591398
1600,40,interaction,17,0.045698925
1600,40,interaction_blind,82,0.220430108
1600,40,linear,8,0.021505376
1600,40,non-linear,53,0.142473118
1600,80,blocking,41,0.110215054
1600,80,blocking_blind,110,0.295698925
1600,80,density,44,0.11827957
1600,80,interaction,23,0.061827957
1600,80,interaction_blind,95,0.255376344
1600,80,linear,8,0.021505376
1600,80,non-linear,51,0.137096774
1600,160,blocking,36,0.096774194
1600,160,blocking_blind,95,0.255376344
1600,160,density,45,0.120967742
1600,160,interaction,28,0.075268817
1600,160,interaction_blind,108,0.290322581
1600,160,linear,8,0.021505376
1600,160,non-linear,52,0.139784946
3200,5,blocking,50,0.134408602
3200,5,blocking_blind,146,0.392473118
3200,5,density,45,0.120967742
3200,5,interaction,9,0.024193548
3200,5,interaction_blind,49,0.13172043
3200,5,linear,10,0.02688172
3200,5,non-linear,63,0.169354839
3200,10,blocking,49,0.13172043
3200,10,blocking_blind,144,0.387096774
3200,10,density,43,0.115591398
3200,10,interaction,11,0.029569892
3200,10,interaction_blind,55,0.147849462
3200,10,linear,9,0.024193548
3200,10,non-linear,61,0.163978495
3200,20,blocking,47,0.126344086
3200,20,blocking_blind,138,0.370967742
3200,20,density,43,0.115591398
3200,20,interaction,13,0.034946237
3200,20,interaction_blind,60,0.161290323
3200,20,linear,9,0.024193548
3200,20,non-linear,62,0.166666667
3200,40,blocking,45,0.120967742
3200,40,blocking_blind,121,0.325268817
3200,40,density,44,0.11827957
3200,40,interaction,15,0.040322581
3200,40,interaction_blind,79,0.212365591
3200,40,linear,8,0.021505376
3200,40,non-linear,60,0.161290323
3200,80,blocking,41,0.110215054
3200,80,blocking_blind,109,0.293010753
3200,80,density,44,0.11827957
3200,80,interaction,20,0.053763441
3200,80,interaction_blind,90,0.241935484
3200,80,linear,8,0.021505376
3200,80,non-linear,60,0.161290323
3200,160,blocking,36,0.096774194
3200,160,blocking_blind,98,0.26344086
3200,160,density,46,0.123655914
3200,160,interaction,26,0.069892473
3200,160,interaction_blind,100,0.268817204
3200,160,linear,8,0.021505376
3200,160,non-linear,59,0.158602151
6400,5,blocking,48,0.129032258
6400,5,blocking_blind,144,0.387096774
6400,5,density,47,0.126344086
6400,5,interaction,9,0.024193548
6400,5,interaction_blind,45,0.120967742
6400,5,linear,11,0.029569892
6400,5,non-linear,68,0.182795699
6400,10,blocking,46,0.123655914
6400,10,blocking_blind,142,0.38172043
6400,10,density,44,0.11827957
6400,10,interaction,11,0.029569892
6400,10,interaction_blind,53,0.142473118
6400,10,linear,9,0.024193548
6400,10,non-linear,67,0.180107527
6400,20,blocking,44,0.11827957
6400,20,blocking_blind,137,0.36827957
6400,20,density,45,0.120967742
6400,20,interaction,13,0.034946237
6400,20,interaction_blind,59,0.158602151
6400,20,linear,9,0.024193548
6400,20,non-linear,65,0.174731183
6400,40,blocking,42,0.112903226
6400,40,blocking_blind,121,0.325268817
6400,40,density,45,0.120967742
6400,40,interaction,15,0.040322581
6400,40,interaction_blind,75,0.201612903
6400,40,linear,8,0.021505376
6400,40,non-linear,66,0.177419355
6400,80,blocking,40,0.107526882
6400,80,blocking_blind,107,0.287634409
6400,80,density,45,0.120967742
6400,80,interaction,21,0.056451613
6400,80,interaction_blind,86,0.231182796
6400,80,linear,8,0.021505376
6400,80,non-linear,65,0.174731183
6400,160,blocking,34,0.091397849
6400,160,blocking_blind,99,0.266129032
6400,160,density,45,0.120967742
6400,160,interaction,25,0.067204301
6400,160,interaction_blind,98,0.26344086
6400,160,linear,9,0.024193548
6400,160,non-linear,62,0.166666667
12800,5,blocking,45,0.120967742
12800,5,blocking_blind,144,0.387096774
12800,5,density,47,0.126344086
12800,5,interaction,9,0.024193548
12800,5,interaction_blind,45,0.120967742
12800,5,linear,11,0.029569892
12800,5,non-linear,71,0.190860215
12800,10,blocking,42,0.112903226
12800,10,blocking_blind,139,0.373655914
12800,10,density,45,0.120967742
12800,10,interaction,11,0.029569892
