userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,47355,1,8.430386905,,,,,-23.6803869,-15.25,"[[2, 3, 1]]",0.122483716,0.015002261,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,8.229,8.229,click,,1,,1.52199E+12
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,146377,1,5.457121599,,,,,-5.707121599,-0.25,"[[2, 2, 1]]",0.079285732,0.006286227,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.806,2.806,click,,1,,1.52199E+12
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,161959,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.265,2.265,click,,2,,1.52199E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,57601,1,12.08333333,,,,,87.91666667,100,"[[3, 0, 1]]",0.175556652,0.030820138,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,13.652,13.652,click,,1,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,71242,1,8.430386905,,,,,-23.6803869,-15.25,"[[2, 3, 1]]",0.122483716,0.015002261,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.854,9.854,click,,1,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,95191,2,-4.084376417,,,,,19.33437642,15.25,"[[2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]",0.024381243,1.04E-06,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 2, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.771,5.771,click,,4,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,150068,2,-8.157467404,,,,,108.1574674,100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2]]",1,0.01517914,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,12.831,12.831,click,,6,,1.52206E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,64563,2,-100,,,,,100,0,"[[2, 3, 1], [5, 3, 2], [5, 2, 1], [2, 2, 2], [0, 0, 1], [4, 4, 2]]",0.656236635,8.30E-05,1,"[[1, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 2, 0], [0, 2, 1, 2, 2, 0]]",,3.681,3.681,click,,6,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,143324,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.846,3.846,click,,2,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,169230,1,8.430386905,,,,,-23.6803869,-15.25,"[[2, 3, 1]]",0.122483716,0.015002261,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,23.491,23.491,click,,1,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,399893,1,100,,,,,-100,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.806795649,3.89E-06,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,49.572,49.572,click,,9,,1.52199E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,108521,2,-100,,,,,0,-100,"[[0, 2, 1], [2, 2, 2]]",0.321527,1.042914567,3,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.727,6.727,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,132856,2,-100,,,,,0,-100,"[[0, 2, 1], [2, 2, 2]]",0.321527,0.002069532,4,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.582,6.582,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,153242,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,5,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.594,9.594,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,230808,2,,,,,,4.417709751,-0.25,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]",0.002187766,2.75E-07,6,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,11.236,13.037,undo,,6,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,259607,2,-100,,,,,0,-100,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2]]",0.499151378,0.006318092,7,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.557,3.557,click,,4,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,448077,1,100,,,,,0,100,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2], [3, 2, 1], [1, 0, 2], [4, 2, 1]]",0.685883448,212.8372135,8,"[[0, 2, 2, 1, 1, 0], [2, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,48.487,48.487,click,,9,,1.51192E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,reset,1.51191E+12,33692,1,100,,,,,-100,0,"[[2, 2, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2], [0, 2, 1]]",0.400781146,8.02E-05,1,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.87,5.87,click,,5,,1.51191E+12
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,39667,1,-100,,,,,0,-100,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [4, 0, 2], [5, 3, 1], [2, 0, 2], [4, 3, 1]]",0.052631579,1.53E-08,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [2, 1, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0]]",,3.492,3.492,click,,7,,1.52207E+12
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,82844,1,100,,,,,0,100,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.631118185,5.80E-06,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.007,1.007,click,,7,,1.52207E+12
