userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,140319,1,-100,,,,,99.75,-0.25,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [3, 2, 1]]",0.0001,2.17E-11,3,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,44.238,44.238,click,,5,,1.52207E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,95822,1,-8.157467404,,,,,108.1574674,100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1]]",1,0.01517914,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.11,26.946,undo,,5,,1.52199E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,163054,2,-5.611111111,,,,,105.6111111,100,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [2, 0, 1], [3, 2, 2], [4, 2, 1], [5, 3, 2], [4, 0, 1], [4, 3, 2]]",0.011953419,4.39E-13,2,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 2, 1, 0, 0], [1, 1, 2, 2, 0, 0], [1, 1, 1, 2, 0, 0], [0, 2, 0, 2, 2, 0]]",,2.278,2.278,click,,10,,1.52199E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,202086,1,-100,,,,,0,-100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 3, 1], [2, 2, 2], [3, 2, 1]]",0.052631579,7.18E-06,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.92,3.92,click,,7,,1.52199E+12
25a611ff,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,139047,1,15.25,,,,,84.75,100,"[[0, 3, 1]]",0.221564526,0.049090839,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,114.178,114.178,click,,1,,1.52208E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,66769,1,100,,,,,-100,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.806795649,0.000396996,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,7.05,7.05,click,,9,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,91633,1,-100,,,,,99.63888889,-0.361111111,"[[2, 2, 1], [2, 3, 2], [3, 0, 1]]",0.043478261,7.59E-05,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.987,3.987,click,,3,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,94893,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.026,2.026,click,,2,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,143135,,0,,,,,15.25,15.25,[],0.506631073,0.506631073,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,48.242,50.268,reset,,0,,1.51362E+12
31e63b91,6_hard_full,6,hard,full,wrong,reset,1.52209E+12,78057,2,-1,,,,,2.722222222,1.722222222,"[[3, 4, 1], [2, 4, 2], [0, 2, 1], [0, 3, 2], [3, 0, 1], [3, 2, 2], [2, 2, 1], [2, 3, 2], [2, 0, 1], [4, 0, 2], [5, 2, 1], [4, 2, 2], [4, 3, 1], [2, 5, 2]]",0.008097312,3.68E-30,1,"[[0, 2, 1, 2, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 1, 2, 2, 2], [1, 1, 2, 2, 1, 0], [2, 1, 2, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",,4.998,4.998,click,,14,,1.52209E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,37400,2,-1,,,,,16.25,15.25,"[[0, 3, 1], [3, 0, 2]]",1,0.221564526,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.721,4.721,click,,2,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,91328,2,-1.5,,,,,2.832743764,1.332743764,"[[2, 2, 1], [0, 2, 2], [0, 3, 1], [3, 0, 2], [3, 2, 1], [4, 2, 2], [2, 4, 1], [2, 3, 2], [1, 4, 1], [3, 4, 2], [4, 3, 1], [1, 0, 2]]",1,1.04E-11,2,"[[0, 2, 2, 1, 1, 0], [2, 2, 1, 2, 1, 0], [0, 1, 1, 2, 1, 0], [2, 1, 1, 2, 2, 0], [0, 1, 2, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.9,9.9,click,,12,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,148439,2,-16.14,,,,,27.41548753,11.27548753,"[[5, 0, 1], [2, 3, 2], [0, 3, 1], [3, 0, 2], [4, 3, 1], [1, 0, 2], [2, 0, 1], [4, 4, 2]]",0.082441046,8.94E-14,3,"[[0, 2, 0, 1, 1, 0], [2, 2, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 1, 2, 0], [1, 2, 0, 0, 2, 0]]",,6.009,6.009,click,,8,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,233131,1,100,,,,,0,100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.73677487,0.000331077,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,51.961,51.961,click,,9,,1.51362E+12
37f61258,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,11162,1,0.828231293,,,,,-11.82823129,-11,"[[0, 3, 1], [2, 3, 2], [2, 0, 1]]",0.005437296,6.55E-10,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.194,2.194,click,,3,,1.52208E+12
37f61258,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,20456,2,-1,,,,,16.25,15.25,"[[0, 3, 1], [3, 0, 2]]",1,0.221564526,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.936,1.936,click,,2,,1.52208E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,63197,2,-15.25,,,,,27.95875425,12.70875425,"[[3, 0, 1], [0, 3, 2]]",1,0.175556652,1,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.404,4.404,click,,2,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,113838,2,-5.942743764,,,,,16.94274376,11,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [4, 2, 1], [2, 0, 2], [4, 0, 1], [4, 3, 2], [2, 3, 1], [2, 4, 2]]",1,2.79E-07,2,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [1, 1, 1, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.078,5.078,click,,12,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,136195,1,-100,,,,,0,-100,"[[0, 2, 1], [2, 2, 2], [0, 3, 1]]",0.043478261,1.22E-05,3,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.387,4.387,click,,3,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,148682,2,-1,,,,,101,100,"[[2, 2, 1], [0, 2, 2], [0, 3, 1], [3, 0, 2]]",1,3.14E-05,4,"[[0, 2, 2, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.683,2.683,click,,4,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,176051,1,11,,,,,89,100,"[[2, 2, 1], [3, 2, 2], [0, 3, 1], [3, 0, 2], [0, 2, 1]]",0.06684821,3.97E-07,5,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.299,5.299,click,,5,,1.5136E+12
3af4bfbb,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,125668,2,-100,,,,,200,100,"[[3, 2, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2]]",0.341525396,0.000163387,1,"[[2, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0]]",,1.783,1.783,click,,4,,1.52199E+12
3af4bfbb,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,172692,1,100,,,,,0,100,"[[2, 3, 1], [3, 2, 2], [2, 2, 1]]",0.544158926,0.000453433,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,10.552,10.552,click,,3,,1.52199E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,111626,1,-100,,,,,0,-100,"[[2, 3, 1], [2, 2, 2], [4, 4, 1]]",0.043478261,0.000116534,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0]]",,7.532,7.532,click,,3,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,131459,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.487,3.487,click,,2,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,143556,2,-100,,,,,0,-100,"[[2, 3, 1], [2, 2, 2]]",0.503301878,0.031026691,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.583,3.583,click,,2,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,211261,1,100,,,,,0,100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1]]",0.723243707,0.007939927,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,8.764,8.764,click,,7,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,69399,2,-100,,,,,0,-100,"[[2, 2, 1], [2, 3, 2]]",0.506631073,0.020350669,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,18.097,18.097,click,,2,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,87304,2,-100,,,,,0,-100,"[[2, 3, 1], [2, 2, 2]]",0.503301878,0.031026691,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,11.01,11.01,click,,2,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,371221,1,100,,,,,-100,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.806795649,0.000396996,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,172.075,172.075,click,,9,,1.52208E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,236009,1,0.737847222,,,,,-100.7378472,-100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [4, 2, 1], [4, 3, 2], [2, 0, 1], [2, 2, 2], [3, 2, 1]]",0.006515864,2.45E-13,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 2, 0, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.971,2.971,click,,9,,1.51192E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,288340,2,-100,,,,,100,0,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [0, 0, 1], [4, 4, 2]]",0.522805616,0.000767231,2,"[[1, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 2, 0], [0, 2, 0, 0, 2, 0]]",,1.809,1.809,click,,6,,1.51192E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,435210,1,100,,,,,0,100,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.73677487,0.000331077,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,71.838,71.838,click,,9,,1.51192E+12
3ed61f8d,6_hard_full,6,hard,full,solvedCorrect,reset,1.52208E+12,40404,1,15.25,,,,,84.75,100,"[[0, 3, 1]]",0.221564526,0.049090839,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,24.578,24.578,click,,1,,1.52208E+12
