run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
0,55,40,10_easy_full,35,0
1,50,38,10_easy_full,37,1
2,50,39,10_easy_full,39,1
3,50,49,10_easy_full,35,1
4,66,26,10_easy_full,36,0
5,50,36,10_easy_full,39,1
6,50,43,10_easy_full,35,1
7,50,43,10_easy_full,39,1
8,66,48,10_easy_full,35,0
9,66,21,10_easy_full,36,0
10,50,38,10_easy_full,39,1
11,50,36,10_easy_full,37,1
12,50,40,10_easy_full,36,1
13,66,41,10_easy_full,36,0
14,50,42,10_easy_full,36,1
15,50,38,10_easy_full,37,1
16,50,37,10_easy_full,39,1
17,66,40,10_easy_full,36,0
18,55,30,10_easy_full,37,0
19,66,21,10_easy_full,36,0
20,66,22,10_easy_full,36,0
21,66,25,10_easy_full,36,0
22,50,39,10_easy_full,36,1
23,55,36,10_easy_full,37,0
24,66,22,10_easy_full,36,0
25,66,22,10_easy_full,36,0
26,55,50,10_easy_full,35,0
27,66,21,10_easy_full,36,0
28,66,21,10_easy_full,36,0
29,55,30,10_easy_full,37,0
30,66,33,10_easy_full,38,0
31,66,42,10_easy_full,35,0
32,50,36,10_easy_full,37,1
33,66,21,10_easy_full,36,0
34,55,38,10_easy_full,36,0
35,55,56,10_easy_full,38,0
36,50,38,10_easy_full,39,1
37,50,44,10_easy_full,36,1
38,50,41,10_easy_full,36,1
39,50,39,10_easy_full,36,1
40,66,22,10_easy_full,36,0
41,66,21,10_easy_full,36,0
42,50,43,10_easy_full,38,1
43,50,44,10_easy_full,37,1
44,55,31,10_easy_full,37,0
45,55,21,10_easy_full,36,0
46,50,42,10_easy_full,35,1
47,66,45,10_easy_full,36,0
48,66,26,10_easy_full,36,0
49,50,37,10_easy_full,36,1
50,66,21,10_easy_full,36,0
51,66,40,10_easy_full,36,0
52,66,43,10_easy_full,36,0
53,55,43,10_easy_full,36,0
54,50,42,10_easy_full,36,1
55,66,24,10_easy_full,36,0
56,50,41,10_easy_full,37,1
57,55,32,10_easy_full,37,0
58,55,37,10_easy_full,36,0
59,66,43,10_easy_full,35,0
60,55,22,10_easy_full,36,0
61,66,22,10_easy_full,36,0
62,55,42,10_easy_full,36,0
63,55,33,10_easy_full,37,0
64,50,40,10_easy_full,36,1
65,66,22,10_easy_full,36,0
66,66,41,10_easy_full,35,0
67,50,39,10_easy_full,36,1
