,board_name,path,path_length,probability
42,6_hard_full,"[[2, 2, 1], [2, 3, 2], [0, 2, 1], [4, 2, 2], [3, 2, 1], [0, 3, 2], [4, 5, 1], [4, 3, 2], [4, 0, 1]]",9,0.002
43,6_hard_full,"[[2, 0, 1], [4, 3, 2], [2, 3, 1], [2, 2, 2], [1, 5, 1], [0, 0, 2], [4, 4, 1], [0, 3, 2], [0, 2, 1], [4, 2, 2]]",10,0.002
44,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [5, 2, 2], [5, 3, 1]]",5,0.002
45,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [5, 3, 2], [5, 2, 1], [0, 0, 2], [5, 5, 1], [0, 2, 2]]",8,0.002
46,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [5, 5, 2], [3, 2, 1], [0, 0, 2], [5, 0, 1], [0, 2, 2], [4, 3, 1], [2, 4, 2]]",10,0.002
47,6_hard_full,"[[0, 2, 1], [2, 4, 2], [4, 2, 1], [0, 3, 2], [2, 3, 1], [4, 4, 2]]",6,0.002
48,6_hard_full,"[[2, 0, 1], [4, 2, 2], [2, 4, 1], [2, 2, 2], [4, 4, 1], [2, 3, 2]]",6,0.002
49,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [5, 3, 1], [2, 4, 2]]",6,0.002
50,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [3, 4, 1], [2, 2, 2], [4, 5, 1], [0, 2, 2], [4, 4, 1], [2, 4, 2]]",10,0.002
51,6_hard_full,"[[2, 4, 1], [5, 2, 2], [5, 3, 1], [2, 2, 2], [3, 5, 1], [2, 3, 2]]",6,0.002
52,6_hard_full,"[[2, 2, 1], [0, 3, 2], [2, 3, 1], [1, 4, 2]]",4,0.002
53,6_hard_full,"[[4, 3, 1], [0, 0, 2], [2, 2, 1], [4, 2, 2]]",4,0.002
54,6_hard_full,"[[2, 3, 1], [2, 2, 2], [0, 0, 1], [5, 2, 2]]",4,0.004
55,6_hard_full,"[[2, 3, 1], [2, 2, 2], [5, 5, 1], [0, 0, 2], [4, 4, 1], [0, 3, 2], [0, 2, 1], [4, 2, 2], [2, 4, 1], [5, 2, 2]]",10,0.002
56,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 0, 1], [5, 3, 2], [5, 2, 1], [2, 2, 2]]",6,0.002
57,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2], [3, 5, 1], [0, 0, 2]]",6,0.002
58,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [5, 5, 2], [3, 2, 1], [0, 0, 2]]",6,0.002
59,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [4, 2, 2], [2, 4, 1], [2, 2, 2], [1, 0, 1], [3, 2, 2], [3, 4, 1]]",9,0.002
60,6_hard_full,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [2, 2, 2], [3, 5, 1], [2, 3, 2]]",6,0.002
