position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition
2_2,solvedCorrect,1,17e120dd,,logs/6_hard_full_dec19,1,0.001,1511924180794,1511924180793,1,True,1,"6,hard,full"
2_3,solvedCorrect,7008,17e120dd,click,logs/6_hard_full_dec19,2,7.007,1511924187801,1511924180794,2,False,2,"6,hard,full"
4_3,solvedCorrect,10130,17e120dd,click,logs/6_hard_full_dec19,1,3.122,1511924190923,1511924187801,3,False,3,"6,hard,full"
0_2,solvedCorrect,23449,17e120dd,click,logs/6_hard_full_dec19,2,13.319,1511924204242,1511924190923,4,False,4,"6,hard,full"
2_3,solvedCorrect,41520,17e120dd,undo,logs/6_hard_full_dec19,1,0.784,1511924222313,1511924221529,5,True,1,"6,hard,full"
2_2,solvedCorrect,50556,17e120dd,click,logs/6_hard_full_dec19,2,9.036,1511924231349,1511924222313,6,False,2,"6,hard,full"
0_2,solvedCorrect,68651,17e120dd,undo,logs/6_hard_full_dec19,1,8.669,1511924249444,1511924240775,7,True,1,"6,hard,full"
2_2,solvedCorrect,69899,17e120dd,click,logs/6_hard_full_dec19,2,1.248,1511924250692,1511924249444,8,False,2,"6,hard,full"
0_2,solvedCorrect,87082,17e120dd,reset,logs/6_hard_full_dec19,1,10.456,1511924267875,1511924257419,9,True,1,"6,hard,full"
2_2,solvedCorrect,94379,17e120dd,click,logs/6_hard_full_dec19,2,7.297,1511924275172,1511924267875,10,False,2,"6,hard,full"
2_2,solvedCorrect,107926,17e120dd,reset,logs/6_hard_full_dec19,1,6.965,1511924288719,1511924281754,11,True,1,"6,hard,full"
2_3,solvedCorrect,111753,17e120dd,click,logs/6_hard_full_dec19,2,3.827,1511924292546,1511924288719,12,False,2,"6,hard,full"
0_3,solvedCorrect,122206,17e120dd,reset,logs/6_hard_full_dec19,1,0.859,1511924302999,1511924302140,13,True,1,"6,hard,full"
3_0,solvedCorrect,125698,17e120dd,click,logs/6_hard_full_dec19,2,3.492,1511924306491,1511924302999,14,False,2,"6,hard,full"
2_2,solvedCorrect,149949,17e120dd,click,logs/6_hard_full_dec19,1,24.251,1511924330742,1511924306491,15,False,3,"6,hard,full"
2_3,solvedCorrect,154017,17e120dd,click,logs/6_hard_full_dec19,2,4.068,1511924334810,1511924330742,16,False,4,"6,hard,full"
4_3,solvedCorrect,156717,17e120dd,click,logs/6_hard_full_dec19,1,2.7,1511924337510,1511924334810,17,False,5,"6,hard,full"
3_2,solvedCorrect,167661,17e120dd,click,logs/6_hard_full_dec19,2,10.944,1511924348454,1511924337510,18,False,6,"6,hard,full"
1_5,solvedCorrect,185876,17e120dd,click,logs/6_hard_full_dec19,1,18.215,1511924366669,1511924348454,19,False,7,"6,hard,full"
