,userid,blocking_score,Unnamed: 0,board_size,win_score,Density,Linear,Non-linear,Interaction,Forcing,interaction_blind,blocking_blind
0,11dfe866,2,6861,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.075300103,-2.104299868,-2.051228124
1,11dfe866,20,7404,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.142555789,-2.104299868,-2.081622001
2,11dfe866,40,7947,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.202846603,-2.104299868,-2.112476759
3,11dfe866,60,8490,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.244747674,-2.104299868,-2.133478493
4,11dfe866,80,9033,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.278965595,-2.104299868,-2.150392369
5,11dfe866,100,9576,6,505,-2.505425901,-1.794502073,-1.698622747,-2.142320994,-2.308126685,-2.104299868,-2.164687286
6,11dfe866,120,23422.5,6,1875,-2.503516756,-1.789832817,-1.696042734,-2.357100302,-2.498818601,-2.100807062,-2.153334393
7,11dfe866,140,23965.5,6,1875,-2.503516756,-1.789832817,-1.696042734,-2.357100302,-2.520356854,-2.100807062,-2.164002778
8,11dfe866,160,24508.5,6,1875,-2.503516756,-1.789832817,-1.696042734,-2.357100302,-2.539733412,-2.100807062,-2.17355708
9,11dfe866,180,25051.5,6,1875,-2.503516756,-1.789832817,-1.696042734,-2.357100302,-2.557398954,-2.100807062,-2.182235242
10,11dfe866,200,25594.5,6,1875,-2.503516756,-1.789832817,-1.696042734,-2.357100302,-2.573673994,-2.100807062,-2.190205259
11,12eacae6,2,6827,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.153757115,-4.809775784,-4.83202739
12,12eacae6,20,7370,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.32241696,-4.838630441,-5.045833278
13,12eacae6,40,7913,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.401878863,-4.860291813,-5.131938524
14,12eacae6,60,8456,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.451042453,-4.876578221,-5.184301464
15,12eacae6,80,8999,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.488834908,-4.88971321,-5.223832958
16,12eacae6,100,9542,6,505,-3.239961844,-4.297220563,-4.219397787,-4.172372113,-4.519918949,-4.90076773,-5.255874401
17,12eacae6,120,23388.5,6,1875,-3.491830965,-4.455733365,-4.383907661,-4.326606759,-4.687888404,-5.053710781,-5.437176969
18,12eacae6,140,23931.5,6,1875,-3.491830965,-4.455733365,-4.383907661,-4.326606759,-4.711861956,-5.060286845,-5.461190153
19,12eacae6,160,24474.5,6,1875,-3.491830965,-4.455733365,-4.383907661,-4.326606759,-4.733085911,-5.066168676,-5.482325974
