,board,continued,count,path_length,probability,state
14,6_easy_full,0.0,1.0,2,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 0 0]
 [1 2 0 0 0 0]]"
15,6_easy_full,1.0,2.0,5,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 1 0]
 [2 0 1 0 0 0]]"
16,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 2 0 0 0]]"
17,6_easy_full,1.0,2.0,6,0.5,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 2 1 1 2 0]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
18,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 2 0]
 [0 0 0 0 0 1]]"
19,6_easy_full,3.0,3.0,3,1.0,"[[0 1 1 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
20,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 2]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
21,6_easy_full,0.0,1.0,16,0.0,"[[0 1 2 2 1 2]
 [1 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 2 1]
 [0 1 2 1 1 2]]"
22,6_easy_full,1.0,1.0,5,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 1 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 1]
 [0 0 0 0 0 2]]"
23,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [1 0 0 0 0 0]]"
24,6_easy_full,0.0,2.0,1,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 1 0]
 [0 0 0 0 0 0]]"
25,6_easy_full,1.0,1.0,2,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 0 0]
 [1 0 0 0 0 0]]"
26,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 1 2 2 0 0]
 [0 0 2 0 0 0]]"
