board,chosen_action,correct,nodes
10_medium_pruned,4,0,977
10_medium_pruned,65,0,978
10_medium_pruned,43,0,980
10_medium_pruned,31,0,980
10_medium_pruned,92,0,978
10_medium_pruned,12,0,980
10_medium_pruned,63,0,980
10_medium_pruned,88,0,978
10_medium_pruned,7,0,980
10_medium_pruned,1,0,980
10_medium_pruned,65,0,979
10_medium_pruned,98,0,980
10_medium_pruned,31,0,975
10_medium_pruned,50,0,980
10_medium_pruned,41,0,978
10_medium_pruned,73,0,978
10_medium_pruned,39,0,980
10_medium_pruned,70,0,980
10_medium_pruned,52,0,980
10_medium_pruned,32,0,980
10_medium_pruned,10,0,979
10_medium_pruned,98,0,978
10_medium_pruned,28,0,980
10_medium_pruned,61,0,980
10_medium_pruned,42,0,979
10_medium_pruned,15,0,980
10_medium_pruned,37,0,977
10_medium_pruned,44,0,980
10_medium_pruned,51,0,980
10_medium_pruned,50,0,980
10_medium_pruned,38,0,980
10_medium_pruned,69,0,980
10_medium_pruned,96,0,980
10_medium_pruned,8,0,980
10_medium_pruned,70,0,978
10_medium_pruned,20,0,980
10_medium_pruned,72,0,980
10_medium_pruned,20,0,980
10_medium_pruned,71,0,979
10_medium_pruned,74,0,979
10_medium_pruned,81,0,980
10_medium_pruned,30,0,978
6_easy_full,7,0,257
6_easy_full,24,1,257
6_easy_full,24,1,249
6_easy_full,3,0,255
6_easy_full,12,1,258
6_easy_full,30,0,257
6_easy_full,34,0,263
6_easy_full,3,0,255
6_easy_full,1,0,259
6_easy_full,1,0,254
6_easy_full,12,1,249
6_easy_full,11,0,249
6_easy_full,5,0,263
6_easy_full,1,0,259
6_easy_full,3,0,255
6_easy_full,12,1,245
6_easy_full,36,0,257
6_easy_full,24,1,248
6_easy_full,24,1,263
6_easy_full,12,1,240
6_easy_full,3,0,251
6_easy_full,5,0,257
6_easy_full,6,0,262
6_easy_full,3,0,254
6_easy_full,3,0,266
6_easy_full,31,0,257
6_easy_full,36,0,256
6_easy_full,26,0,262
6_easy_full,34,0,262
6_easy_full,1,0,263
6_easy_full,20,0,264
6_easy_full,11,0,264
6_easy_full,30,0,261
6_easy_full,12,1,248
6_easy_full,24,1,256
6_easy_full,3,0,259
6_easy_full,24,1,246
6_easy_full,24,1,261
6_easy_full,35,0,259
6_easy_full,24,1,252
6_easy_full,12,1,255
6_easy_full,11,0,260
6_easy_full,34,0,252
6_easy_full,12,1,254
6_easy_full,12,1,259
6_easy_full,5,0,258
6_easy_full,12,1,255
6_easy_full,36,0,264
6_easy_full,30,0,253
6_easy_full,11,0,256
6_easy_pruned,11,0,267
6_easy_pruned,12,1,267
6_easy_pruned,20,0,275
6_easy_pruned,33,0,273
6_easy_pruned,1,0,276
6_easy_pruned,33,0,277
6_easy_pruned,33,0,278
6_easy_pruned,34,0,277
6_easy_pruned,34,0,278
6_easy_pruned,26,0,280
6_easy_pruned,11,0,268
6_easy_pruned,34,0,278
6_easy_pruned,12,1,273
6_easy_pruned,29,0,278
6_easy_pruned,5,0,278
6_easy_pruned,20,0,274
6_easy_pruned,18,0,273
6_easy_pruned,20,0,276
6_easy_pruned,12,1,270
6_easy_pruned,26,0,278
6_easy_pruned,1,0,276
6_easy_pruned,12,1,267
6_easy_pruned,5,0,274
6_easy_pruned,11,0,269
6_easy_pruned,1,0,270
6_easy_pruned,11,0,267
6_easy_pruned,12,1,269
6_easy_pruned,36,0,278
6_easy_pruned,35,0,277
6_easy_pruned,1,0,274
6_easy_pruned,11,0,267
6_easy_pruned,32,0,276
6_easy_pruned,32,0,272
6_easy_pruned,12,1,268
6_easy_pruned,12,1,262
6_easy_pruned,32,0,276
6_easy_pruned,32,0,277
6_easy_pruned,1,0,280
6_easy_pruned,7,0,274
6_easy_pruned,34,0,276
6_easy_pruned,12,1,268
6_easy_pruned,31,0,280
6_easy_pruned,12,1,267
6_easy_pruned,35,0,278
6_easy_pruned,36,0,278
6_easy_pruned,31,0,277
6_easy_pruned,31,0,280
6_easy_pruned,7,0,266
6_easy_pruned,20,0,276
6_easy_pruned,34,0,276
6_hard_full,4,1,269
6_hard_full,25,0,261
6_hard_full,11,0,260
6_hard_full,21,0,260
6_hard_full,29,0,264
6_hard_full,12,0,262
6_hard_full,25,0,244
6_hard_full,7,0,265
6_hard_full,25,0,269
6_hard_full,15,0,256
6_hard_full,12,0,267
6_hard_full,25,0,259
6_hard_full,7,0,246
6_hard_full,24,0,264
6_hard_full,34,0,266
6_hard_full,7,0,261
6_hard_full,4,1,266
6_hard_full,24,0,260
6_hard_full,17,0,268
6_hard_full,6,0,257
6_hard_full,4,1,262
6_hard_full,19,0,261
6_hard_full,34,0,270
6_hard_full,36,0,263
6_hard_full,15,0,262
6_hard_full,6,0,254
6_hard_full,4,1,259
6_hard_full,34,0,260
6_hard_full,3,0,266
6_hard_full,23,0,259
6_hard_full,25,0,268
6_hard_full,33,0,273
6_hard_full,25,0,252
6_hard_full,25,0,267
6_hard_full,31,0,267
6_hard_full,19,0,258
6_hard_full,18,0,271
6_hard_full,7,0,259
6_hard_full,12,0,260
6_hard_full,15,0,256
6_hard_full,16,0,253
6_hard_full,15,0,268
6_hard_full,4,1,269
6_hard_full,27,0,257
6_hard_full,23,0,256
6_hard_full,1,0,266
6_hard_full,6,0,269
6_hard_full,11,0,263
6_hard_full,25,0,248
6_hard_full,18,0,259
6_hard_pruned,24,0,267
6_hard_pruned,30,0,260
6_hard_pruned,11,0,263
6_hard_pruned,28,0,261
6_hard_pruned,28,0,263
6_hard_pruned,12,0,261
6_hard_pruned,3,1,249
6_hard_pruned,3,1,257
6_hard_pruned,16,0,257
6_hard_pruned,13,0,255
6_hard_pruned,27,0,266
6_hard_pruned,31,0,269
6_hard_pruned,23,0,267
6_hard_pruned,6,0,251
6_hard_pruned,3,1,259
6_hard_pruned,18,0,261
6_hard_pruned,28,0,264
6_hard_pruned,28,0,254
6_hard_pruned,28,0,258
6_hard_pruned,3,1,263
6_hard_pruned,21,0,267
6_hard_pruned,12,0,264
6_hard_pruned,16,0,265
6_hard_pruned,33,0,270
6_hard_pruned,3,1,260
6_hard_pruned,16,0,259
6_hard_pruned,23,0,270
6_hard_pruned,36,0,258
6_hard_pruned,1,0,258
6_hard_pruned,1,0,257
6_hard_pruned,13,0,266
6_hard_pruned,28,0,262
6_hard_pruned,21,0,265
6_hard_pruned,23,0,263
6_hard_pruned,13,0,258
6_hard_pruned,21,0,263
6_hard_pruned,13,0,264
6_hard_pruned,17,0,263
6_hard_pruned,1,0,258
6_hard_pruned,15,0,265
6_hard_pruned,3,1,259
6_hard_pruned,29,0,270
6_hard_pruned,16,0,267
6_hard_pruned,7,0,260
6_hard_pruned,18,0,258
6_hard_pruned,12,0,267
6_hard_pruned,16,0,256
6_hard_pruned,21,0,263
6_hard_pruned,27,0,263
6_hard_pruned,28,0,268
