,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
89,6_hard_full,interaction,-2.01071467357,-2.71124016557,-1.90778892585,bfe4c87d
90,6_hard_full,blocking,-2.14822693603,-2.7944507637,-2.17633318222,c0f60e45
91,6_hard_full,interaction,-2.58182328808,-2.78518716976,-2.24761993963,c5e4c4a5
92,6_hard_full,density,-5.47691911459,-2.48162302369,-5.64677880265,c6b4c141
93,6_hard_full,density,-4.59018351196,-2.79923807122,-4.75869332294,c6b60d63
94,6_hard_full,density,-2.77613509003,-2.51405155466,-2.81144013484,c7a61295
95,6_hard_full,density,-3.76464054641,-2.32624594622,-3.70455629907,c7a67aab
96,6_hard_full,density,-2.91649622298,-2.67822375167,-2.85917100536,c8a4fa50
97,6_hard_full,blocking,-2.03838905344,-2.84142261698,-2.1437761813,c8f4c13d
98,6_hard_full,blocking,-1.81297633181,-2.57381539336,-2.38666310612,cab61023
99,6_hard_full,interaction,-2.1698420091,-2.19827565396,-2.09459715272,cceac8ca
100,6_hard_full,interaction,-2.21273516612,-2.4460982886,-2.1956383142,cee4bfa4
101,6_hard_full,density,-3.45347291715,-2.62936004306,-3.33290602553,cfc5dcb3
102,6_hard_full,blocking,-1.7401738333,-2.44880747886,-3.16339432813,d2a60bac
103,6_hard_full,density,-6.02845453271,-2.57714708078,-5.83792601663,d8f6387b
104,6_hard_full,interaction,-2.5564694383,-2.51749100642,-2.34679389666,dbe71b15
105,6_hard_full,density,-2.61255587441,-2.38448526064,-2.42485727458,dcc4f10e
106,6_hard_full,blocking,-1.5690175429,-2.31103755966,-1.69996450508,dfcbf407
107,6_hard_full,density,-3.26874999406,-2.80489135992,-3.24494312872,dfe6bee3
108,6_hard_full,blocking,-1.48894833036,-2.44148426236,-2.08532045406,e0d4bfdf
109,6_hard_full,interaction,-2.25662774709,-2.44880747886,-1.92240354918,e9c4c917
110,6_hard_full,interaction,-2.54837816232,-2.61295192021,-2.42269860124,ead61455
111,6_hard_full,blocking,-1.91258430676,-2.52590476106,-2.12404194491,ebc61801
112,6_hard_full,interaction,-1.64550358914,-2.45511532742,-1.39378715775,eec7360c
113,6_hard_full,density,-2.69809256008,-2.58397303172,-2.89769353119,efebc5bb
114,6_hard_full,density,-4.17216430626,-2.70558946137,-3.96176579792,eff4bf48
115,6_hard_full,blocking,-1.56148028061,-2.39967978576,-1.69203797162,f1e613a1
116,6_hard_full,interaction,-2.10010890212,-2.60291959693,-1.76587684392,f1ebd0b7
117,6_hard_full,blocking,-1.67704724892,-2.75594290769,-1.88333120151,f2f60bd9
118,6_hard_full,interaction,-1.97490493175,-2.75564815621,-1.88539936491,f3dbeb7e
119,6_hard_full,interaction,-1.04820061503,-2.76624597217,-0.860776898113,f4a6108e
120,6_hard_full,density,-3.35441958158,-2.84950455298,-3.42465540809,f6fbf6b1
121,6_hard_full,density,-4.26645006323,-2.57012915479,-4.28364242345,f7b4bfae
122,6_hard_full,density,-3.73091369308,-2.80191619412,-3.75861289662,f8d60bcb
