,heuristic,log-likelihood,percent
198,interaction,-1.811690139373388,21.40077821011673
199,blocking,-2.0271293223358646,53.69649805447471
200,density,-2.5362362152452746,13.618677042801556
201,linear,-2.5493542206260793,6.22568093385214
202,non-linear,-2.053724122677371,7.392996108949417
203,interaction,-1.7499342947897514,21.40077821011673
204,blocking,-2.0082902180666267,51.36186770428015
205,density,-2.463251818738429,11.284046692607005
206,linear,-2.4808174709627813,5.058365758754864
207,non-linear,-1.9473280167368585,9.72762645914397
208,interaction,-1.7216243923291257,24.124513618677042
209,blocking,-2.0384951850863184,49.80544747081712
210,density,-2.5921323940945227,15.17509727626459
211,linear,-2.4600950489284403,5.058365758754864
212,non-linear,-2.059944467682413,8.560311284046692
213,interaction,-1.6882486031012773,21.78988326848249
214,blocking,-1.9841768459769802,49.416342412451364
215,density,-2.54662414824083,13.618677042801556
216,linear,-2.479946653691132,6.22568093385214
217,non-linear,-2.083347356855969,9.33852140077821
218,interaction,-1.6763683779841767,19.45525291828794
219,blocking,-1.9735947296149199,51.36186770428015
220,density,-2.5043749933439083,14.007782101167315
221,linear,-2.492630716579477,5.447470817120623
222,non-linear,-2.1210764726792037,8.949416342412452
223,interaction,-1.8275018724311831,21.78988326848249
224,blocking,-1.9665788807911713,49.80544747081712
225,density,-2.5365489513177253,14.007782101167315
226,linear,-2.489773580461598,2.7237354085603114
227,non-linear,-2.1906861837101452,10.116731517509727
228,interaction,-1.8086551242780353,22.56809338521401
229,blocking,-1.9804384308828096,50.583657587548636
230,density,-2.562628213644639,13.229571984435799
231,linear,-2.631685435030543,3.8910505836575875
232,non-linear,-2.0441879086618924,10.116731517509727
233,interaction,-1.8782435296375894,19.45525291828794
234,blocking,-2.011718721054963,53.30739299610895
235,density,-2.545797093481918,12.45136186770428
236,linear,-2.5411630595933667,5.836575875486381
237,non-linear,-1.9876088811030825,9.33852140077821
238,interaction,-1.704307257940012,21.011673151750973
239,blocking,-2.1022361186591216,51.36186770428015
240,density,-2.4703833770910424,10.894941634241246
241,linear,-2.4039846963481364,5.058365758754864
242,non-linear,-2.081844069029794,10.505836575875486
243,interaction,-1.8313653633877094,20.233463035019454
244,blocking,-1.9863537389559598,53.30739299610895
245,density,-2.476557350698394,10.894941634241246
246,linear,-2.5137860532798184,5.058365758754864
247,non-linear,-2.0454940446762087,10.505836575875486
248,interaction,-1.8510966779700069,20.233463035019454
249,blocking,-2.028032850892077,53.30739299610895
250,density,-2.535888648536839,12.45136186770428
251,linear,-2.607052973468976,6.22568093385214
252,non-linear,-2.019274183722891,7.782101167315175
253,interaction,-1.752973002172155,22.56809338521401
254,blocking,-2.0117964898012772,50.97276264591439
255,density,-2.6053647999708263,13.229571984435799
256,linear,-2.486197484807145,4.669260700389105
257,non-linear,-1.9849327044402785,11.284046692607005
258,interaction,-1.789126905022357,20.622568093385212
259,blocking,-2.037648678268312,50.19455252918288
260,density,-2.5792836808359274,11.673151750972762
261,linear,-2.3813930293019556,5.836575875486381
262,non-linear,-2.0154401031815867,9.72762645914397
263,interaction,-1.7291438454467545,18.28793774319066
264,blocking,-2.044771066495461,54.474708171206224
265,density,-2.4617361374000204,13.229571984435799
266,linear,-2.535634126366712,4.669260700389105
267,non-linear,-2.013651020496509,10.894941634241246
268,interaction,-1.8440619682297494,23.346303501945524
269,blocking,-2.020843716473202,47.85992217898833
270,density,-2.5404981483226488,12.062256809338521
271,linear,-2.4033475694335054,5.836575875486381
272,non-linear,-2.11539789006138,8.171206225680933
273,interaction,-1.7046158258402786,20.622568093385212
274,blocking,-2.0426829993439926,53.30739299610895
275,density,-2.4519012175838824,13.229571984435799
276,linear,-2.5137140807407286,6.614785992217899
277,non-linear,-2.2670303198766444,8.560311284046692
278,interaction,-1.7531707850982616,18.28793774319066
279,blocking,-1.975722266804408,53.30739299610895
280,density,-2.5680257450204027,10.505836575875486
281,linear,-2.5379889468357355,6.22568093385214
282,non-linear,-2.01294316430478,10.116731517509727
283,interaction,-1.7379778377062574,20.622568093385212
284,blocking,-2.053188114932569,52.52918287937744
285,density,-2.6100717248812795,13.618677042801556
286,linear,-2.59083025214159,4.280155642023346
287,non-linear,-2.185085851022616,8.171206225680933
288,interaction,-1.852670029441553,20.622568093385212
289,blocking,-1.9673854996605173,53.30739299610895
290,density,-2.497909318103737,12.840466926070038
291,linear,-2.488324281646337,4.280155642023346
292,non-linear,-1.920578418928047,8.171206225680933
293,interaction,-1.7750587688169062,23.73540856031128
294,blocking,-2.034259853830595,50.97276264591439
295,density,-2.5346738046375905,14.785992217898833
296,linear,-2.6064303810271805,3.501945525291829
297,non-linear,-2.0339739997477073,10.116731517509727
298,interaction,-1.801962217155575,19.06614785992218
299,blocking,-1.9761226765041822,52.52918287937744
300,density,-2.4913242706939718,11.284046692607005
301,linear,-2.637609350042196,6.614785992217899
302,non-linear,-2.014516960500772,10.116731517509727
303,interaction,-1.8233376117133995,22.17898832684825
304,blocking,-2.010312429678087,49.80544747081712
305,density,-2.531620409451566,11.284046692607005
306,linear,-2.47748765638654,5.447470817120623
307,non-linear,-2.2131138671842066,10.505836575875486
308,interaction,-1.64773613268203,19.45525291828794
309,blocking,-2.0182187565816845,53.30739299610895
310,density,-2.5164139083912103,12.062256809338521
311,linear,-2.397682601079512,3.8910505836575875
312,non-linear,-2.217095528556776,10.894941634241246
313,interaction,-1.8215094769911933,18.67704280155642
314,blocking,-1.962646936379926,54.474708171206224
315,density,-2.524822646503255,13.229571984435799
316,linear,-2.738581581792712,4.669260700389105
317,non-linear,-2.112274710338241,6.614785992217899
318,interaction,-1.8190240658165586,19.45525291828794
319,blocking,-1.9975209509509577,56.03112840466926
320,density,-2.4951228084334205,10.894941634241246
321,linear,-2.6179708505530956,5.447470817120623
322,non-linear,-2.2193749021870577,9.33852140077821
323,interaction,-1.7751134384281073,24.90272373540856
324,blocking,-2.020057065863848,49.416342412451364
325,density,-2.4499823362011033,12.840466926070038
326,linear,-2.4951596629844204,5.836575875486381
327,non-linear,-2.1165852071912217,9.72762645914397
328,interaction,-1.889976887685736,19.844357976653697
329,blocking,-2.027597077187604,51.75097276264592
330,density,-2.627965033244134,15.17509727626459
331,linear,-2.6003037345561855,4.280155642023346
332,non-linear,-1.9796642030649891,8.560311284046692
333,interaction,-1.819174760505157,20.622568093385212
334,blocking,-1.9752279570578046,51.36186770428015
335,density,-2.650920960439709,11.673151750972762
336,linear,-2.49622968422931,5.058365758754864
337,non-linear,-2.124553507389324,9.72762645914397
338,interaction,-1.9013533752431602,21.40077821011673
339,blocking,-1.9962736225396247,52.14007782101168
340,density,-2.5425876049280194,11.284046692607005
341,linear,-2.5423309969326584,6.614785992217899
342,non-linear,-2.0953129327001982,10.116731517509727
343,interaction,-1.7321780158485254,19.45525291828794
344,blocking,-2.033651947214293,52.52918287937744
345,density,-2.5718363525588757,13.618677042801556
346,linear,-2.4514883282675264,7.392996108949417
347,non-linear,-2.2622667746233978,8.171206225680933
348,interaction,-1.756438518562614,21.78988326848249
349,blocking,-2.01642355361227,49.0272373540856
350,density,-2.525924620016883,10.894941634241246
351,linear,-2.4197228996604525,4.669260700389105
352,non-linear,-2.073847189760302,8.949416342412452
353,interaction,-1.7866156215646873,21.78988326848249
354,blocking,-2.062243727066622,53.69649805447471
355,density,-2.50607024605115,13.618677042801556
356,linear,-2.5043624460973177,4.669260700389105
357,non-linear,-1.9398389178188273,7.003891050583658
358,interaction,-1.8811924491262138,23.73540856031128
359,blocking,-2.031925947367743,50.97276264591439
360,density,-2.5242000651638064,12.45136186770428
361,linear,-2.4335341457992086,7.003891050583658
362,non-linear,-2.1312617624943555,9.33852140077821
363,interaction,-1.8478254893241208,21.40077821011673
364,blocking,-2.004318809054677,49.80544747081712
365,density,-2.5530495685777934,13.229571984435799
366,linear,-2.583459282948004,3.8910505836575875
367,non-linear,-2.1524781038634275,10.894941634241246
368,interaction,-1.7733937848637724,19.06614785992218
369,blocking,-2.026920006291502,52.918287937743195
370,density,-2.505264247253679,12.840466926070038
371,linear,-2.620747038424391,5.447470817120623
372,non-linear,-1.9825923486894141,10.505836575875486
373,interaction,-1.856446091548304,20.233463035019454
374,blocking,-1.9467122354209574,50.97276264591439
375,density,-2.5375316726004336,12.840466926070038
376,linear,-2.599500616104625,4.280155642023346
377,non-linear,-2.1286492963211345,9.72762645914397
378,interaction,-1.8319525574298205,20.233463035019454
379,blocking,-1.9942167998384088,52.918287937743195
380,density,-2.5411150556599336,14.007782101167315
381,linear,-2.5499866618694726,7.392996108949417
382,non-linear,-1.948747761487487,8.560311284046692
383,interaction,-1.955662678715297,18.28793774319066
384,blocking,-2.0175426269210375,51.75097276264592
385,density,-2.4937453713887927,12.840466926070038
386,linear,-2.2708805014128357,5.447470817120623
387,non-linear,-2.191905043656879,9.33852140077821
388,interaction,-1.8458506506380743,20.622568093385212
389,blocking,-2.0014435465027627,51.75097276264592
390,density,-2.6429328870377904,11.284046692607005
391,linear,-2.527827746087949,7.003891050583658
392,non-linear,-2.064423544707564,9.72762645914397
393,interaction,-1.7888422134754294,21.40077821011673
394,blocking,-1.9911704234175476,50.583657587548636
395,density,-2.587633124797207,10.505836575875486
396,linear,-2.500448876228315,5.836575875486381
397,non-linear,-2.0192597104390884,8.171206225680933
398,interaction,-1.8351355729201313,21.78988326848249
399,blocking,-1.9837463589206195,53.69649805447471
400,density,-2.554772292975918,12.45136186770428
401,linear,-2.5003706915833703,5.836575875486381
402,non-linear,-2.166841321662764,9.33852140077821
403,interaction,-1.8116750226080167,20.622568093385212
404,blocking,-1.9754062580961802,51.75097276264592
405,density,-2.5008461804509974,12.45136186770428
406,linear,-2.595776223546633,6.614785992217899
407,non-linear,-1.9246142531349564,7.392996108949417
408,interaction,-1.800463503206147,19.06614785992218
409,blocking,-1.99336079067667,54.474708171206224
410,density,-2.463508205785398,12.062256809338521
411,linear,-2.517851187834161,6.22568093385214
412,non-linear,-2.0821582189362933,10.894941634241246
413,interaction,-1.7693968216521074,20.233463035019454
414,blocking,-2.021076321162109,50.583657587548636
415,density,-2.473203496093478,12.840466926070038
416,linear,-2.616262221430009,5.058365758754864
417,non-linear,-2.068397435630875,8.560311284046692
418,interaction,-1.6837231319163397,19.45525291828794
419,blocking,-2.046821209289433,54.08560311284047
420,density,-2.566311095498886,13.229571984435799
421,linear,-2.4853286766633187,4.669260700389105
422,non-linear,-2.1015886223103286,10.894941634241246
423,interaction,-1.7166229416272898,19.844357976653697
424,blocking,-1.9876772291386282,51.36186770428015
425,density,-2.48258618886971,14.396887159533073
426,linear,-2.4381885420353764,3.11284046692607
427,non-linear,-2.056726085811716,9.33852140077821
428,interaction,-1.8121472144259716,24.5136186770428
429,blocking,-2.041206735455837,48.63813229571984
430,density,-2.5959657338300435,14.007782101167315
431,linear,-2.5991421170484816,4.280155642023346
432,non-linear,-2.035541409588501,10.116731517509727
433,interaction,-1.7579454853608316,18.67704280155642
434,blocking,-2.03328240849309,52.918287937743195
435,density,-2.4665542038643595,14.007782101167315
436,linear,-2.3950430655917745,4.280155642023346
437,non-linear,-2.1399616744759666,7.782101167315175
438,interaction,-1.7513984561865399,19.844357976653697
439,blocking,-2.001196567863585,54.08560311284047
440,density,-2.4911569951323784,13.618677042801556
441,linear,-2.627012833813776,4.669260700389105
442,non-linear,-2.178102139504078,7.392996108949417
443,interaction,-1.8581467265392524,22.17898832684825
444,blocking,-1.9623965258345124,52.14007782101168
445,density,-2.4869699826702893,12.45136186770428
446,linear,-2.466216146474679,6.22568093385214
447,non-linear,-2.0499093154219503,9.72762645914397
448,interaction,-1.8505894894356973,23.346303501945524
449,blocking,-2.032408109674847,48.249027237354085
450,density,-2.541261629650579,13.618677042801556
451,linear,-2.5410823069439106,5.058365758754864
452,non-linear,-2.009395138838268,10.505836575875486
453,interaction,-1.8743649126616944,19.844357976653697
454,blocking,-1.9847966233377725,50.97276264591439
455,density,-2.5432478296417633,12.45136186770428
456,linear,-2.5374631406036525,6.22568093385214
457,non-linear,-2.1111551546105485,7.782101167315175
458,interaction,-1.8493374355049028,19.844357976653697
459,blocking,-1.987340242931036,53.69649805447471
460,density,-2.475410070144167,12.45136186770428
461,linear,-2.4149171579520745,5.447470817120623
462,non-linear,-2.1125375116125586,8.560311284046692
463,interaction,-1.7315798415433001,22.56809338521401
464,blocking,-1.9798743554515108,50.97276264591439
465,density,-2.5619658601276223,14.007782101167315
466,linear,-2.402562430966267,5.058365758754864
467,non-linear,-2.1036466601536103,8.560311284046692
468,interaction,-1.787497298179392,19.45525291828794
469,blocking,-2.0437613170888334,52.918287937743195
470,density,-2.5346314191510055,11.673151750972762
471,linear,-2.4943217685285664,5.058365758754864
472,non-linear,-2.1630545869118323,8.560311284046692
473,interaction,-1.8972893245070737,22.56809338521401
474,blocking,-1.9873095864321757,52.14007782101168
475,density,-2.385585131360252,12.45136186770428
476,linear,-2.51031877609615,6.614785992217899
477,non-linear,-2.0724851655166803,8.949416342412452
478,interaction,-1.6960071828660057,20.233463035019454
479,blocking,-2.056778714687063,51.75097276264592
480,density,-2.5305222257738054,12.45136186770428
481,linear,-2.454015660408092,5.836575875486381
482,non-linear,-2.1626792714747087,8.560311284046692
483,interaction,-1.7846564126303757,19.844357976653697
484,blocking,-2.040655864906889,53.30739299610895
485,density,-2.4958051645673405,13.618677042801556
486,linear,-2.730641135054431,5.058365758754864
487,non-linear,-1.7502020104352751,8.560311284046692
488,interaction,-1.9180299603730449,20.233463035019454
489,blocking,-2.014942567830991,52.52918287937744
490,density,-2.583626224240625,12.840466926070038
491,linear,-2.5310851249649717,4.669260700389105
492,non-linear,-2.0023898336247044,10.116731517509727
493,interaction,-1.8652510065746988,22.17898832684825
494,blocking,-2.0212146874034937,50.19455252918288
495,density,-2.606270187743188,10.505836575875486
496,linear,-2.7016497411643194,5.058365758754864
497,non-linear,-2.163245059139177,8.949416342412452
498,interaction,-1.8238423522995557,24.124513618677042
499,blocking,-2.0430418660353364,51.36186770428015
