,heuristic,log-likelihood,percent
0,density,-2.5289819605352317,13.618677042801556
1,linear,-2.544501863466055,5.058365758754864
2,non-linear,-2.1663555700840367,10.116731517509727
3,interaction,-1.8029451157726757,21.78988326848249
4,blocking,-1.9966504775835263,49.416342412451364
5,density,-2.5116570858429395,11.673151750972762
6,linear,-2.6401269719420304,5.447470817120623
7,non-linear,-1.9047975390383678,9.33852140077821
8,interaction,-1.8212137768389645,20.233463035019454
9,blocking,-1.9612062196170554,53.30739299610895
10,density,-2.479731441644708,12.45136186770428
11,linear,-2.46600917816192,7.003891050583658
12,non-linear,-2.113217927371184,8.949416342412452
13,interaction,-1.72466326604936,21.78988326848249
14,blocking,-2.0362505621845184,49.80544747081712
15,density,-2.405168092802884,12.062256809338521
16,linear,-2.584600513839142,5.836575875486381
17,non-linear,-1.9689060889083363,8.171206225680933
18,interaction,-1.728454200059,21.78988326848249
19,blocking,-2.049917766480713,52.14007782101168
20,density,-2.5433434917210427,12.840466926070038
21,linear,-2.5474760757094956,5.447470817120623
22,non-linear,-2.1050087474965613,8.560311284046692
23,interaction,-1.8752490329933538,22.56809338521401
24,blocking,-1.9529291207965684,50.583657587548636
25,density,-2.4817072707921315,14.007782101167315
26,linear,-2.4964701960556486,5.058365758754864
27,non-linear,-2.0873113646838704,8.949416342412452
28,interaction,-1.826684702985089,18.67704280155642
29,blocking,-2.0041689753754315,53.30739299610895
30,density,-2.4811051899637215,14.007782101167315
31,linear,-2.4451002788330785,6.22568093385214
32,non-linear,-2.034763122720846,7.392996108949417
33,interaction,-1.7238533889485057,20.233463035019454
34,blocking,-2.0148547099440637,52.14007782101168
35,density,-2.5182010591057193,14.007782101167315
36,linear,-2.617119811045321,6.614785992217899
37,non-linear,-2.0448164022979873,6.614785992217899
38,interaction,-1.7696880902291474,19.45525291828794
39,blocking,-2.0054324530551972,53.30739299610895
40,density,-2.4774190448722613,10.894941634241246
41,linear,-2.505253722715254,5.836575875486381
42,non-linear,-2.118398636349995,10.116731517509727
43,interaction,-1.7610814921658964,20.622568093385212
44,blocking,-2.038376938309784,52.52918287937744
45,density,-2.4916704861431374,13.618677042801556
46,linear,-2.4477944031487153,4.669260700389105
47,non-linear,-2.1413852414204397,9.72762645914397
48,interaction,-1.8054758581942114,22.17898832684825
49,blocking,-1.9887443591152714,49.80544747081712
50,density,-2.5594715219875748,14.007782101167315
51,linear,-2.6035398296797396,5.058365758754864
52,non-linear,-1.9454669680906629,6.614785992217899
53,interaction,-1.8898691610957852,21.40077821011673
54,blocking,-2.0407045787943687,52.918287937743195
55,density,-2.5245051206474822,11.673151750972762
56,linear,-2.5192742018393237,5.836575875486381
57,non-linear,-2.120345867774254,8.949416342412452
58,interaction,-1.908483481921174,22.56809338521401
59,blocking,-1.9505813604626796,50.97276264591439
60,density,-2.583231898853695,11.284046692607005
61,linear,-2.576527323304911,5.836575875486381
62,non-linear,-2.0298689285700338,9.72762645914397
63,interaction,-1.7420489656650844,19.45525291828794
64,blocking,-1.950678279326035,53.69649805447471
65,density,-2.5808215503505485,12.45136186770428
66,linear,-2.4492598435493123,7.392996108949417
67,non-linear,-2.121395668179004,10.505836575875486
68,interaction,-1.9377023796190747,22.56809338521401
69,blocking,-1.9654593095269612,47.081712062256805
70,density,-2.562914140746362,11.673151750972762
71,linear,-2.5127420917399923,4.280155642023346
72,non-linear,-1.9632602066960114,10.505836575875486
73,interaction,-1.7678175128667502,19.06614785992218
74,blocking,-2.058946305423443,54.474708171206224
75,density,-2.4389860248899966,12.45136186770428
76,linear,-2.4144740932036,5.447470817120623
77,non-linear,-2.107255225428357,9.72762645914397
78,interaction,-1.7598731940226071,19.844357976653697
79,blocking,-2.0044478472143874,52.52918287937744
80,density,-2.5294726484898677,14.007782101167315
81,linear,-2.5211323638298433,6.22568093385214
82,non-linear,-1.9909318380534662,9.33852140077821
83,interaction,-1.8949434728744559,16.731517509727624
84,blocking,-1.9779548773061648,53.69649805447471
85,density,-2.51864395985095,13.229571984435799
86,linear,-2.5503060440658807,5.447470817120623
87,non-linear,-2.0590874526811977,8.171206225680933
88,interaction,-1.852961629099426,20.233463035019454
89,blocking,-2.040659340470813,52.918287937743195
90,density,-2.485837282114578,11.673151750972762
91,linear,-2.4714818145052395,7.392996108949417
92,non-linear,-2.0459754831426027,8.949416342412452
93,interaction,-1.9492963674966988,17.509727626459142
94,blocking,-1.957495615457687,54.474708171206224
95,density,-2.527964201786905,14.785992217898833
96,linear,-2.564733961341168,5.447470817120623
97,non-linear,-2.1103217569280983,8.171206225680933
98,interaction,-1.8675713782534271,19.844357976653697
99,blocking,-1.9891610057277231,51.75097276264592
100,density,-2.4023033665674864,11.673151750972762
101,linear,-2.4575066119601052,5.836575875486381
102,non-linear,-2.2155398306095178,8.560311284046692
103,interaction,-1.7548552015654275,22.17898832684825
104,blocking,-2.0236153650531667,51.75097276264592
105,density,-2.64381033797115,12.45136186770428
106,linear,-2.445158338407128,6.22568093385214
107,non-linear,-2.059564595084343,11.673151750972762
108,interaction,-1.684047720865869,18.28793774319066
109,blocking,-2.001731750624877,51.36186770428015
110,density,-2.6393161869969193,12.45136186770428
111,linear,-2.55540850566157,4.280155642023346
112,non-linear,-2.0422753066313244,9.72762645914397
113,interaction,-1.837334516581492,21.40077821011673
114,blocking,-1.9909088923538867,52.14007782101168
115,density,-2.567375196952367,16.342412451361866
116,linear,-2.5538473869658183,5.447470817120623
117,non-linear,-2.1255131634802016,8.949416342412452
118,interaction,-1.8029519770032043,21.78988326848249
119,blocking,-2.005804057485833,47.47081712062256
120,density,-2.428547519777842,11.673151750972762
121,linear,-2.550567711591424,5.058365758754864
122,non-linear,-2.111897247004563,9.33852140077821
123,interaction,-1.8823393223852694,20.233463035019454
124,blocking,-2.0345951702626004,53.69649805447471
125,density,-2.498122533976319,11.673151750972762
126,linear,-2.3377149132144073,5.836575875486381
127,non-linear,-2.07337235509132,8.949416342412452
128,interaction,-1.887570725128108,19.45525291828794
129,blocking,-2.0011257731146888,54.08560311284047
130,density,-2.5631261005040016,12.840466926070038
131,linear,-2.5230302329789924,5.447470817120623
132,non-linear,-2.198726426759905,8.949416342412452
133,interaction,-1.8171741467023497,22.957198443579767
134,blocking,-2.0104594637231754,49.80544747081712
135,density,-2.3624427879222547,13.229571984435799
136,linear,-2.5394092004325373,5.447470817120623
137,non-linear,-2.117107503483081,10.505836575875486
138,interaction,-1.8335725401467486,19.06614785992218
139,blocking,-1.9753054213299663,51.75097276264592
140,density,-2.4712001625133393,13.229571984435799
141,linear,-2.5067447907568057,5.447470817120623
142,non-linear,-2.1314156015242647,11.673151750972762
143,interaction,-1.7782110621174305,17.898832684824903
144,blocking,-1.992163246666077,51.75097276264592
145,density,-2.518903355422954,12.840466926070038
146,linear,-2.5368061947441087,4.669260700389105
147,non-linear,-2.0778679390033576,7.392996108949417
148,interaction,-1.6926011811709316,22.17898832684825
149,blocking,-1.985211595010127,52.918287937743195
150,density,-2.619705003113499,14.007782101167315
151,linear,-2.4645295725689818,4.280155642023346
152,non-linear,-2.081495764511945,8.560311284046692
153,interaction,-1.66938999485223,22.17898832684825
154,blocking,-2.0561186318057656,50.97276264591439
155,density,-2.460490111883793,12.45136186770428
156,linear,-2.4896968019624643,4.669260700389105
157,non-linear,-2.1633652708648596,12.062256809338521
158,interaction,-1.7611865872657366,21.011673151750973
159,blocking,-1.982877864627544,49.80544747081712
160,density,-2.515255152477225,14.007782101167315
161,linear,-2.6563588707640324,4.669260700389105
162,non-linear,-1.9865010670502714,10.505836575875486
163,interaction,-1.7727491751133482,18.67704280155642
164,blocking,-2.0179143781170716,52.14007782101168
165,density,-2.4585489186644875,12.062256809338521
166,linear,-2.6042480062767273,6.22568093385214
167,non-linear,-2.093301005947453,8.949416342412452
168,interaction,-1.7015034393358106,21.011673151750973
169,blocking,-1.9823111020995652,51.75097276264592
170,density,-2.5977547970116,13.618677042801556
171,linear,-2.566994965515309,6.22568093385214
172,non-linear,-2.0382746571040307,10.505836575875486
173,interaction,-1.7245825049237191,20.233463035019454
174,blocking,-1.9474683475459829,49.416342412451364
175,density,-2.6110634859959077,10.894941634241246
176,linear,-2.5590976411780746,6.22568093385214
177,non-linear,-1.963793550373773,8.560311284046692
178,interaction,-1.702773352781229,19.844357976653697
179,blocking,-2.0265772667433177,54.474708171206224
180,density,-2.529506087729469,14.007782101167315
181,linear,-2.401628531210485,3.501945525291829
182,non-linear,-2.0257401414994227,9.33852140077821
183,interaction,-1.9031666370206235,20.622568093385212
184,blocking,-2.0531209801198034,52.52918287937744
185,density,-2.550322809474213,11.673151750972762
186,linear,-2.489945275772248,5.447470817120623
187,non-linear,-2.0807432557538337,9.33852140077821
188,interaction,-1.599185695313997,19.844357976653697
189,blocking,-2.0304603884580406,53.69649805447471
190,density,-2.4956955941429046,14.007782101167315
191,linear,-2.475166494913951,4.669260700389105
192,non-linear,-2.1777741563642072,8.560311284046692
193,interaction,-1.777379014134608,21.40077821011673
194,blocking,-2.0147807322005953,51.36186770428015
195,density,-2.5317777022504426,12.062256809338521
196,linear,-2.5946053375590252,4.280155642023346
197,non-linear,-2.08885856775499,8.560311284046692
