time_before,time_before_sec
1482,1.482
8747,8.747
1388,1.388
757,0.757
201,0.201
181,0.181
4038,4.038
454,0.454
26463,26.463
5524,5.524
1408,1.408
5104,5.104
15373,15.373
8716,8.716
6439,6.439
7554,7.554
992,0.992
5217,5.217
123,0.123
236,0.236
79,0.079
369,0.369
80,0.08
2838,2.838
84,0.084
328,0.328
92,0.092
276,0.276
80,0.08
324,0.324
3640,3.64
80,0.08
324,0.324
84,0.084
289,0.289
17132,17.132
3918,3.918
4424,4.424
3765,3.765
11024,11.024
7506,7.506
2473,2.473
28340,28.34
25636,25.636
18371,18.371
7829,7.829
14536,14.536
5623,5.623
1778,1.778
422,0.422
193,0.193
199,0.199
1678,1.678
2137,2.137
864,0.864
160,0.16
9202,9.202
4132,4.132
10934,10.934
5439,5.439
331,0.331
260,0.26
323,0.323
1881,1.881
4672,4.672
392,0.392
322,0.322
425,0.425
751,0.751
3345,3.345
273,0.273
272,0.272
2612,2.612
247,0.247
20234,20.234
194,0.194
180,0.18
185,0.185
10961,10.961
239,0.239
257,0.257
6105,6.105
232,0.232
1193,1.193
3297,3.297
214,0.214
5347,5.347
586,0.586
13946,13.946
252,0.252
676,0.676
293,0.293
10081,10.081
259,0.259
1129,1.129
1273,1.273
459,0.459
370,0.37
9854,9.854
14826,14.826
552,0.552
585,0.585
1028,1.028
560,0.56
18230,18.23
224,0.224
496,0.496
336,0.336
6928,6.928
7016,7.016
355,0.355
6392,6.392
267,0.267
9251,9.251
2421,2.421
320,0.32
3771,3.771
185,0.185
423,0.423
5570,5.57
11156,11.156
432,0.432
5305,5.305
10422,10.422
5253,5.253
372,0.372
10946,10.946
5417,5.417
3862,3.862
1202,1.202
4685,4.685
2302,2.302
623,0.623
991,0.991
886,0.886
783,0.783
1047,1.047
1319,1.319
1070,1.07
2159,2.159
24296,24.296
473,0.473
5845,5.845
1128,1.128
5770,5.77
13034,13.034
6519,6.519
4409,4.409
1492,1.492
9982,9.982
2570,2.57
5390,5.39
7268,7.268
15810,15.81
2829,2.829
6298,6.298
4846,4.846
2940,2.94
2864,2.864
464,0.464
4444,4.444
1130,1.13
29161,29.161
2842,2.842
5477,5.477
13343,13.343
192,0.192
7374,7.374
268,0.268
9971,9.971
29389,29.389
203,0.203
208,0.208
3837,3.837
1384,1.384
6479,6.479
1507,1.507
7161,7.161
963,0.963
6066,6.066
1935,1.935
835,0.835
10652,10.652
4068,4.068
8234,8.234
5437,5.437
504,0.504
346,0.346
3695,3.695
6613,6.613
576,0.576
1680,1.68
239,0.239
504,0.504
192,0.192
180,0.18
252,0.252
2786,2.786
143,0.143
145,0.145
130,0.13
2463,2.463
454,0.454
1250,1.25
599,0.599
166,0.166
145,0.145
167,0.167
5401,5.401
2724,2.724
3024,3.024
2428,2.428
149,0.149
1706,1.706
1616,1.616
5996,5.996
2154,2.154
5588,5.588
852,0.852
457,0.457
206,0.206
6681,6.681
1799,1.799
4456,4.456
3416,3.416
6502,6.502
4375,4.375
9170,9.17
6807,6.807
13389,13.389
2874,2.874
2924,2.924
1240,1.24
1710,1.71
2153,2.153
18831,18.831
8414,8.414
1939,1.939
1095,1.095
3613,3.613
3079,3.079
9917,9.917
17445,17.445
1207,1.207
12525,12.525
2297,2.297
2142,2.142
765,0.765
1997,1.997
4369,4.369
2582,2.582
2621,2.621
1570,1.57
2849,2.849
773,0.773
234,0.234
350,0.35
453,0.453
12921,12.921
519,0.519
262,0.262
302,0.302
521,0.521
6267,6.267
1036,1.036
888,0.888
6071,6.071
410,0.41
7081,7.081
1337,1.337
325,0.325
267,0.267
523,0.523
16993,16.993
771,0.771
249,0.249
339,0.339
472,0.472
4674,4.674
3311,3.311
1566,1.566
268,0.268
3284,3.284
10450,10.45
200,0.2
199,0.199
7619,7.619
184,0.184
172,0.172
59542,59.542
7865,7.865
1680,1.68
5259,5.259
35059,35.059
5989,5.989
3356,3.356
6509,6.509
1220,1.22
615,0.615
572,0.572
4200,4.2
9903,9.903
1713,1.713
2966,2.966
4514,4.514
14802,14.802
1718,1.718
1372,1.372
10300,10.3
4646,4.646
1797,1.797
1885,1.885
2722,2.722
2166,2.166
4756,4.756
9546,9.546
391,0.391
544,0.544
3662,3.662
1799,1.799
4950,4.95
11214,11.214
585,0.585
502,0.502
5468,5.468
172,0.172
182,0.182
171,0.171
217,0.217
7317,7.317
2438,2.438
9137,9.137
6864,6.864
1677,1.677
1030,1.03
3415,3.415
474,0.474
3307,3.307
3214,3.214
1802,1.802
1494,1.494
330,0.33
3882,3.882
1640,1.64
2444,2.444
369,0.369
525,0.525
2158,2.158
5739,5.739
11778,11.778
2345,2.345
287,0.287
202,0.202
215,0.215
223,0.223
3754,3.754
209,0.209
209,0.209
214,0.214
1019,1.019
1087,1.087
1097,1.097
589,0.589
11059,11.059
5307,5.307
5083,5.083
4038,4.038
2517,2.517
1762,1.762
1416,1.416
4660,4.66
1319,1.319
503,0.503
4504,4.504
1791,1.791
8142,8.142
1567,1.567
18942,18.942
4953,4.953
4077,4.077
3701,3.701
4926,4.926
2120,2.12
540,0.54
1683,1.683
477,0.477
14851,14.851
540,0.54
536,0.536
568,0.568
52104,52.104
520,0.52
246,0.246
13154,13.154
13855,13.855
8998,8.998
9181,9.181
1324,1.324
206,0.206
211,0.211
258,0.258
