userid,board_name,board_size,board_type,condition,blocking_score,win_score,heuristic,prob_move,log_move,rank_move,move_number,move_number_in_path,path_number
18dac9ef,6_hard_full,6,hard,full,10,100,interaction_blind,0.9285977244578526,-0.07407965390776901,0.0,5,4,1
18dac9ef,6_hard_full,6,hard,full,10,100,blocking_blind,0.9285977244578526,-0.07407965390776901,0.0,5,4,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.08845692483352476,-2.425239570502255,4.0,1,0,0
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.061903583461877194,-2.782177209822187,5.0,1,0,0
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.235816672321567,-1.444700588028215,0.0,2,1,1
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.235816672321567,-1.444700588028215,0.0,2,1,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.7156006043174082,-0.33463308285742055,0.0,3,2,1
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.5563506576008002,-0.5863565043879332,0.0,3,2,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.4776523808322612,-0.7388720478081953,0.0,4,3,1
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.4776523808322612,-0.7388720478081953,0.0,4,3,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.48433463020062545,-0.7249792264497729,0.0,5,4,1
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.4515308277297265,-0.7951116299848106,0.0,5,4,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,6,0,1
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,6,0,1
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.06681176322113756,-2.7058761178178257,3.0,7,1,2
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.06681176322113756,-2.7058761178178257,3.0,7,1,2
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.06855010808883114,-2.6801902961868564,1.0,8,2,2
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.04857229262955935,-3.024702021153369,7.0,8,2,2
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.045454545454545456,-3.0910424533583156,0.0,9,3,2
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.045454545454545456,-3.0910424533583156,0.0,9,3,2
20bfd7bd,6_hard_full,6,hard,full,10,100,interaction_blind,0.6019255886211223,-0.5076214482549408,0.0,10,4,2
20bfd7bd,6_hard_full,6,hard,full,10,100,blocking_blind,0.48512252423880037,-0.7233537926530604,0.0,10,4,2
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.05564249792426488,-2.8888080185373344,5.0,1,0,0
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0389395179717645,-3.2457456578572663,6.0,1,0,0
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.009495675090825948,-4.656918837632292,18.0,2,0,1
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.006645226663916681,-5.013856476952223,18.0,2,0,1
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.06875416095824462,-2.677218021237888,4.0,3,1,2
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.06875416095824462,-2.677218021237888,4.0,3,1,2
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,4,0,2
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,4,0,2
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.20109595727742371,-1.6039730854517273,1.0,5,1,3
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.20109595727742371,-1.6039730854517273,1.0,5,1,3
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.012498493228062945,-4.382147183694587,6.0,6,2,3
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.05926468569338792,-2.8257416698750473,5.0,6,2,3
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.008305788115230561,-4.79080264394358,2.0,7,3,3
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.008305788115230561,-4.79080264394358,2.0,7,3,3
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.08845692483352476,-2.425239570502255,4.0,8,0,3
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.061903583461877194,-2.782177209822187,5.0,8,0,3
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.235816672321567,-1.444700588028215,0.0,9,1,4
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.235816672321567,-1.444700588028215,0.0,9,1,4
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.005101189731491244,-5.278281485773007,21.0,10,0,4
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0035698948939558803,-5.635219125092939,21.0,10,0,4
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.04468195385247806,-3.1081855758250403,6.0,11,0,5
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.181361083663744,-1.7072652975925984,1.0,11,0,5
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,1.0,0.0,0.0,12,1,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,1.0,0.0,0.0,12,1,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.13020292426112412,-2.038661089697027,2.0,13,2,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.13020292426112412,-2.038661089697027,2.0,13,2,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.007920150154919939,-4.838345114380983,3.0,14,3,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.007920150154919939,-4.838345114380983,3.0,14,3,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0744759219845754,-2.5972794006732447,2.0,15,4,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.09928690781650354,-2.309741561371495,2.0,15,4,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.05313925916120765,-2.93483928001209,1.0,16,5,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.05313925916120765,-2.93483928001209,1.0,16,5,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.04468195385247806,-3.1081855758250403,6.0,17,0,6
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.181361083663744,-1.7072652975925984,1.0,17,0,6
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,1.0,0.0,0.0,18,1,7
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,1.0,0.0,0.0,18,1,7
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.09905254889737301,-2.3121047727272526,3.0,19,2,7
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.09905254889737301,-2.3121047727272526,3.0,19,2,7
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.009975262913744416,-4.607646959285946,3.0,20,3,7
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.009975262913744416,-4.607646959285946,3.0,20,3,7
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.002963894818128003,-5.821251058639493,11.0,21,4,7
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0023378709857570894,-6.058514598910293,11.0,21,4,7
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.03305276105902674,-3.4096501742971155,9.0,22,0,7
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.02313085557420927,-3.766587813617047,9.0,22,0,7
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.08151269879909123,-2.5069964573871983,3.0,23,1,8
