,board,path_length,wasserstein
0,6_easy_full,7,0.00342115029499
1,6_easy_full,4,0.00341732283465
2,6_easy_full,3,0.00381927713554
3,6_easy_full,6,0.00363358778626
4,6_easy_full,1,0.00949206344444
5,6_easy_full,5,0.00362499997852
6,6_easy_full,2,0.00640000005128
7,6_easy_full,8,0.00396812749004
8,6_easy_pruned,3,0.00466968326697
9,6_easy_pruned,1,0.031423077
10,6_easy_pruned,4,0.00376363637727
11,6_easy_pruned,5,0.00341224487551
12,6_easy_pruned,6,0.00387250996016
13,6_easy_pruned,2,0.00652356901389
14,10_easy_full,4,0.00306216696092
15,10_easy_full,2,0.00373148149306
16,10_easy_full,1,0.00640455846154
17,10_easy_full,3,0.00318897640748
18,10_easy_full,8,0.00363358778626
19,10_easy_full,6,0.0033664825046
20,10_easy_full,7,0.00329927011131
21,10_easy_full,5,0.00324363639273
22,10_easy_pruned,5,0.00354631377694
23,10_easy_pruned,4,0.00336414045841
24,10_easy_pruned,2,0.00437795274803
25,10_easy_pruned,1,0.012542857225
26,10_easy_pruned,6,0.0038431372549
27,10_easy_pruned,3,0.0034344262418
28,6_hard_full,8,0.00357575760038
29,6_hard_full,6,0.00338007383579
30,6_hard_full,2,0.00541569537607
31,6_hard_full,5,0.00309747294404
32,6_hard_full,3,0.00332240438798
33,6_hard_full,10,0.0039051383419
34,6_hard_full,7,0.0033529412114
35,6_hard_full,9,0.00357575756439
36,6_hard_full,4,0.00302367941712
37,6_hard_full,1,0.0185369806667
38,6_hard_pruned,8,0.00392079207921
39,6_hard_pruned,6,0.00356143669376
40,6_hard_pruned,4,0.00349902152642
41,6_hard_pruned,2,0.00577973571806
42,6_hard_pruned,5,0.00322935778349
43,6_hard_pruned,7,0.00336648253775
44,6_hard_pruned,3,0.00410315186246
45,6_hard_pruned,1,0.0103684210526
46,10_hard_full,7,0.00382778865166
47,10_hard_full,2,0.00453475935027
48,10_hard_full,9,0.00387401575197
49,10_hard_full,8,0.00388954635306
50,10_hard_full,6,0.00388954635108
51,10_hard_full,5,0.00384313725686
52,10_hard_full,3,0.00407947020088
53,10_hard_full,4,0.00372093024806
54,10_hard_full,10,0.00395228628032
55,10_hard_full,1,0.0165161290323
56,10_hard_pruned,3,0.00358419959044
57,10_hard_pruned,6,0.00360456272433
58,10_hard_pruned,7,0.00350469044465
59,10_hard_pruned,2,0.00451282051795
60,10_hard_pruned,5,0.003421150282
61,10_hard_pruned,1,0.0158409090938
62,10_hard_pruned,8,0.00390513834387
63,10_hard_pruned,4,0.00354716978679
64,10_medium_full,4,0.00358778625763
65,10_medium_full,9,0.00381249999219
66,10_medium_full,7,0.00347663552897
67,10_medium_full,8,0.00379727095712
68,10_medium_full,10,0.00396812749004
69,10_medium_full,1,0.0190769231026
70,10_medium_full,5,0.00367754319194
71,10_medium_full,3,0.00414096915639
72,10_medium_full,6,0.00356143669754
73,10_medium_full,2,0.00507648725212
74,10_medium_pruned,2,0.00492121212727
75,10_medium_pruned,4,0.00350469042402
76,10_medium_pruned,8,0.002
77,10_medium_pruned,6,0.00382778865166
78,10_medium_pruned,7,0.00392079207723
79,10_medium_pruned,3,0.00399113082262
80,10_medium_pruned,1,0.017641025641
81,10_medium_pruned,5,0.00350469041276
