,userid,solved,board_name,board_size,board_type,condition,action
125,2dc1a9c9,wrong,10_hard_pruned,10,hard,pruned,2
126,2dca846d,wrong,6_easy_pruned,6,easy,pruned,37
127,2dfbc35a,solvedCorrect,6_easy_pruned,6,easy,pruned,7
128,2ecee330,validatedCorrect,6_easy_full,6,easy,full,18
129,2ed2eb11,validatedCorrect,10_easy_pruned,10,easy,pruned,11
130,2fa647f5,wrong,6_hard_pruned,6,hard,pruned,5
131,2fb4f99a,validatedCorrect,10_hard_full,10,hard,full,11
132,2fd101b0,wrong,10_easy_pruned,10,easy,pruned,61
133,2fd310c0,validatedCorrect,6_easy_full,6,easy,full,16
134,2fe692a5,validatedCorrect,10_easy_full,10,easy,full,5
135,2ff50f64,wrong,6_hard_pruned,6,hard,pruned,6
136,30c4e230,wrong,6_hard_pruned,6,hard,pruned,76
137,30e4feac,wrong,6_hard_pruned,6,hard,pruned,18
138,30f2f747,wrong,10_hard_pruned,10,hard,pruned,18
139,31b2e974,wrong,10_easy_full,10,easy,full,29
140,31b4fc9e,validatedCorrect,10_easy_full,10,easy,full,27
141,31cfd831,wrong,10_medium_pruned,10,medium,pruned,1
142,31e63b91,wrong,6_hard_full,6,hard,full,23
143,31f6a576,solvedCorrect,10_hard_pruned,10,hard,pruned,67
144,32a55a14,validatedCorrect,6_easy_pruned,6,easy,pruned,9
145,32a581e0,validatedCorrect,10_medium_pruned,10,medium,pruned,30
146,32b10037,wrong,6_easy_full,6,easy,full,71
147,32bf008f,validatedCorrect,6_easy_pruned,6,easy,pruned,15
148,32e14a26,wrong,10_hard_full,10,hard,full,22
149,32e2e940,validatedCorrect,10_medium_pruned,10,medium,pruned,13
150,32ebf2e8,validatedCorrect,6_hard_full,6,hard,full,31
151,32fad07f,validatedCorrect,10_hard_pruned,10,hard,pruned,23
152,33a74451,validatedCorrect,10_medium_pruned,10,medium,pruned,64
153,33b693e2,wrong,6_easy_pruned,6,easy,pruned,28
154,33bbca9a,wrong,10_medium_full,10,medium,full,22
155,33c1b7cd,validatedCorrect,10_medium_pruned,10,medium,pruned,51
156,33c5818d,wrong,6_easy_full,6,easy,full,53
157,33e649bd,wrong,6_hard_pruned,6,hard,pruned,12
158,33ebe68d,validatedCorrect,6_easy_pruned,6,easy,pruned,21
159,34b12db9,solvedCorrect,10_hard_full,10,hard,full,15
160,34b59cc7,validatedCorrect,10_medium_pruned,10,medium,pruned,29
161,34c6c058,wrong,10_easy_pruned,10,easy,pruned,6
162,34cffc40,solvedCorrect,6_easy_full,6,easy,full,25
163,34d51755,validatedCorrect,10_medium_full,10,medium,full,7
164,36c1af0c,wrong,10_medium_full,10,medium,full,19
165,36ebe4da,wrong,10_medium_full,10,medium,full,9
166,37bffc4e,validatedCorrect,10_easy_full,10,easy,full,29
167,37d59204,wrong,10_hard_pruned,10,hard,pruned,14
168,37e6e013,validatedCorrect,10_medium_pruned,10,medium,pruned,5
