,userid,solved,board_name,board_size,board_type,condition,action
426,78f60c95,wrong,6_hard_full,6,hard,full,9
427,79c1b235,solvedCorrect,10_easy_pruned,10,easy,pruned,11
428,7ab580f1,wrong,10_medium_full,10,medium,full,18
429,7acbc3e2,validatedCorrect,6_easy_pruned,6,easy,pruned,17
430,7af24207,solvedCorrect,6_easy_full,6,easy,full,113
431,7bd154b6,wrong,10_medium_pruned,10,medium,pruned,9
432,7bf4bf38,wrong,6_hard_full,6,hard,full,42
433,7ca15050,wrong,10_easy_full,10,easy,full,7
434,7cc119e0,validatedCorrect,6_easy_pruned,6,easy,pruned,22
435,7cc2e9d2,validatedCorrect,6_easy_full,6,easy,full,7
436,7cd6b177,validatedCorrect,10_hard_pruned,10,hard,pruned,16
437,7ce58b1e,wrong,10_medium_pruned,10,medium,pruned,77
438,7cf6845b,wrong,10_hard_full,10,hard,full,36
439,7da4f147,wrong,6_hard_pruned,6,hard,pruned,4
440,7db4f1d2,validatedCorrect,6_easy_pruned,6,easy,pruned,16
441,7dc5662b,validatedCorrect,6_easy_pruned,6,easy,pruned,1
442,7dd704e0,validatedCorrect,6_hard_pruned,6,hard,pruned,93
443,7dea8d37,wrong,10_hard_pruned,10,hard,pruned,95
444,7df4e828,wrong,6_hard_pruned,6,hard,pruned,143
445,7ee5a934,validatedCorrect,10_medium_pruned,10,medium,pruned,9
446,7ef11f8d,wrong,10_hard_pruned,10,hard,pruned,33
447,80a2f7f4,wrong,6_easy_pruned,6,easy,pruned,12
448,80e591d4,validatedCorrect,10_hard_pruned,10,hard,pruned,14
449,80f4e933,wrong,6_hard_pruned,6,hard,pruned,7
450,81a10227,wrong,10_medium_full,10,medium,full,27
451,81a6c621,wrong,10_medium_full,10,medium,full,29
452,81c11c9f,validatedCorrect,6_hard_pruned,6,hard,pruned,15
453,82a4e284,wrong,6_hard_pruned,6,hard,pruned,40
454,82e14880,wrong,10_medium_full,10,medium,full,24
455,83a2ebd3,wrong,6_easy_full,6,easy,full,86
456,83aeef63,validatedCorrect,10_easy_pruned,10,easy,pruned,32
457,83b2c2e2,validatedCorrect,10_easy_pruned,10,easy,pruned,25
458,83b6b30c,wrong,10_easy_pruned,10,easy,pruned,42
459,83c64bf9,wrong,6_hard_pruned,6,hard,pruned,5
460,83e29fb7,validatedCorrect,10_easy_pruned,10,easy,pruned,5
461,83f15600,wrong,10_easy_pruned,10,easy,pruned,1
462,84a4bf3c,wrong,6_hard_full,6,hard,full,11
463,84a58fb6,wrong,10_medium_full,10,medium,full,1
464,84a6ce10,wrong,10_medium_full,10,medium,full,31
465,84dbf4f9,validatedCorrect,10_hard_full,10,hard,full,16
466,84f4e263,wrong,6_hard_pruned,6,hard,pruned,9
467,85a6d8cb,solvedCorrect,10_medium_full,10,medium,full,1
468,85b4e5c4,validatedCorrect,6_hard_pruned,6,hard,pruned,15
469,85e50169,wrong,10_medium_full,10,medium,full,24
470,86a5c03e,solvedCorrect,10_hard_full,10,hard,full,6
471,86b58ffd,validatedCorrect,10_hard_pruned,10,hard,pruned,5
472,86c6cdf8,solvedCorrect,10_medium_pruned,10,medium,pruned,1
473,86f29ab1,validatedCorrect,10_hard_full,10,hard,full,16
474,86f596b5,wrong,10_hard_pruned,10,hard,pruned,1
475,86f6e2cb,wrong,6_easy_full,6,easy,full,134
476,87a6b32b,validatedCorrect,10_easy_pruned,10,easy,pruned,5
477,87b50908,solvedCorrect,6_hard_full,6,hard,full,29
478,87cfed83,solvedCorrect,10_hard_full,10,hard,full,2
479,87f4bf56,wrong,6_hard_full,6,hard,full,9
480,87f610ee,wrong,6_hard_full,6,hard,full,7
481,89cbc391,wrong,10_easy_full,10,easy,full,171
482,89cbfdf9,validatedCorrect,10_easy_pruned,10,easy,pruned,55
483,89d60ba4,solvedCorrect,6_hard_full,6,hard,full,57
484,89fbc220,validatedCorrect,10_medium_full,10,medium,full,9
485,8aa45fa2,wrong,6_easy_pruned,6,easy,pruned,4
486,8aa6d830,validatedCorrect,10_hard_pruned,10,hard,pruned,66
487,8ab71c6b,validatedCorrect,6_easy_pruned,6,easy,pruned,11
488,8ac4c37c,wrong,6_hard_full,6,hard,full,16
489,8af4330d,solvedCorrect,10_hard_full,10,hard,full,37
490,8bb14a06,wrong,10_medium_pruned,10,medium,pruned,5
491,8bc22e79,validatedCorrect,10_easy_full,10,easy,full,64
492,8bc69c49,wrong,10_hard_full,10,hard,full,81
493,8bd700c4,wrong,10_medium_pruned,10,medium,pruned,15
494,8bf57040,wrong,6_easy_pruned,6,easy,pruned,1
495,8ca28d2c,validatedCorrect,10_hard_full,10,hard,full,20
496,8cc432fc,wrong,10_medium_full,10,medium,full,20
