,fitted_heuristic,log_likelihood,userid
0,density,-1.36458527544,11d4bf94
1,interaction,-2.11155294443,14b4c043
2,blocking,-1.73496257123,14c5dc72
3,blocking,-1.66825922035,17b4c1ea
4,interaction,-2.02614170445,17e120dd
5,blocking,-0.604352918548,18dac9ef
6,interaction,-1.40247782054,20bfd7bd
7,blocking,-1.78389044727,24a5e25a
8,density,-2.03501787173,24b61c03
9,blocking,-2.07356504227,24f4c091
10,interaction,-1.32523783486,25c4c0ab
11,blocking,-1.60010728156,26dbf6e9
12,blocking,-2.47950941647,31e63b91
13,blocking,-2.11626430242,32ebf2e8
14,density,-2.30973488999,37f61258
15,non-linear,-1.75221562812,38ebbf94
16,interaction,-2.16905945365,3af4bfbb
17,blocking,-1.03517161766,3bb613b2
18,blocking,-1.3711788614,3cd60baf
19,blocking,-1.74217614106,3df11bae
20,blocking,-1.89870330564,43c60cd9
21,density,-1.63250052993,44a4fa14
22,blocking,-2.0165251417,47f614be
23,blocking,-1.02816701076,49e6113d
24,density,-2.63570627938,4af5df5d
25,blocking,-1.21529148392,4ed4c1d3
26,blocking,-0.796414558935,50c60ba6
27,interaction,-1.75917567228,53c4c041
28,blocking,-0.818384841633,54f4bf95
29,blocking,-3.11332415899,55f5fe54
30,blocking,-0.908167577479,57a4bf4b
31,density,-2.7401822864,5ce612bc
32,blocking,-0.769497954325,5dd4c056
33,interaction,-1.97489230458,5edbbf73
34,density,-2.44399861253,63c4bfcb
35,blocking,-1.70873425015,63e5efe1
36,blocking,-2.4322804297,64f61543
37,blocking,-2.99065261238,67eac875
38,interaction,-1.90401037922,68d5e249
39,interaction,-1.7985336527,69bad0fe
40,interaction,-1.91548358251,6bf51f66
41,linear,-2.2425345889,6ee61190
42,interaction,-2.0563920655,70da8cfb
43,blocking,-2.76157269003,72f4c145
44,blocking,-1.47278155531,76e60f84
45,blocking,-0.788030558933,78f60c95
46,non-linear,-2.11631880523,7bf4bf38
47,blocking,-2.60059260215,84a4bf3c
48,interaction,-1.92538663412,87b50908
49,interaction,-1.81454257438,87f610ee
50,blocking,-1.88545001067,89d60ba4
51,blocking,-1.81350400567,8ac4c37c
52,interaction,-1.81858483017,8ea4bf56
53,blocking,-2.0797608533,8fc76287
54,blocking,-2.43078832904,90c60de8
55,density,-1.98297027647,91a61ead
56,blocking,-1.58151621513,91cfd7fb
57,blocking,-2.6915929943,92b722f3
58,interaction,-2.03288268791,94d6ef33
59,blocking,-2.8379762841,94e4c554
60,density,-2.46125387886,9adbc2df
61,interaction,-2.28177415692,9df60bf8
62,density,-1.39248047839,a2f6ba1d
63,blocking,-1.97091096265,a3d4c3b2
64,density,-2.584324836,a3d5dfda
65,density,-3.24066160584,a4c60d7a
66,blocking,-1.71149645771,a6f610e1
67,density,-2.86584076101,acd61c3d
68,blocking,-2.57776420624,ada4c06f
69,density,-3.09327503064,b0d518a1
70,interaction,-2.14693617418,b2d60bc9
71,blocking,-1.72908705776,b7a4fe27
72,density,-1.67486609787,b8e4bf48
73,interaction,-1.00403714212,bae515f2
74,blocking,-1.78396709839,bed50a1d
75,blocking,-1.93142539645,bfa60c8b
76,interaction,-2.25585106895,bfe4c87d
77,blocking,-1.54614064459,c0f60e45
78,blocking,-2.01155795067,c7a61295
79,density,-2.88987935061,c7a67aab
80,blocking,-2.87045261506,c8a4fa50
81,blocking,-1.81890761292,c8f4c13d
82,blocking,-2.37677696382,cab61023
83,density,-2.34338065092,cceac8ca
84,non-linear,-2.73173256667,cee4bfa4
85,blocking,-2.34469320914,cfc5dcb3
86,density,-2.66155631985,dbe71b15
87,interaction,-1.33554286582,dcc4f10e
88,blocking,-2.30672965837,dfcbf407
89,non-linear,-2.76271254603,dfe6bee3
90,blocking,-0.971825012451,e0d4bfdf
91,blocking,-2.91562973028,ebc61801
92,interaction,-2.68860127321,eec7360c
93,density,-2.91096283183,eff4bf48
94,blocking,-1.27452707125,f1e613a1
