userid,num_unique_first_moves,num_resets,exploit_time,num_moves_win_score,mean_score,num_restarts,solution_time,solved,board,median_score,explore_time,number_of_moves,size,type,condition,typeSize,correctness
17e120dd,4,6,47.634,2,1252.89084,8,448.077,solvedCorrect,6_hard_full,5.457121599,51.6598,40,6,hard,full,6hard,wrong
26dbf6e9,2,4,9.976,2,1431.730075,3,143.135,wrong,6_hard_full,5.574932682,11.0555,14,6,hard,full,6hard,wrong
32ebf2e8,3,4,33.491,2,4.832979116,4,233.131,validatedCorrect,6_hard_full,5.361111111,42.62033333,31,6,hard,full,6hard,correct
38ebbf94,4,5,21.13275,0,3.690327577,6,200.14,validatedCorrect,6_hard_full,2.53,23.85175,29,6,hard,full,6hard,correct
3df11bae,2,3,52.5685,2,836.4825658,3,435.21,wrong,6_hard_full,5.361111111,62.777,24,6,hard,full,6hard,wrong
67eac875,5,8,7.326857143,3,1022.808255,8,245.973,wrong,6_hard_full,3.096738946,10.94471429,49,6,hard,full,6hard,wrong
69bad0fe,7,16,15.95626667,4,1415.551535,23,591.534,wrong,6_hard_full,5.457121599,19.2918,85,6,hard,full,6hard,wrong
70da8cfb,4,5,25.9875,4,1253.809624,8,304.458,wrong,6_hard_full,5.457121599,33.62075,32,6,hard,full,6hard,wrong
87b50908,3,7,11.3515,3,1727.273076,7,183.326,validatedCorrect,6_hard_full,5.692743764,14.59666667,29,6,hard,full,6hard,correct
8fc76287,4,8,22.84785714,6,175.674231,8,430.892,solvedCorrect,6_hard_full,5.457121599,32.73628571,58,6,hard,full,6hard,wrong
8fcbec83,7,10,10.20266667,0,-510.8993829,11,566.581,validatedCorrect,6_hard_full,1.541112528,21.54666667,39,6,hard,full,6hard,correct
91cfd7fb,4,3,120.919,3,670.7997235,7,548.164,wrong,6_hard_full,5.457121599,126.292,45,6,hard,full,6hard,wrong
94d6ef33,6,15,8.179071429,1,403.7780508,16,549.139,wrong,6_hard_full,5.457121599,26.73021429,50,6,hard,full,6hard,wrong
9adbc2df,5,5,16.8585,1,1334.684753,5,246.866,wrong,6_hard_full,2.955488946,22.85,15,6,hard,full,6hard,wrong
9dc50a3d,7,12,17.55509091,6,-140.448155,15,477.96,solvedCorrect,6_hard_full,1.937222931,25.08272727,70,6,hard,full,6hard,wrong
a2f6ba1d,1,2,9.179,2,1.897581255,2,185.364,wrong,6_hard_full,5.692743764,42.635,6,6,hard,full,6hard,wrong
b0d518a1,9,19,9.753777778,2,152.4791491,20,530.911,solvedCorrect,6_hard_full,5.457121599,16.1385,67,6,hard,full,6hard,wrong
bcdfd2df,6,6,24.018,2,-958.8750767,7,478.509,wrong,6_hard_full,1.963129252,52.8198,52,6,hard,full,6hard,wrong
bed50a1d,2,5,7.85025,3,-396.4473063,5,303.68,wrong,6_hard_full,5.457121599,9.63875,25,6,hard,full,6hard,wrong
c7a67aab,2,11,10.5273,3,3.697403211,11,235.805,validatedCorrect,6_hard_full,5.457121599,13.2924,51,6,hard,full,6hard,correct
c8a4fa50,5,8,44.24957143,1,-182.0859272,12,563.374,wrong,6_hard_full,4.667188209,49.68971429,54,6,hard,full,6hard,wrong
dbe71b15,3,2,4.979,2,1432.227983,3,100.562,wrong,6_hard_full,6.854932682,6.196,14,6,hard,full,6hard,wrong
dcc4f10e,1,2,10.011,3,670.9051635,3,105.588,wrong,6_hard_full,5.457121599,14.205,15,6,hard,full,6hard,wrong
dfe6bee3,5,7,16.956,3,883.89281,7,236.005,wrong,6_hard_full,5.692743764,21.94866667,34,6,hard,full,6hard,wrong
efebc5bb,2,2,27.155,0,-1108.657422,2,489.447,wrong,6_hard_full,1,38.514,9,6,hard,full,6hard,wrong
f3dbeb7e,4,4,33.17833333,1,-865.4408049,5,297.753,wrong,6_hard_full,5.457121599,36.555,23,6,hard,full,6hard,wrong
f6fbf6b1,8,9,42.79525,6,-335.1251717,10,581.653,wrong,6_hard_full,1.680555556,50.564125,89,6,hard,full,6hard,wrong
fac10d6e,4,3,47.147,2,386.4184904,4,267.255,wrong,6_hard_full,1.332743764,51.848,26,6,hard,full,6hard,wrong
2afbbf79,4,7,17.13566667,4,-260.912576,5,178.228,wrong,6_hard_pruned,1.743923611,21.97466667,38,6,hard,pruned,6hard,wrong
2ff50f64,3,2,4.595,1,1669.641263,3,58.26,wrong,6_hard_pruned,3.597484411,7.371,6,6,hard,pruned,6hard,wrong
30e4feac,4,4,12.59233333,1,-552.3212487,5,268.581,wrong,6_hard_pruned,2.020018425,16.37666667,18,6,hard,pruned,6hard,wrong
5adff9a5,6,8,7.933,2,4.300015525,9,247.022,wrong,6_hard_pruned,5.409116355,12.00528571,22,6,hard,pruned,6hard,wrong
6dd103e2,3,5,16.29675,4,4.348287799,6,197.279,validatedCorrect,6_hard_pruned,5.207121599,24.3085,31,6,hard,pruned,6hard,correct
7dd704e0,6,19,13.98782353,12,1186.646197,18,577.426,validatedCorrect,6_hard_pruned,5.457121599,16.60794118,93,6,hard,pruned,6hard,correct
81c11c9f,2,2,17.914,2,673.9570939,2,271.8,validatedCorrect,6_hard_pruned,7.859481293,21.071,15,6,hard,pruned,6hard,correct
92a74a76,2,6,16.256,6,861.1089385,6,294.236,validatedCorrect,6_hard_pruned,5.457121599,18.4646,35,6,hard,pruned,6hard,correct
a0f4f1bf,3,6,47.298,4,-678.5745976,7,417.116,wrong,6_hard_pruned,2.172465987,55.787,44,6,hard,pruned,6hard,wrong
aafbd6ab,5,5,21.355,1,4.883809028,6,239.929,wrong,6_hard_pruned,5.284116355,29.302,20,6,hard,pruned,6hard,wrong
b0e1157c,2,3,62.6545,2,1256.246287,4,409.539,wrong,6_hard_pruned,7.651566043,73.25,16,6,hard,pruned,6hard,wrong
b9e512db,3,3,15.593,2,1004.694042,4,147.293,wrong,6_hard_pruned,5.164379252,23.9515,20,6,hard,pruned,6hard,wrong
c7fffe38,3,4,30.95266667,3,3.613945684,5,284.344,wrong,6_hard_pruned,5.457121599,44.91866667,27,6,hard,pruned,6hard,wrong
d4fac87b,3,2,55.003,2,-830.215033,3,162.449,wrong,6_hard_pruned,4.03993339,64.566,12,6,hard,pruned,6hard,wrong
e9dbbf8a,3,3,12.924,2,628.1662289,3,170.416,validatedCorrect,6_hard_pruned,5.284116355,28.957,16,6,hard,pruned,6hard,correct
fcaffad4,5,4,48.53366667,6,2.51652461,7,332.322,wrong,6_hard_pruned,1.480590278,57.2,68,6,hard,pruned,6hard,wrong
fdaa7ebb,10,20,5.749157895,3,-997.5992304,21,351.882,wrong,6_hard_pruned,1.737847222,13.18173684,60,6,hard,pruned,6hard,wrong
13f4ff5a,4,4,24.528,2,8.058061911,6,294.816,wrong,10_hard_full,12.32250284,27.15766667,26,10,hard,full,10hard,wrong
1ff4f828,7,4,10.448,2,1004.073868,10,363.273,wrong,10_hard_full,3.566950114,19.402,20,10,hard,full,10hard,wrong
23dbc11c,3,4,19.098,2,-1109.067786,3,169.067,wrong,10_hard_full,0.723280418,37.5435,18,10,hard,full,10hard,wrong
2fb4f99a,2,2,34.302,2,917.0270968,2,112.708,validatedCorrect,10_hard_full,14.44532927,51.44,11,10,hard,full,10hard,correct
65f68460,1,3,15.1965,2,8.28091309,3,112.069,solvedCorrect,10_hard_full,14.44532927,16.2575,12,10,hard,full,10hard,wrong
75ffd9e8,8,7,10.06533333,1,-1422.525113,8,292.185,validatedCorrect,10_hard_full,1.854187213,13.456,28,10,hard,full,10hard,correct
7cf6845b,8,8,17.79985714,1,282.0700988,9,440.834,wrong,10_hard_full,1.280241869,33.76357143,36,10,hard,full,10hard,wrong
84dbf4f9,3,4,10.64733333,2,7.903719733,4,295.97,wrong,10_hard_full,8.324941885,27.37466667,16,10,hard,full,10hard,wrong
87cfed83,1,2,0,0,14.44532927,2,191.716,validatedCorrect,10_hard_full,14.44532927,1.603,2,10,hard,full,10hard,correct
8bc69c49,14,20,8.142052632,2,622.5334572,21,390.042,solvedCorrect,10_hard_full,3.569444444,12.95557895,81,10,hard,full,10hard,wrong
a3eacaa9,4,6,6.0854,1,805.1883902,7,273.532,wrong,10_hard_full,2.984007937,28.502,25,10,hard,full,10hard,wrong
a4f74985,5,6,14.0846,1,293.6370302,7,232.048,wrong,10_hard_full,3.662585973,21.1738,35,10,hard,full,10hard,wrong
abc728e1,1,2,35.468,2,721.6284096,2,240.737,wrong,10_hard_full,11.54861111,52.575,14,10,hard,full,10hard,wrong
aceaccbc,5,16,5.445866667,0,1309.774965,17,583.382,validatedCorrect,10_hard_full,11.79644132,13.21326667,46,10,hard,full,10hard,correct
add50f98,2,5,17.64675,1,-450.1630931,6,313.812,wrong,10_hard_full,9.502037026,20.4065,22,10,hard,full,10hard,wrong
b1ebd3b5,3,4,0,0,10.021785,4,116.748,wrong,10_hard_full,11.97368315,9.979333333,4,10,hard,full,10hard,wrong
b5b6dcbc,6,4,56.93266667,2,300.0542552,10,525.269,solvedCorrect,10_hard_full,2.81709395,63.23033333,34,10,hard,full,10hard,wrong
d2ac158a,3,3,31.425,4,462.1301382,3,344.162,wrong,10_hard_full,10.52532407,43.9845,22,10,hard,full,10hard,wrong
edf12206,3,5,16.25375,2,-991.5196162,6,175.015,validatedCorrect,10_hard_full,11.91026619,23.92025,30,10,hard,full,10hard,correct
f0ebc21e,6,5,5.811,1,-827.5565891,6,116.29,wrong,10_hard_full,4.189711824,8.388,24,10,hard,full,10hard,wrong
f6fbf7bf,1,3,31.775,1,-1244.257725,3,203.124,wrong,10_hard_full,2.701154333,41.2525,32,10,hard,full,10hard,wrong
f7ebbfe9,5,7,46.76966667,2,-1266.345179,8,535.997,solvedCorrect,10_hard_full,1.222222222,57.11133333,63,10,hard,full,10hard,wrong
16f6e58d,3,8,31.61857143,2,6.971802498,9,533.393,wrong,10_hard_pruned,2.618055556,54.21228571,41,10,hard,pruned,10hard,wrong
18a695e2,5,14,13.56792308,9,-147.6381934,15,539.15,wrong,10_hard_pruned,2.911690281,20.47676923,66,10,hard,pruned,10hard,wrong
28d4fefb,7,11,6.0411,6,219.1248412,11,301.479,solvedCorrect,10_hard_pruned,7.578888889,8.5096,47,10,hard,pruned,10hard,wrong
31f6a576,4,12,26.5539,6,5.519530215,11,654.151,validatedCorrect,10_hard_pruned,1.733522287,33.229,67,10,hard,pruned,10hard,correct
32fad07f,2,2,36.059,7,876.7813379,3,281.645,solvedCorrect,10_hard_pruned,14.61361819,38.217,23,10,hard,pruned,10hard,wrong
41bad9a2,5,11,39.122,6,239.4412288,9,702.016,validatedCorrect,10_hard_pruned,9.502037026,49.517,43,10,hard,pruned,10hard,correct
