userid,num_unique_first_moves,num_resets,exploit_time,num_moves_win_score,mean_score,num_restarts,solution_time,solved,board,median_score,explore_time,number_of_moves,size,type,condition,typeSize,correctness
5bc4f225,1,2,29.542,4,1436.576424,2,150.1,wrong,10_hard_pruned,14.61361819,34.202,14,10,hard,pruned,10hard,wrong
77ba7edc,3,2,18.946,2,834.9663044,3,355.315,validatedCorrect,10_hard_pruned,1.734964326,30.046,12,10,hard,pruned,10hard,correct
7dea8d37,7,21,12.68695,3,-203.3111197,22,586.684,wrong,10_hard_pruned,4.570029754,17.72235,95,10,hard,pruned,10hard,wrong
7ef11f8d,6,8,16.77771429,2,611.3504754,9,333.063,wrong,10_hard_pruned,3.433788257,24.70085714,33,10,hard,pruned,10hard,wrong
8aa6d830,5,14,13.50461538,7,311.8721625,14,563.026,wrong,10_hard_pruned,11.54861111,19.239,66,10,hard,pruned,10hard,wrong
8ea50714,4,11,31.89522222,2,7.584728126,11,562.332,validatedCorrect,10_hard_pruned,9.502037026,43.26322222,53,10,hard,pruned,10hard,correct
98c10b8a,3,2,11.018,2,676.0025358,3,127.715,wrong,10_hard_pruned,11.54861111,12.944,15,10,hard,pruned,10hard,wrong
acdac85f,10,7,43.15083333,2,-869.5560585,10,477.783,wrong,10_hard_pruned,3.472853822,51.78916667,57,10,hard,pruned,10hard,wrong
b8bac8b7,3,2,65.722,1,7.01240944,3,225.08,wrong,10_hard_pruned,5.06435302,70.701,22,10,hard,pruned,10hard,wrong
cce7504c,7,17,19.96757143,3,-117.8049846,16,528.283,solvedCorrect,10_hard_pruned,3.984292322,27.06128571,81,10,hard,pruned,10hard,wrong
cdc514e1,3,9,32.831,6,-433.5178239,12,584.96,wrong,10_hard_pruned,9.502037026,38.608375,68,10,hard,pruned,10hard,wrong
d1cac84b,7,17,4.8183125,1,-889.6257605,19,443.747,wrong,10_hard_pruned,3.093214286,9.2443125,67,10,hard,pruned,10hard,wrong
e2b10de5,6,5,32.658,4,-270.884884,7,362.189,wrong,10_hard_pruned,7.905895675,40.90133333,36,10,hard,pruned,10hard,wrong
e6efec72,3,11,35.19344444,1,-376.8359545,10,627.899,validatedCorrect,10_hard_pruned,7.915076749,43.19711111,52,10,hard,pruned,10hard,correct
edfff93e,3,3,18.385,1,776.1087757,3,209.895,solvedCorrect,10_hard_pruned,9.502037026,39.105,13,10,hard,pruned,10hard,wrong
f4c4f33c,2,4,27.35166667,3,5.929668447,5,287.793,wrong,10_hard_pruned,9.502037026,50.07366667,23,10,hard,pruned,10hard,wrong
fcb764e3,2,8,10.31283333,2,9.397983141,7,310.338,wrong,10_hard_pruned,11.54861111,25.55933333,25,10,hard,pruned,10hard,wrong
12eacae6,5,6,9.605,1,-1427.988095,9,593.303,wrong,6_easy_full,0.583333333,59.3116,21,6,easy,full,6easy,wrong
25dfef96,4,4,62.719,2,478.0531217,7,404.475,wrong,6_easy_full,1.25,76.74666667,21,6,easy,full,6easy,wrong
2aabe76a,4,5,23.16466667,0,1.417573696,7,187.803,validatedCorrect,6_easy_full,1,28.752,25,6,easy,full,6easy,correct
32b10037,10,21,14.0958,0,-1266.289057,17,554.618,wrong,6_easy_full,1,26.86993333,71,6,easy,full,6easy,wrong
34cffc40,4,9,10.37214286,0,-798.3578277,8,440.552,wrong,6_easy_full,1.25,19.146,25,6,easy,full,6easy,wrong
38abe966,2,3,11.2105,3,1252.03125,3,205.879,solvedCorrect,6_easy_full,1.416666667,21.951,16,6,easy,full,6easy,wrong
3bac0799,2,2,0,2,1251.989583,2,188.585,wrong,6_easy_full,1.902777777,1.879,8,6,easy,full,6easy,wrong
3fcbc0ab,7,14,9.8665,0,1.280541043,13,322.47,validatedCorrect,6_easy_full,1.14,15.79666667,50,6,easy,full,6easy,correct
40a74de0,3,9,23.644625,2,314.376875,9,735.693,validatedCorrect,6_easy_full,1.25,29.552,32,6,easy,full,6easy,correct
4ed755f1,3,2,24.155,0,-1249.066185,3,123.231,validatedCorrect,6_easy_full,0.875,38.127,8,6,easy,full,6easy,correct
59d51c4c,8,7,10.497,0,-856.0460674,9,176.884,solvedCorrect,6_easy_full,1,16.80866667,35,6,easy,full,6easy,wrong
5de11557,7,12,9.789454545,1,-424.6179698,12,460.121,validatedCorrect,6_easy_full,1,20.91863636,47,6,easy,full,6easy,correct
6bca8117,5,3,17.6775,2,1.962253676,6,337.795,validatedCorrect,6_easy_full,1.25,23.18,31,6,easy,full,6easy,correct
86f6e2cb,9,21,11.4291,3,-223.1397908,23,510.341,wrong,6_easy_full,1,16.8622,134,6,easy,full,6easy,wrong
8df4f6e8,4,10,10.82675,3,279.2555064,9,334.773,wrong,6_easy_full,1.25,14.828875,36,6,easy,full,6easy,wrong
9defd82d,6,6,52.1602,0,-475.0846858,8,574.524,wrong,6_easy_full,1,71.7686,42,6,easy,full,6easy,wrong
a6bff327,5,5,58.347,0,-998.8259085,7,595.094,wrong,6_easy_full,1,76.72925,30,6,easy,full,6easy,wrong
aedbea55,2,5,14.86025,3,1001.866667,6,209.886,wrong,6_easy_full,1.25,26.777,20,6,easy,full,6easy,wrong
b7eae04f,6,7,25.084,0,556.3980045,9,457.538,validatedCorrect,6_easy_full,1,45.88425,36,6,easy,full,6easy,correct
cfd6ff5a,8,14,22.03907692,7,-553.9123217,15,512.086,wrong,6_easy_full,1,27.432,90,6,easy,full,6easy,wrong
d3b525de,8,8,21.557,2,190.2929645,11,505.98,wrong,6_easy_full,0.583333333,48.397,53,6,easy,full,6easy,wrong
d6b67ee1,1,4,26.43866667,3,2.412435897,4,394.028,wrong,6_easy_full,1.375,48.174,26,6,easy,full,6easy,wrong
d6d500ab,5,5,23.1325,1,-951.2408498,6,411.132,validatedCorrect,6_easy_full,1,56.89375,21,6,easy,full,6easy,correct
dabbe6bb,5,7,18.848,2,-242.1923992,8,262.131,wrong,6_easy_full,1.222222222,26.704,41,6,easy,full,6easy,wrong
efa7383d,6,9,8.93475,0,-524.9946837,9,178.143,validatedCorrect,6_easy_full,0.921928147,17.170625,38,6,easy,full,6easy,correct
f9c123d7,3,6,9.455,4,801.5544444,6,253.734,wrong,6_easy_full,1.111111111,17.5422,25,6,easy,full,6easy,wrong
fda4f169,4,5,6.9105,2,1.464365079,5,306.459,validatedCorrect,6_easy_full,1.25,31.935,14,6,easy,full,6easy,correct
11dfe866,4,4,5.811666667,2,626.3370833,4,308.999,validatedCorrect,6_easy_pruned,1.125,19.933,16,6,easy,pruned,6easy,correct
16e512d0,3,7,5.077833333,3,743.4768313,9,269.584,validatedCorrect,6_easy_pruned,1.64,11.75633333,27,6,easy,pruned,6easy,correct
19a105e3,9,13,12.25675,5,180.3110597,16,523.907,validatedCorrect,6_easy_pruned,1.07,16.44416667,56,6,easy,pruned,6easy,correct
1fdbc072,1,2,2.585,1,4,2,71.96,wrong,6_easy_pruned,9.5,4.017,5,6,easy,pruned,6easy,wrong
2dca846d,5,13,4.595583333,3,-809.9558699,13,153.646,solvedCorrect,6_easy_pruned,1,7.173333333,37,6,easy,pruned,6easy,wrong
33b693e2,2,3,12.8095,2,-355.9373016,4,125.063,solvedCorrect,6_easy_pruned,0.166666667,17.6855,28,6,easy,pruned,6easy,wrong
33ebe68d,3,7,7.6556,4,1906.980131,6,268.479,wrong,6_easy_pruned,1.5,16.4456,21,6,easy,pruned,6easy,wrong
48c70a00,3,6,37.803,0,1.683770428,6,565.51,solvedCorrect,6_easy_pruned,1.25,85.243,29,6,easy,pruned,6easy,wrong
4dc50d03,5,6,36.4188,0,-610.5040483,7,571.732,wrong,6_easy_pruned,1,66.105,49,6,easy,pruned,6easy,wrong
55a709fd,3,5,21.71875,0,-474.4804082,6,479.943,validatedCorrect,6_easy_pruned,1.332743764,26.4205,21,6,easy,pruned,6easy,correct
58e72ee8,2,4,7.252333333,6,1001.786111,4,224.201,wrong,6_easy_pruned,1.486111111,26.512,20,6,easy,pruned,6easy,wrong
67abc3ab,8,25,11.58340909,7,-831.2581427,23,692.353,wrong,6_easy_pruned,1.291371882,18.67468182,96,6,easy,pruned,6easy,wrong
6cbbcdf7,5,7,4.8395,2,-331.8128912,7,205.771,solvedCorrect,6_easy_pruned,1.25,14.3175,30,6,easy,pruned,6easy,wrong
6fc70a09,5,11,13.739,4,668.1896493,9,395.433,solvedCorrect,6_easy_pruned,1.299479167,19.57475,30,6,easy,pruned,6easy,wrong
7acbc3e2,3,5,5.607,1,2.830130719,6,197.75,validatedCorrect,6_easy_pruned,1,7.796,17,6,easy,pruned,6easy,correct
7cc119e0,4,6,5.962,4,911.1037879,6,197.903,validatedCorrect,6_easy_pruned,1.64,11.0842,22,6,easy,pruned,6easy,correct
7db4f1d2,2,4,5.707666667,4,1251.762153,4,166.902,validatedCorrect,6_easy_pruned,1.486111111,8.062,16,6,easy,pruned,6easy,correct
8ab71c6b,2,2,17.516,4,1820.136364,3,209.281,solvedCorrect,6_easy_pruned,9.5,21.403,11,6,easy,pruned,6easy,wrong
94abbfb2,2,6,3.096,2,716.4047619,6,177.742,validatedCorrect,6_easy_pruned,1.361111111,8.58,14,6,easy,pruned,6easy,correct
9db10b00,1,2,13.209,3,1252.5,2,374.889,validatedCorrect,6_easy_pruned,9.5,14.671,8,6,easy,pruned,6easy,correct
b7e510d3,1,2,10.043,2,3336.833333,2,119.747,wrong,6_easy_pruned,9.5,11.608,6,6,easy,pruned,6easy,wrong
c0cbeef2,1,2,15.575,2,2.857142857,2,299.314,validatedCorrect,6_easy_pruned,9.5,18.154,7,6,easy,pruned,6easy,correct
c8afed22,3,5,103.102,1,-242.4392124,5,625.451,validatedCorrect,6_easy_pruned,1,112.3956667,41,6,easy,pruned,6easy,correct
dcfbe5af,3,3,23.6555,1,2.076290627,4,245.981,wrong,6_easy_pruned,1,70.852,12,6,easy,pruned,6easy,wrong
ddb7456a,2,2,11.655,2,1.768888889,3,162.824,validatedCorrect,6_easy_pruned,1.64,29.877,9,6,easy,pruned,6easy,correct
dfa705b9,4,10,12.44422222,4,1.67112097,10,551.324,validatedCorrect,6_easy_pruned,1.180555556,31.93266667,46,6,easy,pruned,6easy,correct
e1b100ae,4,8,21.09916667,6,-224.7341296,9,477.122,validatedCorrect,6_easy_pruned,1.333333333,28.76,44,6,easy,pruned,6easy,correct
edbbcb60,6,6,10.3826,1,-510.8495442,11,340.757,validatedCorrect,6_easy_pruned,1,16.5698,39,6,easy,pruned,6easy,correct
20a4fec4,2,3,41.286,1,2.478568189,3,254.196,wrong,10_easy_full,7.43664966,161.274,7,10,easy,full,10easy,wrong
23b6924e,11,22,12.8947619,2,-215.2833967,23,582.69,solvedCorrect,10_easy_full,1.140260771,15.88238095,92,10,easy,full,10easy,wrong
26e680e4,8,14,17.19158333,0,2.077677054,15,521.497,wrong,10_easy_full,1.284722222,23.82491667,58,10,easy,full,10easy,wrong
31b4fc9e,2,6,15.215,1,373.265956,6,456.54,validatedCorrect,10_easy_full,1.347222222,52.7764,27,10,easy,full,10easy,correct
37bffc4e,4,4,45.95733333,2,348.121861,5,588.877,validatedCorrect,10_easy_full,2.363004535,113.432,29,10,easy,full,10easy,correct
3ac5170c,3,4,15.51066667,2,457.3378817,4,232.959,validatedCorrect,10_easy_full,1.760416666,21.08666667,22,10,easy,full,10easy,correct
55c68fc5,12,20,12.37652632,3,-114.8940217,20,568.543,wrong,10_easy_full,1.395833333,18.61684211,85,10,easy,full,10easy,wrong
56e6f5d2,6,7,23.347,1,335.9393061,8,599.712,wrong,10_easy_full,1.394722222,40.738,30,10,easy,full,10easy,wrong
58d72aaf,7,8,10.84414286,1,607.1516531,10,358.624,wrong,10_easy_full,0.941337868,19.56171429,33,10,easy,full,10easy,wrong
5cd6bb63,2,3,65.675,3,893.0433981,4,475.524,wrong,10_easy_full,3.222222222,73.529,45,10,easy,full,10easy,wrong
6ac7311a,7,14,21.12769231,0,148.6157122,14,549.496,wrong,10_easy_full,4.066981276,23.71092308,71,10,easy,full,10easy,wrong
6cc4f8b6,8,9,10.020875,4,-221.2161192,10,328.086,wrong,10_easy_full,4.427788378,18.37225,44,10,easy,full,10easy,wrong
6cd50fc7,4,8,16.78057143,2,-241.1272053,8,389.863,wrong,10_easy_full,1.347222222,21.64142857,41,10,easy,full,10easy,wrong
70bffd4d,10,13,17.54766667,0,566.3097172,14,596.696,wrong,10_easy_full,1.555130385,25.6755,71,10,easy,full,10easy,wrong
72caeffe,10,15,16.33371429,1,-387.8696971,15,563.497,wrong,10_easy_full,0.972222222,27.29007143,77,10,easy,full,10easy,wrong
75bbec9c,7,8,3.13375,0,1.362512183,10,215.507,wrong,10_easy_full,0.55505149,18.19375,24,10,easy,full,10easy,wrong
89cbc391,11,43,5.85897619,1,61.14166161,44,599.418,wrong,10_easy_full,1.0625,8.992952381,171,10,easy,full,10easy,wrong
92a70054,10,8,31.49771429,0,419.4541964,18,494.758,validatedCorrect,10_easy_full,2.078297659,39.01628571,48,10,easy,full,10easy,correct
9ae751bc,4,9,17.00275,2,279.9367175,9,441.001,wrong,10_easy_full,1.315972222,23.94,36,10,easy,full,10easy,wrong
abdacc98,7,9,28.078375,3,862.0068228,10,469.241,wrong,10_easy_full,2.846111111,35.586375,70,10,easy,full,10easy,wrong
acc6e9d4,5,16,14.65586667,1,3.24899476,17,603.473,wrong,10_easy_full,1.284722222,26.2696,73,10,easy,full,10easy,wrong
aefbe715,2,2,0,0,-2701.824789,2,403.157,validatedCorrect,10_easy_full,0,90.149,37,10,easy,full,10easy,correct
b4a4f22a,6,9,30.282625,1,-445.4326057,13,582.366,solvedCorrect,10_easy_full,1.0625,43.42875,67,10,easy,full,10easy,wrong
b8a4fbaa,8,9,4.53525,0,1.393560253,10,299.103,wrong,10_easy_full,0.94744898,8.323125,23,10,easy,full,10easy,wrong
b9bbef4c,3,4,26.659,0,-663.2662722,5,198.454,wrong,10_easy_full,0,30.39433333,15,10,easy,full,10easy,wrong
c0dfd341,7,4,47.152,2,1.646146888,11,430.526,wrong,10_easy_full,1.192222222,54.20033333,45,10,easy,full,10easy,wrong
c6aad6d0,5,8,11.97528571,2,1.817516942,8,253.324,validatedCorrect,10_easy_full,1.041666667,22.53985714,44,10,easy,full,10easy,correct
cccfd3ac,8,14,13.95192308,0,-119.5046007,14,366.307,validatedCorrect,10_easy_full,0.78125,18.35961538,82,10,easy,full,10easy,correct
cff10c9a,5,9,7.709875,2,647.7635547,9,469.659,wrong,10_easy_full,1.553333333,20.755875,31,10,easy,full,10easy,wrong
d0e6841e,10,18,13.4724375,0,-391.7959378,17,582.116,validatedCorrect,10_easy_full,1.026289683,23.5243125,76,10,easy,full,10easy,correct
d4cbca4e,10,11,16.7552,1,-164.5691332,12,599.241,validatedCorrect,10_easy_full,1.164695051,32.6921,60,10,easy,full,10easy,correct
d6c10e9a,4,4,18.50666667,3,214.4970853,5,533.302,wrong,10_easy_full,3.034166667,82.10566667,48,10,easy,full,10easy,wrong
dacfd3d4,6,6,26.3728,1,2.715563667,9,395.967,wrong,10_easy_full,0.990079365,39.1986,74,10,easy,full,10easy,wrong
f1fbe0de,3,4,24.697,1,480.3841407,5,241.113,wrong,10_easy_full,1.397953515,38.81566667,21,10,easy,full,10easy,wrong
f5dac888,7,12,8.386,0,-1032.205964,13,385.951,wrong,10_easy_full,0.972222222,21.341875,58,10,easy,full,10easy,wrong
fedbec09,8,7,8.474,0,1.70227653,8,278.533,wrong,10_easy_full,0.963307824,15.787,26,10,easy,full,10easy,wrong
2fd101b0,4,4,12.75666667,0,-2620.681863,5,218.377,validatedCorrect,10_easy_pruned,0.586502268,19.869,61,10,easy,pruned,10easy,correct
39afd1eb,2,3,2.048,1,2005.149386,2,168.836,wrong,10_easy_pruned,4.78859548,13.824,5,10,easy,pruned,10easy,wrong
3ab7160d,11,16,11.97293333,3,324.3717446,16,555.601,validatedCorrect,10_easy_pruned,0.977083334,22.93013333,62,10,easy,pruned,10easy,correct
43dbc360,8,10,11.81075,1,-1285.427899,9,503.376,wrong,10_easy_pruned,1.347222222,30.78325,31,10,easy,pruned,10easy,wrong
46c12352,4,8,16.71075,2,-552.2802464,5,454.768,wrong,10_easy_pruned,1.341337869,26.2175,18,10,easy,pruned,10easy,wrong
4ecfea32,7,11,13.8744,6,313.905637,14,552.067,validatedCorrect,10_easy_pruned,0.598806689,27.6186,64,10,easy,pruned,10easy,correct
76bfdf0b,9,2,51.324,0,-247.5672818,10,537.46,wrong,10_easy_pruned,1.529564666,63.971,40,10,easy,pruned,10easy,wrong
89cbfdf9,10,16,7.004066667,2,183.3013592,16,356.401,wrong,10_easy_pruned,0.840987803,15.739,55,10,easy,pruned,10easy,wrong
8defd34b,6,11,10.6607,1,445.7969708,12,599.523,validatedCorrect,10_easy_pruned,0.972222222,33.1313,45,10,easy,pruned,10easy,correct
92f69945,2,3,7.411,2,837.301412,3,172.905,wrong,10_easy_pruned,1.440972222,26.4835,12,10,easy,pruned,10easy,wrong
a7bfd4fc,2,3,7.86,2,8.123122002,4,166.666,wrong,10_easy_pruned,6.199972595,27.2855,15,10,easy,pruned,10easy,wrong
c3dfd812,20,25,7.716708333,4,251.8866833,25,565.171,validatedCorrect,10_easy_pruned,1.159890395,14.14441667,80,10,easy,pruned,10easy,correct
