win_score,blocking_score,fitted_heuristic,userid,proportion_participants
750,100,non-linear,43,0.116216216
1000,2,blocking,54,0.145945946
1000,2,blocking_blind,144,0.389189189
1000,2,density,46,0.124324324
1000,2,interaction,8,0.021621622
1000,2,interaction_blind,48,0.12972973
1000,2,linear,9,0.024324324
1000,2,non-linear,61,0.164864865
1000,20,blocking,51,0.137837838
1000,20,blocking_blind,138,0.372972973
1000,20,density,43,0.116216216
1000,20,interaction,15,0.040540541
1000,20,interaction_blind,66,0.178378378
1000,20,linear,7,0.018918919
1000,20,non-linear,50,0.135135135
1000,40,blocking,50,0.135135135
1000,40,blocking_blind,121,0.327027027
1000,40,density,43,0.116216216
1000,40,interaction,17,0.045945946
1000,40,interaction_blind,86,0.232432432
1000,40,linear,7,0.018918919
1000,40,non-linear,46,0.124324324
1000,60,blocking,47,0.127027027
1000,60,blocking_blind,117,0.316216216
1000,60,density,43,0.116216216
1000,60,interaction,19,0.051351351
1000,60,interaction_blind,91,0.245945946
1000,60,linear,7,0.018918919
1000,60,non-linear,46,0.124324324
1000,80,blocking,43,0.116216216
1000,80,blocking_blind,108,0.291891892
1000,80,density,43,0.116216216
1000,80,interaction,25,0.067567568
1000,80,interaction_blind,98,0.264864865
1000,80,linear,7,0.018918919
1000,80,non-linear,46,0.124324324
1000,100,blocking,40,0.108108108
1000,100,blocking_blind,103,0.278378378
1000,100,density,44,0.118918919
1000,100,interaction,25,0.067567568
1000,100,interaction_blind,102,0.275675676
1000,100,linear,7,0.018918919
1000,100,non-linear,49,0.132432432
1250,120,blocking,37,0.1
1250,120,blocking_blind,99,0.267567568
1250,120,density,44,0.118918919
1250,120,interaction,27,0.072972973
1250,120,interaction_blind,105,0.283783784
1250,120,linear,7,0.018918919
1250,120,non-linear,51,0.137837838
1250,140,blocking,36,0.097297297
1250,140,blocking_blind,96,0.259459459
1250,140,density,44,0.118918919
1250,140,interaction,28,0.075675676
1250,140,interaction_blind,107,0.289189189
1250,140,linear,7,0.018918919
1250,140,non-linear,52,0.140540541
1250,160,blocking,35,0.094594595
1250,160,blocking_blind,92,0.248648649
1250,160,density,45,0.121621622
1250,160,interaction,28,0.075675676
1250,160,interaction_blind,113,0.305405405
1250,160,linear,7,0.018918919
1250,160,non-linear,50,0.135135135
1250,180,blocking,32,0.086486486
1250,180,blocking_blind,89,0.240540541
1250,180,density,45,0.121621622
1250,180,interaction,30,0.081081081
1250,180,interaction_blind,117,0.316216216
1250,180,linear,7,0.018918919
1250,180,non-linear,50,0.135135135
1250,200,blocking,31,0.083783784
1250,200,blocking_blind,85,0.22972973
1250,200,density,45,0.121621622
1250,200,interaction,31,0.083783784
1250,200,interaction_blind,120,0.324324324
1250,200,linear,7,0.018918919
1250,200,non-linear,51,0.137837838
1500,120,blocking,39,0.105405405
1500,120,blocking_blind,102,0.275675676
1500,120,density,44,0.118918919
1500,120,interaction,26,0.07027027
1500,120,interaction_blind,100,0.27027027
1500,120,linear,7,0.018918919
1500,120,non-linear,52,0.140540541
1500,140,blocking,36,0.097297297
1500,140,blocking_blind,97,0.262162162
1500,140,density,44,0.118918919
1500,140,interaction,28,0.075675676
1500,140,interaction_blind,105,0.283783784
1500,140,linear,7,0.018918919
1500,140,non-linear,53,0.143243243
1500,160,blocking,36,0.097297297
1500,160,blocking_blind,95,0.256756757
1500,160,density,45,0.121621622
1500,160,interaction,28,0.075675676
1500,160,interaction_blind,107,0.289189189
1500,160,linear,7,0.018918919
1500,160,non-linear,52,0.140540541
1500,180,blocking,35,0.094594595
1500,180,blocking_blind,91,0.245945946
1500,180,density,45,0.121621622
1500,180,interaction,28,0.075675676
1500,180,interaction_blind,112,0.302702703
1500,180,linear,7,0.018918919
1500,180,non-linear,52,0.140540541
1500,200,blocking,32,0.086486486
1500,200,blocking_blind,88,0.237837838
1500,200,density,45,0.121621622
1500,200,interaction,30,0.081081081
1500,200,interaction_blind,117,0.316216216
1500,200,linear,7,0.018918919
1500,200,non-linear,51,0.137837838
1750,120,blocking,39,0.105405405
1750,120,blocking_blind,102,0.275675676
1750,120,density,43,0.116216216
1750,120,interaction,26,0.07027027
1750,120,interaction_blind,100,0.27027027
1750,120,linear,8,0.021621622
1750,120,non-linear,52,0.140540541
1750,140,blocking,36,0.097297297
1750,140,blocking_blind,98,0.264864865
1750,140,density,43,0.116216216
1750,140,interaction,28,0.075675676
1750,140,interaction_blind,104,0.281081081
1750,140,linear,8,0.021621622
1750,140,non-linear,53,0.143243243
1750,160,blocking,36,0.097297297
1750,160,blocking_blind,96,0.259459459
1750,160,density,44,0.118918919
1750,160,interaction,28,0.075675676
1750,160,interaction_blind,106,0.286486486
1750,160,linear,8,0.021621622
1750,160,non-linear,52,0.140540541
1750,180,blocking,36,0.097297297
1750,180,blocking_blind,93,0.251351351
1750,180,density,44,0.118918919
1750,180,interaction,28,0.075675676
1750,180,interaction_blind,109,0.294594595
1750,180,linear,8,0.021621622
1750,180,non-linear,52,0.140540541
1750,200,blocking,34,0.091891892
1750,200,blocking_blind,90,0.243243243
1750,200,density,44,0.118918919
1750,200,interaction,28,0.075675676
1750,200,interaction_blind,113,0.305405405
1750,200,linear,8,0.021621622
1750,200,non-linear,53,0.143243243
2000,120,blocking,39,0.105405405
2000,120,blocking_blind,103,0.278378378
2000,120,density,43,0.116216216
2000,120,interaction,25,0.067567568
2000,120,interaction_blind,99,0.267567568
2000,120,linear,8,0.021621622
2000,120,non-linear,53,0.143243243
2000,140,blocking,38,0.102702703
2000,140,blocking_blind,100,0.27027027
2000,140,density,43,0.116216216
2000,140,interaction,25,0.067567568
2000,140,interaction_blind,103,0.278378378
2000,140,linear,8,0.021621622
2000,140,non-linear,53,0.143243243
2000,160,blocking,36,0.097297297
2000,160,blocking_blind,96,0.259459459
2000,160,density,44,0.118918919
