,board,heuristic,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,userid
26,6_hard_full,density,-3.62874688648,-3.66562646406,-2.76300478434,-3.53058092925,-3.38528569909,44a4fa14
27,6_hard_full,blocking_dens,-2.88315860904,-2.58438016032,-2.78934831198,-2.69802345163,-2.97089934971,47f614be
28,6_hard_full,blocking,-2.49402014851,-3.11299444381,-2.87176216289,-3.41482963137,-2.78846045782,49e6113d
29,6_hard_full,density,-3.90619470925,-3.49382231668,-2.58673675959,-3.39528784915,-3.63590545577,4af5df5d
30,6_hard_full,blocking,-2.17109966199,-2.50184062373,-2.81994892053,-2.63945081079,-2.30715324378,4ed4c1d3
31,6_hard_full,blocking,-1.96030908616,-2.19441402108,-2.88958227096,-2.39540064382,-2.16129570891,50c60ba6
32,6_hard_full,interaction,-2.53983655053,-2.62454186932,-3.06060429841,-2.57478045994,-2.38733798608,53c4c041
33,6_hard_full,blocking_dens,-2.35759286502,-2.08111160369,-2.74424605598,-2.1720330099,-2.41668897859,54f4bf95
34,6_hard_full,density,-3.40073998209,-3.63632506145,-2.78188826986,-3.77692765424,-3.80102480275,55f5fe54
35,6_hard_full,blocking_dens,-2.56818797942,-2.08071508671,-2.73790265737,-2.18072863354,-2.66820152625,57a4bf4b
36,6_hard_full,blocking_dens,-3.09212581553,-2.63100657869,-2.6660906282,-2.83657292388,-3.26895418864,5ce612bc
37,6_hard_full,blocking,-1.96030908616,-2.19441402108,-2.88958227096,-2.39540064382,-2.16129570891,5dd4c056
38,6_hard_full,density,-3.09883578641,-3.59165585329,-2.82380852518,-3.53659120574,-2.96021163963,5edbbf73
39,6_hard_full,blocking,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,5fd6115c
40,6_hard_full,density,-3.92982815538,-3.90636084211,-2.49187095002,-3.86952024273,-3.78632742494,63c4bfcb
41,6_hard_full,blocking,-2.47704765205,-2.69216343552,-2.85344108318,-2.851616957,-2.61938725534,63e5efe1
42,6_hard_full,density,-3.74813777067,-3.59070223647,-2.89053254475,-3.71492964527,-3.99128212992,64f61543
43,6_hard_full,density,-4.11978915867,-3.83438061071,-2.9042495364,-3.89397072511,-4.20869095584,67eac875
44,6_hard_full,interaction,-2.66369243289,-2.77000015521,-2.69314845117,-2.72759289876,-2.57524130595,68d5e249
45,6_hard_full,blocking,-2.0549806392,-2.62049512905,-2.8952560187,-2.63143017069,-2.08793335916,69bad0fe
46,6_hard_full,density,-3.39658164959,-3.03758741792,-2.75594327538,-2.9285557768,-3.22962247794,6bf51f66
47,6_hard_full,density,-3.75178598513,-3.67939417798,-3.0903126737,-3.65500932327,-3.77462068179,6ee61190
48,6_hard_full,density,-2.92547550211,-2.82361707743,-2.67841834267,-2.76854061233,-2.8900611514,70da8cfb
49,6_hard_full,density,-3.27336269722,-3.34234707498,-2.63225673528,-3.60035087642,-3.67023489391,72f4c145
50,6_hard_full,density,-3.41200590394,-2.86890512529,-2.81782271006,-3.08442330407,-3.58419480198,74b60b9f
51,6_hard_full,density,-3.37384289269,-3.77555835686,-2.65021366259,-4.00339059473,-3.56909674319,76e60f84
52,6_hard_full,blocking_dens,-2.5819971747,-2.04036062724,-2.7980816964,-2.17950156946,-2.72113811691,78f60c95
53,6_hard_full,blocking,-2.84745052607,-2.96986013237,-2.87420859019,-2.9379231199,-2.89594643076,7bf4bf38
54,6_hard_full,blocking_dens,-2.64109990121,-2.57215395047,-2.97677318816,-2.76075639092,-2.82970234166,84a4bf3c
55,6_hard_full,interaction,-2.6567634688,-2.87203369634,-2.73638514311,-2.78155918648,-2.52285463697,87b50908
56,6_hard_full,density,-3.41698873004,-3.20710750244,-2.99279536871,-3.24095975037,-3.39553393252,87f4bf56
57,6_hard_full,interaction_dens,-3.07231602318,-1.8867792581,-2.5870704748,-1.77801508811,-3.09143133636,87f610ee
58,6_hard_full,density,-2.79749150999,-2.86364411983,-2.77077662994,-2.90157338429,-2.81571486355,89d60ba4
59,6_hard_full,density,-3.24478128284,-3.45127855484,-2.90919141296,-3.58065215289,-3.32370140628,8ac4c37c
60,6_hard_full,interaction,-1.96126387511,-2.03579468737,-2.62354547747,-1.9623221491,-1.80244723429,8ea4bf56
61,6_hard_full,blocking_dens,-3.24260932819,-2.74524392523,-2.7473219524,-2.86334748187,-3.32707836686,8fc76287
62,6_hard_full,density,-4.74568356902,-4.14505809818,-2.9178229562,-4.03510739053,-4.63165904261,8fcbec83
63,6_hard_full,blocking,-2.58121627339,-2.66666069849,-3.10954061282,-2.61675720202,-2.59744247205,90c60de8
64,6_hard_full,density,-4.51411935481,-3.65497049599,-2.58613827764,-3.55411312592,-4.64055190956,91a61ead
65,6_hard_full,blocking,-2.26420537073,-2.6545134259,-2.70541546536,-2.73357603929,-2.30593298204,91cfd7fb
66,6_hard_full,density,-3.73144148626,-3.21751337757,-2.8102621289,-3.25219302183,-3.75996326703,92b722f3
67,6_hard_full,density,-3.02845433679,-3.06825481638,-2.79872526261,-3.07799213318,-2.97118703261,94d6ef33
68,6_hard_full,density,-3.75557964275,-3.70479275077,-2.82834853145,-3.69875927646,-3.83868055921,94e4c554
69,6_hard_full,density,-4.52456821117,-4.12005771574,-2.78069398856,-4.04356615859,-4.2766834789,98c4bf54
70,6_hard_full,density,-3.71430920535,-3.55109798337,-2.64599693308,-3.46861722644,-3.51627195767,9adbc2df
71,6_hard_full,density,-4.04720796179,-3.53853525139,-2.87832788831,-3.46541315076,-4.16237556709,9dc50a3d
72,6_hard_full,interaction_dens,-3.2586748795,-2.26248734001,-2.8748010884,-2.24407853905,-3.15438868556,9df60bf8
73,6_hard_full,blocking_dens,-3.71274581163,-1.54159132114,-2.63514194872,-1.71226918459,-3.88342367509,a2f6ba1d
74,6_hard_full,density,-3.65192821998,-3.47852953417,-2.68280386372,-3.51520270759,-3.6746362556,a3d4c3b2
75,6_hard_full,density,-4.29980783922,-3.49748894879,-2.74509515253,-3.50874131551,-4.29756123792,a3d5dfda
76,6_hard_full,interaction_dens,-3.53610822222,-2.6272718666,-2.81754789857,-2.56332729623,-3.70055990879,a4c60d7a
77,6_hard_full,blocking,-2.90451707383,-3.53208073266,-3.02581271564,-3.58462896452,-3.00911449948,a6f610e1
78,6_hard_full,density,-4.7749463732,-3.85906608887,-2.98767336741,-3.92423624171,-4.91205225865,acd61c3d
79,6_hard_full,density,-3.20612741394,-3.43760656613,-2.68990099092,-3.49896741849,-3.30377724212,ada4c06f
80,6_hard_full,density,-3.44943685791,-3.56886412206,-2.79322692896,-3.60272581711,-3.41440668782,b0d518a1
81,6_hard_full,density,-3.63067503832,-4.18491112706,-2.94348449209,-4.12970786107,-3.59742829328,b2d60bc9
82,6_hard_full,blocking_dens,-2.42791960752,-2.08948003191,-2.65968281476,-2.0917016834,-2.518710678,b7a4fe27
83,6_hard_full,interaction_dens,-3.42697310949,-1.86283684318,-2.63844527929,-1.68904513942,-3.18447949135,b8e4bf48
84,6_hard_full,blocking_dens,-2.77601018894,-2.73787921006,-2.7672607655,-2.81481270762,-2.80795678868,bae515f2
85,6_hard_full,blocking,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,bca5dc5e
86,6_hard_full,density,-4.40797529657,-4.43165982524,-2.75463485611,-4.4523784507,-4.48733175439,bcdfd2df
87,6_hard_full,blocking_dens,-3.2945355475,-2.5621811357,-2.87682059761,-2.74367247973,-3.46228650865,bed50a1d
88,6_hard_full,density,-2.8833317855,-2.68478652845,-2.6608557725,-2.71532737239,-2.86234619365,bfa60c8b
89,6_hard_full,interaction,-2.78219493299,-2.93144525136,-2.90009220393,-2.87653720356,-2.77825923987,bfe4c87d
90,6_hard_full,interaction,-2.48748197735,-3.20990636853,-2.87274905999,-3.22643358711,-2.44530164627,c0f60e45
91,6_hard_full,interaction,-2.58158774027,-2.58158774027,-2.78501124224,-2.24730929151,-2.24730929151,c5e4c4a5
92,6_hard_full,density,-5.7617538202,-4.27732704317,-2.70084124545,-4.36672656531,-5.83278593571,c6b4c141
93,6_hard_full,density,-4.05215623873,-4.18443514764,-2.8880584262,-4.27640218966,-4.17767859797,c6b60d63
94,6_hard_full,blocking,-2.48428140965,-2.74052211915,-2.64459494403,-2.75912248264,-2.55988498923,c7a61295
95,6_hard_full,density,-3.93708675829,-3.98346781799,-2.56993535054,-3.94932706322,-3.84956054589,c7a67aab
96,6_hard_full,density,-3.19816857559,-3.22096811986,-2.75027992628,-3.19017314114,-3.19908734882,c8a4fa50
97,6_hard_full,blocking,-1.8767280447,-2.25983510015,-2.82196165896,-2.33359253895,-2.06527067143,c8f4c13d
98,6_hard_full,blocking_dens,-2.39758248668,-2.28958619637,-2.81266813549,-2.68404277741,-2.79203906772,cab61023
99,6_hard_full,density,-4.28843229009,-3.30411873703,-2.49048027506,-3.26399215388,-4.18528452156,cceac8ca
100,6_hard_full,interaction_dens,-3.29349782016,-2.56066807788,-2.69402354006,-2.55093089157,-3.34407133127,cee4bfa4
101,6_hard_full,density,-3.61143082441,-3.64045286867,-2.72214815257,-3.5801699033,-3.61033367112,cfc5dcb3
102,6_hard_full,blocking,-0.869893937233,-2.43217650993,-2.78655207551,-3.14396624433,-1.58168367163,d2a60bac
103,6_hard_full,density,-5.34390594339,-4.64401809631,-2.76136014649,-4.54003332295,-5.38088197992,d8f6387b
104,6_hard_full,density,-3.16047680092,-3.15432241427,-2.69163488475,-3.03449373082,-3.10099997914,dbe71b15
105,6_hard_full,density,-3.55921262462,-3.14299722403,-2.60117277288,-3.03036306876,-3.39724668417,dcc4f10e
106,6_hard_full,blocking_dens,-3.18726519395,-2.34225406905,-2.7417682381,-2.41276091781,-3.34272563034,dfcbf407
107,6_hard_full,density,-3.81705802728,-3.82276687549,-2.90700400546,-3.80997611778,-3.7657105861,dfe6bee3
108,6_hard_full,blocking,-1.99839567395,-2.25666162092,-2.82826896125,-2.6145591774,-2.35629323043,e0d4bfdf
109,6_hard_full,interaction,-2.25631881135,-2.25631881135,-2.44853900562,-1.92204036259,-1.92204036259,e9c4c917
110,6_hard_full,density,-5.36840045716,-4.76288655374,-2.74749707321,-4.69584995714,-5.2228197687,ead61455
111,6_hard_full,blocking_dens,-3.20382061439,-2.39037830021,-2.78388724338,-2.52633381408,-3.33977612827,ebc61801
112,6_hard_full,interaction_dens,-4.03462808426,-2.25952174187,-2.70937590913,-2.11966467871,-3.81697586129,eec7360c
113,6_hard_full,density,-3.90416071792,-3.52398471872,-2.78521874405,-3.63488746672,-3.95547645128,efebc5bb
114,6_hard_full,density,-3.78499480439,-3.80801988699,-2.9281277344,-3.6817680723,-3.73389355359,eff4bf48
115,6_hard_full,blocking_dens,-2.65124058249,-2.65060356533,-2.73677944714,-2.7240504167,-2.68383541715,f1e613a1
116,6_hard_full,interaction,-2.09977229996,-2.09977229996,-2.60268968544,-1.7654938512,-1.7654938512,f1ebd0b7
117,6_hard_full,blocking,-2.70266642402,-2.78884253589,-2.85259351761,-2.90078526517,-2.87701526876,f2f60bd9
118,6_hard_full,density,-3.53447382137,-3.3124948801,-2.71067854313,-3.25800356136,-3.67687133447,f3dbeb7e
119,6_hard_full,interaction_dens,-3.29774234414,-1.91175666295,-2.77084630302,-1.8180351418,-3.43149437059,f4a6108e
120,6_hard_full,density,-4.30494634711,-3.85410571732,-2.75850955539,-3.89041658748,-4.40784021396,f6fbf6b1
121,6_hard_full,density,-4.03876980527,-4.06034556438,-2.76366119108,-4.06988842422,-3.91395164621,f7b4bfae
122,6_hard_full,density,-5.69826922001,-5.09673655719,-2.83673721571,-5.11097718748,-5.85396455675,f8d60bcb
123,6_hard_full,density,-4.22053247091,-3.3118124066,-2.85175547448,-3.25244716184,-4.21618360167,fac10d6e
124,6_hard_full,density,-5.49628010764,-4.97239882191,-3.2294303786,-4.91795400964,-5.47451807587,fac6126a
125,6_hard_full,density,-2.87190893336,-3.43143343956,-2.80224881714,-3.42544899168,-2.86730731009,fde4bf4b
126,6_hard_full,interaction,-2.53469349609,-2.53469349609,-2.31500761299,-2.20041504733,-2.20041504733,ffa4c00b
127,6_hard_full,blocking_dens,-3.33718337023,-2.64912780612,-2.94561919503,-2.72052086558,-3.35661629727,fff4bf68
128,6_hard_pruned,density,-4.61222254637,-4.79576158519,-2.41797445562,-4.67439032314,-4.59418094986,11a64b43
129,6_hard_pruned,interaction_dens,-2.94426682985,-2.01848277016,-2.56235350258,-1.90475490855,-2.95366589432,11a64d17
130,6_hard_pruned,density,-3.36519710864,-3.12466480088,-2.71872618003,-3.10850227057,-3.37310781207,11e652f7
131,6_hard_pruned,blocking_dens,-2.27052523945,-1.81922674827,-2.66410320417,-1.84377993416,-2.43609614232,14d64999
132,6_hard_pruned,density,-3.42512302237,-3.10226908593,-2.68128161384,-3.19176908793,-3.56653527022,16d516ad
133,6_hard_pruned,density,-3.16105192764,-2.97827070121,-2.8149370562,-3.24503560432,-3.42048758102,1dac01e7
134,6_hard_pruned,interaction_dens,-2.45759445118,-2.37358702914,-2.69230312425,-2.32173562311,-2.41938327174,25cfdeaf
135,6_hard_pruned,interaction_dens,-3.24506270089,-1.75826251273,-2.42473064158,-1.58870546401,-2.90306592367,28e6483c
136,6_hard_pruned,density,-3.81545401459,-3.35398431012,-2.61035194903,-3.43410392937,-3.93668064879,2afbbf79
137,6_hard_pruned,interaction_dens,-3.11604999084,-2.23067890521,-2.59829111085,-2.08462501983,-2.79668244771,2ca66220
138,6_hard_pruned,blocking_dens,-3.27414345363,-2.69345626754,-2.72663143512,-2.8233114674,-3.40834546379,2cb650ed
139,6_hard_pruned,interaction_dens,-3.9099886897,-2.48629171399,-2.90379699387,-2.37009126439,-3.62134851159,2fa647f5
140,6_hard_pruned,blocking,-2.0447155473,-2.2207654994,-2.64053199194,-2.32038686506,-2.08656569371,2ff50f64
141,6_hard_pruned,density,-3.9212807929,-3.57023359811,-2.60374285199,-3.46660115865,-4.07048632721,30e4feac
142,6_hard_pruned,interaction_dens,-3.5779887103,-2.42913481779,-2.50962534741,-2.2878372772,-3.28061426391,33e649bd
143,6_hard_pruned,blocking_dens,-3.57091141851,-2.10018328583,-2.69821694767,-2.22614955999,-3.69687769267,3ef64929
144,6_hard_pruned,blocking,-1.45240945104,-1.45240945104,-2.57768838324,-2.13370391749,-2.13370391749,3fa64b7b
145,6_hard_pruned,density,-4.32338491787,-3.75926388876,-2.88110126874,-3.79582307359,-4.39619111774,43e64821
146,6_hard_pruned,interaction_dens,-3.54102489438,-1.81339618079,-2.74374189314,-1.62050231371,-3.27880417811,44a65230
147,6_hard_pruned,interaction_dens,-2.50170328135,-1.60253666817,-2.6012772324,-1.46638774662,-2.30807841566,45b64f9c
148,6_hard_pruned,interaction_dens,-3.26109628946,-1.73783178994,-2.41644742083,-1.55423043336,-2.90505520437,49c72e9b
149,6_hard_pruned,blocking_dens,-3.71363630112,-2.21202928223,-2.84015121805,-2.33885585493,-4.14114460826,4bca7fc9
150,6_hard_pruned,interaction,-2.20169279835,-2.20169279835,-2.42353770341,-1.83757901219,-1.83757901219,4ca649a6
151,6_hard_pruned,density,-3.35765562789,-3.24137615758,-2.8611059472,-3.25172665863,-3.49226455295,4ca65156
152,6_hard_pruned,density,-3.26464558165,-2.74356497078,-2.44291040236,-2.64319902531,-3.1844976358,4cb651bd
153,6_hard_pruned,density,-3.8489725102,-3.09701538511,-2.7266664257,-3.17673595693,-3.92918763581,4ee64c2a
154,6_hard_pruned,density,-4.11233057756,-3.79685462833,-2.65138455218,-3.91791485229,-4.32095389527,53a654e5
155,6_hard_pruned,density,-3.87548921361,-2.6985675794,-2.6781432843,-2.6995347957,-3.81006535249,53d65632
156,6_hard_pruned,blocking_dens,-3.19497717816,-2.38229051459,-2.62011536997,-2.38638654538,-3.17454893336,5adff9a5
157,6_hard_pruned,interaction_dens,-2.75657899936,-2.22822929752,-2.66936281782,-2.21305662014,-2.67521755584,5dbfe29c
158,6_hard_pruned,density,-4.21938738637,-4.05022719317,-2.62393212522,-3.98429316957,-4.2104232564,5fa651bb
159,6_hard_pruned,density,-4.05899791563,-3.7553070879,-2.65464581269,-3.77931518704,-4.06172562288,61e65cc1
160,6_hard_pruned,density,-4.91056162162,-4.52157501577,-3.59614698392,-4.41905367552,-5.00484604178,65afea1f
161,6_hard_pruned,density,-4.33269112981,-3.52356530483,-2.51084042257,-3.43442093949,-4.19304737429,67f64a50
162,6_hard_pruned,density,-3.82027825662,-3.09736898605,-2.72127940083,-3.21219543266,-3.94423210789,68c659b8
163,6_hard_pruned,blocking_dens,-3.1044198726,-1.86581728457,-2.65746211945,-1.9516972511,-3.19029983913,6bb10472
164,6_hard_pruned,interaction_dens,-2.9962821167,-2.58954242447,-2.70269407513,-2.58632255453,-3.05743786988,6dd103e2
165,6_hard_pruned,blocking,-1.45240945104,-1.45240945104,-2.57768838324,-2.13370391749,-2.13370391749,74e11ee8
166,6_hard_pruned,interaction_dens,-2.23758089717,-2.1290561441,-2.57844937367,-2.11072695393,-2.22142215073,7dd704e0
167,6_hard_pruned,blocking_dens,-2.02784838744,-1.84842457546,-2.55040486244,-1.87966783384,-2.00161173632,81c11c9f
168,6_hard_pruned,interaction_dens,-4.54336384473,-2.33497937765,-2.89705374717,-2.18049348805,-4.38887795512,83c64bf9
169,6_hard_pruned,density,-3.27400958362,-2.81062879093,-2.55952158677,-2.84946412006,-3.23905648787,92a74a76
170,6_hard_pruned,interaction,-2.36432726281,-2.36432726281,-2.59177382172,-2.00021347665,-2.00021347665,95a648a3
171,6_hard_pruned,density,-5.51689960969,-5.2377815025,-2.48406882643,-5.22401422364,-5.52991804597,9dd66bae
172,6_hard_pruned,density,-3.56852234713,-3.43605158501,-2.76867012707,-3.3781100631,-3.49620683227,a0d659c9
173,6_hard_pruned,density,-4.28788368123,-3.41450345919,-2.81331434199,-3.38885805956,-4.35919564853,a0f4f1bf
174,6_hard_pruned,density,-3.12305185848,-3.27385962801,-2.58340337454,-3.09888609348,-2.85850370505,a2ebe618
175,6_hard_pruned,blocking_dens,-3.75671196019,-1.65373903422,-2.90810103684,-1.84615428732,-3.94912721328,a5a65415
176,6_hard_pruned,interaction_dens,-2.58092277346,-2.59314530327,-2.68520351665,-2.54511936359,-2.63202889662,aafbd6ab
177,6_hard_pruned,blocking_dens,-3.5345209023,-2.85934182986,-2.95210908384,-2.94226850274,-3.76074143383,aed647d3
178,6_hard_pruned,interaction,-1.96840775695,-2.02957285106,-2.52625757605,-2.02456417036,-1.88022206729,b0e1157c
179,6_hard_pruned,blocking,-1.30842049617,-1.70578952631,-2.70569463847,-1.72404309407,-1.55980296559,b9e512db
180,6_hard_pruned,density,-3.74448437749,-3.74448437749,-2.76000994003,-3.38037059133,-3.38037059133,c7a6593f
181,6_hard_pruned,density,-3.24515864077,-3.05123792145,-2.56989599236,-3.06908386761,-3.30723329317,c7fffe38
182,6_hard_pruned,density,-3.60342115942,-3.48744556755,-2.57186785215,-3.4130536268,-3.61320421814,c9f64da2
183,6_hard_pruned,interaction,-2.16760054421,-2.16760054421,-2.42353770341,-1.80348675806,-1.80348675806,cdf65098
184,6_hard_pruned,density,-3.53507970189,-2.55368409289,-2.40282411988,-2.44824952905,-3.25091628187,d2f65bb5
185,6_hard_pruned,density,-4.18232988773,-3.32427001302,-2.54092859122,-3.18708381675,-4.04604698097,d4fac87b
186,6_hard_pruned,interaction_dens,-3.76868020132,-2.14199592689,-2.61898020987,-2.00347650618,-3.56083531753,daefd33a
187,6_hard_pruned,interaction_dens,-3.64580625649,-2.52772305474,-2.58876687876,-2.38245842836,-3.34123204546,dbe65101
188,6_hard_pruned,density,-4.56856409054,-2.86722821936,-2.64402836307,-2.79312728138,-4.47625217738,dec64994
189,6_hard_pruned,interaction_dens,-3.97718859677,-2.32195726007,-2.49383405421,-2.2480725623,-3.82099774038,e0a737b6
190,6_hard_pruned,density,-3.08759319893,-3.36438743619,-2.9521649533,-3.45486636874,-3.12679235463,e1a64c7d
191,6_hard_pruned,blocking_dens,-3.1044198726,-1.86581728457,-2.65746211945,-1.9516972511,-3.19029983913,e1e500d7
192,6_hard_pruned,interaction_dens,-3.05531072419,-2.40788431428,-2.83635747523,-2.31285454495,-3.11826315216,e2b655ad
193,6_hard_pruned,interaction,-2.48006748308,-2.48006748308,-2.17222327513,-2.11595369693,-2.11595369693,e6f649a1
194,6_hard_pruned,blocking_dens,-2.84992980258,-2.70500376937,-2.75021502201,-2.83946462942,-2.92754524549,e9dbbf8a
195,6_hard_pruned,blocking_dens,-3.66473054488,-2.3994807082,-2.67572432352,-2.47425228698,-3.74273465344,e9e64bef
196,6_hard_pruned,blocking,-1.45240945104,-1.45240945104,-2.57768838324,-2.13370391749,-2.13370391749,eba732b3
197,6_hard_pruned,interaction_dens,-3.34528395135,-1.85848376319,-2.42992573886,-1.70580667683,-3.02016713649,ebc64a59
198,6_hard_pruned,density,-3.6041415146,-3.46507313348,-2.8138513152,-3.37648844074,-3.56251858009,f1f65080
199,6_hard_pruned,density,-3.79380147533,-3.07842900031,-2.68379229692,-3.07133877824,-3.79747507567,f6b64ced
200,6_hard_pruned,interaction,-2.16760054421,-2.16760054421,-2.42353770341,-1.80348675806,-1.80348675806,f6f64b11
201,6_hard_pruned,density,-3.77891218377,-3.77891218377,-2.57768838324,-3.41479839761,-3.41479839761,f8bbc519
202,6_hard_pruned,density,-4.21822907001,-3.21856794622,-2.53963476259,-3.28185751646,-4.23506594589,fcaffad4
203,6_hard_pruned,density,-3.98602401552,-3.52710415612,-2.89991919668,-3.58092017067,-4.15603624084,fdaa7ebb
204,6_hard_pruned,density,-2.99358807232,-3.17361408364,-2.5479742001,-3.08183486978,-2.91276178834,fde6491d
205,10_hard_full,blocking_dens,-3.24896854313,-3.21381930763,-3.58797736116,-3.21434894437,-3.27378409288,13f4ff5a
206,10_hard_full,interaction,-2.44598654117,-2.44598654117,-3.02042488614,-2.25603013389,-2.25603013389,1cdbeb89
207,10_hard_full,blocking_dens,-2.6715260406,-2.59713485927,-3.67060580939,-2.66699434534,-2.74138552666,1df6940e
208,10_hard_full,interaction_dens,-3.95631044229,-3.37747587349,-3.66846457313,-3.33349591671,-3.89476629496,1ff4f828
209,10_hard_full,density,-4.00592795177,-3.79686288766,-3.4884997546,-3.86286652571,-4.09717571562,21abc061
210,10_hard_full,density,-5.66708440188,-4.87260081368,-3.73825639949,-4.83649381829,-5.68915669783,23dbc11c
211,10_hard_full,interaction,-2.44598654117,-2.44598654117,-3.02042488614,-2.25603013389,-2.25603013389,26dbf473
212,10_hard_full,blocking_dens,-2.64551161345,-2.50894090013,-3.62267675912,-2.5849493893,-2.72152010262,28e67c08
213,10_hard_full,blocking,-2.36799848785,-2.57947227346,-3.59423079306,-2.8000067248,-2.5885329392,2fb4f99a
214,10_hard_full,density,-4.37011823141,-4.57456663285,-4.08509753343,-4.56435324927,-4.41094832801,34b12db9
215,10_hard_full,blocking_dens,-3.00898563009,-2.47987666333,-3.59844974148,-2.58575367538,-3.11486264214,65f68460
216,10_hard_full,density,-4.40808986753,-4.3811647851,-3.66917686414,-4.4312628051,-4.60797179854,75ffd9e8
217,10_hard_full,density,-4.58609271415,-4.41824830671,-3.78233279278,-4.41479794116,-4.53740922157,7cf6845b
218,10_hard_full,blocking_dens,-3.52192962349,-3.35440863024,-3.70681143259,-3.38828653218,-3.61635813081,84dbf4f9
219,10_hard_full,blocking,-1.543941334,-1.543941334,-3.24356843746,-1.83716520504,-1.83716520504,87cfed83
220,10_hard_full,density,-3.74781999061,-3.94130241771,-3.6769656251,-3.97640686792,-3.76722957948,8bc69c49
221,10_hard_full,blocking_dens,-2.6715260406,-2.59713485927,-3.67060580939,-2.66699434534,-2.74138552666,92e6f512
222,10_hard_full,interaction,-2.80388002905,-3.07820453872,-3.45371638147,-3.08581835077,-2.78770935042,98d105c1
223,10_hard_full,blocking,-2.3658225082,-2.81830069513,-3.5986614188,-2.87317923452,-2.39424326818,9befd8ad
224,10_hard_full,density,-3.89489525392,-3.96418675149,-3.78427735072,-4.03880877451,-3.95376924944,a3eacaa9
225,10_hard_full,interaction_dens,-3.37169068016,-3.33572539642,-3.59903556476,-3.30351686383,-3.42541695656,a4f74985
226,10_hard_full,blocking_dens,-2.81859480467,-2.77709576144,-3.73129055536,-2.86701691097,-2.9085159542,abc728e1
227,10_hard_full,interaction,-3.37255605919,-4.14285029073,-3.48800295544,-4.16710099581,-3.34133307329,aceaccbc
228,10_hard_full,density,-4.81060705425,-4.78943827268,-3.49015112905,-4.72574906744,-4.69422814594,add50f98
