,board,heuristic,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,userid
0,6_hard_full,density,-4.39223112725,-3.59414889407,-2.89948628283,-3.61123250451,-4.50413500017,11d4bf94
1,6_hard_full,density,-3.41019901395,-3.61501820945,-2.56333165551,-3.47233923456,-3.17306996418,14b4c043
2,6_hard_full,blocking_dens,-2.90041805805,-2.6683803233,-2.82324922598,-2.76960588665,-3.05633117665,14c5dc72
3,6_hard_full,blocking,-2.2952392338,-2.31728930702,-2.74749318131,-2.30941788014,-2.298350482,17b4c1ea
4,6_hard_full,interaction,-2.551068314,-2.66267024425,-2.74435955969,-2.62390132875,-2.38118113355,17e120dd
5,6_hard_full,blocking_dens,-2.53151893887,-2.00306644676,-3.02993067235,-2.44249969393,-2.97095218605,18dac9ef
6,6_hard_full,interaction_dens,-3.05220839185,-2.76660551169,-2.69430675643,-2.66234034158,-3.05823451769,20bfd7bd
7,6_hard_full,density,-4.45159338616,-4.24919336212,-2.89903193596,-4.2278638112,-4.36886183279,22dac859
8,6_hard_full,density,-2.86709180382,-3.10836117259,-2.78616991634,-3.18798783969,-2.89941089766,24a5e25a
9,6_hard_full,interaction_dens,-4.280176187,-2.29027447903,-2.95527812859,-2.19707495538,-4.13301763502,24b61c03
10,6_hard_full,density,-3.79010737241,-3.70072845985,-2.74188051104,-3.8152299016,-3.89415810343,24f4c091
11,6_hard_full,blocking,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,25a611ff
12,6_hard_full,density,-6.07297829974,-3.52379908081,-2.65719355398,-3.66160421191,-6.15386902384,25b60fb4
13,6_hard_full,blocking_dens,-2.71620335017,-1.99363581903,-2.50604015595,-2.15024154438,-2.82373627952,25c4c0ab
14,6_hard_full,density,-2.77048954367,-2.70552574209,-2.66760625331,-2.75308695777,-2.76897796336,26dbf6e9
15,6_hard_full,density,-4.88313039952,-4.42113152565,-2.73164221768,-4.4755779813,-4.99086850945,31e63b91
16,6_hard_full,blocking,-2.69877758621,-2.83872613687,-2.80086120725,-2.9221794163,-2.76414737472,32ebf2e8
17,6_hard_full,interaction,-2.53469349609,-2.53469349609,-2.31500761299,-2.20041504733,-2.20041504733,37f60bbc
18,6_hard_full,blocking_dens,-3.58016575897,-2.40974509686,-2.7952019402,-2.73308531854,-3.90350598064,37f61258
19,6_hard_full,blocking,-2.65364727793,-3.13931666312,-2.70674786013,-3.38153811671,-2.83975023312,38ebbf94
20,6_hard_full,interaction,-2.86372657929,-3.0449042235,-2.78862994556,-2.88110697857,-2.59514757972,3af4bfbb
21,6_hard_full,blocking,-2.25589974974,-2.70224760204,-2.9072846387,-2.80022185079,-2.30169069798,3bb613b2
22,6_hard_full,blocking_dens,-2.24216807584,-2.16073145875,-2.70494631198,-2.21195122948,-2.24003493957,3cd60baf
23,6_hard_full,density,-2.88094274612,-2.96691921677,-2.84621126942,-3.12205797324,-3.0537244986,3df11bae
24,6_hard_full,blocking,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,3ed61f8d
25,6_hard_full,blocking_dens,-3.13032492572,-2.68545536825,-2.717038113,-2.79582842896,-3.21308056696,43c60cd9
