,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
92,6_hard_pruned,interaction,-2.03692354252,-2.79963926005,-2.27257704582,-2.41962655815,-2.11550948219,-2.03452307448,-2.12444454518,33e649bd
93,6_hard_pruned,blocking,-2.34051826944,-2.00501847411,-2.00501847411,-2.63388835168,-2.13318899427,-2.13318899427,-2.34051826944,3ef64929
94,6_hard_pruned,density,-3.06163761294,-2.97091489344,-3.02512621473,-2.84075836606,-3.08318245707,-2.99826679022,-3.11647100341,43e64821
95,6_hard_pruned,density,-2.66514698224,-2.85720413361,-2.90594033579,-2.27351089079,-2.86217908045,-2.60956760661,-2.90131635965,4ca65156
96,6_hard_pruned,interaction,-1.85801071582,-2.19054890791,-2.13088582648,-3.18255686025,-2.01071339222,-1.85263032497,-2.01000917644,4cb651bd
97,6_hard_pruned,interaction,-2.11961935021,-2.09543127463,-2.08830460309,-2.14559447249,-2.17866712275,-2.03460174978,-2.24992744061,4ee64c2a
98,6_hard_pruned,interaction,-2.98769013959,-2.94557117125,-3.18100826354,-4.09528913585,-3.27403587999,-2.89850885806,-3.3398497975,53a654e5
99,6_hard_pruned,interaction,-2.77658302843,-2.97101261664,-3.1419533485,-3.21025880817,-3.1226168057,-2.63665307588,-3.22776330586,53d65632
100,6_hard_pruned,interaction,-2.57601995003,-2.57317280319,-2.50643077482,-2.6555907862,-2.49498385125,-2.42643360018,-2.62973956423,5adff9a5
101,6_hard_pruned,linear,-3.20212951056,-3.55728752805,-3.70379575502,-3.40586321553,-3.55156821171,-3.2219876873,-3.52586704597,5fa651bb
102,6_hard_pruned,interaction,-2.48531423549,-2.5117803452,-3.19315707893,-3.49012121035,-3.28930664974,-2.47675837858,-3.29206680549,61e65cc1
103,6_hard_pruned,interaction,-1.79868555275,-1.99754072693,-2.42275353579,-3.70056043611,-2.33245797627,-1.75176821691,-2.37632633244,67f64a50
104,6_hard_pruned,blocking_dens,-2.27786848496,-2.27778161621,-2.15035655524,-2.54697757732,-2.36621050385,-2.22861559728,-2.40803889363,68c659b8
105,6_hard_pruned,interaction,-2.09850847684,-2.28215574967,-2.30763570764,-2.29953682937,-2.2645358076,-2.0679917472,-2.27403882983,6dd103e2
106,6_hard_pruned,interaction,-1.75724313202,-2.05056032072,-2.07005048907,-1.86503533819,-1.97439785805,-1.72107267047,-2.00883157973,7dd704e0
107,6_hard_pruned,interaction,-1.21966472152,-1.26724784356,-1.17752432872,-1.10325065961,-1.1102353607,-1.0708535005,-1.2245092883,81c11c9f
108,6_hard_pruned,interaction,-1.66154720156,-1.74088743856,-1.77926385253,-2.26646473956,-1.78151944742,-1.56464216996,-1.8601052389,92a74a76
109,6_hard_pruned,linear,-1.88254565046,-2.31018914717,-2.31018914717,-2.59177382172,-1.89703848993,-1.89703848993,-1.88254565046,95a648a3
110,6_hard_pruned,interaction,-1.79240410156,-1.93467561843,-3.18548152451,-5.30450132144,-3.1821406039,-1.72171575361,-3.23334078616,9dd66bae
111,6_hard_pruned,density,-3.30295419268,-3.21234473535,-3.39244451644,-3.14559023613,-3.36830846828,-3.23087521186,-3.41688181038,a0d659c9
112,6_hard_pruned,linear,-3.50030283734,-3.61185939403,-3.63286591845,-3.59320792952,-3.61512894045,-3.55443712643,-3.57297589081,a0f4f1bf
113,6_hard_pruned,interaction,-1.42317229871,-1.72552161908,-2.41298604856,-2.84600331495,-2.16172472128,-1.38740686435,-2.17723500311,a2ebe618
114,6_hard_pruned,blocking,-2.2423054001,-2.21202014328,-2.53264310549,-2.30223148627,-2.45323375776,-2.23358482356,-2.50084837179,aafbd6ab
115,6_hard_pruned,blocking_dens,-3.00744726847,-3.10141982759,-2.77743922813,-2.81332692928,-2.83757630752,-3.02215819168,-2.83666983706,aed647d3
116,6_hard_pruned,density,-2.02950242437,-2.0564487526,-2.32307689062,-1.57803845983,-2.26740776349,-2.04545890237,-2.27889685226,b9e512db
117,6_hard_pruned,interaction,-1.70650998949,-1.82201706414,-2.19578173122,-2.60302156882,-2.22434846233,-1.65919405605,-2.26633018207,c7fffe38
118,6_hard_pruned,linear,-2.03556801077,-2.51070805227,-2.68101382521,-2.77976564428,-2.44736022315,-2.08730483212,-2.39925308976,c9f64da2
119,6_hard_pruned,interaction,-2.03596137452,-2.55134062403,-2.16491902962,-2.74231254034,-2.03864586141,-2.00407166762,-2.04058995362,d2f65bb5
120,6_hard_pruned,interaction,-1.53602934398,-1.70292702097,-2.62191804334,-3.94502176435,-2.622044335,-1.50225116131,-2.62862611259,d4fac87b
121,6_hard_pruned,density,-2.36837792282,-2.78219884354,-2.60684685258,-2.15662655953,-2.44634229194,-2.28367260474,-2.44199763172,dbe65101
122,6_hard_pruned,linear_dens,-3.58296422454,-3.85700975139,-3.63406302328,-4.17197837518,-3.53323184207,-3.52774499824,-3.50275417201,dec64994
123,6_hard_pruned,interaction,-2.11888365899,-2.26490144301,-2.59135202726,-2.58415670585,-2.66348667091,-2.1020159024,-2.65701780135,e1a64c7d
124,6_hard_pruned,interaction_dens,-2.29913713906,-2.84659783842,-2.40484321264,-2.83635747523,-2.29880907623,-2.33085921437,-2.31938236766,e2b655ad
125,6_hard_pruned,blocking_dens,-2.30534313991,-2.40160383092,-1.87727959877,-2.92843200628,-1.99870398461,-2.20707308474,-2.07253037957,e9dbbf8a
126,6_hard_pruned,blocking_dens,-2.80369968184,-2.73558042395,-2.33945355848,-2.84711255309,-2.40699872635,-2.73109310592,-2.49131900095,e9e64bef
127,6_hard_pruned,linear,-1.90183860272,-2.4106158037,-2.57398704411,-2.45411230916,-2.44034630939,-1.9500401773,-2.39655181705,f1f65080
128,6_hard_pruned,interaction,-2.07139099347,-2.21789322737,-2.37775084697,-2.9856972275,-2.48286379482,-2.02101531441,-2.51379925974,f6b64ced
129,6_hard_pruned,linear,-2.75429429714,-2.85029032605,-3.20567361674,-3.41074072389,-3.33024367643,-2.7596998462,-3.32485637085,fcaffad4
130,6_hard_pruned,blocking_dens,-3.08024374355,-3.26769143918,-2.98704666311,-3.6375511623,-3.0281615144,-3.08035296844,-3.03353002788,fdaa7ebb
131,6_hard_pruned,interaction,-1.85431927458,-2.38853057055,-2.73217216365,-2.50878203867,-2.53198220464,-1.81880327494,-2.54870541281,fde6491d
132,10_hard_full,interaction,-2.49545957803,-2.17324860769,-2.59545823368,-3.32949148419,-2.58864981986,-2.17268566931,-2.87378463744,13f4ff5a
133,10_hard_full,interaction_dens,-2.97159314785,-2.841091321,-2.66391716969,-2.77160280601,-2.60477115709,-2.75385667329,-2.80762309487,1ff4f828
134,10_hard_full,blocking,-2.95537482183,-2.69755829365,-3.03656011852,-3.36271852998,-3.10792606327,-2.74024106189,-3.2230496487,21abc061
