,fitted_heuristic,log_likelihood,userid
0,interaction,-1.8086905804285716,17e120dd
1,blocking,-0.6797008133333334,18dac9ef
2,blocking,-1.6702634855714287,20bfd7bd
3,blocking,-0.8945822548888889,26dbf6e9
4,blocking,-2.1655718668571433,32ebf2e8
5,non-linear,-1.8694236562500002,38ebbf94
6,blocking,-1.279829718625,3df11bae
7,interaction,-1.9721851046666663,44a4fa14
8,interaction,-1.383517571222222,5edbbf73
9,linear,-2.8187604441176473,67eac875
10,blocking,-1.8093823145254238,69bad0fe
11,interaction,-1.329563366,6bf51f66
12,interaction,-1.875632861681818,70da8cfb
13,interaction,-1.74053692635,87b50908
14,blocking,-1.8942644490499998,8fc76287
15,blocking,-1.9708794161935483,91cfd7fb
16,linear,-2.390576664695652,92b722f3
17,blocking,-2.2407044938,94d6ef33
18,density,-2.4894820288000004,9adbc2df
19,linear,-2.5540196258367347,9dc50a3d
20,density,-2.0777290675,a2f6ba1d
21,interaction,-2.551310756717392,b0d518a1
22,blocking,-1.4351971776666668,b7a4fe27
23,blocking,-1.1758662895555558,bae515f2
24,blocking,-1.648644302529412,bed50a1d
25,density,-2.918130346685714,c7a67aab
26,blocking,-2.189318775918919,c8a4fa50
27,linear,-2.6108401034,cceac8ca
28,density,-3.119439298777778,dbe71b15
29,interaction,-1.7424455713,dcc4f10e
30,blocking,-1.994034617777778,dfcbf407
31,non-linear,-2.2007029803913043,dfe6bee3
32,interaction,-2.1044244506666665,eec7360c
33,non-linear,-2.2653020035624998,f3dbeb7e
34,linear,-2.8998739984516124,f6fbf6b1
35,linear,-2.7693145991666666,fac10d6e
36,blocking,-1.2466074615,16d516ad
37,blocking,-1.4838080778333333,1dac01e7
38,blocking,-1.80075294,25cfdeaf
39,linear,-2.482216309846154,2afbbf79
40,interaction,-1.2462483684999999,2ff50f64
41,density,-3.0493635248333337,30e4feac
42,interaction,-1.8208107703333332,49c72e9b
43,non-linear,-0.77882968425,4bca7fc9
44,blocking,-2.094998245666667,5adff9a5
45,linear,-1.7395677545555557,5dbfe29c
46,blocking,-1.202136508,6bb10472
47,linear,-1.9948797920952377,6dd103e2
48,blocking,-1.745550585676923,7dd704e0
49,blocking,-0.6095773148999999,81c11c9f
50,blocking,-1.9985236579166665,92a74a76
51,interaction,-1.5791279724999998,a2ebe618
52,blocking,-2.2433822491428574,aafbd6ab
53,interaction,-1.905758357,b0e1157c
54,non-linear,-1.4181788103571429,b9e512db
55,blocking,-2.190324674722222,c7fffe38
56,density,-2.5774219921249997,d4fac87b
57,interaction,-1.7720111633333333,daefd33a
58,blocking,-1.12888640225,e1e500d7
59,density,-2.537228663181818,e9dbbf8a
60,density,-2.5799820267857143,fdaa7ebb
61,blocking,-2.4788129029999997,13f4ff5a
62,blocking,-1.0651165236666666,1df6940e
63,interaction,-2.838551371928571,1ff4f828
64,blocking,-2.7817682094583343,21abc061
65,blocking,-1.6750138760000002,28e67c08
66,blocking,-1.6917278919999998,2fb4f99a
67,blocking,-2.604377969125,65f68460
68,blocking,-2.293653924090909,84dbf4f9
69,blocking,-1.5582579001666665,92e6f512
70,interaction,-1.8866320303000002,98d105c1
71,blocking,-1.7577732808000004,9befd8ad
72,blocking,-2.5113133611176472,a3eacaa9
73,blocking,-3.0567897354999993,a4f74985
74,blocking,-1.2902955423333333,abc728e1
75,interaction,-2.1933265517500007,aceaccbc
76,blocking,-2.0828981852666666,d2ac158a
77,interaction,-2.631704007888889,13b7468e
78,interaction,-2.600528372190476,13dbbfb8
79,blocking,-2.7083630439642863,16f6e58d
80,density,-2.9836096226666666,1bd72c42
81,interaction,-2.898209485437499,28d4fefb
82,blocking,-1.5495713300625003,32fad07f
83,blocking,-3.0240556185,41bad9a2
84,blocking,-1.6814447621111113,5bc4f225
85,blocking,-2.1928382364393935,7dea8d37
86,blocking,-1.7672268175652173,8aa6d830
87,blocking,-2.40685594145946,8ea50714
88,blocking,-1.9343217382,98c10b8a
89,blocking,-2.99615681651282,acdac85f
90,blocking,-0.47553919433333336,bacbc468
91,blocking,-1.6436122991666666,bcf51783
92,blocking,-2.218417786893617,cdc514e1
93,density,-2.64112595375,d9e4f7e5
94,blocking,-3.0113456435200003,e2b10de5
95,blocking,-2.9684777538055567,e6efec72
96,blocking,-1.8776367321111112,edfff93e
97,blocking,-3.2451392860555557,efd4fa4a
98,interaction,-2.5396022140625,f4c4f33c
99,blocking,-2.470677810058824,fcb764e3
100,non-linear,-1.3695601606428571,25dfef96
101,non-linear,-1.5334635375294121,2aabe76a
102,linear,-2.2693124072941178,34cffc40
103,blocking,-0.6866396164545454,38abe966
104,density,-2.72105005625,3acff9fa
105,blocking,-1.166496038,3bac0799
106,interaction,-2.201530667457143,3fcbc0ab
107,interaction,-1.246917854090909,40a74de0
108,non-linear,-2.0268794466,4ed755f1
109,linear,-2.3926233515416673,59d51c4c
110,blocking,-0.5961664197500001,5acfeabc
111,non-linear,-2.5596997138749997,5de11557
112,non-linear,-1.779990697666667,6bca8117
113,density,-2.8508425090322587,86f6e2cb
114,interaction,-1.42174023388,8df4f6e8
115,density,-2.519679346103448,9defd82d
116,density,-2.8206351519047623,a6bff327
117,blocking,-0.5854151709285714,aedbea55
118,density,-1.4650391352,b3e4f78d
119,interaction,-0.18242893525,b4abeb7e
120,non-linear,-2.0731400337999997,b7eae04f
121,density,-2.9250364390476205,cfd6ff5a
122,density,-2.5155016446486487,d3b525de
123,blocking,-2.4125390439444443,d6b67ee1
124,density,-2.9148912213571427,d6d500ab
125,linear,-2.7242716847857147,dabbe6bb
126,density,-2.9824027514230766,efa7383d
127,blocking,-0.5783691384117648,f9c123d7
128,interaction,-2.3334211535555553,fda4f169
129,non-linear,-1.9084704900909093,11dfe866
130,interaction,-0.2684596713333333,12ebbfd2
131,blocking,-1.305028443611111,16e512d0
132,non-linear,-2.115791546641026,19a105e3
133,density,-1.4331389046666667,1de715c7
134,interaction,-0.47954712866666666,1fdbc072
135,density,-2.4882116494399993,2dca846d
136,interaction,-0.2013447535,2dfbc35a
137,density,-2.1526727514210524,33b693e2
138,interaction,-1.113834652,33ebe68d
139,linear,-1.5331147402999998,48c70a00
140,non-linear,-2.2693908838529415,4dc50d03
141,linear,-1.8668063510714283,55a709fd
142,blocking,-1.5105867360000003,58e72ee8
143,density,-2.6250459518208955,67abc3ab
144,density,-2.6708383662,67abf219
145,non-linear,-2.0081890548571426,6cbbcdf7
146,non-linear,-1.8965925926666662,6fc70a09
147,non-linear,-2.373760472363637,7acbc3e2
148,blocking,-1.7419222680000002,7cc119e0
149,blocking,-1.0999510031818185,7db4f1d2
150,interaction,-0.5175095397142856,8ab71c6b
151,blocking,-0.739780858,94abbfb2
152,interaction,-2.4183527009166665,96afd320
153,interaction,-0.567299387,9db10b00
154,linear,-2.4094376186666664,adfac866
155,interaction,-0.2044504505,b7e510d3
156,density,-2.1370234719999996,c0cbeef2
157,non-linear,-1.6961525225000003,c8afed22
158,interaction,-1.1018441953333333,c9c757af
159,non-linear,-2.020332021846154,d2d73ea5
160,interaction,-2.178235230625,dcfbe5af
161,interaction,-2.5024345073333336,ddb7456a
162,non-linear,-2.7700283329375,dfa705b9
163,blocking,-2.4516196672999997,e1b100ae
164,density,-2.6261599886666662,edbbcb60
165,blocking,-2.159362796175,26e680e4
166,interaction,-0.1983939613333333,2fe692a5
167,blocking,-1.6584695435555556,31b4fc9e
168,blocking,-1.1202809444666668,3ac5170c
169,blocking,-3.0888937190000005,56e6f5d2
170,blocking,-2.1092875896774195,5cd6bb63
171,blocking,-2.346100115714286,67f69d24
172,interaction,-2.269779875163265,6ac7311a
173,non-linear,-2.4624629368749997,6dfbeafe
174,blocking,-2.723690292285714,70bffd4d
175,non-linear,-1.11692024275,8de6a2af
176,blocking,-3.0196531210909097,92a70054
177,blocking,-1.4315857261599998,9ae751bc
178,blocking,-2.14039633855102,abdacc98
179,blocking,-2.4589414848039217,acc6e9d4
180,blocking,-2.8423562769565227,b4a4f22a
181,blocking,-2.237165971142857,c8c4f85a
182,blocking,-2.6232157679047616,cff10c9a
183,blocking,-2.0474731732121216,d6c10e9a
184,blocking,-1.286294058,daf74d3f
185,non-linear,-2.946446120375,e6abcdb2
186,non-linear,-3.199603815368422,e9bbf006
187,blocking,-2.224075157642857,f1fbe0de
188,interaction,-2.5611652039999995,39afd1eb
189,blocking,-0.6689537040000001,4eb4f441
190,non-linear,-2.8444887493076925,5aebf3c2
191,blocking,-2.4896455896250003,92f69945
192,blocking,-1.8480758383333333,acb11b17
193,blocking,-2.0364593632,b9e10f8b
194,blocking,-2.4029575775714287,c7c6f18d
195,non-linear,-2.7801665073636364,ceafe698
196,blocking,-1.8480758383333333,cec10cc8
197,blocking,-2.9379334297999997,eec719ce
198,blocking,-1.8647262999090912,f8efd664
199,interaction,-2.8106972064210525,fdc4f07b
200,interaction,-2.144444891090909,18c75602
201,blocking,-1.6348003962666666,33bbca9a
202,blocking,-1.6643438802500001,34d51755
203,blocking,-2.6648233203333334,36ebe4da
204,blocking,-2.4319171644999997,38cbc1f6
205,blocking,-2.431579719162162,48ec02bc
206,blocking,-2.739127366000001,4cb73467
207,blocking,-2.6920550136999997,4cffe209
208,blocking,-3.288435184,4de4f27d
209,blocking,-2.4377061228461536,54d4fd9d
210,blocking,-2.5552071367058824,54f6b927
211,interaction,-1.2359261316666668,72e6961c
212,blocking,-2.210344033,81a10227
213,blocking,-1.8819047255625,85e50169
214,blocking,-2.45510455,89fbc220
215,interaction,-3.2118274112500003,93c70cc1
216,interaction,-3.237484585,96abd246
217,interaction,-1.4860712804285714,9ea4fe94
218,density,-1.8103148494999999,a5e116c5
219,blocking,-2.506747375441177,a7b511d6
220,blocking,-1.9674224547142856,b3dbd892
221,blocking,-2.6313246385454545,b9bbc96c
222,interaction,-1.9526679925,bca124ea
223,interaction,-2.783310587142857,bfabcc7d
224,blocking,-2.3538916164313726,c6c100be
225,interaction,-2.3801821848,e0a10efa
226,blocking,-2.15771064225,e5b69f84
227,blocking,-2.3190496885000003,eaaff660
228,interaction,-1.950761917551724,f8e11654
229,blocking,-1.3357391031111112,19b680e2
230,non-linear,-1.5775505726666665,2bd72f3e
231,blocking,-2.1485543156363645,33a74451
232,non-linear,-1.8315928655000002,3ed1161d
233,non-linear,-1.5775505726666665,42f75809
