,fitted_heuristic,log_likelihood,userid
154,density,-2.66995137111,d3b525de
155,blocking,-1.96097704555,d6b67ee1
156,density,-2.72110550927,d6d500ab
157,non-linear,-2.52422197522,dabbe6bb
158,density,-2.82568136705,efa7383d
159,blocking,-0.849635695664,f9c123d7
160,interaction,-2.29913419949,fda4f169
161,non-linear,-1.91754666756,11dfe866
162,interaction,-0.247379509849,12ebbfd2
163,non-linear,-1.78106475512,16e512d0
164,non-linear,-2.02561798276,19a105e3
165,density,-1.43313890469,1de715c7
166,interaction,-0.479547128929,1fdbc072
167,density,-2.37198324578,2dca846d
168,non-linear,-1.90457351312,2dfbc35a
169,non-linear,-2.46078280499,33b693e2
170,interaction,-0.75224996845,33ebe68d
171,non-linear,-1.52020113202,48c70a00
172,non-linear,-1.96286189528,4dc50d03
173,interaction,-2.3747246251,55a709fd
174,blocking,-1.89628545571,58e72ee8
175,density,-2.73643124216,67abc3ab
176,density,-2.71918962922,67abf219
177,non-linear,-1.81771490738,6cbbcdf7
178,non-linear,-1.83298823648,6fc70a09
179,non-linear,-2.36203466965,7acbc3e2
180,non-linear,-1.46404618273,7cc119e0
181,blocking,-1.03399798829,7db4f1d2
182,interaction,-1.2925065702,8ab71c6b
183,blocking,-0.957083533396,94abbfb2
184,interaction,-1.71868958528,96afd320
185,density,-2.14698933723,9db10b00
186,linear,-2.37026605286,adfac866
187,interaction,-0.333237628162,b7e510d3
188,interaction,-0.84529896479,c0cbeef2
189,non-linear,-1.92122946812,c8afed22
190,interaction,-1.10184419531,c9c757af
191,non-linear,-1.79935908051,d2d73ea5
192,interaction,-2.27446859942,dcfbe5af
193,density,-2.5949226954,ddb7456a
194,density,-2.58137251985,dfa705b9
195,blocking,-2.49480780385,e1b100ae
196,non-linear,-2.77231585693,edbbcb60
197,density,-4.10243623396,16ead0a0
198,density,-4.70447848117,1de74153
199,density,-4.30012727771,20a4fec4
200,non-linear,-3.8244809614,23b6924e
201,blocking,-2.48307980167,26e680e4
202,blocking,-0.978939591413,2fe692a5
203,blocking,-1.9464070931,31b4fc9e
204,blocking,-3.22399480325,37bffc4e
205,blocking,-2.03395660681,3ac5170c
206,linear,-3.49765332163,3dfad0f2
207,non-linear,-3.52037981881,55c68fc5
208,blocking,-2.69645230993,56e6f5d2
209,non-linear,-3.18116227334,58d72aaf
210,blocking,-2.22707372476,5cd6bb63
211,blocking,-2.07498607086,67f69d24
212,blocking,-2.13985332753,6ac7311a
213,interaction,-3.41315584732,6cc4f8b6
214,non-linear,-3.92789706632,6cd50fc7
215,blocking,-2.43942378065,6dfbeafe
216,blocking,-2.62996744209,70bffd4d
217,non-linear,-3.60428746032,72caeffe
218,non-linear,-2.89542810517,75bbec9c
219,non-linear,-3.4746397499,89cbc391
220,blocking,-1.01740110887,8de6a2af
221,blocking,-3.02429275198,92a70054
222,blocking,-1.48601332098,9ae751bc
223,non-linear,-2.45381536281,a2d68973
224,blocking,-2.0257465494,abdacc98
225,blocking,-2.63588857944,acc6e9d4
226,density,-4.65638939695,aefbe715
227,blocking,-2.48192258187,b4a4f22a
228,linear,-3.63539837285,b8a4fbaa
229,interaction,-2.31609669618,b9bbef4c
230,non-linear,-3.14938346757,c0dfd341
231,blocking,-3.36231366349,c6aad6d0
232,blocking,-2.10131692775,c8c4f85a
233,non-linear,-3.55396210146,cccfd3ac
234,blocking,-2.38913313228,cff10c9a
235,blocking,-3.20140186002,d0e6841e
236,non-linear,-3.6400353179,d4cbca4e
237,non-linear,-2.13098767504,d6c10e9a
238,non-linear,-3.20663718114,dacfd3d4
239,blocking,-2.7495589056,daf74d3f
240,blocking,-2.9082811489,e6abcdb2
241,blocking,-2.99736763464,e9bbf006
242,blocking,-2.24526996508,f1fbe0de
243,density,-4.22200110497,f5dac888
244,non-linear,-3.23298085091,fcf4f6d3
245,non-linear,-3.55180294491,fedbec09
246,density,-4.27821992631,2fd101b0
247,blocking,-1.54136603182,39afd1eb
248,non-linear,-3.56363664435,3ab7160d
249,blocking,-3.54192962544,43dbc360
250,density,-3.4658854917,46c12352
251,non-linear,-3.16520015585,47dbc824
252,interaction,-1.76265808733,4eb4f441
253,density,-3.67566894171,4ecfea32
254,density,-3.79847496314,4fb692a0
255,interaction,-2.56823932006,5aebf3c2
256,non-linear,-3.83879674911,76bfdf0b
257,non-linear,-3.52465630573,89cbfdf9
258,blocking,-3.06215579601,8defd34b
259,blocking,-2.51687419512,92f69945
260,non-linear,-2.64883020948,a7bfd4fc
261,interaction,-1.57943887004,acb11b17
262,blocking,-1.78771072954,b9e10f8b
263,non-linear,-3.63471927375,c3dfd812
264,blocking,-1.73478275087,c7c6f18d
265,non-linear,-3.14741638743,cdc50047
266,non-linear,-3.09501843379,ceafe698
267,blocking,-1.84807583852,cec10cc8
268,density,-4.05526735532,d5aff345
269,blocking,-2.7195557444,e2bbe5e1
270,non-linear,-3.11194364353,eec719ce
271,blocking,-2.65458024956,f8efd664
272,interaction,-2.94386327655,fdc4f07b
273,interaction,-1.88145515068,18c75602
274,blocking,-1.96014611989,33bbca9a
275,density,-2.77565451326,34d51755
276,interaction,-2.14370228618,36ebe4da
277,blocking,-2.37270639148,38cbc1f6
278,density,-3.31625959639,39b67ab6
279,blocking,-2.55899553135,48ec02bc
280,blocking,-2.36767605793,4cb73467
281,blocking,-2.59155084761,4cffe209
282,blocking,-2.81323558733,4de4f27d
283,blocking,-2.74834599353,54d4fd9d
284,blocking,-2.82000511276,54f6b927
285,interaction,-2.16189149527,72e6961c
286,non-linear,-3.57751990615,76abf978
287,blocking,-2.74879974792,81a10227
288,non-linear,-3.40304098681,81a6c621
289,blocking,-2.35937319567,85e50169
290,blocking,-1.46848017145,89fbc220
291,blocking,-2.19819167226,93c70cc1
292,blocking,-2.51484033744,96abd246
293,interaction,-2.44483733341,9ea4fe94
294,blocking,-2.85744306865,a0a4f4ea
295,blocking,-1.91954124551,a5e116c5
296,blocking,-2.66082838085,a7b511d6
297,blocking,-3.20914442762,b0d5043d
298,blocking,-2.67428384012,b3dbd892
299,interaction,-2.32373714244,b9bbc96c
300,interaction,-2.4326290284,bca124ea
301,interaction,-3.0614884085,bfabcc7d
302,blocking,-2.44297936032,c6c100be
303,interaction,-2.38018218485,e0a10efa
304,blocking,-2.87898322303,e3a4effd
305,interaction,-1.87380762312,e5b69f84
306,blocking,-2.21233176055,eaaff660
307,blocking,-2.17583272532,f8e11654
308,blocking,-1.46823147226,19b680e2
309,blocking,-3.39843676869,29e72a67
310,interaction,-1.12494710215,2bd72f3e
311,blocking,-2.42182051434,33a74451
312,density,-2.30888489698,3ed1161d
313,interaction,-2.02798858376,42f75809
314,blocking,-1.51345682029,43c516b5
315,interaction,-1.98044005931,43cad2c3
316,blocking,-1.4948673049,4fba815c
317,blocking,-2.34364145582,5efbf191
318,blocking,-1.38174692299,6db76212
319,blocking,-0.702629402038,71ebc315
320,interaction,-3.10234463189,76f6a1e9
321,non-linear,-2.57628806577,93ebead7
322,interaction,-1.41068064427,94a4f5d4
323,blocking,-1.44831253803,95e69707
324,blocking,-1.41036409361,9ba1165f
325,interaction,-2.08828889329,9da51cdd
326,blocking,-2.84533451373,9dd11e8e
327,interaction,-1.39829940108,a9cbcabb
328,blocking,-2.54895642595,abd12ee2
329,blocking,-2.95409746961,b0c6f3a8
330,blocking,-1.85049887033,bdd7483e
331,blocking,-1.7748872968,cefc077d
332,blocking,-2.33427035901,d0f687f1
333,interaction,-1.7466327217,d1bbc1e6
334,blocking,-1.97408058518,d8aacc7a
335,blocking,-2.14585591688,daa11f50
336,blocking,-2.07639703409,e9b10766
337,blocking,-2.50585582644,ecefd3a0
338,blocking,-1.75442921716,eefbf52d
339,interaction,-2.39173520428,17e120dd
340,density,-2.94281184276,18dac9ef
341,blocking,-1.77778574257,20bfd7bd
342,interaction,-3.20525292587,22dac859
343,interaction,-1.28247943869,26dbf6e9
344,non-linear,-2.34871641483,32ebf2e8
345,non-linear,-1.87076994034,38ebbf94
346,blocking,-2.01079384353,3df11bae
347,interaction,-2.8822544372,44a4fa14
348,interaction,-1.68264044002,5edbbf73
349,linear,-3.14994986477,67eac875
350,interaction,-1.90826827726,69bad0fe
351,interaction,-2.25215089763,6bf51f66
352,interaction,-2.01429086106,70da8cfb
353,interaction,-1.6314988317,87b50908
354,blocking,-2.01185455194,8fc76287
355,density,-3.06780731838,8fcbec83
356,blocking,-1.63599508503,91cfd7fb
357,linear,-2.51114318231,92b722f3
358,interaction,-2.37474845505,94d6ef33
359,interaction,-2.10122846868,9adbc2df
360,density,-2.96547123111,9dc50a3d
361,density,-1.39248047839,a2f6ba1d
362,interaction,-2.9783465738,b0d518a1
363,blocking,-1.28291184803,b7a4fe27
364,blocking,-0.855339169738,bae515f2
365,blocking,-3.1511962706,bcdfd2df
366,blocking,-1.66625464407,bed50a1d
367,density,-2.79475195857,c7a67aab
368,density,-3.04761740806,c8a4fa50
369,linear,-2.58862577122,cceac8ca
370,blocking,-1.84903163967,dbe71b15
371,non-linear,-1.97330905516,dcc4f10e
372,blocking,-0.813466178471,dfcbf407
373,interaction,-2.07995271276,dfe6bee3
374,interaction,-1.70311888055,eec7360c
375,interaction,-3.04536436181,efebc5bb
376,blocking,-2.59027909367,f3dbeb7e
377,linear,-2.83663429076,f6fbf6b1
378,linear,-3.03025874626,fac10d6e
379,blocking,-1.31671807731,16d516ad
380,blocking,-1.40801158998,1dac01e7
381,non-linear,-2.14335185577,25cfdeaf
382,blocking,-2.39464199916,2afbbf79
383,linear,-1.97768433416,2ff50f64
384,density,-3.14231341641,30e4feac
385,interaction,-0.888831891493,49c72e9b
386,non-linear,-0.602718882048,4bca7fc9
387,blocking,-2.1985676658,5adff9a5
388,non-linear,-1.53815141258,5dbfe29c
389,density,-4.2301363916,65afea1f
390,blocking,-0.785670320715,6bb10472
391,non-linear,-1.90426223274,6dd103e2
392,blocking,-1.81187140346,7dd704e0
393,interaction,-1.06013317057,81c11c9f
394,blocking,-2.34020113773,92a74a76
395,density,-3.12317678689,a0f4f1bf
396,interaction,-2.24049122819,a2ebe618
397,blocking,-1.78842848525,aafbd6ab
398,blocking,-1.49138994285,b0e1157c
399,blocking,-1.25206519635,b9e512db
400,blocking,-2.49776121221,c7fffe38
401,density,-3.29291225938,d4fac87b
402,interaction,-1.92147755393,daefd33a
403,density,-2.58818872935,e0a737b6
404,blocking,-1.20213650811,e1e500d7
405,non-linear,-2.4434677369,e9dbbf8a
406,density,-3.22869529139,fcaffad4
407,density,-2.61933174191,fdaa7ebb
408,blocking,-2.83879101695,13f4ff5a
409,blocking,-0.968680570852,1df6940e
410,interaction,-2.55395347643,1ff4f828
411,blocking,-2.66803135427,21abc061
412,density,-3.02934751566,23dbc11c
413,blocking,-1.15176875827,28e67c08
414,blocking,-0.738530801795,2fb4f99a
415,blocking,-4.34487200376,34b12db9
416,blocking,-1.54253371225,65f68460
417,density,-3.84974493286,75ffd9e8
418,interaction,-2.98634758721,7cf6845b
419,blocking,-1.40987361691,84dbf4f9
420,blocking,-2.83277070624,8bc69c49
421,blocking,-0.773093110555,92e6f512
422,interaction,-1.58919926342,98d105c1
423,interaction,-1.5646944359,9befd8ad
424,blocking,-2.42182114603,a3eacaa9
425,blocking,-2.90198124482,a4f74985
426,blocking,-1.07270567566,abc728e1
427,interaction,-2.36920200967,aceaccbc
428,interaction,-2.70987076895,add50f98
429,density,-3.84880543888,b5b6dcbc
430,blocking,-1.54734337488,d2ac158a
431,interaction,-3.4807909373,edf12206
432,blocking,-3.42745398448,f0ebc21e
433,blocking,-3.93887984891,f6fbf7bf
434,density,-3.9473830605,f7ebbfe9
435,interaction,-2.50369183894,13b7468e
436,blocking,-2.96053625575,13dbbfb8
437,blocking,-2.68705420908,16f6e58d
438,density,-3.32542444582,18a695e2
439,density,-3.54190239038,1bd72c42
440,interaction,-2.89600951165,28d4fefb
441,blocking,-3.10244344439,31f6a576
442,interaction,-2.34006242129,32fad07f
443,blocking,-2.57097179155,41bad9a2
444,density,-3.67420562639,4bfffc8c
445,density,-3.87603753068,50f6b001
446,blocking,-1.00703465121,5bc4f225
447,density,-3.43060390919,77ba7edc
448,blocking,-2.09685132031,7dea8d37
449,blocking,-2.86298487033,7ef11f8d
450,blocking,-1.88354464578,8aa6d830
451,blocking,-2.27800198385,8ea50714
452,blocking,-1.83816849365,98c10b8a
453,blocking,-2.97656543711,acdac85f
454,interaction,-3.28288362526,b8bac8b7
455,blocking,-0.475539194328,bacbc468
456,interaction,-2.16282455886,bcf51783
457,blocking,-3.28079841617,cce7504c
458,blocking,-2.82424471646,cdc514e1
459,density,-3.6774828632,d1cac84b
460,interaction,-2.07669723629,d9e4f7e5
461,blocking,-2.6915892298,e2b10de5
462,blocking,-2.71048049661,e6efec72
463,blocking,-1.8094584632,edfff93e
464,non-linear,-3.04616917019,efd4fa4a
465,density,-4.25306670989,f3f4f4ae
466,blocking,-2.90877705266,f4c4f33c
467,blocking,-2.19712256934,fcb764e3
468,density,-3.29447952665,12eacae6
469,blocking,-0.872067150525,25dfef96
470,blocking,-1.35136566204,2aabe76a
471,linear,-2.97491264554,2bcfe659
472,density,-2.99481041439,32b10037
473,linear,-2.65348538168,34cffc40
474,blocking,-0.744357794964,38abe966
475,density,-2.70318531528,3acff9fa
476,blocking,-1.03285464922,3bac0799
477,interaction,-2.32860805488,3fcbc0ab
478,interaction,-1.78375711049,40a74de0
479,density,-3.19089330226,4ed755f1
480,non-linear,-2.83236196378,59d51c4c
481,blocking,-0.596166419766,5acfeabc
482,linear,-2.65145304694,5de11557
483,non-linear,-2.10141054797,6bca8117
484,density,-2.854252426,86f6e2cb
485,interaction,-1.38827925166,8df4f6e8
486,density,-2.65981069875,9defd82d
487,density,-2.8454472288,a6bff327
488,blocking,-0.585469417768,aedbea55
489,density,-1.89068041334,b3e4f78d
490,blocking,-1.19448945284,b4abeb7e
491,non-linear,-1.52101727365,b7eae04f
492,density,-2.85951632171,cfd6ff5a
493,density,-2.73286244781,d3b525de
494,blocking,-1.82472486604,d6b67ee1
495,density,-2.61480857921,d6d500ab
496,non-linear,-2.1095454497,dabbe6bb
497,density,-2.94908196267,efa7383d
498,blocking,-0.909094879123,f9c123d7
499,density,-2.27132036611,fda4f169
500,non-linear,-2.07886956729,11dfe866
501,interaction,-0.904906867612,12ebbfd2
502,non-linear,-1.915231896,16e512d0
503,non-linear,-2.27196737307,19a105e3
504,density,-1.43313890469,1de715c7
505,density,-2.50915445152,1fdbc072
506,density,-2.73617695358,2dca846d
507,non-linear,-2.32376165329,2dfbc35a
508,density,-2.54130452959,33b693e2
509,interaction,-1.09409581091,33ebe68d
510,non-linear,-1.85132690189,48c70a00
