iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
2,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,4,1,"[[0.0, -2e-05, 0.046511627906976744, 0.023255813953488372, -1e-05, 0.023255813953488372], [0.046511627906976744, -2e-05, -1e-05, -2e-05, 0.06976744186046512, 0.046511627906976744], [0.023255813953488372, -1e-05, 0.023255813953488372, 0.046511627906976744, 0.023255813953488372, 0.06976744186046512], [0.0, -1e-05, 0.046511627906976744, -2e-05, 0.06976744186046512, 0.09302325581395349], [0.046511627906976744, -1e-05, 0.046511627906976744, 0.11627906976744186, 0.023255813953488372, 0.046511627906976744], [0.023255813953488372, -2e-05, 0.0, 0.0, -2e-05, 0.046511627906976744]]"
2,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,43,23,0,"[[0.09090909090909091, -2e-05, 0.09090909090909091, -1e-05, -1e-05, 0.12121212121212122], [0.0, -2e-05, -1e-05, -2e-05, 0.12121212121212122, 0.15151515151515152], [0.0, -1e-05, 0.06060606060606061, 0.0, 0.030303030303030304, 0.09090909090909091], [-2e-05, -1e-05, 0.0, -2e-05, 0.030303030303030304, 0.06060606060606061], [0.030303030303030304, -1e-05, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
3,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.1111111111111111, -1e-05, 0.16666666666666666, -2e-05, 0.1111111111111111, 0.1111111111111111], [0.08333333333333333, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.08333333333333333], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05555555555555555], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.027777777777777776], [-1e-05, 0.0, -2e-05, -2e-05, 0.05555555555555555, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.05555555555555555]]"
3,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,13,18,0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.2222222222222222], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222]]"
3,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,16,0,"[[0.06521739130434782, -2e-05, 0.021739130434782608, 0.08695652173913043, -1e-05, 0.0], [0.043478260869565216, -2e-05, -1e-05, -2e-05, 0.043478260869565216, 0.021739130434782608], [0.06521739130434782, -1e-05, 0.021739130434782608, 0.021739130434782608, 0.06521739130434782, 0.06521739130434782], [0.0, -1e-05, 0.0, -2e-05, 0.06521739130434782, 0.08695652173913043], [0.021739130434782608, -1e-05, 0.06521739130434782, 0.08695652173913043, 0.043478260869565216, 0.08695652173913043], [0.0, -2e-05, 0.0, 0.021739130434782608, -2e-05, 0.0]]"
3,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,38,3,1,"[[0.0, -2e-05, 0.03125, -1e-05, -1e-05, 0.0], [0.03125, -2e-05, -1e-05, -2e-05, 0.09375, 0.03125], [0.03125, -1e-05, 0.03125, 0.0625, 0.03125, 0.03125], [-2e-05, -1e-05, 0.125, -2e-05, 0.09375, 0.0], [0.03125, -1e-05, 0.09375, 0.09375, 0.0, 0.09375], [0.0625, -2e-05, 0.03125, 0.0, -2e-05, 0.0]]"
4,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.08571428571428572, -1e-05, 0.22857142857142856, -2e-05, 0.11428571428571428, 0.17142857142857143], [0.08571428571428572, -2e-05, -1e-05, -1e-05, 0.08571428571428572, 0.05714285714285714], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05714285714285714], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.02857142857142857], [-1e-05, 0.0, -2e-05, -2e-05, 0.02857142857142857, 0.05714285714285714], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
4,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,14,12,1,"[[0.1111111111111111, -1e-05, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.1111111111111111, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
4,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,4,1,"[[0.0, -2e-05, 0.023255813953488372, 0.023255813953488372, -1e-05, 0.023255813953488372], [0.09302325581395349, -2e-05, -1e-05, -2e-05, 0.09302325581395349, 0.046511627906976744], [0.023255813953488372, -1e-05, 0.06976744186046512, 0.13953488372093023, 0.046511627906976744, 0.023255813953488372], [0.0, -1e-05, 0.11627906976744186, -2e-05, 0.09302325581395349, 0.0], [0.0, -1e-05, 0.046511627906976744, 0.09302325581395349, 0.0, 0.023255813953488372], [0.023255813953488372, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
4,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,41,6,0,"[[0.0, -2e-05, 0.0, -1e-05, -1e-05, 0.030303030303030304], [0.09090909090909091, -2e-05, -1e-05, -2e-05, 0.09090909090909091, 0.030303030303030304], [0.030303030303030304, -1e-05, 0.06060606060606061, 0.09090909090909091, 0.0, 0.030303030303030304], [-2e-05, -1e-05, 0.18181818181818182, -2e-05, 0.09090909090909091, 0.0], [0.0, -1e-05, 0.06060606060606061, 0.12121212121212122, 0.0, 0.030303030303030304], [0.030303030303030304, -2e-05, 0.0, 0.030303030303030304, -2e-05, 0.0]]"
