chosen_moves,board,run,correct,num_nodes
3,6_hard_pruned,37,1,4139
27,6_hard_pruned,38,0,4047
27,6_hard_pruned,39,0,4280
17,6_hard_pruned,40,0,4255
16,6_hard_pruned,41,0,3953
16,6_hard_pruned,42,0,3646
23,6_hard_pruned,43,0,3952
21,6_hard_pruned,44,0,3504
15,6_hard_pruned,45,0,3558
21,6_hard_pruned,46,0,4412
28,6_hard_pruned,47,0,3602
16,6_hard_pruned,48,0,3515
15,6_hard_pruned,49,0,3636
