,fitted_heuristic,log_likelihood,userid
0,non-linear,-1.86358583645,11dfe866
1,interaction_blind,-0.153517217333,12ebbfd2
2,interaction_blind,-1.60986196089,13b7468e
3,interaction_blind,-2.36996685395,13dbbfb8
4,blocking_blind,-2.1507740985,13f4ff5a
5,blocking_blind,-1.18570470725,16d516ad
6,non-linear,-1.87083189128,16e512d0
7,blocking_blind,-2.34584357671,16f6e58d
8,interaction,-2.35626301721,17e120dd
9,interaction_blind,-3.01854461383,18a695e2
10,blocking_blind,-1.60281565205,18c75602
11,density,-2.20343297533,18dac9ef
12,non-linear,-2.2847362809,19a105e3
13,blocking_blind,-1.60299559089,19b680e2
14,blocking_blind,-3.65508562233,1bd72c42
15,blocking_blind,-1.19583509117,1dac01e7
16,density,-1.53929014833,1de715c7
17,blocking_blind,-1.2909600635,1df6940e
18,density,-1.51861541433,1fdbc072
19,blocking_blind,-2.62845787629,1ff4f828
20,non-linear,-1.63334095286,20bfd7bd
21,blocking,-2.61479813663,21abc061
22,blocking_blind,-2.66927398751,22dac859
23,interaction,-1.8284204653,25cfdeaf
24,blocking_blind,-0.905372657286,25dfef96
25,blocking,-1.43019606033,26dbf6e9
26,blocking_blind,-2.0930166865,26e680e4
27,blocking_blind,-2.31491584025,28d4fefb
28,blocking_blind,-0.6256315915,28e67c08
29,blocking_blind,-0.987021546765,2aabe76a
30,blocking,-2.0620982755,2afbbf79
31,blocking_blind,-1.93786089633,2bd72f3e
32,density,-2.49891263072,2dca846d
33,non-linear,-1.77929513725,2dfbc35a
34,blocking_blind,-0.884796574571,2fb4f99a
35,blocking_blind,-0.557124448,2fe692a5
36,interaction_blind,-1.23971201625,2ff50f64
37,interaction_blind,-2.98440117467,30e4feac
38,blocking_blind,-1.24139325622,31b4fc9e
39,blocking_blind,-2.7564526638,31f6a576
40,blocking_blind,-1.6884201109,32ebf2e8
41,blocking_blind,-1.90906647388,32fad07f
42,blocking_blind,-2.27891438836,33a74451
43,density,-2.317030979,33b693e2
44,blocking_blind,-1.5326173882,33bbca9a
45,interaction,-0.773008985143,33ebe68d
46,blocking,-2.2992523051,34b12db9
47,interaction_blind,-2.21992416424,34cffc40
48,interaction_blind,-2.36957364275,34d51755
49,interaction_blind,-1.96554109,36ebe4da
50,interaction_blind,-0.750346502273,38abe966
51,blocking_blind,-2.48313699653,38cbc1f6
52,blocking_blind,-1.7853126688,38ebbf94
53,interaction_blind,-0.681858729667,39afd1eb
54,blocking_blind,-1.833043855,3ac5170c
55,blocking,-1.56299590975,3acff9fa
56,interaction_blind,-0.8409573216,3bac0799
57,blocking,-1.33874389137,3df11bae
58,density,-2.99285662325,3ed1161d
59,interaction,-2.19505651183,3fcbc0ab
60,interaction,-1.57991129836,40a74de0
61,blocking,-2.77201208307,41bad9a2
62,interaction_blind,-0.676523292333,42f75809
63,blocking_blind,-1.40190221189,43c516b5
64,interaction_blind,-0.9165481725,43cad2c3
65,interaction_blind,-0.685076383333,44a4fa14
66,non-linear,-2.00861627995,48c70a00
67,blocking,-2.52243866532,48ec02bc
68,density,-1.640831497,49c72e9b
69,density,-2.807105292,4bca7fc9
70,blocking_blind,-2.15074804615,4cb73467
71,blocking_blind,-2.26869016107,4cffe209
72,non-linear,-2.26648086235,4dc50d03
73,blocking_blind,-2.64232502771,4de4f27d
74,blocking_blind,-0.516058040333,4eb4f441
75,density,-3.050078052,4ed755f1
76,interaction_blind,-2.14159674433,4fb692a0
77,blocking_blind,-1.56077944678,4fba815c
78,blocking_blind,-2.22746069992,54d4fd9d
79,blocking_blind,-2.57765861706,54f6b927
80,density,-2.69349280457,55a709fd
81,blocking,-2.78630891205,56e6f5d2
82,blocking,-1.54275005293,58e72ee8
83,non-linear,-2.21878654742,59d51c4c
84,interaction_blind,-0.662972822,5acfeabc
85,density,-2.32875246047,5adff9a5
86,interaction,-2.67636590615,5aebf3c2
87,blocking_blind,-1.42676174944,5bc4f225
88,blocking,-2.61511888352,5cd6bb63
89,interaction_blind,-1.27631102778,5dbfe29c
90,non-linear,-2.50237312109,5de11557
91,interaction,-1.88481248867,5edbbf73
92,blocking_blind,-2.2912284942,5efbf191
93,interaction_blind,-2.1491966575,65afea1f
94,blocking_blind,-0.941080948375,65f68460
95,density,-2.69816736921,67abc3ab
96,density,-2.56541038104,67abf219
97,blocking_blind,-2.65395011953,67eac875
98,interaction,-2.01215868757,67f69d24
99,blocking,-1.57749171115,69bad0fe
100,interaction,-2.40195636935,6ac7311a
101,blocking_blind,-0.7039862525,6bb10472
102,non-linear,-2.17359736367,6bca8117
103,interaction,-1.98141957329,6bf51f66
104,blocking_blind,-2.0230138171,6cbbcdf7
105,blocking_blind,-1.10532884744,6db76212
106,non-linear,-2.09478148324,6dd103e2
107,blocking,-1.88501045375,6dfbeafe
108,interaction_blind,-1.32304491814,6fc70a09
109,blocking,-2.54051718353,70bffd4d
110,interaction_blind,-1.54013242805,70da8cfb
111,blocking_blind,-1.72247367583,71ebc315
112,interaction_blind,-1.64123299067,72e6961c
113,blocking,-3.51141516631,75bbec9c
114,interaction_blind,-2.70727458195,75ffd9e8
115,interaction_blind,-2.60552646494,76f6a1e9
116,interaction_blind,-2.09172343464,7acbc3e2
117,blocking,-1.92223546433,7cc119e0
118,blocking_blind,-2.7192582974,7cf6845b
119,blocking_blind,-0.515443321727,7db4f1d2
120,blocking,-1.64559946238,7dd704e0
121,blocking,-2.06382889758,7dea8d37
122,blocking_blind,-2.73234795461,81a10227
123,blocking_blind,-1.2665393684,81c11c9f
124,blocking_blind,-1.53657035773,84dbf4f9
125,interaction_blind,-1.59783250631,85e50169
126,density,-2.83035110448,86f6e2cb
127,interaction_blind,-1.72710853595,87b50908
128,blocking_blind,-3.119211478,89fbc220
129,blocking_blind,-2.01146676509,8aa6d830
130,interaction,-1.010709131,8ab71c6b
131,blocking_blind,-2.62254147605,8bc69c49
132,blocking_blind,-0.99948943775,8de6a2af
133,interaction,-1.48550003668,8df4f6e8
134,blocking,-2.42048783946,8ea50714
135,blocking,-1.7471869246,8fc76287
136,blocking_blind,-1.7359818169,91cfd7fb
137,blocking,-2.68333664606,92a70054
138,blocking_blind,-1.88973219575,92a74a76
139,non-linear,-2.79999052887,92b722f3
140,blocking_blind,-1.31495754767,92e6f512
141,blocking,-2.31846201538,92f69945
142,blocking_blind,-2.21845839442,93c70cc1
143,interaction_blind,-2.78549986596,93ebead7
144,interaction,-1.645729543,94a4f5d4
145,blocking_blind,-0.870892193111,94abbfb2
146,interaction_blind,-2.26528699851,94d6ef33
147,blocking_blind,-1.60899551514,95e69707
148,interaction_blind,-2.847935317,96abd246
149,interaction,-2.01215144817,96afd320
150,blocking,-2.4842235151,98c10b8a
151,blocking_blind,-1.6962566082,98d105c1
152,density,-2.333545878,9adbc2df
153,blocking_blind,-1.3188360928,9ae751bc
154,blocking_blind,-1.96166546575,9ba1165f
