,correlation,path_length
0,0.6761234037828133,2
1,0.44899956542974234,1
2,1.0,7
3,0.727606875108999,6
4,1.0,5
5,0.8029550685469662,4
6,0.9486832980505139,3
7,0.5408987230262506,2
8,0.47974702561762383,1
9,1.0,7
10,0.727606875108999,6
11,1.0,5
12,0.8029550685469662,4
13,0.9486832980505139,3
14,0.6982532518267538,2
15,0.47974702561762383,1
16,1.0,7
17,0.727606875108999,6
18,1.0,5
19,0.8029550685469662,4
20,0.9486832980505139,3
21,0.6982532518267538,2
22,0.478282145783856,1
23,1.0,7
24,0.727606875108999,6
25,1.0,5
26,0.8029550685469662,4
27,0.9486832980505139,3
28,0.6982532518267538,2
29,0.478282145783856,1
30,1.0,7
31,0.727606875108999,6
32,1.0,5
33,0.8029550685469662,4
34,0.9486832980505139,3
35,0.6982532518267538,2
36,0.2896413966939835,1
37,1.0,7
38,0.727606875108999,6
39,1.0,5
40,0.8029550685469662,4
41,0.9486832980505139,3
42,0.6982532518267538,2
43,0.2896413966939835,1
44,1.0,7
45,0.727606875108999,6
46,1.0,5
47,0.8029550685469662,4
48,0.9486832980505139,3
49,0.6982532518267538,2
50,0.47974702561762383,1
51,1.0,7
52,0.727606875108999,6
53,1.0,5
54,0.8029550685469662,4
55,0.9486832980505139,3
56,0.6982532518267538,2
57,0.44899956542974234,1
58,1.0,7
59,0.727606875108999,6
60,1.0,5
61,0.8029550685469662,4
62,0.9486832980505139,3
63,0.6982532518267538,2
64,0.47974702561762383,1
65,1.0,7
66,0.727606875108999,6
67,1.0,5
68,0.8029550685469662,4
69,0.9486832980505139,3
70,0.8804062740424288,2
71,0.48963188488744824,1
72,1.0,7
73,1.0,6
74,1.0,5
75,0.8029550685469662,4
76,0.9486832980505139,3
77,0.8804062740424288,2
78,0.47974702561762383,1
79,1.0,7
80,0.727606875108999,6
81,1.0,5
82,0.8029550685469662,4
83,0.9486832980505139,3
84,0.5408987230262506,2
85,0.7259592864296668,1
86,1.0,7
87,0.727606875108999,6
88,1.0,5
89,0.8029550685469662,4
90,0.9486832980505139,3
91,0.6982532518267538,2
92,0.7259592864296668,1
93,1.0,7
94,0.727606875108999,6
95,1.0,5
96,0.8029550685469662,4
97,0.9486832980505139,3
98,0.8451542547285166,2
99,0.47974702561762383,1
100,1.0,7
101,0.727606875108999,6
102,1.0,5
103,0.8029550685469662,4
104,0.9486832980505139,3
105,0.8804062740424288,2
106,0.44899956542974234,1
107,1.0,7
108,0.727606875108999,6
109,1.0,5
110,0.8029550685469662,4
111,0.9486832980505139,3
112,0.6982532518267538,2
113,0.5972360931158174,1
114,1.0,7
115,1.0,6
116,1.0,5
117,0.8029550685469662,4
118,0.9486832980505139,3
119,0.8804062740424288,2
120,0.4413583187717844,1
121,1.0,7
122,1.0,6
123,1.0,5
124,0.8029550685469662,4
125,0.9486832980505139,3
126,0.6982532518267538,2
127,0.47974702561762383,1
128,1.0,7
129,0.727606875108999,6
130,1.0,5
131,0.8029550685469662,4
132,0.9486832980505139,3
133,0.8451542547285166,2
134,0.44899956542974234,1
135,1.0,7
136,1.0,6
137,1.0,5
138,0.8029550685469662,4
139,0.9486832980505139,3
140,0.6761234037828133,2
141,0.7259592864296668,1
142,,7
143,0.727606875108999,6
144,1.0,5
145,0.8029550685469662,4
146,0.9486832980505139,3
147,0.6982532518267538,2
148,0.47974702561762383,1
149,1.0,7
150,0.727606875108999,6
151,1.0,5
152,0.8029550685469662,4
153,0.9486832980505139,3
154,0.8451542547285166,2
155,0.47974702561762383,1
156,1.0,7
157,0.727606875108999,6
158,1.0,5
159,0.8029550685469662,4
160,0.9486832980505139,3
161,0.6982532518267538,2
162,0.7259592864296668,1
163,1.0,7
164,0.727606875108999,6
165,1.0,5
166,0.8029550685469662,4
167,0.9486832980505139,3
168,0.6761234037828133,2
169,0.478282145783856,1
170,1.0,7
171,,6
172,1.0,5
173,0.8029550685469662,4
174,0.9486832980505139,3
175,0.6982532518267538,2
176,0.478282145783856,1
177,1.0,7
178,1.0,6
179,1.0,5
180,0.8029550685469662,4
181,0.9486832980505139,3
182,0.8804062740424288,2
183,0.47974702561762383,1
184,1.0,7
185,0.727606875108999,6
186,1.0,5
187,0.8029550685469662,4
188,0.9486832980505139,3
189,0.6982532518267538,2
190,0.7259592864296668,1
191,1.0,7
192,0.727606875108999,6
193,1.0,5
194,0.8029550685469662,4
195,0.9486832980505139,3
196,0.6982532518267538,2
197,0.2896413966939835,1
198,1.0,7
199,1.0,6
200,1.0,5
201,0.8029550685469662,4
202,0.9486832980505139,3
203,0.5408987230262506,2
204,0.44899956542974234,1
205,1.0,7
206,0.727606875108999,6
207,1.0,5
208,0.8029550685469662,4
209,0.9486832980505139,3
210,0.6982532518267538,2
211,0.7259592864296668,1
212,1.0,7
213,0.727606875108999,6
214,1.0,5
215,0.8029550685469662,4
216,0.9486832980505139,3
217,0.8451542547285166,2
218,0.478282145783856,1
219,1.0,7
220,0.727606875108999,6
221,1.0,5
222,0.8029550685469662,4
223,0.9486832980505139,3
224,0.6982532518267538,2
225,0.4413583187717844,1
226,1.0,7
227,0.727606875108999,6
228,1.0,5
229,0.8029550685469662,4
230,0.9486832980505139,3
231,0.6982532518267538,2
232,0.47974702561762383,1
233,1.0,7
234,0.727606875108999,6
235,1.0,5
236,0.8029550685469662,4
237,0.9486832980505139,3
238,0.8804062740424288,2
239,0.478282145783856,1
240,1.0,7
241,,6
242,1.0,5
243,0.8029550685469662,4
244,0.9486832980505139,3
245,0.6982532518267538,2
246,0.5972360931158174,1
247,1.0,7
248,0.727606875108999,6
249,1.0,5
250,0.8029550685469662,4
251,0.9486832980505139,3
252,0.5408987230262506,2
253,0.4413583187717844,1
254,1.0,7
255,0.727606875108999,6
256,1.0,5
257,0.8029550685469662,4
258,0.9486832980505139,3
259,0.8804062740424288,2
260,0.5972360931158174,1
261,1.0,7
262,0.727606875108999,6
263,1.0,5
264,0.8029550685469662,4
265,0.9486832980505139,3
266,0.6982532518267538,2
267,0.4413583187717844,1
268,1.0,7
269,0.727606875108999,6
270,1.0,5
271,0.8029550685469662,4
272,0.9486832980505139,3
273,0.8451542547285166,2
274,0.7259592864296668,1
275,1.0,7
276,0.727606875108999,6
277,1.0,5
278,0.8029550685469662,4
279,0.9486832980505139,3
280,0.6982532518267538,2
281,0.5972360931158174,1
282,,7
283,0.727606875108999,6
284,1.0,5
285,0.8029550685469662,4
286,0.9486832980505139,3
287,0.8804062740424288,2
288,0.44899956542974234,1
289,1.0,7
290,1.0,6
291,1.0,5
292,0.8029550685469662,4
293,0.9486832980505139,3
294,0.8804062740424288,2
295,0.47974702561762383,1
296,1.0,7
297,0.727606875108999,6
298,1.0,5
299,0.8029550685469662,4
300,0.9486832980505139,3
301,0.6982532518267538,2
302,0.7259592864296668,1
303,1.0,7
304,0.727606875108999,6
305,1.0,5
306,0.8029550685469662,4
307,0.9486832980505139,3
308,0.6982532518267538,2
309,0.4413583187717844,1
310,1.0,7
311,0.727606875108999,6
312,1.0,5
313,0.8029550685469662,4
314,0.9486832980505139,3
315,0.5408987230262506,2
316,0.5972360931158174,1
317,1.0,7
318,0.727606875108999,6
319,1.0,5
320,0.8029550685469662,4
321,0.9486832980505139,3
322,0.6982532518267538,2
323,0.48963188488744824,1
324,1.0,7
325,1.0,6
326,1.0,5
327,0.8029550685469662,4
328,0.9486832980505139,3
329,0.6761234037828133,2
330,0.478282145783856,1
331,1.0,7
332,0.727606875108999,6
333,1.0,5
334,0.8029550685469662,4
335,0.9486832980505139,3
336,0.6982532518267538,2
337,0.47974702561762383,1
338,1.0,7
339,0.727606875108999,6
340,1.0,5
341,0.8029550685469662,4
342,0.9486832980505139,3
343,0.6982532518267538,2
344,0.4413583187717844,1
345,1.0,7
346,0.727606875108999,6
347,1.0,5
348,0.8029550685469662,4
349,0.9486832980505139,3
