,blocking,blocking_blind,blocking_player,board,density,heuristic,interaction,interaction_blind,interaction_player,linear,userid
0,-4.42473102824,-3.35675163326,-4.55481804298,6_hard_full,-2.10012951729,density,-4.53569986024,-3.36319017561,-4.66587195268,-4.56991689117,11d4bf94
1,-2.32386960504,-2.1379179142,-2.49417671766,6_hard_full,-2.47411664368,interaction_blind,-2.09399886022,-1.99353584314,-2.2443918612,-2.14338609735,14b4c043
2,-1.67268306384,-1.90115450585,-1.73023186782,6_hard_full,-2.81367872801,blocking,-1.82425586284,-1.96718486268,-1.87988203764,-1.94114860851,14c5dc72
3,-1.38873040051,-1.87656725202,-1.45931519035,6_hard_full,-2.54585899417,blocking,-1.40817373868,-1.83467077937,-1.48678534388,-1.54061051675,17b4c1ea
4,-2.27202344137,-2.55437424114,-2.43513249411,6_hard_full,-2.76707756346,interaction,-2.12605182837,-2.50010228142,-2.30534029937,-2.14575938179,17e120dd
5,-2.5619854393,-2.50034174291,-2.50034174291,6_hard_full,-2.53322914658,blocking_blind,-3.01728607558,-2.9472634684,-2.9472634684,-3.25279942483,18dac9ef
6,-1.85561469694,-1.86405834688,-1.85369501944,6_hard_full,-1.97981344244,interaction_blind,-1.83418821026,-1.6902696576,-1.84058302081,-1.82807909791,20bfd7bd
7,-3.26270651056,-2.84282831133,-3.55418879009,6_hard_full,-3.53559194932,blocking_blind,-3.203103977,-2.94607882126,-3.50658911651,-3.10180315655,22dac859
8,-2.2391906021,-1.48692137064,-2.35187854775,6_hard_full,-2.6554589885,blocking_blind,-2.29140506169,-1.59658218738,-2.43835433829,-2.3665944478,24a5e25a
9,-3.0379224229,-2.26879295272,-3.28004639245,6_hard_full,-2.48426307347,interaction_blind,-2.89593889578,-2.1699703627,-3.12647783939,-2.68842362604,24b61c03
10,-2.06617154861,-1.78147449689,-2.21429188621,6_hard_full,-3.02792554643,blocking_blind,-2.17697410453,-1.90674347047,-2.33114708563,-2.27996249072,24f4c091
11,-1.56048438509,-1.47451288717,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.1839266743,-3.10682632106,25a611ff
12,-5.65809957778,-5.63509869904,-6.45253396431,6_hard_full,-4.22913235413,density,-5.74031807529,-5.77728951263,-6.57249764274,-5.43221011516,25b60fb4
13,-1.85677011077,-1.72527404953,-2.11677519618,6_hard_full,-2.20533170312,blocking_blind,-1.95625791862,-1.81479885362,-2.2044641059,-1.82109905707,25c4c0ab
14,-1.26776995891,-1.33754463314,-1.2616555777,6_hard_full,-2.517373954,interaction_player,-1.27435985224,-1.49138116343,-1.25710619218,-1.48543941441,26dbf6e9
15,-2.56689915682,-2.52907068212,-2.85053850573,6_hard_full,-3.08180998693,interaction_blind,-2.66831337168,-2.45171784547,-2.98405647776,-2.6700319305,31e63b91
16,-2.01937116261,-1.75375209427,-2.27891435156,6_hard_full,-2.91852115405,blocking_blind,-2.09054211029,-1.86802428207,-2.36627472326,-2.15486155001,32ebf2e8
17,-2.61676133897,-2.78217720982,-2.78217720982,6_hard_full,-2.31500761299,interaction,-2.30521906587,-2.4252395705,-2.4252395705,-2.38009980568,37f60bbc
