,board,correct,inverse_computation,k,move_limit,noise,shutter_size
78,10_medium_full,0.094,0.00255361310719,5,30,1.5,0.0
79,10_medium_pruned,0.264,0.00281083633624,5,30,1.5,0.0
80,6_easy_full,0.508,0.0131078778346,5,30,1.5,0.0
81,6_easy_pruned,0.71,0.0147362216328,5,30,1.5,0.0
82,6_hard_full,0.132,0.00627596681269,5,30,1.5,0.0
83,6_hard_pruned,0.172,0.00681616795038,5,30,1.5,0.0
84,10_easy_full,0.229916897507,0.002971315692,10,30,1.5,0.0
85,10_easy_pruned,0.354570637119,0.00291291121673,10,30,1.5,0.0
86,10_easy_pruned,0.473684210526,0.00141904189122,10,30,1.5,0.5
87,10_hard_full,0.116343490305,0.00288696069415,10,30,1.5,0.0
88,10_hard_pruned,0.0803324099723,0.00283722502102,10,30,1.5,0.0
89,10_medium_full,0.0831024930748,0.00258562649515,10,30,1.5,0.0
90,10_medium_pruned,0.310249307479,0.00260048984296,10,30,1.5,0.0
91,6_easy_full,0.548,0.013397642015,10,30,1.5,0.0
92,6_easy_full,0.654,0.00829228651508,10,30,1.5,0.5
93,6_easy_pruned,0.718,0.0134466437177,10,30,1.5,0.0
94,6_hard_full,0.076,0.00658223848766,10,30,1.5,0.0
95,6_hard_pruned,0.134,0.00715932358711,10,30,1.5,0.0
96,6_easy_full,0.31,0.0129045578898,3,30,2.0,0.0
97,6_easy_full,0.4,0.00847630026446,3,30,2.0,0.5
98,6_easy_pruned,0.638,0.0197675338025,3,30,2.0,0.0
99,6_hard_full,0.178,0.00649207317865,3,30,2.0,0.0
100,6_hard_pruned,0.18,0.00696330339113,3,30,2.0,0.0
101,10_easy_full,0.178,0.0029218919835,5,30,2.0,0.0
102,10_easy_pruned,0.3,0.00323540830853,5,30,2.0,0.0
103,10_hard_full,0.156,0.00283868330514,5,30,2.0,0.0
104,10_hard_pruned,0.082,0.00284065084992,5,30,2.0,0.0
105,10_medium_full,0.102,0.00257940704591,5,30,2.0,0.0
106,10_medium_pruned,0.212,0.00284776962683,5,30,2.0,0.0
107,6_easy_full,0.424,0.0131738420193,5,30,2.0,0.0
108,6_easy_full,0.542,0.00833722403788,5,30,2.0,0.5
109,6_easy_pruned,0.602,0.0146006716309,5,30,2.0,0.0
110,6_easy_pruned,0.724,0.00931983820761,5,30,2.0,0.5
111,6_hard_full,0.144,0.00635994759403,5,30,2.0,0.0
112,6_hard_pruned,0.122,0.00676214819924,5,30,2.0,0.0
113,10_easy_full,0.204,0.00299877050409,10,30,2.0,0.0
114,10_easy_pruned,0.368,0.0029666195963,10,30,2.0,0.0
115,10_hard_full,0.112,0.00290641911726,10,30,2.0,0.0
116,10_hard_pruned,0.074,0.00284380136616,10,30,2.0,0.0
117,10_medium_full,0.074,0.00259012334167,10,30,2.0,0.0
118,10_medium_pruned,0.262,0.00259258107001,10,30,2.0,0.0
119,6_easy_full,0.532,0.0131894800707,10,30,2.0,0.0
120,6_easy_pruned,0.686,0.0135186286703,10,30,2.0,0.0
121,6_hard_full,0.068,0.00658111220796,10,30,2.0,0.0
122,6_hard_pruned,0.096,0.00721656924298,10,30,2.0,0.0
123,6_easy_full,0.314,0.0129957893642,3,30,2.5,0.0
124,6_easy_pruned,0.588,0.0195901735689,3,30,2.5,0.0
125,6_hard_full,0.162,0.00651941481733,3,30,2.5,0.0
126,6_hard_pruned,0.138,0.00696466130852,3,30,2.5,0.0
127,10_easy_full,0.162,0.00296173439166,5,30,2.5,0.0
128,10_easy_pruned,0.348,0.00326650072843,5,30,2.5,0.0
129,10_hard_full,0.144,0.00287422395953,5,30,2.5,0.0
130,10_hard_pruned,0.078,0.00282912642234,5,30,2.5,0.0
131,10_medium_full,0.086,0.00257854240155,5,30,2.5,0.0
132,10_medium_pruned,0.232,0.00285069214805,5,30,2.5,0.0
133,6_easy_full,0.36,0.0130147326774,5,30,2.5,0.0
134,6_easy_full,0.488,0.00847199159578,5,30,2.5,0.5
135,6_easy_pruned,0.598,0.0146808385695,5,30,2.5,0.0
136,6_easy_pruned,0.722,0.00920556015834,5,30,2.5,0.5
137,6_hard_full,0.162,0.00637690031629,5,30,2.5,0.0
138,6_hard_pruned,0.148,0.00688648321075,5,30,2.5,0.0
139,10_easy_full,0.19,0.00301772005215,10,30,2.5,0.0
140,10_easy_pruned,0.354,0.00297677519989,10,30,2.5,0.0
141,10_hard_full,0.106,0.00290900628345,10,30,2.5,0.0
142,10_hard_pruned,0.052,0.00286924286419,10,30,2.5,0.0
143,10_medium_full,0.066,0.0026021879196,10,30,2.5,0.0
144,10_medium_pruned,0.24,0.00259876610585,10,30,2.5,0.0
145,6_easy_full,0.468,0.0131634372367,10,30,2.5,0.0
146,6_easy_full,0.56,0.00838672884028,10,30,2.5,0.5
147,6_easy_pruned,0.596,0.0134423056243,10,30,2.5,0.0
148,6_easy_pruned,0.69,0.00858000858001,10,30,2.5,0.5
149,6_hard_full,0.074,0.00664160567459,10,30,2.5,0.0
150,6_hard_pruned,0.114,0.00717854476541,10,30,2.5,0.0
151,10_easy_full,0.234592445328,0.00216809410304,3,50,0.5,0.0
152,10_easy_pruned,0.371769383698,0.00375137973211,3,50,0.5,0.0
153,10_hard_full,0.192,0.00192715359414,3,50,0.5,0.0
154,10_hard_pruned,0.166,0.00253586987944,3,50,0.5,0.0
155,10_medium_full,0.08,0.00214619908143,3,50,0.5,0.0
156,10_medium_pruned,0.306,0.00360797217532,3,50,0.5,0.0
157,6_easy_full,0.484210526316,0.0107033208461,3,50,0.5,0.0
158,6_easy_full,0.615789473684,0.00734455633081,3,50,0.5,0.5
159,6_easy_pruned,0.773684210526,0.020340434643,3,50,0.5,0.0
160,6_hard_full,0.25,0.00518665119771,3,50,0.5,0.0
161,6_hard_pruned,0.244736842105,0.00641436818473,3,50,0.5,0.0
162,10_easy_full,0.228,0.00190678127693,5,50,0.5,0.0
163,10_easy_pruned,0.406,0.00272960033192,5,50,0.5,0.0
164,10_hard_full,0.21,0.00185483332468,5,50,0.5,0.0
165,10_hard_pruned,0.126,0.00187684869597,5,50,0.5,0.0
166,10_medium_full,0.094,0.00166286978067,5,50,0.5,0.0
167,10_medium_pruned,0.294,0.00252337910743,5,50,0.5,0.0
168,6_easy_full,0.556,0.00916674305619,5,50,0.5,0.0
169,6_easy_full,0.722,0.00556464447486,5,50,0.5,0.5
170,6_easy_pruned,0.842,0.0144982167193,5,50,0.5,0.0
171,6_hard_full,0.246,0.00418658784717,5,50,0.5,0.0
172,6_hard_pruned,0.192,0.00462697340416,5,50,0.5,0.0
173,10_easy_full,0.257617728532,0.00192341504739,10,50,0.5,0.0
174,10_easy_pruned,0.434903047091,0.00197170790322,10,50,0.5,0.0
175,10_hard_full,0.160664819945,0.00185868820891,10,50,0.5,0.0
176,10_hard_pruned,0.130193905817,0.001848532951,10,50,0.5,0.0
177,10_medium_full,0.0775623268698,0.00168490030618,10,50,0.5,0.0
178,10_medium_pruned,0.315789473684,0.00170342478035,10,50,0.5,0.0
179,6_easy_full,0.636,0.00952871000324,10,50,0.5,0.0
180,6_easy_full,0.718,0.00562170427587,10,50,0.5,0.5
181,6_easy_pruned,0.77,0.0094229392032,10,50,0.5,0.0
182,6_easy_pruned,0.856,0.00566694245787,10,50,0.5,0.5
183,6_hard_full,0.138,0.00420592193809,10,50,0.5,0.0
184,6_hard_pruned,0.146,0.0047108481411,10,50,0.5,0.0
185,10_easy_full,0.196819085487,0.00215552336793,3,50,1.0,0.0
186,10_easy_pruned,0.355864811133,0.00370454930438,3,50,1.0,0.0
187,10_hard_full,0.16,0.0019673111578,3,50,1.0,0.0
188,10_hard_pruned,0.124,0.0024414658561,3,50,1.0,0.0
189,10_medium_full,0.0821643286573,0.00215827649295,3,50,1.0,0.0
190,10_medium_pruned,0.280561122244,0.00355461209138,3,50,1.0,0.0
191,6_easy_full,0.410526315789,0.0103864866342,3,50,1.0,0.0
192,6_easy_full,0.528947368421,0.00629587288964,3,50,1.0,1.0
193,6_easy_pruned,0.726315789474,0.0203241161684,3,50,1.0,0.0
194,6_hard_full,0.210526315789,0.00511550266545,3,50,1.0,0.0
195,6_hard_pruned,0.171052631579,0.00643838633707,3,50,1.0,0.0
196,10_easy_full,0.206,0.00191163651379,5,50,1.0,0.0
197,10_easy_pruned,0.414,0.00272839384911,5,50,1.0,0.0
198,10_hard_full,0.194,0.0018713345235,5,50,1.0,0.0
199,10_hard_pruned,0.134,0.00187634158423,5,50,1.0,0.0
200,10_medium_full,0.076,0.00166541205625,5,50,1.0,0.0
201,10_medium_pruned,0.268,0.0025348285442,5,50,1.0,0.0
202,6_easy_full,0.456,0.00888430853427,5,50,1.0,0.0
203,6_easy_full,0.574,0.00557357678717,5,50,1.0,0.5
204,6_easy_pruned,0.772,0.0138707798152,5,50,1.0,0.0
205,6_hard_full,0.236,0.00424401381851,5,50,1.0,0.0
206,6_hard_pruned,0.194,0.00461846833116,5,50,1.0,0.0
207,10_easy_full,0.224376731302,0.00196190320915,10,50,1.0,0.0
208,10_easy_pruned,0.421052631579,0.00197178328955,10,50,1.0,0.0
209,10_hard_full,0.17728531856,0.00189060667002,10,50,1.0,0.0
210,10_hard_pruned,0.0831024930748,0.00185824809929,10,50,1.0,0.0
211,10_medium_full,0.0886426592798,0.00167858571017,10,50,1.0,0.0
212,10_medium_pruned,0.260387811634,0.00173121559149,10,50,1.0,0.0
213,6_easy_full,0.55,0.00924385283786,10,50,1.0,0.0
214,6_easy_full,0.682,0.00557836486969,10,50,1.0,0.5
215,6_easy_pruned,0.726,0.00925035151336,10,50,1.0,0.0
216,6_hard_full,0.15,0.00425966944965,10,50,1.0,0.0
