position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition
4_2,solvedCorrect,399590,17e120dd,click,logs/6_hard_full_dec19,1,8.424,1511924548488,1511924540064,40,False,9,"6,hard,full"
0_3,solvedCorrect,88573,18dac9ef,,logs/6_hard_full_dec19,1,88.555,1513540624280,1513540535725,1,True,1,"6,hard,full"
3_0,solvedCorrect,95754,18dac9ef,click,logs/6_hard_full_dec19,2,7.181,1513540631461,1513540624280,2,False,2,"6,hard,full"
0_5,solvedCorrect,111122,18dac9ef,click,logs/6_hard_full_dec19,1,15.368,1513540646829,1513540631461,3,False,3,"6,hard,full"
2_3,solvedCorrect,113257,18dac9ef,click,logs/6_hard_full_dec19,2,2.135,1513540648964,1513540646829,4,False,4,"6,hard,full"
0_2,solvedCorrect,114243,18dac9ef,click,logs/6_hard_full_dec19,1,0.986,1513540649950,1513540648964,5,False,5,"6,hard,full"
2_2,wrong,11065,20bfd7bd,,logs/6_hard_full_dec19,1,10.985,1511905552385,1511905541400,1,True,1,"6,hard,full"
2_3,wrong,15889,20bfd7bd,click,logs/6_hard_full_dec19,2,4.824,1511905557209,1511905552385,2,False,2,"6,hard,full"
3_2,wrong,23623,20bfd7bd,click,logs/6_hard_full_dec19,1,7.734,1511905564943,1511905557209,3,False,3,"6,hard,full"
4_3,wrong,26156,20bfd7bd,click,logs/6_hard_full_dec19,2,2.533,1511905567476,1511905564943,4,False,4,"6,hard,full"
0_2,wrong,27822,20bfd7bd,click,logs/6_hard_full_dec19,1,1.666,1511905569142,1511905567476,5,False,5,"6,hard,full"
3_2,wrong,37857,20bfd7bd,reset,logs/6_hard_full_dec19,1,4.165,1511905579177,1511905575012,6,True,1,"6,hard,full"
4_3,wrong,43185,20bfd7bd,click,logs/6_hard_full_dec19,2,5.328,1511905584505,1511905579177,7,False,2,"6,hard,full"
2_3,wrong,44615,20bfd7bd,click,logs/6_hard_full_dec19,1,1.43,1511905585935,1511905584505,8,False,3,"6,hard,full"
1_4,wrong,48360,20bfd7bd,click,logs/6_hard_full_dec19,2,3.745,1511905589680,1511905585935,9,False,4,"6,hard,full"
5_0,wrong,50000,20bfd7bd,click,logs/6_hard_full_dec19,1,1.64,1511905591320,1511905589680,10,False,5,"6,hard,full"
4_3,wrong,46381,22dac859,,logs/6_hard_full_dec19,1,46.369,1513539948792,1513539902423,1,True,1,"6,hard,full"
5_0,wrong,57483,22dac859,undo,logs/6_hard_full_dec19,1,0.855,1513539959894,1513539959039,2,True,1,"6,hard,full"
0_3,wrong,67141,22dac859,click,logs/6_hard_full_dec19,2,9.658,1513539969552,1513539959894,3,False,2,"6,hard,full"
3_2,wrong,90821,22dac859,undo,logs/6_hard_full_dec19,1,16.295,1513539993232,1513539976937,4,True,1,"6,hard,full"
2_2,wrong,100535,22dac859,click,logs/6_hard_full_dec19,2,9.714,1513540002946,1513539993232,5,False,2,"6,hard,full"
1_0,wrong,102411,22dac859,click,logs/6_hard_full_dec19,1,1.876,1513540004822,1513540002946,6,False,3,"6,hard,full"
4_3,wrong,105397,22dac859,click,logs/6_hard_full_dec19,2,2.986,1513540007808,1513540004822,7,False,4,"6,hard,full"
2_2,wrong,109697,22dac859,undo,logs/6_hard_full_dec19,1,2.311,1513540012108,1513540009797,8,True,1,"6,hard,full"
2_3,wrong,112024,22dac859,click,logs/6_hard_full_dec19,2,2.327,1513540014435,1513540012108,9,False,2,"6,hard,full"
5_2,wrong,119489,22dac859,undo,logs/6_hard_full_dec19,1,3.33,1513540021900,1513540018570,10,True,1,"6,hard,full"
3_0,wrong,129747,22dac859,undo,logs/6_hard_full_dec19,1,0.974,1513540032158,1513540031184,11,True,1,"6,hard,full"
0_3,wrong,134827,22dac859,click,logs/6_hard_full_dec19,2,5.08,1513540037238,1513540032158,12,False,2,"6,hard,full"
2_0,wrong,137849,22dac859,click,logs/6_hard_full_dec19,1,3.022,1513540040260,1513540037238,13,False,3,"6,hard,full"
4_2,wrong,141232,22dac859,click,logs/6_hard_full_dec19,2,3.383,1513540043643,1513540040260,14,False,4,"6,hard,full"
