,entropy,condition
0,1.4692956106509734,Full
1,1.2632777137091313,Full
2,1.3510859321960382,Full
3,1.5003668780178625,Full
4,1.2241224344249197,Full
5,1.3802246531144968,Full
6,1.3102061517907253,Full
7,1.4684283850394957,Full
8,1.6092153175752328,Full
9,1.1758518046190032,Full
10,1.3510859321960382,Full
11,1.319555690744575,Full
12,1.382208823872205,Full
13,1.606996219527305,Full
14,1.4492914732100652,Full
15,1.240201173507841,Full
16,1.5614694247763998,Full
17,1.1617251070927959,Full
18,1.4254661275018496,Full
19,1.2135670992715648,Full
20,1.2513307182046138,Full
21,1.3533799748021649,Full
22,1.4430145433595576,Full
23,1.4425346591182882,Full
24,1.0172276653937322,Full
25,0.9640681217905833,Full
26,1.186043553785865,Full
27,1.3660493133825167,Full
28,1.2226205095935245,Full
29,1.354420523875073,Full
30,1.1227754539036265,Full
31,1.2854174734386326,Full
32,1.249918070063584,Full
33,1.3835615263188183,Full
34,1.1688142303210927,Full
35,1.3699301964782142,Full
36,1.1973401339967784,Full
37,1.1579952592694074,Full
38,1.2655937705695286,Full
39,1.4339725970401458,Full
40,1.3215193562725343,Full
41,1.3497121044825635,Full
42,1.6112204922022677,Full
43,1.3642100419343188,Full
44,1.3275117911479593,Full
45,1.1878231096746115,Full
46,1.1437534208172158,Full
47,1.419838231414677,Full
48,1.2599550332411347,Full
49,1.3867500634799785,Full
50,1.2581123235840106,Full
51,1.4292540920125072,Full
52,1.174354880235964,Full
53,1.3745423061671906,Full
54,1.1584393695701565,Full
55,1.2440007797244914,Full
56,1.1388922418532306,Full
57,1.5011812525682107,Full
58,1.4292336185078474,Full
59,1.4056754634288728,Full
60,1.30084626257387,Full
61,1.389017065319112,Full
62,1.3350002930681963,Full
63,1.2771088214063349,Full
64,1.2857639610609226,Full
65,0.9995819067909201,Full
66,1.352298750539375,Full
67,1.4151390801119226,Full
68,1.5045543787031812,Full
69,1.3046169715751035,Full
70,1.0700721237313007,Full
71,1.4345518716168122,Full
72,1.484030652301948,Full
73,1.3774632694757023,Full
74,1.4381923073078906,Full
75,1.2836260012604797,Full
76,1.2119964463961932,Full
77,1.190845949604057,Full
78,1.2775015419207283,Full
79,1.4496892163948072,Full
80,1.372425947828437,Full
81,1.3504859877958222,Full
82,1.2068772722509638,Full
83,1.4058396555692698,Full
84,1.4041212538938352,Full
85,1.3943717523527055,Full
86,1.312850178163704,Full
87,1.3360277816231472,Full
88,1.3851143267579986,Full
89,1.2790809158188254,Full
90,1.1530391788411307,Full
91,1.3937173734773953,Full
92,1.2298344569497324,Full
93,1.2768356991667158,Full
94,1.293270594671063,Full
95,1.4786272115758425,Full
96,1.2550811374014195,Full
97,1.1436843411243482,Full
98,1.386445557491336,Full
99,1.3202698410208473,Full
100,1.27355737528229,Full
101,1.3648212513094558,Full
102,1.4853334775729343,Full
103,1.4097614036398982,Full
104,1.419440709375353,Full
105,1.172531530437313,Full
106,1.423337987091645,Full
107,1.3505465801102994,Full
108,1.302135759191793,Full
109,1.5075975259252123,Full
110,1.0222014568046527,Full
111,1.0859839236730415,Full
112,1.3086424230146003,Full
113,1.1576988329184428,Full
114,1.3159184950223022,Full
115,1.330280441301635,Full
116,1.051331792501681,Full
117,1.0191580352141054,Full
118,1.4052522465917294,Full
119,0.9146224676606434,Full
120,1.3589793357064526,Full
121,1.5526710873425769,Full
122,1.1831264038703304,Full
123,1.2801645524234988,Full
124,1.2958130149750107,Full
125,1.1580510496905323,Full
126,0.9908716938001703,Full
127,1.053879023906201,Full
128,1.3473080095562249,Full
129,1.3797384863221245,Full
130,1.1521180274618912,Full
131,1.3741408620502613,Full
132,1.0268646599760656,Full
133,1.461581016459899,Full
134,1.1739381955150188,Full
135,1.426164216086202,Full
136,1.2540191381305,Full
137,1.5386966467159653,Full
138,1.271318154613111,Full
139,1.1727777307465024,Full
140,1.4744476767787797,Full
141,0.9922819748525737,Full
142,1.240201173507841,Full
143,1.1197652558378344,Full
144,1.144716677436786,Full
145,1.0509134745090587,Full
146,1.2848602188755704,Full
147,1.3179474882581481,Full
148,1.1767498144232411,Full
149,1.1360683363888244,Full
150,1.389681191983905,Full
151,1.5377765497067128,Full
152,1.1583578690103875,Full
153,1.5172111277606786,Full
154,1.2402523063393425,Full
155,1.4910426086924202,Full
156,1.2241893648263928,Full
157,1.4196424116534958,Full
158,1.2132068219497687,Full
159,1.4522751561411256,Full
160,1.3498790447551303,Full
161,1.1538869673309113,Full
162,1.2071942088414638,Full
163,1.2012748872128909,Full
164,1.135084993695812,Full
165,1.4973851075394187,Full
166,1.4897503188505912,Full
167,1.6181730075486498,Full
168,1.4441244613277155,Full
169,1.2865926431783248,Full
170,1.5915924773576535,Full
171,1.3562616894517752,Full
172,1.4046362080403205,Full
173,1.3933795480507225,Full
174,1.3187251722417612,Full
175,1.2276947478037084,Full
176,1.4486742378504527,Full
177,1.5060735662455582,Full
178,1.091349163449473,Full
179,1.3915535982351754,Full
180,1.2440007797244914,Full
181,0.9724192936236369,Full
182,1.2908692460437738,Full
183,1.1423303057548564,Full
184,1.3168968763481208,Full
185,1.385268049013278,Full
186,1.2460378892728787,Full
187,1.4926422167248252,Full
188,1.2559785038240567,Full
189,1.2444244617278013,Full
190,1.3987918563454906,Full
191,1.0532632432915847,Full
192,1.602615448750387,Full
193,0.9847544370464751,Full
194,1.2206357423319245,Full
195,1.3112026662622036,Full
196,1.3476466911369487,Full
197,1.2958804744369505,Full
198,1.425434326413965,Full
199,1.284818006600318,Full
200,1.3134411959222956,Full
201,1.0850043284859827,Full
202,1.1183038074174916,Full
203,1.4343510413236555,Full
204,1.355161622109057,Full
205,1.2884643193754939,Full
206,1.273259011852855,Full
207,1.4544984327807278,Full
208,1.5052424374692923,Full
209,1.3479740524887094,Full
210,1.264726590634872,Full
211,1.3128674221705663,Full
212,1.3934260339255369,Full
213,1.516495029223124,Full
214,1.144716677436786,Full
215,1.2614633441368988,Full
216,1.3122651876528406,Full
217,1.4261250263996752,Full
218,1.2479408581036127,Full
219,1.2757896125447097,Full
220,1.1815185191778088,Full
221,1.3729652113744397,Full
222,1.2881208264306918,Full
223,1.4243343631725445,Full
224,1.0651360394015221,Full
225,1.2668917554887897,Full
226,1.2256518119201014,Full
227,1.334262825292917,Full
228,1.5283885002871376,Full
229,1.2913121900431572,Full
230,1.5180259289999822,Full
231,1.4750002365318502,Full
232,1.07927214587251,Full
233,1.381278740554081,Full
234,1.240458670963967,Full
235,1.160562283682008,Full
236,0.9454565408457661,Full
237,1.3389785539687822,Full
238,1.4533420778432182,Full
239,1.220944323136289,Full
240,1.3512823545281665,Full
241,1.1476111917961451,Full
242,1.1667600542319805,Full
243,1.0448804600772992,Full
244,1.2068772722509638,Full
245,1.3282913841670039,Full
246,1.3289309240626268,Full
247,1.395452273953529,Full
248,1.098843938275298,Full
249,1.2559036743083487,Full
250,1.308734948226917,Full
251,1.2578324863324215,Full
252,1.0832550105185086,Full
253,1.4840185813160662,Full
254,1.4755892283005991,Full
255,1.4320521600260854,Full
256,1.2436698307544312,Full
257,1.1271721800781451,Full
258,1.3897154547004782,Full
