board_name,heuristic,path,move_number_in_path,prob_path
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1]]",5,0.00020407599999999998
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1], [7, 3, 2]]",36,4.1e-77
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1]]",35,4.099999999999999e-73
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2]]",34,4.0999999999999994e-69
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1]]",33,3.6499999999999994e-66
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2]]",32,3.6499999999999995e-62
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1]]",31,1.4499999999999999e-59
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2]]",30,1.4499999999999996e-55
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1]]",29,1.5599999999999998e-53
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2]]",28,1.5599999999999999e-49
