userid,board_name,solved,explore_time,size,type,condition,exploit_time,explore_time_sec,id_fake
f9c123d7,6_easy_full,wrong,11259,6,easy,full,3808,11.259,583
31f6a576,10_hard_pruned,validatedCorrect,11276,10,hard,pruned,7257,11.276,584
94d6ef33,6_hard_full,wrong,11295,6,hard,full,1408,11.295,585
89cbfdf9,10_easy_pruned,wrong,11295,10,easy,pruned,4540,11.295,586
d5aff345,10_easy_pruned,validatedCorrect,11322,10,easy,pruned,6893,11.322,587
6cc4f8b6,10_easy_full,wrong,11340,10,easy,full,6128,11.34,588
6cd50fc7,10_easy_full,wrong,11345,10,easy,full,1768,11.345,589
aedbea55,6_easy_full,wrong,11362,6,easy,full,6332,11.362,590
fdaa7ebb,6_hard_pruned,wrong,11381,6,hard,pruned,6422,11.381,591
3ab7160d,10_easy_pruned,validatedCorrect,11391,10,easy,pruned,6376,11.391,592
89cbc391,10_easy_full,wrong,11393,10,easy,full,8447,11.393,593
59d51c4c,6_easy_full,solvedCorrect,11402,6,easy,full,2605,11.402,594
eefbf52d,10_medium_pruned,wrong,11453,10,medium,pruned,6911,11.453,595
7dd704e0,6_hard_pruned,wrong,11468,6,hard,pruned,6486,11.468,596
94e4c554,6_hard_full,wrong,11505,6,hard,full,0,11.505,597
89cbc391,10_easy_full,wrong,11509,10,easy,full,2034,11.509,598
bed50a1d,6_hard_full,wrong,11518,6,hard,full,10712,11.518,599
cdc514e1,10_hard_pruned,wrong,11575,10,hard,pruned,6190,11.575,600
b7e510d3,6_easy_pruned,wrong,11608,6,easy,pruned,10043,11.608,601
ecefd3a0,10_medium_pruned,validatedCorrect,11633,10,medium,pruned,10132,11.633,602
a7b511d6,10_medium_full,wrong,11639,10,medium,full,10192,11.639,603
28d4fefb,10_hard_pruned,solvedCorrect,11669,10,hard,pruned,8688,11.669,604
edbbea2c,6_easy_pruned,wrong,11685,6,easy,pruned,0,11.685,605
ecefd3a0,10_medium_pruned,validatedCorrect,11692,10,medium,pruned,11152,11.692,606
5de11557,6_easy_full,validatedCorrect,11715,6,easy,full,3032,11.715,607
b8a4fbaa,10_easy_full,wrong,11720,10,easy,full,9928,11.72,608
d4cbca4e,10_easy_full,validatedCorrect,11728,10,easy,full,5125,11.728,609
67abc3ab,6_easy_pruned,wrong,11765,6,easy,pruned,8806,11.765,610
75bbec9c,10_easy_full,wrong,11772,10,easy,full,6692,11.772,611
70da8cfb,6_hard_full,wrong,11784,6,hard,full,10817,11.784,612
12eacae6,6_easy_full,wrong,11796,6,easy,full,0,11.796,613
76f6a1e9,10_medium_pruned,wrong,11797,10,medium,pruned,2575,11.797,614
5de11557,6_easy_full,validatedCorrect,11804,6,easy,full,3023,11.804,615
6cc4f8b6,10_easy_full,wrong,11813,10,easy,full,4526,11.813,616
33a74451,10_medium_pruned,wrong,11865,10,medium,pruned,10643,11.865,617
