userid,board,solved,correct,explore_time,exploit_time,num_unique_first_moves,num_resets,num_moves_win_score,mean_score,num_restarts,solution_time,median_score,number_of_moves
2fd101b0,10_easy_pruned,validatedCorrect,correct,19.869,12.75666667,0.157894737,0.038461538,0.001,0.013437245,0.071428571,0.23635843,0.029906631,0.349112426
39afd1eb,10_easy_pruned,wrong,wrong,13.824,2.048,0.052631579,0.019230769,0.083333333,0.779473532,0.001,0.16322795,0.244177673,0.017751479
3ab7160d,10_easy_pruned,validatedCorrect,correct,22.93013333,11.97293333,0.526315789,0.269230769,0.25,0.501137251,0.333333333,0.73415526,0.049822946,0.355029586
43dbc360,10_easy_pruned,wrong,wrong,30.78325,11.81075,0.368421053,0.153846154,0.083333333,0.234554906,0.166666667,0.657062765,0.068696884,0.171597633
46c12352,10_easy_pruned,wrong,wrong,26.2175,16.71075,0.157894737,0.115384615,0.166666667,0.355963941,0.071428571,0.585309544,0.068396832,0.094674556
4ecfea32,10_easy_pruned,validatedCorrect,correct,27.6186,13.8744,0.315789474,0.173076923,0.5,0.499404067,0.285714286,0.728938508,0.030534052,0.366863905
76bfdf0b,10_easy_pruned,wrong,wrong,63.971,51.324,0.421052632,0.001,0.001,0.406424318,0.19047619,0.707376228,0.077994799,0.224852071
89cbfdf9,10_easy_pruned,wrong,wrong,15.739,7.004066667,0.473684211,0.269230769,0.166666667,0.477776037,0.333333333,0.44010404,0.042883231,0.313609467
8defd34b,10_easy_pruned,validatedCorrect,correct,33.1313,10.6607,0.263157895,0.173076923,0.083333333,0.521245233,0.238095238,0.798991192,0.049575071,0.25443787
92f69945,10_easy_pruned,wrong,wrong,26.4835,7.411,0.052631579,0.019230769,0.166666667,0.586078253,0.023809524,0.169234448,0.073477337,0.059171598
a7bfd4fc,10_easy_pruned,wrong,wrong,27.2855,7.86,0.052631579,0.019230769,0.166666667,0.448766573,0.047619048,0.160024681,0.316145911,0.076923077
c3dfd812,10_easy_pruned,validatedCorrect,correct,14.14441667,7.716708333,1,0.442307692,0.333333333,0.489133747,0.547619048,0.748282118,0.059144553,0.461538462
c7c6f18d,10_easy_pruned,validatedCorrect,correct,3.319333333,1.969333333,0.105263158,0.038461538,0.083333333,0.613519923,0.047619048,0.186372674,0.064745042,0.047337278
cdc50047,10_easy_pruned,validatedCorrect,correct,10.93391667,7.44975,0.368421053,0.211538462,0.5,0.560710014,0.261904762,0.545704151,0.059135977,0.24852071
ceafe698,10_easy_pruned,validatedCorrect,correct,39.55366667,13.69333333,0.157894737,0.038461538,0.166666667,0.551294681,0.047619048,0.28134,0.084906113,0.082840237
d5aff345,10_easy_pruned,validatedCorrect,correct,16.07884615,5.357769231,0.947368421,0.480769231,0.001,0.429652481,0.619047619,0.764947973,0.03042782,0.532544379
e2bbe5e1,10_easy_pruned,wrong,wrong,18.5565,9.41975,0.210526316,0.057692308,0.083333333,0.565864008,0.095238095,0.113984704,0.08287127,0.153846154
eec719ce,10_easy_pruned,wrong,wrong,25.70283333,6.095666667,0.263157895,0.096153846,0.166666667,0.523521106,0.119047619,0.488250499,0.15387413,0.118343195
f8efd664,10_easy_pruned,validatedCorrect,correct,7.552333333,6.071666667,0.001,0.038461538,0.5,0.655260803,0.047619048,0.128730074,1,0.082840237
