"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1]]",7,24994,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1], [1, 4, 2]]",8,24993,6_easy_full
"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [0, 2, 2], [1, 4, 1]]",5,99983,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1]]",7,99978,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",5,99986,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1]]",5,299958,6_easy_full
"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2], [1, 5, 1], [1, 4, 2]]",6,99982,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2]]",4,199974,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1], [4, 5, 2]]",6,99982,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [0, 2, 2]]",6,99982,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",7,149975,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1], [3, 5, 2], [1, 5, 1], [5, 5, 2]]",8,99980,6_easy_full
"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1], [0, 5, 2], [5, 3, 1]]",7,99978,6_easy_full
"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2]]",4,99987,6_easy_full
"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2]]",4,99987,6_easy_full
"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2]]",4,99987,6_easy_full
"[[1, 5, 1], [1, 4, 2], [0, 2, 1]]",3,99991,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2]]",6,49991,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2]]",4,99987,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",7,99981,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [3, 5, 1], [0, 2, 2]]",8,24992,6_easy_full
"[[3, 5, 1], [0, 2, 2]]",2,299985,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2]]",4,99987,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1]]",5,99986,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",7,99984,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [1, 5, 2], [3, 5, 1], [0, 2, 2]]",8,99977,6_easy_full
"[[1, 5, 1], [1, 4, 2], [4, 4, 1]]",3,99991,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2]]",4,199980,6_easy_full
"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [0, 2, 2], [1, 4, 1], [1, 5, 2]]",6,99982,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2], [3, 5, 1]]",7,24993,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [2, 5, 1], [0, 5, 2]]",6,149977,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1]]",3,599946,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 5, 1]]",3,99991,6_easy_full
"[[4, 4, 1], [4, 1, 2]]",2,99992,6_easy_full
"[[4, 4, 1]]",1,299988,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2], [2, 5, 1]]",5,99986,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [1, 5, 2]]",6,99982,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [3, 5, 1]]",7,24993,6_easy_full
"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1], [0, 5, 2]]",6,99982,6_easy_full
"[[4, 4, 1], [2, 5, 2]]",2,99992,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [1, 5, 2], [3, 5, 1], [0, 2, 2]]",8,99977,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1]]",5,199972,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2]]",4,99987,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2], [5, 2, 1]]",5,99986,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2]]",8,24993,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2]]",4,99987,6_easy_full
"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2]]",4,99987,6_easy_full
"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2], [1, 5, 1]]",5,99983,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [1, 5, 2], [3, 5, 1]]",7,99978,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1], [1, 5, 2]]",6,99982,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 5, 1]]",3,199982,6_easy_full
