,board,correct,inverse_computation,k,move_limit,noise,shutter_size
93,10_medium_pruned,0.32,0.00135036594917,10,100,0.05,0.0
94,6_easy_full,0.7,0.00584692743963,10,100,0.05,0.0
95,6_easy_pruned,0.9,0.00734699875101,10,100,0.05,0.0
96,6_hard_full,0.23,0.00234252383518,10,100,0.05,0.0
97,6_hard_pruned,0.2,0.00269171758499,10,100,0.05,0.0
98,10_easy_full,0.34,0.00110786138438,10,100,0.1,0.0
99,10_easy_pruned,0.53,0.00139468068786,10,100,0.1,0.0
100,10_hard_full,0.21,0.00101985660816,10,100,0.1,0.0
101,10_hard_pruned,0.19,0.00100926505319,10,100,0.1,0.0
102,10_medium_full,0.13,0.000924026538042,10,100,0.1,0.0
103,10_medium_pruned,0.32,0.00127575428972,10,100,0.1,0.0
104,6_easy_full,0.68,0.00590597684857,10,100,0.1,0.0
105,6_easy_full,0.87,0.00305894588725,10,100,0.1,0.5
106,6_easy_pruned,0.88,0.00750750750751,10,100,0.1,0.0
107,6_easy_pruned,0.94,0.00435843793584,10,100,0.1,0.5
108,6_hard_full,0.22,0.00242718446602,10,100,0.1,0.0
109,6_hard_pruned,0.21,0.0026581605529,10,100,0.1,0.0
110,10_easy_full,0.29,0.00109768279163,10,100,0.2,0.0
111,10_easy_pruned,0.44,0.00152095881244,10,100,0.2,0.0
112,10_hard_full,0.12,0.00101713878859,10,100,0.2,0.0
113,10_hard_full,0.22,0.000462429884069,10,100,0.2,0.5
114,10_hard_pruned,0.15,0.00107127170664,10,100,0.2,0.0
115,10_medium_full,0.1,0.000946557370842,10,100,0.2,0.0
116,10_medium_pruned,0.33,0.00130412102243,10,100,0.2,0.0
117,6_easy_full,0.76,0.00596587519389,10,100,0.2,0.0
118,6_easy_pruned,0.91,0.00770060064685,10,100,0.2,0.0
119,6_hard_full,0.21,0.00239165789725,10,100,0.2,0.0
120,6_hard_pruned,0.14,0.00276808946465,10,100,0.2,0.0
