,board,path_length,wasserstein
0,6_easy_full,7,0.00338144331753
1,6_easy_full,8,0.00422365591398
2,6_easy_full,4,0.004
3,6_easy_full,6,0.00372157772622
4,6_easy_full,1,0.010063492
5,6_easy_full,5,0.0039861321493
6,6_easy_full,2,0.00470144297059
7,6_easy_full,3,0.0042969141422
8,6_easy_pruned,5,0.00354643873704
9,6_easy_pruned,4,0.00418262627556
10,6_easy_pruned,6,0.0051575562701
11,6_easy_pruned,1,0.036788461625
12,6_easy_pruned,3,0.00760839161538
13,6_easy_pruned,2,0.0127345454
14,10_easy_full,8,0.00363358778626
15,10_easy_full,7,0.00329927011131
16,10_easy_full,1,0.00577207979487
17,10_easy_full,6,0.00336531365314
18,10_easy_full,4,0.00296509240041
19,10_easy_full,5,0.00323629492628
20,10_easy_full,3,0.00316235297647
21,10_easy_full,2,0.00448854962595
22,10_easy_pruned,5,0.00354240628797
23,10_easy_pruned,1,0.010606271878
24,10_easy_pruned,4,0.00329018786639
25,10_easy_pruned,2,0.00602849000855
26,10_easy_pruned,6,0.00383935742972
27,10_easy_pruned,3,0.00385766760101
28,6_hard_full,6,0.0033745174112
29,6_hard_full,9,0.00358095236952
30,6_hard_full,8,0.00357854408621
31,6_hard_full,2,0.00422279939048
32,6_hard_full,10,0.0039051383419
33,6_hard_full,7,0.00334709196811
34,6_hard_full,5,0.00303875971124
35,6_hard_full,4,0.00283602771363
36,6_hard_full,3,0.00334177217089
37,6_hard_full,1,0.0173698073333
38,6_hard_pruned,8,0.0040081799591
39,6_hard_pruned,2,0.00372942996364
40,6_hard_pruned,5,0.00315742792018
41,6_hard_pruned,4,0.00385907859079
42,6_hard_pruned,6,0.00354032260282
43,6_hard_pruned,3,0.0047874015748
44,6_hard_pruned,7,0.0033346228588
45,6_hard_pruned,1,0.011754386
46,10_hard_full,6,0.00389662027833
47,10_hard_full,3,0.00430534351399
48,10_hard_full,1,0.019015625
49,10_hard_full,5,0.00384860557968
50,10_hard_full,4,0.00379310346552
51,10_hard_full,8,0.00388954635306
52,10_hard_full,2,0.00516305914935
53,10_hard_full,7,0.00382711198625
54,10_hard_full,9,0.00387401575197
55,10_hard_full,10,0.00395228628032
56,10_hard_pruned,4,0.00351177727409
57,10_hard_pruned,2,0.00492720308046
58,10_hard_pruned,6,0.00360769229423
59,10_hard_pruned,7,0.00350094519282
60,10_hard_pruned,5,0.00341406250391
61,10_hard_pruned,1,0.0163977272812
62,10_hard_pruned,8,0.00390513834387
63,10_hard_pruned,3,0.00370408164031
64,10_medium_full,10,0.00396812749004
65,10_medium_full,4,0.00360243407505
66,10_medium_full,7,0.00347663552897
67,10_medium_full,6,0.00356653994867
68,10_medium_full,9,0.00381249999219
69,10_medium_full,1,0.0177606837692
70,10_medium_full,5,0.00368441815187
71,10_medium_full,2,0.00623853211009
72,10_medium_full,8,0.00379727095712
73,10_medium_full,3,0.00458666665867
74,10_medium_pruned,3,0.00394825051676
75,10_medium_pruned,8,0.002
76,10_medium_pruned,6,0.00382778865166
77,10_medium_pruned,1,0.0157
78,10_medium_pruned,7,0.00392079207723
79,10_medium_pruned,5,0.0035095785249
80,10_medium_pruned,4,0.00350862068103
81,10_medium_pruned,2,0.00632170979528
