num_unique_first_moves,num_resets,median_first_move_score,exploit_time,num_moves_win_score,mean_score,num_restarts,userid,solution_time,solved,board,median_score,avg_first_move_score,explore_time,number_of_moves
4,3,6.332937926,0.4025,1,1431.921287,6,14b4c043,195.859,wrong,6_hard_full,6.332937926,6.74014881,54.7665,11
6,4,8.430386905,14.33,2,7.248126214,7,14c5dc72,212.673,wrong,6_hard_full,8.430386905,9.849045189,21.337,17
4,4,8.430386905,5.491333333,3,1671.958215,5,17b4c1ea,399.893,wrong,6_hard_full,8.430386905,9.199656463,29.04366667,23
4,6,8.430386905,8.889857143,2,745.0070607,10,17e120dd,448.077,validatedCorrect,6_hard_full,5.984672619,8.475634606,13.58585714,40
8,0,5.457121599,5.9925,3,-1956.014432,29,22dac859,562.645,wrong,6_hard_full,1.083475057,5.585750238,7.5755,71
1,3,15.25,26.077,2,-450.4383926,3,24a5e25a,140.319,wrong,6_hard_full,5.332121599,15.25,27.7035,19
3,3,13.66666667,37.795,2,-827.5790321,4,24f4c091,233.232,wrong,6_hard_full,7.726478175,10.80470521,50.033,32
2,4,5.457121599,9.976,2,1181.046563,3,26dbf6e9,143.135,wrong,6_hard_full,8.157467404,8.721414399,11.0555,14
3,4,10.3535608,33.491,2,292.4841869,4,32ebf2e8,233.131,wrong,6_hard_full,8.157467404,9.127744119,42.62033333,31
2,2,15.25,4.848,1,-993.9510204,3,37f61258,36.802,wrong,6_hard_full,6.541666665,14.19444444,7.358,8
4,5,5.457121599,21.13275,0,-286.8997013,6,38ebbf94,200.14,wrong,6_hard_full,9.578733702,6.833878495,23.85175,29
2,2,8.430386905,8.087,1,2002.655353,3,3af4bfbb,173.844,wrong,6_hard_full,8.430386905,8.023176021,36.472,8
3,4,8.430386905,19.39666667,1,1256.62691,5,3bb613b2,271.535,wrong,6_hard_full,8.430386905,10.56357908,27.93366667,20
3,3,8.430386905,33.29,2,2505.574702,3,3cd60baf,371.221,wrong,6_hard_full,11.84019345,9.712502835,59.3685,13
2,3,15.25,52.5685,2,746.3294487,3,3df11bae,435.21,validatedCorrect,6_hard_full,12.08333333,14.19444444,62.777,24
4,7,12.08333333,7.6406,4,505.1642247,9,43c60cd9,350.412,solvedCorrect,6_hard_full,10.12040037,10.54575775,9.6096,31
6,8,8.430386905,8.6709,4,121.8805523,18,47f614be,628.182,wrong,6_hard_full,8.430386905,9.773630547,16.4275,63
2,9,15.25,25.48328571,1,7.820274673,10,49e6113d,425.068,validatedCorrect,6_hard_full,15.25,14.3,30.32,53
1,0,5.457121599,0,1,1251.047983,1,4af5df5d,114.264,wrong,6_hard_full,3.970559808,5.457121599,9.411,6
4,9,8.430386905,14.23775,3,1322.630881,12,4ed4c1d3,390.494,wrong,6_hard_full,10.08411706,10.03303182,17.8245,29
6,0,5.457121599,6.50175,2,1617.064683,13,53c4c041,263.002,validatedCorrect,6_hard_full,5.457121599,6.226914138,15.513,20
2,1,8.430386905,30.619,2,2149.050812,3,54f4bf95,205.41,wrong,6_hard_full,11.84019345,10.70359127,48.002,11
2,1,5.457121599,52.939,2,1672.694538,3,57a4bf4b,273.836,wrong,6_hard_full,11.7037337,8.721414399,74.759,10
2,3,12.08333333,37.785,2,-582.7174935,3,5ce612bc,192.396,validatedCorrect,6_hard_full,11.25,13.13888889,41.1465,14
