num_unique_first_moves,num_resets,median_first_move_score,exploit_time,num_moves_win_score,mean_score,num_restarts,userid,solution_time,solved,board,median_score,avg_first_move_score,explore_time,number_of_moves
4,3,6.332937926,10.70133333,1,-32.89707908,6,14b4c043,195.859,wrong,6_hard_full,2.2285608,6.74014881,47.811,11
6,4,8.430386905,22.6435,2,8.058208279,7,14c5dc72,212.673,wrong,6_hard_full,7.208754252,9.849045189,31.654,17
4,4,8.430386905,5.491333333,2,-8.892630784,5,17b4c1ea,399.893,validatedCorrect,6_hard_full,0.25,9.199656463,29.04366667,23
4,6,6.943754252,10.1662,4,-7.160045073,10,17e120dd,448.077,solvedCorrect,6_hard_full,-0.333333333,16.94330683,16.4792,40
2,1,0.46875,12.143,3,18.25,2,20bfd7bd,50,wrong,6_hard_full,0.5,0.46875,16.308,10
8,0,5.457121599,18.085,16,-18.47103331,29,22dac859,562.645,wrong,6_hard_full,-1.222293084,15.09327161,21.4745,71
1,3,15.25,26.077,2,-7.703818092,3,24a5e25a,140.319,solvedCorrect,6_hard_full,-0.25,15.25,27.7035,19
3,3,13.66666667,34.92533333,2,-20.50746799,4,24f4c091,233.232,wrong,6_hard_full,-2.812483701,10.80470521,43.73733333,32
2,3,5.457121599,9.976,3,-2.70473406,3,26dbf6e9,94.893,validatedCorrect,6_hard_full,5.457121599,8.721414399,11.0555,14
2,1,7.625,48.441,2,-20.35277359,2,31e63b91,144.929,wrong,6_hard_full,-1.215921911,7.625,66.872,23
3,4,10.3535608,33.491,2,-1.099867023,4,32ebf2e8,233.131,validatedCorrect,6_hard_full,-0.75,9.127744119,42.62033333,31
2,2,15.25,4.332,1,34.22397959,3,37f61258,36.802,wrong,6_hard_full,13.66666667,14.19444444,11.852,8
4,5,0.375,20.9674,0,-8.779411765,6,38ebbf94,200.14,wrong,6_hard_full,-0.125,0.375,23.8992,29
2,2,8.430386905,4.0435,0,-37.716447,3,3af4bfbb,173.844,wrong,6_hard_full,-0.929499008,8.023176021,18.812,8
3,4,8.430386905,28.378,0,-27.59362664,5,3bb613b2,271.535,wrong,6_hard_full,0,10.56357908,36.01875,20
3,3,8.430386905,33.29,3,3.562049143,3,3cd60baf,371.221,validatedCorrect,6_hard_full,6.943754252,9.712502835,59.3685,13
2,3,15.25,52.5685,2,-10.74580126,3,3df11bae,435.21,solvedCorrect,6_hard_full,0.3125,14.19444444,62.777,24
4,7,12.08333333,7.6406,2,1.486184984,9,43c60cd9,350.412,validatedCorrect,6_hard_full,0.5625,10.54575775,9.6096,31
6,8,8.430386905,10.91657143,5,4.580868596,18,47f614be,628.182,validatedCorrect,6_hard_full,0.375,13.29885771,20.984,63
2,9,15.25,24.111,2,-16.37397135,10,49e6113d,425.068,wrong,6_hard_full,-0.5,14.3,28.515875,53
4,9,8.430386905,14.23775,0,-5.594441125,12,4ed4c1d3,390.494,validatedCorrect,6_hard_full,0.5,10.03303182,17.8245,29
6,0,15.25,21.303,6,-1.306529515,13,53c4c041,263.002,wrong,6_hard_full,1.377847222,35.70534014,24.268,20
2,1,15.25,30.619,3,15.43913711,3,54f4bf95,205.41,validatedCorrect,6_hard_full,0.625,41.22679564,48.002,11
2,1,5.457121599,52.939,2,26.55264798,3,57a4bf4b,273.836,validatedCorrect,6_hard_full,3.0410608,8.721414399,74.759,10
2,3,12.08333333,37.785,2,18.34797386,3,5ce612bc,192.396,solvedCorrect,6_hard_full,0.6875,13.13888889,41.1465,14
3,3,12.08333333,14.7535,2,8.788982233,5,63e5efe1,151.911,validatedCorrect,6_hard_full,0.59375,10.69951531,19.5255,17
5,8,0.34375,7.326857143,6,-5.257675439,8,67eac875,245.973,wrong,6_hard_full,-0.125,0.265625,10.94471429,49
4,4,8.430386905,23.0335,5,-5.90989415,5,68d5e249,413.654,wrong,6_hard_full,-0.721371882,9.918926021,38.7855,24
8,16,8.430386905,3.792933333,12,-14.02092817,31,69bad0fe,591.534,wrong,6_hard_full,-1,19.7603064,7.275866667,85
2,0,8.430386905,12.369,3,4.372471822,3,6bf51f66,85.485,wrong,6_hard_full,-1.582743764,37.96250283,14.15,11
5,3,0.28125,13.3585,4,-14.31505102,6,6ee61190,231.856,wrong,6_hard_full,-0.25,0.302083333,23.8825,34
4,5,5.457121599,12.0295,7,0.075171215,11,70da8cfb,304.458,validatedCorrect,6_hard_full,5.207121599,-2.767215909,18.51916667,32
2,1,13.66666667,0,0,14.00006551,2,74b60b9f,92.584,wrong,6_hard_full,0.3125,13.66666667,27.441,8
2,1,10.3535608,26.812,0,-39.00794942,2,76e60f84,114.66,wrong,6_hard_full,-4.578733702,10.3535608,37.294,17
10,10,0.3125,4.592222222,7,-3.285860656,15,7bf4bf38,185.397,wrong,6_hard_full,-0.125,6.983333333,7.662111111,42
2,0,15.25,0,6,5.189065706,3,84a4bf3c,91.978,wrong,6_hard_full,0.5,38.87594907,4.884,11
3,7,8.430386905,11.3515,5,-18.0133431,7,87b50908,183.326,solvedCorrect,6_hard_full,-1,8.130360787,14.59666667,29
7,10,8.430386905,34.420125,12,4.693543743,16,89d60ba4,559.039,solvedCorrect,6_hard_full,2.583854875,19.78239158,38.955875,57
6,6,8.430386905,6.720833333,0,-23.44775169,9,8ac4c37c,173.43,wrong,6_hard_full,0,9.683273652,17.70383333,16
4,3,7.208754252,12.82733333,4,16.47639784,5,8ea4bf56,146.24,wrong,6_hard_full,6.332937926,9.72459949,14.825,18
4,8,15.25,21.92616667,6,3.617312071,8,8fc76287,430.892,validatedCorrect,6_hard_full,0.375,11.43941947,32.709,58
8,10,1.963129252,9.7364,0,-23.60536258,14,8fcbec83,566.581,wrong,6_hard_full,-0.237847222,3.718289197,19.9962,39
5,3,8.430386905,15.0878,5,4.656448566,17,90c60de8,683.186,solvedCorrect,6_hard_full,5.2735608,18.53823721,20.7624,43
4,3,15.25,18.22166667,10,-3.544264548,11,91cfd7fb,548.164,validatedCorrect,6_hard_full,1.611111111,26.73082496,21.725,45
