board,move,correct
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_hard_full,19,0
6_hard_full,31,0
6_hard_full,23,0
6_hard_full,23,0
6_hard_full,4,1
6_hard_full,3,0
6_hard_full,24,0
6_hard_full,30,0
6_hard_full,19,0
6_hard_full,18,0
6_hard_full,18,0
6_hard_full,7,0
6_hard_full,4,1
6_hard_full,11,0
6_hard_full,19,0
6_hard_full,18,0
6_hard_full,4,1
6_hard_full,19,0
6_hard_full,6,0
6_hard_full,3,0
6_hard_full,4,1
6_hard_full,29,0
6_hard_full,3,0
6_hard_full,7,0
6_hard_full,4,1
6_hard_full,12,0
6_hard_full,24,0
6_hard_full,19,0
6_hard_full,17,0
6_hard_full,17,0
6_hard_full,13,0
6_hard_full,6,0
6_hard_full,30,0
6_hard_full,11,0
6_hard_full,33,0
6_hard_full,23,0
6_hard_full,36,0
6_hard_full,19,0
6_hard_full,4,1
6_hard_full,4,1
6_hard_full,25,0
6_hard_full,6,0
6_hard_full,25,0
6_hard_full,7,0
6_hard_full,34,0
6_hard_full,29,0
6_hard_full,33,0
6_hard_full,34,0
6_hard_full,19,0
6_hard_full,19,0
6_hard_pruned,33,0
6_hard_pruned,6,0
6_hard_pruned,33,0
6_hard_pruned,16,0
6_hard_pruned,15,0
6_hard_pruned,1,0
6_hard_pruned,21,0
6_hard_pruned,13,0
6_hard_pruned,21,0
6_hard_pruned,1,0
6_hard_pruned,3,1
6_hard_pruned,27,0
6_hard_pruned,17,0
6_hard_pruned,3,1
6_hard_pruned,3,1
6_hard_pruned,18,0
6_hard_pruned,6,0
6_hard_pruned,30,0
6_hard_pruned,21,0
6_hard_pruned,24,0
6_hard_pruned,17,0
6_hard_pruned,28,0
6_hard_pruned,6,0
6_hard_pruned,28,0
6_hard_pruned,28,0
6_hard_pruned,1,0
6_hard_pruned,6,0
6_hard_pruned,7,0
6_hard_pruned,13,0
6_hard_pruned,17,0
6_hard_pruned,29,0
6_hard_pruned,24,0
6_hard_pruned,28,0
6_hard_pruned,31,0
6_hard_pruned,12,0
6_hard_pruned,6,0
6_hard_pruned,31,0
6_hard_pruned,3,1
6_hard_pruned,25,0
6_hard_pruned,30,0
6_hard_pruned,3,1
6_hard_pruned,28,0
6_hard_pruned,3,1
6_hard_pruned,16,0
6_hard_pruned,13,0
6_hard_pruned,12,0
6_hard_pruned,23,0
6_hard_pruned,6,0
6_hard_pruned,29,0
6_hard_pruned,13,0
