,userid,win_score,Unnamed: 0,board_size,blocking_score,Density,Linear,Non-linear,Interaction,Forcing,interaction_blind,blocking_blind
56,13f4ff5a,250,4861.5,10,50.33333333,-3.814540589,-3.535291509,-3.300882761,-2.808301932,-2.736786026,-2.436073685,-2.440211142
57,13f4ff5a,500,8119.5,10,50.33333333,-3.865876986,-3.57340582,-3.347869504,-2.938856652,-2.811913695,-2.516383501,-2.490697477
58,13f4ff5a,750,11377.5,10,50.33333333,-3.89639418,-3.598775559,-3.376826874,-3.02716819,-2.874045532,-2.568979881,-2.529268093
59,13f4ff5a,1000,14635.5,10,50.33333333,-3.918185131,-3.617820712,-3.397815342,-3.093710449,-2.925202234,-2.608114522,-2.560130623
60,13f4ff5a,1250,17622,10,160,-3.935146236,-3.633073754,-3.414287457,-3.147073576,-2.959224991,-2.6004519,-2.589969351
61,13f4ff5a,1500,20337,10,160,-3.949034814,-3.645796938,-3.427846849,-3.191611099,-2.984892428,-2.625951727,-2.605699235
62,13f4ff5a,1750,23052,10,160,-3.960795156,-3.656711298,-3.439370471,-3.229827021,-3.008690537,-2.647813875,-2.620048159
63,13f4ff5a,2000,25767,10,160,-3.970993667,-3.666267714,-3.449390569,-3.263292553,-3.030768761,-2.666948804,-2.633215227
64,13f4ff5a,2250,28482,10,160,-3.979996971,-3.674767011,-3.458254583,-3.293058022,-3.051306328,-2.683962644,-2.645368679
65,13f4ff5a,2500,31197,10,160,-3.988056052,-3.682419945,-3.466201901,-3.31986013,-3.07047525,-2.699279391,-2.65664724
66,16d516ad,25,1489.5,6,50.33333333,-2.77389765,-1.802538852,-1.685996422,-1.355644028,-1.321160529,-1.573913445,-1.50147101
67,16d516ad,250,4747.5,6,50.33333333,-3.073094746,-1.973023705,-1.913587015,-1.482293752,-1.202014585,-2.058058192,-1.728143014
68,16d516ad,500,8005.5,6,50.33333333,-3.170364884,-2.059876573,-2.00571961,-1.564336366,-1.235530594,-2.243298629,-1.86029307
69,16d516ad,750,11263.5,6,50.33333333,-3.227702342,-2.113619424,-2.061307955,-1.616361075,-1.266934402,-2.354766503,-1.949415879
70,16d516ad,1000,14521.5,6,50.33333333,-3.268506245,-2.152601972,-2.101230246,-1.654461201,-1.293548083,-2.4347498,-2.016990365
71,16d516ad,1250,17508,6,160,-3.300207622,-2.183202685,-2.132400372,-1.68452473,-1.133618779,-2.497171011,-1.881805882
72,16d516ad,1500,20223,6,160,-3.326135981,-2.208393958,-2.157973606,-1.709354598,-1.144775142,-2.548370486,-1.918441688
73,16d516ad,1750,22938,6,160,-3.348073491,-2.229803347,-2.179656985,-1.730504212,-1.155656449,-2.591774629,-1.950900613
74,16d516ad,2000,25653,6,160,-3.367086375,-2.248419243,-2.198479013,-1.748924379,-1.166076981,-2.629446461,-1.98003934
75,16d516ad,2250,28368,6,160,-3.383863491,-2.264887056,-2.215107532,-1.765239422,-1.175981362,-2.662724944,-2.006475228
76,16d516ad,2500,31083,6,160,-3.398875761,-2.279651547,-2.230000827,-1.779881359,-1.185369551,-2.692528593,-2.030667902
77,16e512d0,25,1704.5,6,50.33333333,-2.615729214,-1.839340576,-1.677845778,-1.764210578,-1.67000991,-2.220765678,-2.39867771
78,16e512d0,250,4962.5,6,50.33333333,-2.615729214,-1.839340576,-1.677845778,-2.062093801,-1.898075789,-2.370573375,-2.578640255
79,16e512d0,500,8220.5,6,50.33333333,-2.615729214,-1.839340576,-1.677845778,-2.162105065,-1.967423356,-2.438222257,-2.621209345
80,16e512d0,750,11478.5,6,50.33333333,-2.615729214,-1.839340576,-1.677845778,-2.221274075,-2.014747288,-2.479972254,-2.652901516
81,16e512d0,1000,14736.5,6,50.33333333,-2.615729214,-1.839340576,-1.677845778,-2.263442271,-2.050608219,-2.510248609,-2.677723828
82,16e512d0,1250,17723,6,160,-2.615729214,-1.839340576,-1.677845778,-2.296229294,-2.152637479,-2.358436091,-2.732765926
83,16e512d0,1500,20438,6,160,-2.615729214,-1.839340576,-1.677845778,-2.323058851,-2.1718856,-2.376786552,-2.744730412
84,16e512d0,1750,23153,6,160,-2.615729214,-1.839340576,-1.677845778,-2.345766577,-2.18900366,-2.392535411,-2.755720848
