userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
5edbbf73,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.768053131,-2.490205215,-2.379455863,-2.156102774,-2.185300401,-2.103115837,-2.116837271
5fd6115c,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.785011242,-3.113515309,-2.662186784,-2.262948197,-2.109121577,-2.183926674,-2.022582857
63c4bfcb,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.290047737,-3.605914459,-3.560231812,-3.59268586,-3.642795529,-1.818260589,-1.794066674
63e5efe1,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.735776129,-2.196178368,-2.018422892,-1.808738876,-1.767950309,-1.619678069,-1.580197748
64f61543,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.064803123,-2.034160598,-1.90704253,-1.867887473,-1.813920011,-1.543513574,-1.525334351
67eac875,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.113884278,-2.742648289,-2.786405821,-2.810979308,-2.796003224,-2.507816966,-2.482748221
68d5e249,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.551884632,-2.416744723,-2.316558962,-2.103385803,-2.115951882,-1.731896131,-1.732882936
69bad0fe,6_hard_full,6,hard,full,blocking,0.05,25,-2.873975697,-2.119653125,-1.996305863,-1.842478333,-1.822729196,-2.340712141,-2.340127626
6bf51f66,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.704910976,-2.579650661,-2.486265425,-2.128864157,-2.181178989,-2.097843171,-2.137891836
6ee61190,6_hard_full,6,hard,full,non-linear,0.05,25,-2.968922706,-2.152844484,-2.137306121,-2.261196243,-2.267490607,-2.666603592,-2.675941472
70da8cfb,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.679231119,-2.164690108,-2.051847941,-1.849861317,-1.860259147,-1.744737751,-1.780462553
72f4c145,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.076699852,-2.675595759,-2.602643391,-2.528950979,-2.409978132,-2.36401606,-2.245303063
74b60b9f,6_hard_full,6,hard,full,density,0.05,25,-3.036074391,-3.45593714,-3.392456957,-3.319410762,-3.275143405,-3.759035549,-3.697993834
76e60f84,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.726014052,-2.304028959,-2.21111906,-2.155286543,-2.104761992,-1.620472262,-1.512332428
78f60c95,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.562634971,-1.585976593,-1.373429435,-1.132843822,-1.106635238,-1.077282529,-1.052171829
7bf4bf38,6_hard_full,6,hard,full,non-linear,0.05,25,-2.637918418,-2.219934092,-2.123786934,-2.143873572,-2.134733903,-2.944742905,-2.961314497
84a4bf3c,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.767775265,-2.270215497,-2.091979075,-2.011949053,-1.968857746,-1.977580848,-1.933928306
87b50908,6_hard_full,6,hard,full,interaction,0.05,25,-2.718904866,-2.169851142,-2.072038455,-1.778597092,-1.807644771,-1.953015315,-1.983367813
87f4bf56,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.276368294,-3.289352101,-3.229061305,-3.204048511,-3.22576614,-3.169105415,-3.079624863
87f610ee,6_hard_full,6,hard,full,non-linear,0.05,25,-2.352143396,-2.027273852,-1.969631653,-2.032340763,-2.039413859,-2.316290341,-2.37101036
89d60ba4,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.700786705,-2.178851995,-2.073327016,-1.902625059,-1.902038643,-1.87266717,-1.868485846
8ac4c37c,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.051698428,-2.783151279,-2.64235156,-2.427828443,-2.398517465,-1.999178067,-1.95023273
8ea4bf56,6_hard_full,6,hard,full,interaction,0.05,25,-2.499896312,-2.036841995,-1.918948812,-1.598237974,-1.625491301,-1.618472603,-1.638435273
8fc76287,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.813586267,-2.227131878,-2.113570865,-1.885305454,-1.868134652,-1.8158221,-1.78431415
8fcbec83,6_hard_full,6,hard,full,density,0.05,25,-2.896843089,-3.594393,-3.609932211,-3.774266199,-3.796634887,-3.419944016,-3.442025717
90c60de8,6_hard_full,6,hard,full,blocking,0.05,25,-3.192681596,-2.520212069,-2.438503109,-2.28173804,-2.267401035,-2.869456072,-2.891359729
91a61ead,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.541094812,-3.937031333,-3.981457563,-4.273867372,-4.253957691,-2.32047995,-2.376285316
91cfd7fb,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.705415465,-2.29587611,-2.146952675,-1.890192438,-1.86934816,-1.82094296,-1.798578058
92b722f3,6_hard_full,6,hard,full,blocking,0.05,25,-2.933183782,-2.57948445,-2.53461793,-2.45892693,-2.453607322,-2.640542469,-2.627080967
94d6ef33,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.876937586,-2.480767126,-2.388962914,-2.146875264,-2.154742622,-2.010154224,-2.012048576
94e4c554,6_hard_full,6,hard,full,interaction_blind,0.05,25,-3.144147746,-2.886567401,-2.866811014,-2.652645476,-2.637445533,-2.637146341,-2.63807449
98c4bf54,6_hard_full,6,hard,full,interaction_blind,0.05,25,-3.063152125,-3.484653338,-3.474207953,-3.314473138,-3.392222701,-2.16090597,-2.206357694
9adbc2df,6_hard_full,6,hard,full,density,0.05,25,-2.495462049,-3.131534175,-3.040284255,-2.90736123,-2.949503567,-2.868837989,-2.86266405
9dc50a3d,6_hard_full,6,hard,full,non-linear,0.05,25,-2.947003366,-2.936010388,-2.910891858,-3.047261309,-3.023461587,-3.697848013,-3.700605436
9df60bf8,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.58619425,-2.23390121,-2.165646161,-2.174303423,-2.206352695,-1.865993417,-1.876939657
a2f6ba1d,6_hard_full,6,hard,full,density,0.05,25,-1.882467527,-4.42559991,-4.137205415,-4.120560999,-4.082721513,-4.016074616,-3.979190549
a3d4c3b2,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.73071527,-2.697782218,-2.597294602,-2.441417819,-2.44358379,-1.648250132,-1.619052074
a3d5dfda,6_hard_full,6,hard,full,density,0.05,25,-2.594259083,-2.979841738,-2.928623218,-2.898139467,-2.903871986,-2.647365697,-2.633156819
a4c60d7a,6_hard_full,6,hard,full,non-linear,0.05,25,-2.728028663,-2.704440286,-2.624235802,-2.781799614,-2.743228898,-3.254314441,-3.291822829
a6f610e1,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.885216821,-2.243000662,-2.09309075,-1.983740814,-1.953161929,-1.88332392,-1.874229905
acd61c3d,6_hard_full,6,hard,full,density,0.05,25,-2.987673367,-3.775924602,-3.750234505,-4.074178597,-4.020197831,-3.764543949,-3.736368239
ada4c06f,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.867457754,-2.76400512,-2.683410366,-2.542086503,-2.511478759,-2.218460731,-2.183426243
b0d518a1,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.00928628,-3.06511404,-2.996388236,-2.86237931,-2.86794097,-2.158958412,-2.129213884
